"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Rumex","Ulmus","Lythrum","Filipendula","Olea","Persicaria lapathifolia","Fraxinus ornus","Betula","Cichorioideae","Thalictrum","Plantago","Juniperus","Poaceae (Cerealia-type)","Abies","Artemisia","Amaranthaceae","Asteroideae","Ostrya/Carpinus orientalis","Corylus","Nymphaea","Polygonaceae","Fagus","Alnus","Poaceae","Sparganium","Quercus (deciduous)","Salix","Cyperaceae","Pinus","Unknown (monolete)","Tilia","Ranunculaceae","Pistacia","Hedera","Myriophyllum alterniflorum","Rubiaceae","Quercus ilex-type","Carpinus betulus","Algae","Gloeotrichia","Platanus","Vitis","Acer","Brassicaceae","Fraxinus","Pediastrum","Juglans","Alisma","Buxus","Poterium","Fabaceae","Picea","Apiaceae","Typha","Lamiaceae","Rumex aquaticus","Lysimachia","Castanea","Urtica","Helianthemum","Calluna","Mougeotia","Mercurialis","Ephedra","Solanaceae","Centaurea","Fagopyrum tataricum","Boraginaceae","Rosaceae","Caryophyllaceae","Rhamnus","Scrophulariaceae","Secale","Asphodelus","Iridaceae","Cistaceae","Sambucus","Hydrocotyle","Utricularia","Euphorbiaceae","Nuphar","Primulaceae","Lotus corniculatus","Cedrus","Hippophaë","Persicaria amphibia","Saxifragaceae","Gentianaceae","Campanulaceae","Valerianoideae","Dipsacoideae","Potentilla","Sanguisorba"
1279,NA,NA,110,NA,NA,NA,4,NA,NA,NA,7,1,1,NA,1,NA,NA,8,5,4,NA,16,14,27,NA,32,8,9,56,106,11,18,60,279,1,10,NA,NA,NA,1,1,4,5,NA,NA,NA,NA,4,NA,5,NA,NA,1,NA,NA,NA,NA,2,2,NA,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1339,NA,NA,115,1,NA,NA,NA,NA,1,NA,7,3,1,1,NA,2,1,10,1,NA,NA,28,10,30,NA,52,5,8,58,97,12,44,88,83,NA,NA,1,NA,5,2,3,4,13,5,NA,1,1,1,1,6,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,NA,NA,120,1,1,NA,NA,NA,1,NA,2,3,1,NA,1,1,NA,10,2,3,NA,7,10,27,NA,38,NA,5,28,116,8,113,76,89,NA,NA,2,NA,NA,NA,NA,7,15,5,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,NA,NA,135,1,NA,2,2,1,1,NA,4,2,NA,NA,1,2,1,5,3,3,1,20,3,17,1,39,6,8,24,118,12,129,46,232,NA,NA,NA,NA,NA,NA,4,8,15,5,NA,NA,1,1,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1761,NA,NA,150,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,26,1,4,NA,6,1,NA,3,5,1,11,1,40,5,26,114,171,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1882,NA,NA,160,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,1,14,3,5,1,NA,1,NA,2,5,1,12,NA,59,1,127,157,635,NA,NA,NA,NA,NA,2,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,170,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,15,3,NA,1,2,NA,NA,2,6,2,8,NA,42,NA,123,120,287,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2123,NA,NA,180,1,2,NA,1,1,NA,NA,5,1,NA,NA,NA,4,NA,6,6,6,NA,9,1,5,NA,20,14,6,11,80,7,69,75,318,NA,NA,NA,NA,2,2,2,NA,19,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,NA,NA,190,NA,NA,NA,1,NA,NA,NA,10,1,2,NA,1,5,NA,3,5,4,2,8,4,1,NA,21,8,12,NA,99,8,84,102,190,NA,NA,2,NA,NA,2,NA,3,5,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2364,NA,NA,200,1,1,NA,3,NA,2,NA,3,1,1,NA,NA,NA,4,5,1,6,NA,4,NA,NA,1,3,6,26,3,66,6,90,76,213,1,NA,2,NA,NA,8,1,1,9,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,9,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2545,NA,NA,215,1,NA,NA,2,NA,1,NA,2,NA,1,NA,3,3,1,8,4,4,1,5,NA,NA,NA,12,3,17,5,81,2,50,119,236,NA,NA,2,NA,NA,7,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2682,NA,NA,225,3,NA,2,2,1,NA,NA,1,NA,1,1,1,1,NA,9,4,3,2,2,NA,NA,NA,3,4,12,3,89,1,35,92,83,2,NA,NA,NA,NA,13,NA,1,7,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2868,NA,NA,235,1,2,NA,2,NA,NA,2,NA,NA,1,NA,NA,3,1,6,5,7,3,8,4,4,3,22,10,23,12,95,21,90,124,307,1,1,NA,NA,2,3,NA,3,9,NA,NA,1,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2961,NA,NA,240,1,1,NA,1,NA,NA,NA,4,NA,1,NA,1,1,1,7,4,3,1,5,1,4,2,14,7,9,10,57,25,102,71,187,NA,NA,2,NA,NA,1,1,NA,4,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,NA,NA,245,NA,1,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,3,4,2,NA,17,2,9,NA,20,6,6,20,101,10,97,86,491,1,NA,2,NA,NA,1,NA,2,14,3,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3147,NA,NA,250,NA,NA,NA,2,NA,NA,NA,3,NA,NA,2,NA,1,NA,8,3,4,3,6,2,NA,2,13,6,7,22,54,13,159,75,161,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3240,NA,NA,255,2,NA,NA,NA,1,NA,NA,4,2,NA,NA,NA,NA,NA,9,2,4,NA,10,1,NA,NA,23,6,5,10,90,6,194,137,348,NA,1,1,NA,NA,NA,2,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3333,NA,NA,260,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,6,1,4,1,3,NA,6,6,13,20,39,18,259,70,128,NA,1,NA,NA,NA,1,NA,1,12,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3425,NA,NA,265,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,8,2,4,NA,2,NA,1,NA,8,1,8,14,27,9,94,105,199,NA,NA,NA,NA,2,2,NA,1,49,22,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3463,NA,NA,267,NA,1,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,10,1,1,2,NA,2,NA,NA,8,3,1,10,38,14,73,76,264,1,1,NA,NA,NA,1,NA,1,54,42,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3611,NA,NA,275,3,1,1,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,10,NA,2,NA,6,3,7,NA,9,12,14,18,54,6,60,91,233,2,NA,1,NA,2,1,NA,1,27,15,NA,1,NA,5,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3704,NA,NA,280,1,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,1,NA,16,NA,3,1,2,2,1,NA,15,6,15,28,54,4,47,116,29,NA,2,NA,NA,1,1,NA,1,25,17,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797,NA,NA,285,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,24,NA,8,2,1,NA,1,NA,9,3,16,20,53,1,84,143,31,2,2,NA,NA,4,4,2,NA,74,52,NA,NA,NA,48,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3890,NA,NA,290,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,23,NA,4,1,2,1,1,1,9,1,6,12,85,NA,176,156,18,1,3,1,NA,5,1,NA,NA,123,97,NA,NA,NA,12,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3983,NA,NA,295,NA,NA,1,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,43,1,4,NA,NA,NA,NA,1,7,3,5,3,109,1,290,133,5,NA,NA,NA,NA,NA,NA,2,1,102,77,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4076,NA,NA,300,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,2,1,NA,NA,NA,9,NA,1,NA,85,NA,109,92,47,1,NA,NA,NA,NA,5,1,NA,59,38,NA,NA,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4217,NA,NA,305,1,NA,2,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,23,1,4,NA,1,1,NA,NA,19,1,5,NA,95,NA,211,114,14,3,NA,1,NA,NA,2,1,NA,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4358,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,28,NA,NA,NA,1,1,NA,NA,10,1,3,3,106,NA,200,100,13,1,NA,NA,NA,NA,NA,NA,NA,27,11,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4499,NA,NA,315,1,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,2,NA,32,2,2,1,1,1,NA,NA,17,1,3,NA,101,NA,216,60,4,1,NA,NA,NA,NA,2,2,1,21,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4640,NA,NA,320,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,30,1,2,1,5,2,NA,NA,8,1,NA,1,107,NA,208,61,9,1,NA,NA,1,NA,1,NA,2,20,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4757,NA,NA,325,NA,1,NA,1,NA,NA,NA,3,1,NA,NA,NA,1,NA,37,1,1,2,6,1,NA,1,17,4,2,NA,101,1,558,115,34,1,NA,NA,NA,NA,NA,NA,NA,21,6,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4774,NA,NA,330,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,31,1,NA,1,2,1,1,NA,8,5,5,2,49,3,148,84,95,2,NA,NA,NA,NA,2,NA,1,18,9,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4792,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,40,3,5,NA,2,2,1,1,9,2,2,NA,94,1,57,82,79,NA,2,NA,NA,NA,NA,NA,1,33,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4809,NA,NA,340,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,NA,6,3,6,1,8,4,NA,NA,16,3,13,3,116,NA,325,63,89,NA,1,1,NA,1,1,NA,2,35,26,NA,1,NA,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4826,NA,NA,345,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,39,1,1,NA,1,NA,NA,NA,13,5,18,2,78,NA,282,74,55,3,1,1,NA,1,2,NA,1,29,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4844,NA,NA,350,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,32,1,NA,NA,5,2,NA,NA,3,5,4,NA,117,NA,366,165,283,1,NA,NA,NA,NA,NA,NA,NA,38,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4861,NA,NA,355,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20,1,2,NA,2,1,NA,NA,2,NA,3,3,59,NA,189,98,291,1,NA,NA,NA,NA,1,NA,NA,30,10,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
