Depth (cm),Pinus,Quercus,Ulmus,Fraxinus,Corylus,Carpinus,Fagus,Platanus orientalis,Juglans regia,Betula,Populus,Alnus,Salix,Frangula,Cornus,Tamarix,Acaccia,Celtis,Prunus type,Bougenvillea,Pterocarya fraxinifolia,Abies,Ephedra fragilis,Morus cf,Capparis,Rhus coriaria,Cotinus,Poaceae,Poaceae big,Aster type,Anthemis type,Cirsium,Centaurea jacea type,Centaurea scabiosa,Cichorioidae,Sinapis type,Cardamine type,Ranunculus type,Ranunculus arvensis,Ranunculaceae,Thalictrum,Sedum,Ballota type,Prunella type,Scrophularia type,Rosaceae,Polygonum sp.,Bistorta officinalis,Fallopia convolvulus,Apium type,Peucedanum,Conium type,Cicuta virosa type,Heracleum spondylium,Apiaceae,Melampyrum,Filipendula,Trifolium pratense,Trifolium repens type,Genista type,Fabaceae,Lotus type,Galium type,Ambrosia,Solanum dulcamara,Viola odorata,Rhinanthus,jasione cf,Silene type,Caryophyllaceae,Gentiana cf,Grattiola,Alchemilla pent.,Geranium,Arbutus,tetrada,Plantago albicans,Osyris alba,Paronychia,Myricaria germanica,Digitalis,cf Kickxia,Montia,Hypericum,Nigella,Hyoscyamus aalbus,Pteris cretica,Pimpinella saxifraga,Botrychium,Artemisia,Urtica,Chenopodiaceae,Plantago maior,Plantago media,Plantago lanceolata,Rumex a-a type,Rumex acetosa type,Rumex acetosella type,Papaver rhoeas,Spergularia,Triticum type,Avena type,Hordeum type,Secale,cereals undiff.,Cyperaceae,Carex type,Schoenoplectus type,Schoenus type,Cyperus,monolete fern spores,Menyanthes trifoliata,Sphagnum,Cryptogamma,Lythrum,Typha latyfolia,Myriophyllum spicatum,Myriophyllum verticilatum,Sparganium emersum type,Alisma type,Elatine,Littorella type,Hippuris vulgaris,Ceratophyllum w?oski,Pediastrum boryanum,Ped bor. var. brevicorne,P. duplex var duplex,Ped. simplex,P. simplex var. simplex,P. simplex var clathratum,P. simplex var. bivaense,P. simplex var sturmii,P. simplex var. echinulatum,Coelastrum,Scenedesmus
1680,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,7,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,5,15,7,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,30,0,0,1057,350,480,40,7,180,5000,0
1700,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,0,0,1,0,0,0,0,0,0,0,1,1,0,3,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61,0,0,629,353,220,28,28,0,1600,1
1720,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,1,0,0,0,0,0,0,2,0,4,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,640,480,65,50,45,0,2140,0
1725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,28,0,0,1,4,0,0,0,0,0,0,0,0,0,2,6,3,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,614,0,0,0,0,0,2564,0
1735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1077,0,0,0,0,0,2782,0
1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1226,461,505,130,130,0,3433,1
1750,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,670,0,0,0,0,0,1070,50
1760,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23,4,1,2,0,0,0,2,2,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,1,0,0,0,0,1,0,0,0,0,0,2,4,8,2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1573,544,587,162,280,0,1943,0
1770,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,1540,0,0,0,0,0,3948,0
1780,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,2,4,2,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,2,4,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,10,0,0,939,0,0,0,0,0,2233,0
1790,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,4,8,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,1,1,0,1,0,1,0,0,0,0,0,1,6,1,4,0,1,0,0,0,0,0,0,1,0,15,0,0,0,0,12,1,0,3906,0,0,0,0,0,5691,0
