"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Spike","Spike tablets","Betula","Castanea","Cichorioideae","Juglans","Cardueae","Poaceae (Cerealia)","Calluna vulgaris","Erodium","Boraginaceae","Scrophulariaceae","Taxus","Asphodelus albus","Erica arborea","Ilex aquifolium","Osmunda regalis-type","Fraxinus","Quercus ilex-type","Cistus","Apiaceae","Juniperus","Ranunculaceae","Aster","Pteridium aquilinum-type","Allium","Rosaceae","Cytisus","Sordaria undiff.","Urtica dioica-type","Plantago lanceolata","Brassicaceae","Alnus","Fabaceae","Amaranthaceae","Liliaceae","Rumex acetosa","Spirogyra","Unknown (type 181, HdV)","Pinus sylvestris","Quercus pyrenaica-type","Cyperaceae","Poaceae","Caryophyllaceae","Acer","Campanula","Salix","Olea europaea","Anthemis","Colchicum montanum","Cercophora undiff.","Artemisia","Ambrosia","Galium","Pinus pinaster","Corylus","Geranium","Pseudoschizaea circula","Pedicularis sylvatica","Polygonum aviculare","Arbutus","Drosera rotundifolia-type","Lamiaceae","Viola","Cryptogramma"
72,NA,NA,50,"21","10679, 2, 1","1","2","1","2","1","","3","3","","3","","1","1","22","5","","2","9","2","3","6","9","11","5","","8","8","5","4","1","11","12","","2","3","24","8","","16","52","5","248","4","","","3","4","","4","","","","","11","1","3","","1","","","","","",""
85,NA,NA,55,"21","10679, 3, 1","1","7","","5","","6","","3","","","6","3","1","28","","","1","16","","7","6","4","6","","","","6","","","2","14","3","12","2","12","19","","","5","38","2","272","9","","","","5","","","","","","2","6","1","","1","","2","","","","",""
98,NA,NA,60,"21","10679, 2, 1","1","1","2","5","","","1","2","","","2","5","","26","3","2","10","3","","5","","3","6","7","3","6","20","10","9","5","16","4","16","7","12","18","2","","27","25","16","315","3","","4","5","7","2","","1","1","1","","","","","","","","2","","","",""
111,NA,NA,65,"21","10679, 3, 1","1","5","6","1","","3","3","11","","4","","4","3","28","9","2","8","12","11","9","1","2","3","29","","12","13","6","3","3","23","7","56","8","","18","12","","7","38","8","223","2","2","","3","3","1","1","","","","","","","","","","","7","1","","",""
124,NA,NA,70,"21","10679, 4, 1","1","5","5","1","1","4","6","19","","3","","7","1","27","2","","4","","1","3","4","10","5","31","","10","4","21","19","4","9","8","24","3","1","10","","","12","41","11","231","1","2","","2","4","2","","","","","1","1","","1","","","","2","3","2","",""
137,NA,NA,75,"21","10679, 2, 1","1","1","1","2","","","1","4","","","","2","2","37","3","2","2","5","3","3","3","10","8","23","1","10","11","10","15","1","22","8","36","1","1","12","","","9","36","29","256","2","1","2","4","","2","","","","","","3","","","","","","3","","","1",""
150,NA,NA,80,"21","10679, 2, 1","1","1","","1","","","","3","1","2","2","2","1","36","3","","4","2","","26","7","5","3","8","","12","19","7","7","1","11","6","20","7","","23","","","5","51","12","274","1","","3","5","1","1","1","65","","","","","","","","","","","1","","",""
163,NA,NA,85,"21","10679, 1, 1","1","6","5","8","","5","1","11","1","6","5","5","","24","4","","1","6","3","12","26","15","4","11","","5","17","4","4","4","13","10","32","2","1","17","","","1","73","15","173","5","","6","8","","","","","","","","3","","","","","","","","2","","1"
176,NA,NA,90,"21","10679, 1, 1","1","2","","3","","","1","3","","1","1","2","7","75","2","","8","","","7","7","2","4","20","","3","12","1","26","4","14","10","60","5","1","11","","","17","45","11","312","","","10","3","1","1","1","","","","","","","","","","","","","","","2"
189,NA,NA,95,"21","10679, 2, 1","1","3","4","1","","","","4","1","3","","3","1","119","2","","5","3","","2","","5","3","11","","9","11","","7","2","23","13","33","1","","5","","","18","50","5","210","","2","","9","9","1","","","","","","1","","","","","","","","","",""
202,NA,NA,100,"21","10679, 1, 1","1","3","1","","","1","1","7","1","4","1","2","1","90","7","3","7","","","3","","2","7","12","","6","5","","6","2","25","16","42","4","","14","","","17","42","9","325","2","","","4","2","","","","","","","","","","","","","","1","","","1"
215,NA,NA,105,"21","10679, 1, 1","1","2","","8","","2","","","2","3","7","8","","114","2","","","1","","10","4","","7","7","","","2","","37","5","46","16","28","1","3","12","","","7","48","10","124","4","","","","9","","","","","","","3","1","","1","","","","14","","",""
228,NA,NA,110,"21","10679, 1, 1","1","2","","4","","","","","","2","4","7","","139","2","2","1","","","5","2","2","7","18","1","3","7","","6","3","24","16","53","3","","6","","","28","31","5","150","1","","","1","","","","","","","","1","","","","","","","5","","",""
