Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Abimes,Acacia albida,Acacia ehrenbergiana,Acacia nilotica,Acacia polyacantha,Acacia raddiata,Acacia seyal,Acacia vulgaris,Acalypha ciliata,Adina,Aerva persica,Alchornea cordifolia,Allophylus africanus,Althernanthera,Amaranthaceae,Ambrosia maritima,Anthocerothales,Artemisia,Azolla africana,Balanites aegyptiaca,Basilicum polystachon,Bauhinia rufescens,Betula,Blepharis,Boerhavia,Borreria chaetocephala,Borreria radiata,Borreria scabra,Boscia angustifolia,Boscia senegalensis,Bridelia ferruginea,Bridelia scleroneura,Cadaba farinosa,Cadaba glandulosa,Campanulaceae,Capparis,Capparis corymbosa,Capparis decidua,Cardiospermum halicacabum,Cassia italica,Cassia occidentalis,Celosia argentea,Celosia trigyna,Celtis integrifolia,Centrostachys aquatica,Ceratopteris cornuta,Chlorophytum,Chrozophora,Cissampelos mucronata,Cissus ibuensis,Clematis hirsuta,Cleome,Cleome arabica,Cleome monophylla,Cleome scaposa,Cocculus pendulus,Combretaceae,Combretum aculeatum,Combretum glutinosum,Combretum paniculatum,Commelina,Commicarpus,Commiphora africana,Corchorus fascicularis,Cornulaca monacantha,Cotula anthemoides,Cruciferae,Cucurbitaceae,Cyperaceae,Desmodium,Dombeya,Dombeya quinqueseta,Echinules,Elaeis guineensis,Ephedra,Erica arborea,Euphorbia,Euphorbiaceae,Fagonia,Ficus,Fraxinus,Galium,Gisekia pharna,Gnidia,Gramineae,Grewia villosa,Gynandropsis gynandra,Heliotropium,Hibiscus,Hygrophila,Hymenocardia acida,Hyphaene thebaïca,Indetermines,Indigofera,Ipomaea,Lannea acida,Launaea taraxa,Laurembergia tetrandra,Lemna,Liliaceae,Lippia nodiflora,Ludwigia,Lygodium,Maerua crassifolia,Marsilea,Mitracarpus scaber,Mitragyna inermis,Monechma ciliata,Monoletes,Morelia senegalensis,Nauclea,Neptunia,Nucularia,Nymphaea,Oldenlandia,Olea hochstetteri,Olea lapperronica,Ophioglossum,Pentodon pentandrus,Pentzia monodiana,Peristrophe bicalyculata,Phyllanthus maderapatensis,Piliostigma reticulatum,Pinus,Plantago,Podocarpus,Polycapaea,Polygala,Polygonum plebeium,Polygonum senegalensis,Prosopis africana,Pseudocedrela kotschyi,Pteris marginata,Ranalisma humile,Rhus longipes,Riccia,Ricinus communis,Salix,Salvadora persica,Sapotaceae,Sclerocephalus,Securinega virosa,Sesbania pachycarpa,Silene kilianii,Sopubia parvifolia,Sterculia setigera,Syzygium guineensis,Tamarix,Tephrosia,Tilia,Tinospora bakis,Trianthema pentandra,Tribulus,Trichodesma africana,Triletes,Triumfetta,Typha,Uapaca,Ulmus,Umbelliferae,Utricularia,Vernonia pauciflora,Xeromphis nilotica,Ziziphus,Zygophyllum
5047.9,260,427,,,,,,,,,,,,,,2,5,,1,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,2,,,,,,1,,965,2,,,4,,,,,,,,,,1,,5337,,,,,,,1,6,6,38,,1,,,,,27,,,,20,,1,2,,,,,1,,,,,,,,,,,,1,,,,36,1,,2,,,,,,,,,,167,,,,,,,,,,,1,,,598,,,,,,,,
5252.3,270,322,,,,,,,,,,,3,,,1,14,,2,,,,,,,,,2,,,,,1,1,,,,,,,,,,,8,,6,,1,,,,,,,,,13,2,,,,,1,,,,,,1383,1,,,2,,,,,,,,,,2,,4033,1,,,,,4,,10,3,2,,4,,,,,1,,,,12,,,15,,1,,,3,,,,2,,1,,,,1,,2,,,,4,1,,4,,,,,2,1,,,,1,,,,,,,,,,,,2,,445,41,,,,,,,
5456.7,280,408,,,,,,,,,,,,,,3,6,,,,2,1,,,1,,,,,1,,1,,,,,,,,,,,,,19,,1,,3,,,,,,,,1,14,3,,,1,,,,,1,1,,372,,,,2,,,,1,,,,,,,,2120,,,,,,3,3,14,4,1,1,10,,,,,,,,,12,,1,2,,,,,1,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,22,,,,,4,,,,1,,,2,,314,8,,,,,,,
5661.1,290,221,,2,,,,,,,,,4,,,2,3,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,16,,,,,,,,,1,,,,24,5,1,2,,,,,,,,,295,,,,1,,,,,,,,,,,,1937,,,,,,,,7,7,,,,,,,,,,,,13,,,2,,,,,3,,6,,1,,,,,1,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,2,,,,,123,13,,,1,,,1,
5865.5,300,241,,,2,,,,,,,,,1,,5,14,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,13,,3,,,1,,,,,,,,23,,,,,,1,,,,3,,877,,,,,,1,1,2,,,,,,,,2375,,,,,,15,,18,4,3,1,,1,,,,3,,,,19,1,1,4,,,,,3,,,,1,,1,,,,,,,2,,,1,7,,,,,,,,,,,,11,,,,,,,,1,,,,1,,241,10,,,,,,,
6069.9,310,127,,,,,,,,,,,3,,,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,1,,,1,6,7,2,2,,,1,,,,1,,592,,,,,,,,,,,,,,,,2008,,,,,,12,,9,11,,,,,,,,,,,,14,,1,4,,,,,11,,3,,1,,,,,,,,,,,,1,7,,,,,,,,,,,,3,,,,,,,,1,2,,,,,246,4,,,,,,,
6478.7,330,128,,,,,,,,,,,,,,,2,,2,,2,,,,,,,1,,,,,,,,,,,,,,,,1,4,,,,,,1,,,,,,,10,,1,1,,,,,,,,,120,,,,,,,,,,,,1,,,,3428,,,,,,5,,,,3,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,233,1,,,,,,,
6887.5,350,45,,,,,,,1,,,,,,,2,4,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,1,31,1,,2,1,,,,,,,,202,,,,3,,1,,,,,,,,,,1842,,,,,,25,,1,3,,3,,,,,,3,,,,3,,,1,,,,,,,4,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,156,9,,,,,,,
7091.9,360,92,,,,,,,,,,,,1,,,14,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,6,3,2,,1,,1,,,,1,,57,,,,2,,,1,1,,,,,,,,1568,,,,,,16,,7,,3,1,,,,,9,,,,,5,,,,,,,,,,,,2,,1,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,258,2,,,,,1,,
7296.3,370,37,,,,,,,,,,,,,,,12,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,11,,,,,,,,,,,,,,,,957,,,,,,4,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3,,,,,,,
7500.7,380,127,,,,,,,,,,,,,,,19,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,3,3,,,,2,,,,,,6,,,,,,,3,3,,,,,,,,1452,,,,,,11,,7,1,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,3,,558,7,,,,,,,
7705.1,390,47,,,,,,,,,,1,,,,3,5,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,10,1,,1,,,1,,,,1,,20,,,,1,,,1,1,,,,,,,,1125,,,,,,12,,7,1,,2,,,,,,,,,,4,,,1,,,,,,,1,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,113,13,,,,,,,
7909.5,400,76,,,,,,,,,,,3,,,1,4,,9,,7,,,,,,,,,,,,,1,,,,,,,,1,,,13,,,,,,,,,,,,,23,2,2,4,,,2,,,,,,20,,,,,,,,,,,,,,,,716,,1,,,,34,2,8,,,,,,,,,,,,,4,,,2,,,,,1,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,20,,,,,,,
7967.912,410,17,,,,,,,,,,,3,,,2,,,5,,30,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,18,3,2,5,,,1,,,,,,8,,,,,,1,,,3,,,,,,,618,,,,,,42,,5,,,,,,,,,,,,,5,,,3,,,,,,,,,2,,3,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,4,,,,17,10,,,,,,,
8026.324,420,81,,,,,,,,,,,,,,2,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,2,,,,,,25,4,1,3,,,,,,,,,8,2,,,1,,,5,1,,,,,,,,774,,,,,,94,,3,,,,,,,,,,,,,1,,,2,,,,,1,,2,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,10,42,,,,,,,
8143.147,440,37,,,,,,,,,,,2,,,6,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,23,,,,,,,,,,,,1,21,6,,2,,,,,,,1,,60,,,,2,1,,1,1,,,,,,,,817,,,,,,71,,8,,,1,,,,,,,,,,3,,,,,,,,,,6,,,,3,,,2,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,15,121,,,,,,,
8318.383,470,64,,,,,,,,,,,4,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,8,4,1,1,,,,,,,1,,51,,,,1,,,,,,,,,,,,1224,,,,,,2,,4,,,,,,,,,,,,,1,,1,9,,,,,2,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,298,,,,,,,
8435.206,490,69,,,,1,,,,1,,,14,,,17,1,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,20,,,,,1,,2,,,,,,29,18,,4,,,,,,,,,147,,,,4,,,,,,,,,,,2,2042,1,,,,,3,2,1,,,1,,,,,,,1,,,7,,,18,1,2,,,3,,22,2,1,,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,,,,3,,,,,,,,,,56,270,1,,,,,,
8493.617,500,162,,,,,,,,,2,,26,,,24,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,3,7,,,,,,,1,,,,,,15,9,,3,,,,,,,,,282,,,,1,,,,,,,,,,,,1677,,,,,,,,3,,,1,,,,,,,,,,2,,,,,1,,,2,,29,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,123,85,,,,,,,
8552.029,510,27,,,,,,,,,,1,13,,,13,1,1,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,6,,,,,1,,4,,,,,1,19,7,2,5,,,,,,,,,84,,,,1,,,,,,,,,,,,633,,1,,,,,,1,,,2,,2,,,,,,,,1,,,4,,,,,1,,10,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,22,39,,,,,,,
8610.441,520,48,,,,,,,,,,,8,,,23,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8,2,,1,,,,,,,,,60,,,,1,,1,,,,,,,,,,568,,,,,,1,,,,,,,,,,,1,,,,1,,,6,,,,,1,,24,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,37,33,,,,,,,
8727.265,540,41,,,,,,,,,,,12,1,,11,2,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,2,,,,,,7,4,,3,,,,,,,,,177,,,,,,,,,,,,,,,,1245,1,,,,,,,,1,,,,,,,,,,,,3,,,4,,,,,,,19,,,,1,,,2,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,1,,,,1,,88,34,,,,,,,
8902.5,570,37,,,,,,,,,1,,4,,,71,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,7,,,,,,,,1,,1,,74,,,,1,,3,,,,,,,,,,524,,,,,,,,2,2,,2,,2,,,,,,,,,,,,,,,,1,,13,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,53,15,,,,,,,
9046.346,590,47,,1,,,,,,,,,2,,1,61,3,,9,,1,,,,,,,,,,,,,1,1,,,,1,,,,,4,1,,,,,,,,,,,,,4,1,,,,,,,,1,,,214,,,,1,,2,,,,4,,,,,,869,1,,,,,1,,4,,,4,,,,,,,,3,,1,,,2,,,,,1,,17,,1,,,,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,61,20,,,,,,,
9118.27,600,117,,4,1,,1,,,,,,6,2,,165,3,,6,,5,,,,,,,,,,,,,,,,,8,,,,,,6,1,,,,,,,,,,,,,12,,,6,4,,,,,,5,,357,3,,,14,,,,,,2,,,,,,1368,,,,,,4,,6,,,4,,,,,,,,12,,,,,11,,,,,3,,7,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,96,13,,,,,,,1
9190.192,610,69,,1,,,,,,,2,2,15,,,63,2,,9,,3,,,1,,,,,1,,,,1,,,,,,,,,,,1,6,,,,,,,,,,1,,,20,,,5,,,,,,,1,,297,,,,3,,3,,,,2,,,,,,1809,,,,,,3,,7,,,5,,,,1,,,,3,,1,,,6,1,,,,4,,8,1,2,1,1,,,,,,1,,,,1,,1,,,,,,3,1,,,,,,1,,,,,1,,,,,,,69,187,,,,,,,
9334.038,630,22,,1,,,,,,,,,2,,,85,5,1,11,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,5,,1,,,,,,,,1,,302,,,2,5,,3,,1,,,,,,,,830,,,,,1,1,,,,,3,,,,,,,,,,1,,,4,,,,,2,,17,,2,,,,,1,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,1,,,,1,,51,8,,,,,,,
9405.962,640,35,,2,,,,2,,,,1,1,,,218,5,1,10,,2,,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,1,9,4,1,1,1,,,,,,2,,742,2,,,16,,5,,,,1,,,,,,2048,1,,,,,1,1,2,2,,5,,4,,1,,,,2,,,,,3,,,,,1,1,22,2,1,1,2,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,1,1,208,15,,,,,,,
9477.885,650,14,,,,,,,,,,,1,,,3,4,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,131,,,,2,,,,,,,,,,,,480,,,,,,,,2,,,2,,2,,,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,81,4,,,,,,,
9549.808,660,50,,1,,,,2,,,,2,,,1,65,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,1,6,,,,,,,,,,1,,510,,,,5,,,,,,,,,1,,,1410,,,,,,,,2,1,,1,,1,,,,,,1,,2,,1,1,,,,,37,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,378,1,,,,,,,
9621.73,670,21,,3,,,1,2,,,,,,,2,112,3,,4,,4,,,,,,,,,,,,,,,1,,,,,,,,12,2,,,,1,,,,,,,,1,3,,,2,3,,,,,,3,1,945,3,,,22,,3,,,,1,1,,1,,,2470,,,,,,,2,4,9,3,9,1,11,1,,,1,,2,,10,,1,2,,,,,12,1,1,,2,10,,,1,,,,,,,,5,,,,,,,1,,,,,,1,,,,,,,,27,,,,,,628,3,,2,,,,,
9765.577,690,4,,,,,,1,,,,,,,1,21,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,2,,250,,,,7,,1,,,,,,,,,,765,,,,,,,,2,1,1,3,,4,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,174,,,1,,,,,
9869.5,710,20,1,4,,,1,1,,,,12,1,,,92,12,,10,,2,,,,,,,,,,,,,,,,,,,,,,,28,1,,,,,,,,,,,1,2,4,,,1,,,,,,,4,,1141,,,,11,,1,,2,,4,,,1,,,2810,,,,,,2,1,2,1,1,3,,9,,,,,,3,,2,,,,,,,,3,4,,2,,4,1,,1,1,1,,,,,1,1,,,,,,,,2,,,1,,,,,,,,1,,,,,,,1,635,3,,,,,,,3
9965.5,740,21,,1,,,1,1,,,,1,,,,12,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,,,1,,265,,,,7,,,,1,,,,,,,,525,,,,,,,1,3,1,,,,3,,,,1,,,,,,,,,,,,4,,,,,5,,,,,,,,,1,,2,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,331,,,,,1,,,
10061.5,770,8,,,1,,1,,,,,1,,,,12,5,,3,,1,,,,,,,,,,,,,,,,,,,,,,,40,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,944,,,,15,,,,,,,,,,,,1353,,,,,,,,3,3,,,,5,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,,,,,,,,,2917,,,,,,,,
10093.5,780,12,,,,,2,,,,,,,,,5,6,,,,1,,,,,,,2,,,,,,,,,,,,,1,,,24,,,,,,,,,,,,,,,,,,,,,,,,2,,979,,,,13,,,,1,,,,,,,,894,,,,,,,,,3,,,,5,,,,,,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,2049,,,,,,,,
