"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Pseudopediastrum boryanum","Fagopyrum","Fabaceae undiff.","Nymphaea","Acer","Avena-type","Rubiaceae","Secale","Ranunculus acris-type","Anemone-type","Carpinus betulus","Hedera","Mercurialis","Rhamnus-type","Ephedra fragilis","Hordeum-type","Myrtus","Plantago coronopus","Cistus albidus-type","Cichorioideae undiff.","Botrychium","Betula","Rumex","Brassicaceae","Triticum-type","Poaceae (Cerealia-type)","Fraxinus ornus","Theligonum cynocrambe","Fagus","Plantago major/P. media","Artemisia","Corylus","Plantago lanceolata","Vitis","Platanus","Amaranthaceae","Juniperus","Unknown","Pteridium","Cyperaceae","Sparganium-type","Alnus","Asteroideae undiff.","Fraxinus angustifolia-type","Erica","Olea","Ulmus","Pinus","Ostrya/Carpinus orientalis","Phillyrea","Pistacia","Quercus (evergreen-type)","Poaceae","Quercus (deciduous-type)","Lycopodium spike","Lonicera","Myriophyllum","Salix","Scrophulariaceae","Trifolium","Centaurea solstitialis-type","Dorycnium-type","Panicum-type","Abies","Apiaceae","Aster-type","Sanguisorba minor-type","Caryophyllaceae undiff.","Typha latifolia","Juglans","Ranunculus","Euphorbiaceae","Sorbus-type","Gypsophila","Unknown (trilete, verrucate)","Polypodiophyta undiff.","Tilia","Liliaceae","Plantago","Quercus cerris-type","Calligonum","Polypodium","Ilex","Rosaceae","Thymelaeaceae","Ephedra distachya","Castanea","Monactinus simplex","Armeria","Pediastrum duplex","Polygonum aviculare","Cistus monspeliensis","Picea","Quercus","Potamogeton","Celtis","Potentilla-type","Humulus/Cannabis","Arbutus","Geranium","Ligustrum","Buxus","Asphodelus","Convolvulus arvensis","Xanthium","Jasminum","Crataegus-type","Aconitum","Persicaria maculosa","Polygala","Campanulaceae","Melampyrum","Centaurea scabiosa","Primulaceae","Micranthes cf. M. stellaris","Helianthemum","Genista-type","Papaver argemone","Lamiaceae","Cotinus-type","Taxus","Gentianaceae","Plantago lagopus-type","Sambucus","Linum catharticum-type","Nuphar","Vicia","Solanum","Dipsacus","Utricularia","Glaucium","Centaurea cyanus","Serratula-type","Lotus-type","Filipendula","Heliotropium-type","Alchemilla-type","Nigella","Ononis-type","Ranunculus arvensis","cf. Samolus","Cornus","Onobrychis","Verbascum","Papaveraceae","Knautia","Saxifraga cf. S. oppositifolia","Scabiosa","Viburnum","Teucrium-type","Persicaria amphibia","Marrubium","Anemone sect. Pulsatilla-type","Valeriana","Lythrum"
1220,NA,NA,386,"1.9","362","","","","1","1","","1","2","","3","","","","1","2","","","","2","","1","1","2","","","2","","1","5","5","3","2","1","1","1","2","1","4","3","","1","2","3","11","20","14","17","30","27","16","53","62","302","240, 25084","1","1","1","1","","","","","2","","4","","2","","","","","","","","","","","","","","","1","2","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1272,NA,NA,394,"2.1","170","","1","","","","","","2","1","7","","2","","","","","","","1","","1","1","","","4","","","7","2","7","2","4","4","4","2","1","6","6","3","4","4","2","10","5","11","11","15","32","46","13","34","56","302","144, 25084","","2","","","","","","","1","","1","","","","","1","","","","","2","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1323,NA,NA,402,"1.8","182","","","","","1","","1","","","8","","2","","","","","","","","","1","","","","1","3","","4","2","12","3","","","6","1","2","3","3","4","1","10","1","9","5","26","15","10","22","36","15","58","29","301","94, 25084","","","","1","","","","","1","","","1","1","","","","","","1","","","","","","","","1","","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1349,NA,NA,406,"2.2","136","","1","","","","","","2","1","2","","5","","","1","1","","","","","","2","1","","1","5","1","","","","2","1","","","4","1","3","1","2","2","8","","12","6","8","16","11","23","44","20","38","31","317","95, 21358","","","","","","","","","3","","3","","3","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1375,NA,NA,410,"2.2","205","","","","1","1","","","2","","7","","","","","","","","","3","","","","","","","6","","4","2","1","3","3","2","3","","1","3","2","","","4","1","8","7","22","24","18","31","27","8","60","39","334","180, 25084","","","","","","","","","4","","2","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1401,NA,NA,414,"3.2","7","","","","","","","2","1","1","3","2","2","","1","2","","","1","1","","1","","1","","5","4","1","3","2","6","5","2","1","1","3","1","3","2","2","2","10","4","1","16","6","15","14","23","38","26","52","27","307","142, 21358","","","","1","","","","","1","","","1","1","","","","","","","","2","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1427,NA,NA,418,"1.9","45","","","","","","","1","2","","1","1","","","","1","","","","4","","1","","1","","1","4","1","1","1","4","3","","2","","4","","6","4","5","","6","2","4","21","9","18","17","26","28","18","58","31","280","423, 25084","","","","1","","","","","","","2","","2","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1452,NA,NA,422,"2.3","3","","","","","1","","1","2","","2","1","1","","","2","1","","1","9","","1","1","2","","2","1","1","3","","4","6","3","2","","7","1","4","8","3","3","7","2","5","15","10","19","8","22","49","42","41","40","268","271, 21358","","","1","1","","1","","","2","","3","3","4","","","","","","","","2","","1","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1807,NA,NA,426,"1.9","6","","2","","","","","","","2","","","1","","1","1","2","","","1","","2","","","1","","7","","5","","7","","1","5","1","5","","11","2","4","3","9","2","3","17","23","20","7","19","33","34","50","51","274","499, 25084","","","1","1","","","","","1","","1","3","5","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1808,NA,NA,430,"2.2","10","","","","","","","1","2","","1","","","1","","2","","","","2","","2","2","1","","","","","3","2","5","3","","2","1","6","2","3","3","5","6","4","6","2","17","30","9","7","14","45","50","43","55","292","184, 21358","","1","1","1","","","","","1","","","","1","","1","","","","","1","1","","","","","","","","1","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1808,NA,NA,434,"1.6","8","","","","","","","","","","1","","1","","","1","","","","","","1","2","1","","","1","","1","2","3","3","1","","","1","","8","4","3","2","3","1","2","15","24","11","9","11","21","31","28","27","186","320, 25084","","","","","","1","","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1809,NA,NA,438,"2.2","39","","","","","","","","","","1","","","","","","1","","","2","","1","","1","","","","2","1","3","1","2","1","2","1","9","1","11","3","7","5","6","1","1","11","16","15","9","15","80","29","28","26","301","178, 21358","","","","2","","","","","","","3","","6","","","","","","","1","","","","","","","1","","","","","","2","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1810,NA,NA,442,"1.8","24","","","","","","","1","","","5","","","","","1","1","","","2","","2","","1","","","7","","1","1","8","4","1","2","2","4","","11","4","3","9","4","","3","17","27","16","9","20","47","35","39","27","253","392, 25084","","","","1","","","","","","","2","2","2","","","","","","","","","","1","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1810,NA,NA,446,"1.4","67","","","","","","","1","2","","1","","","","","1","","","","3","","","1","1","","","2","","2","3","3","3","1","3","","3","1","1","4","2","1","7","1","4","13","12","15","8","18","58","40","40","33","277","275, 21358","","","1","","","","","","1","","","","3","","2","","","","","","","1","","","","","","","1","","","","1","","","","","","","1","","","1","","","","","1","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1811,NA,NA,450,"1.6","231","","","","","","","1","3","2","2","","","","2","1","1","","","6","","1","1","","","","2","","6","2","3","2","2","5","1","4","1","2","8","4","8","8","3","1","23","30","18","17","20","13","37","31","45","291","156, 25084","","","","1","","","","","3","","2","","","","","","","","","","","","","","","","","","","","","","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1812,NA,NA,458,"0.8","","","","","1","","","1","","1","5","","1","","","","","","1","","","","1","","","","2","","2","4","3","3","1","1","1","5","","9","3","2","","7","4","2","9","42","13","8","22","20","21","39","31","318","687, 25084","1","","","1","","","","","4","","1","1","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1813,NA,NA,462,"2","","","","","","1","","","1","","4","","","","","","","","1","","","","2","","","2","1","1","1","1","4","6","3","2","","4","","2","1","2","2","6","1","","4","32","16","8","21","46","32","11","20","315","198, 21358","","","","","","","","","1","","1","1","4","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1827,NA,NA,466,"1.9","","","","","","1","","1","2","","2","","1","","","2","","","1","4","","","","1","","","4","","2","1","6","3","2","","","8","","5","2","3","","8","1","1","4","40","16","10","26","49","15","47","36","319","247, 25084","","1","","","","1","","","2","","3","1","1","","3","","","","","","","1","","","","","1","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1853,NA,NA,470,"1.6","","","","","","","","3","","","1","2","","","","1","","","","2","","1","","","","2","2","","1","","4","2","1","1","","3","","1","3","1","1","7","1","","5","31","10","10","14","57","22","31","21","307","264, 21358","1","","","","","2","","","4","","","","","","1","","","","","","4","1","","","","","1","","","","","","","","","","1","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1880,NA,NA,474,"1.8","","","","","","","","2","","","5","1","","","","","","","1","1","","2","1","","","","2","","2","4","4","8","2","2","","3","","3","5","3","3","7","","1","6","54","9","6","21","53","22","40","18","273","272, 25084","","","","","1","1","","","2","","1","","2","","2","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1907,NA,NA,478,"2.2","1","","","","","1","","","","","2","","","","","","","","1","3","","","1","1","","1","","","4","2","3","5","2","2","","7","","3","1","2","1","8","1","","3","32","7","20","18","77","18","20","25","295","181, 21358","","","","","","","","","2","","1","2","3","","4","","","","","1","1","","1","","","","2","","2","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1934,NA,NA,482,"2.3","","","","","","","","1","1","","4","","","","","","","","","","","2","","3","","","3","","7","3","9","2","","1","2","5","","7","3","4","1","5","2","1","3","65","5","10","26","60","26","33","16","263","208, 25084","","","2","","","","","","4","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1961,NA,NA,486,"1.9","","","","","","1","","","2","","9","1","1","","","2","","","","3","","","","1","","2","2","1","6","","4","6","","2","","3","1","2","3","1","","1","3","","10","46","3","15","19","60","22","20","11","313","167, 21358","","","","1","","","","","2","","1","","1","","","","","","","","","","","","1","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1987,NA,NA,490,"2.8","","","","","","","","","1","","2","","1","","","3","","","","1","","","","","","1","","","1","","4","2","2","2","1","4","","8","2","2","","5","","2","6","39","9","6","40","50","17","33","31","292","142, 25084","","","","","1","","","","4","","1","","1","","2","","","","","","1","","","1","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2014,NA,NA,494,"2.5","","","","","","","","","","","4","1","1","","1","1","","","","4","","1","","","","1","","","1","3","2","2","2","1","2","2","","7","4","3","3","3","4","1","6","49","2","14","16","80","17","19","14","288","163, 21358","","","","1","","1","","","4","1","","","1","","1","","","","","","","1","","","","","","","1","","","","2","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2041,NA,NA,498,"2.2","1","","","","1","","","","","","2","1","","","1","1","","","1","3","","","","","1","","2","1","2","3","4","3","2","5","","2","1","7","","1","3","9","3","","9","49","5","16","25","50","11","27","18","327","295, 25084","","","","2","","","","","3","","1","","","","1","","","","","1","","","","","","","","","","","","","3","","","","1","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2068,NA,NA,502,"2.4","","","","","","","","","","","1","1","","","","2","","","","2","","","1","","","1","","","2","4","3","3","1","1","1","5","1","8","1","3","2","7","1","","5","50","1","21","11","78","18","18","21","358","269, 21358","","","","1","","2","","","5","","1","","","","2","","","","","","2","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2094,NA,NA,506,"2","4","","","","","","","1","1","","1","1","1","","","","","","","2","","","","1","","1","2","","3","2","5","4","3","1","","4","","","2","","","5","1","1","3","50","5","16","19","59","10","17","33","350","361, 25084","","","1","","1","","","","8","","3","","2","","1","","","","","","1","1","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2121,NA,NA,510,"2","1","","","","","","","","","","8","","","","","4","","","1","7","","1","1","","","1","1","","9","","","2","","1","1","4","","","4","6","1","5","2","","4","32","2","21","13","57","8","10","19","340","348, 21358","","","","","","1","","","5","","","","","","1","","","","","","1","","","1","","","1","","","1","","","6","","","","1","","","","","","","","","","","1","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2148,NA,NA,514,"1.9","3","","","","","","","","3","","3","","3","1","","2","","","","3","","","2","","1","2","3","","4","2","7","1","5","1","1","2","1","5","6","3","2","7","3","","11","50","","10","25","47","8","21","30","320","339, 25084","","1","","1","","1","","","3","","1","","3","","1","","","","","1","1","1","","1","","","","","1","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2175,NA,NA,518,"1.2","3","","2","","","","","1","","1","3","1","1","","","1","","","","6","","","","1","","3","2","","5","","4","5","1","1","","8","","","1","5","","8","2","","8","35","6","23","21","50","9","13","28","303","333, 21358","","1","1","1","1","2","","","","","3","","","","1","","","","","","2","","","","","","","","1","","","","13","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2188,NA,NA,520,"1.8","1","","1","1","","","","1","","","7","","2","","","2","","","1","12","","","","1","","","2","","2","2","3","7","1","3","1","8","","3","7","13","1","8","1","","6","50","2","18","21","67","15","50","45","252","252, 25084","","1","1","2","","2","","","1","","1","1","2","","","","","","","","","1","1","2","","","","","1","","","","23","1","1","","","","1","","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2215,NA,NA,524,"1","5","","","1","","","","1","","","5","","2","","1","2","","","","7","","2","","","1","1","2","","3","3","3","1","2","1","","7","1","5","4","7","5","9","3","1","8","17","1","29","18","79","16","7","33","315","798, 21358","","2","","","","2","","","3","","2","2","","","2","","","","","","3","1","1","","","","","","","","","","29","","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2242,NA,NA,528,"1.8","2","","","","","","","","","","4","","","","","1","","","","3","","1","","2","","1","4","","1","","1","6","","","","4","","2","2","11","1","8","2","","16","46","2","30","15","77","9","23","33","240","356, 25084","","3","","1","1","","","","2","","3","","","","1","","","","","","","1","","","","","","","1","","","","21","1","1","","","","1","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2272,NA,NA,532,"1.8","5","","","","","","","1","","","2","","1","","","","","1","","10","","1","1","1","2","1","","1","4","1","","7","3","1","","10","1","","4","7","6","3","4","","8","24","5","27","13","111","17","15","43","267","424, 21358","","1","1","1","","","","","1","","3","","2","","","","","","","1","3","","","","","","","","1","","","","16","","","","2","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2303,NA,NA,536,"1.9","4","","","","","1","","3","1","","2","","2","","","2","","","","8","","","1","1","1","4","2","","6","1","4","6","2","3","1","3","1","3","3","11","3","6","2","1","10","49","3","30","24","70","20","21","44","277","504, 25084","","1","1","","","","","","4","","3","","2","","1","","","","","2","1","","2","1","1","","1","","","","","","27","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2348,NA,NA,542,"2.6","3","","","2","","","","2","","","1","","3","","","1","","","","10","","1","1","","","1","2","","4","1","9","4","","3","","5","","7","5","6","7","7","7","1","13","24","2","23","13","146","14","47","44","227","414, 25084","","14","","1","","1","","","2","","4","2","2","","1","","","","","","2","","","1","","","","1","1","","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2379,NA,NA,546,"2","9","","1","5","","","","1","1","","5","","1","","","4","","","","5","","","2","4","","2","2","","6","3","5","3","6","4","2","5","1","6","7","1","12","2","8","","20","19","1","33","13","145","14","18","66","234","558, 21358","","21","1","2","","","","","2","","5","1","4","","","","","","","","4","1","","1","","","","","1","","","","7","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2409,NA,NA,550,"1.8","7","","","5","","","","","","","6","","","","","1","","","1","3","","1","4","1","","2","1","1","5","","7","2","1","3","1","9","","3","5","13","11","4","2","","8","39","1","30","10","141","17","28","44","193","675, 25084","","40","","","","2","","","1","","7","","1","","","","","","","1","","","2","","","","1","","","","","","2","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2440,NA,NA,554,"2","","","1","5","","1","","1","","","","","3","","","3","","","","5","","","1","","","3","4","1","2","3","11","3","4","3","","10","","3","2","3","7","8","2","","17","12","1","23","11","192","21","24","54","192","310, 21358","","30","","1","","1","","","2","","7","1","3","1","","","","","","","","1","","1","","","","","2","","","","2","","","","","","","2","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2470,NA,NA,558,"1.8","5","","1","8","","2","","","","","1","1","3","","1","1","","","3","1","","1","3","1","","3","1","","4","1","3","4","3","3","","8","","5","3","15","9","6","6","","18","30","4","46","20","169","10","44","77","210","850, 25084","","27","","1","","","","","1","","9","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
