depth,Age BP,Indetermines,Olea,Gramineae,Tilia,Betula,Pteridophytae,Liguliflorae,Cyperaceae,Pinus,Chenopodiaceae/Amaranthaceae,Anthocera,Quercus ilex-type,Isoetes,Juglans,Corylus,Rumex,Cedrus,Tubuliflorae,Alnus,Pistacia,Quercus pubescens-type,Ephedra fragilis-type,Ericaceae,Artemisia,Alchornea,Ephedra distachia-type,Portulacaceae,Ziziphus,Capparis,Asphodelus,Centaurea jacea-type,Myrica,Cleome,Apiaceae,Ranunculaceae,Plantago,Antidesma-type,Caryophyllaceae,Ulmus,Rhus,Salix,Erodium,Polycnemum-type,Celtis,Phyllirea,Fagus,Commiphora,Acer,Thymelaea,Pilea,Vigna,Ambrosia,Polygonum,Myrtaceae,Juniperus,Carpinus,Butyrospermum,Canthium,Brassicaceae,Euphorbia,Acanthaceae,Ceratonia,Acacia,Helianthemum,Picea,Boscia,Ligustrum-type,Tribulus,Phyllanthus,Galium,Gymnosporia,Epilobium,Bridelia,Pityrogramma,Picconia,Zygophyllum,Cassia,Gypsophila
402.75,87000,,,2,,1,4,1,1,33,,,,7,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412.75,,5,2,13,,,10,27,9,159,2,2,17,103,,4,,1,5,4,2,22,12,31,15,,1,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
421.75,99000,3,1,1,,,8,11,1,38,4,,1,32,,2,,,2,,,5,3,6,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432.25,,,,2,,3,3,5,1,90,3,1,1,13,,,,,,1,,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.75,107000,,,1,,,3,7,,427,,1,,25,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451.75,,2,1,7,,1,4,20,6,280,3,,10,42,,4,,1,6,1,,6,3,3,3,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462.25,,2,2,9,2,,4,28,4,130,1,1,6,26,,5,,,6,5,,14,2,25,17,,,,,,,1,,,,,6,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
472.25,,,,,,,4,1,,22,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478.25,122000,7,5,2,,,7,56,1,173,4,3,17,15,,3,,,17,3,1,15,3,31,6,,,,1,,,1,,,,,5,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
