"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Betula","Campanulaceae","Urticaceae","Filipendula","Ephedra distachya","Cannabis-type","Salvia-type","Scrophulariaceae","Vitis","Mentha-type","Sparganium","Eucalyptus","Theligonum","Cistus","Juglans","Centaurea","Rubiaceae","Quercus indet.","Phillyrea","Caryophyllaceae","Epilobium-type","Cupressaceae","Cyperaceae","Apiaceae","Rumex","Asteroideae","Plantago","Cichorioideae","Rosaceae","Sanguisorba-type","Brassicaceae","Poaceae (Cerealia)","Artemisia","Pistacia","Fabaceae","Amaranthaceae","Quercus ithaburensis","Indeterminable (destroyed)","Quercus coccifera","Pinus","Poaceae","Pollen concentration","Lycopodium spike","Olea","Pollen accumulation rate","Ranunculaceae","Ephedra fragilis","Asphodelus-type","Fumana-type","Cucumis-type","Linum-type","Polygonaceae","Hypericum-type","Ericaceae","Scabiosa-type","Thalictrum-type","Tamarix","Alnus","Rhamnus-type","Lythrum-type","Adonis-type","Malvaceae","Tilia","Fagus","Anemone-type","Papaver-type","Styrax-type","Elatine-type"
1118.454,NA,NA,220,4.4,2,NA,NA,2,NA,NA,NA,1,NA,1,9,NA,NA,1,NA,2,7,3,7,5,NA,NA,11,9,7,7,32,19,7,23,7,14,39,36,12,25,30,39,67,11,101,69,102,31,25340.46,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270.971,NA,NA,250,5.4,1,2,NA,1,1,NA,NA,2,NA,NA,5,NA,NA,NA,1,2,5,3,2,8,5,1,9,8,9,10,28,21,6,32,12,12,45,40,10,21,18,38,70,13,81,42,133,72,16456.12,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398.068,NA,NA,275,4.6,1,NA,NA,1,1,NA,NA,NA,2,1,6,NA,NA,2,NA,7,1,2,4,5,NA,NA,6,8,7,8,27,17,7,31,6,14,53,23,18,21,24,36,87,19,62,70,87,58,28092.74,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1525.165,NA,NA,300,5.6,1,NA,NA,1,NA,NA,1,2,1,1,1,NA,2,1,1,2,3,4,1,5,1,NA,6,10,12,11,35,21,8,20,9,12,31,27,13,14,23,28,71,24,68,43,96,85,20359.72,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642.095,NA,NA,323,4.5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,NA,2,2,1,6,1,1,6,5,NA,5,7,3,4,7,22,18,7,17,12,10,30,12,16,18,11,28,38,8,47,71,89,233,28396.49,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1769.192,NA,NA,348,5.2,3,1,NA,NA,NA,NA,NA,NA,5,NA,2,NA,2,NA,NA,2,2,1,5,6,NA,NA,6,7,3,6,30,20,6,17,10,5,31,8,11,27,14,15,25,5,46,11,126,245,16563.6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860.702,NA,NA,366,4.7,NA,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,1,NA,1,1,3,4,6,2,NA,5,8,7,6,6,23,20,8,6,10,13,26,16,12,17,14,31,17,9,62,72,171,201,13364.41,NA,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982.715,NA,NA,390,5.8,1,2,NA,1,NA,2,1,2,3,2,2,NA,NA,1,2,NA,5,NA,3,5,NA,NA,8,6,3,10,20,28,3,6,7,14,30,3,11,21,12,21,12,9,56,45,214,270,9072.912,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2094.56,NA,NA,412,4.4,3,NA,NA,NA,NA,1,NA,2,1,1,6,NA,1,NA,1,3,2,4,10,7,NA,2,13,10,3,21,33,47,11,NA,17,13,37,6,22,48,12,31,23,9,68,73,178,153,15517.47,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2221.657,NA,NA,437,5,NA,1,2,5,NA,NA,NA,5,1,3,8,NA,4,NA,1,3,2,NA,5,11,NA,NA,10,19,2,24,36,56,9,1,11,9,51,5,16,52,13,30,16,9,97,13,221,59,10359.39,3,NA,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
2358.922,NA,NA,464,4.8,2,NA,NA,NA,1,NA,NA,2,NA,NA,8,NA,3,NA,NA,4,2,9,5,7,NA,NA,7,6,4,17,23,73,9,2,11,15,42,24,14,53,35,58,43,6,88,74,148,48,17866.26,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2486.019,NA,NA,489,5.8,NA,1,NA,1,NA,NA,NA,2,NA,1,8,NA,1,2,1,2,3,8,1,9,NA,NA,11,12,3,8,14,27,7,3,9,20,31,28,14,47,53,30,63,12,162,47,75,32,28194.9,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2618.2,NA,NA,515,4.2,2,2,NA,NA,2,NA,NA,1,NA,1,3,NA,NA,2,1,2,3,6,5,5,NA,NA,23,14,7,12,19,28,3,NA,7,21,29,24,16,36,75,35,56,12,116,75,98,28,28623.96,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2745.297,NA,NA,540,5.6,2,NA,NA,2,NA,NA,NA,1,NA,NA,7,NA,3,1,NA,3,6,4,2,3,NA,1,5,7,1,7,8,16,7,NA,10,13,31,21,15,26,101,34,80,9,135,15,94,36,22487.41,1,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2918.149,NA,NA,574,4.6,1,NA,NA,NA,1,NA,NA,2,NA,1,4,NA,2,1,NA,2,2,3,2,4,NA,2,7,8,2,5,9,28,7,NA,9,19,30,18,13,29,77,31,48,10,127,76,101,57,23758.72,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3045.247,NA,NA,599,5.2,1,2,NA,1,2,NA,1,2,NA,2,1,NA,8,1,1,8,3,2,5,2,NA,NA,31,12,3,7,11,40,8,NA,7,27,33,17,9,35,60,42,27,12,132,49,147,68,16336.7,2,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3182.511,NA,NA,626,4.4,1,NA,NA,2,1,NA,NA,1,NA,NA,1,NA,4,2,NA,1,2,3,4,3,NA,2,22,11,3,5,9,22,7,NA,6,22,31,11,11,27,107,34,61,9,107,77,132,43,19581.26,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3299.441,NA,NA,649,5.7,NA,1,NA,1,NA,NA,NA,1,1,NA,2,NA,1,2,NA,2,NA,6,1,2,NA,2,15,7,NA,4,6,14,2,NA,5,15,32,8,7,22,164,32,89,9,88,50,59,26,33209.58,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3426.538,NA,NA,674,4.6,NA,NA,NA,3,NA,NA,NA,1,NA,2,2,NA,7,1,NA,2,3,9,5,3,NA,1,13,11,2,7,10,21,3,NA,8,20,36,41,7,45,142,24,82,10,92,78,102,40,26852.67,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3553.635,NA,NA,699,6,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,2,NA,6,2,10,2,4,NA,2,11,10,4,7,3,12,3,1,5,10,30,38,8,32,121,24,76,9,97,51,82,35,22548.88,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3670.564,NA,NA,722,4,NA,NA,NA,1,NA,NA,NA,1,NA,1,6,NA,NA,NA,NA,3,1,7,3,5,NA,NA,23,12,3,9,14,43,5,NA,16,13,18,16,14,26,121,42,31,9,103,79,189,29,15215.45,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797.661,NA,NA,747,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,2,5,1,3,NA,NA,19,NA,2,11,13,130,2,1,9,23,13,32,6,37,66,26,20,16,81,19,488,51,4280.465,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3868.836,NA,NA,761,5.2,2,NA,NA,1,NA,NA,NA,1,NA,1,3,NA,1,2,NA,5,5,3,3,6,NA,1,7,14,7,8,8,53,7,1,12,25,27,16,25,49,62,22,21,7,93,52,197,97,11210.75,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3995.933,NA,NA,786,4.6,1,NA,NA,NA,NA,NA,NA,2,NA,NA,7,NA,3,2,NA,4,2,4,1,4,NA,2,7,8,5,5,13,17,5,NA,4,13,19,16,16,29,137,23,55,10,84,80,92,52,25292.55,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4097.61,NA,NA,806,5.3,4,NA,NA,3,NA,NA,NA,2,NA,1,1,NA,3,1,NA,2,2,2,1,3,NA,NA,11,4,3,9,8,14,2,2,3,11,26,22,14,24,191,34,31,9,87,20,102,41,20796.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4224.708,NA,NA,831,4.2,1,NA,NA,NA,1,NA,NA,3,NA,NA,6,NA,3,1,NA,2,2,5,3,3,NA,NA,6,14,4,8,13,17,3,NA,6,12,11,26,11,26,117,22,16,7,128,81,97,47,25178.73,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4382.308,NA,NA,862,5.6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,7,2,NA,5,3,3,1,5,NA,1,11,9,1,9,13,59,2,NA,11,14,21,24,13,48,127,34,28,11,112,54,194,57,11477.53,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4509.405,NA,NA,887,4.2,NA,NA,NA,1,1,NA,2,NA,NA,1,3,NA,4,2,NA,2,3,7,2,3,NA,2,7,6,3,8,11,62,7,NA,7,13,16,16,8,26,132,32,11,11,73,82,153,42,16165.42,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4631.418,NA,NA,911,6.2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,2,5,1,2,NA,2,10,4,2,13,8,136,8,NA,6,9,15,13,16,17,134,46,13,7,57,22,187,44,10097.71,NA,NA,2,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4758.516,NA,NA,936,4.1,1,NA,NA,NA,2,NA,1,2,NA,NA,8,NA,3,NA,NA,3,1,3,3,5,NA,2,9,7,6,12,9,24,5,NA,18,12,27,18,11,46,112,27,32,9,111,83,84,46,32536.44,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4885.613,NA,NA,961,5.7,1,NA,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,7,NA,2,5,11,10,15,8,15,5,NA,10,18,16,17,20,23,101,35,23,10,173,23,72,51,28798.22,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
5017.793,NA,NA,987,4.2,NA,1,NA,1,NA,1,NA,1,NA,1,5,NA,1,NA,NA,3,2,4,6,8,NA,NA,8,13,18,10,8,18,6,NA,12,21,26,21,18,36,71,41,11,8,96,84,108,132,26711.01,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5144.891,NA,NA,1012,5.8,NA,NA,NA,NA,1,1,NA,2,NA,NA,2,NA,1,NA,NA,2,1,2,4,4,NA,NA,11,12,2,8,8,18,6,NA,6,11,22,13,11,31,56,22,9,9,78,57,83,217,23006.79,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5409.252,NA,NA,1064,5.4,1,1,NA,3,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,1,2,7,5,3,NA,NA,17,4,3,3,3,27,3,NA,12,12,14,16,12,19,67,24,15,6,90,58,149,183,13488.03,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5536.35,NA,NA,1089,4.4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,NA,2,8,3,6,3,NA,NA,6,8,1,8,9,72,6,NA,8,16,11,22,15,19,52,29,9,11,67,85,167,192,15705.01,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5668.531,NA,NA,1115,5.3,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,6,NA,NA,4,2,2,4,7,NA,1,6,12,3,21,12,17,7,NA,17,13,16,9,13,43,65,27,13,6,77,26,70,187,31956.75,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA
5795.628,NA,NA,1140,4.2,1,NA,NA,1,NA,1,1,1,NA,NA,6,NA,3,NA,NA,1,2,4,5,6,NA,NA,6,8,2,7,12,19,2,NA,6,10,16,10,6,19,56,28,16,6,101,86,77,190,33499.96,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5922.725,NA,NA,1165,5.4,1,1,NA,4,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,2,1,13,6,8,NA,NA,11,6,6,7,12,32,5,NA,10,19,15,1,12,37,55,45,20,14,148,27,88,71,24128.18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
5983.731,NA,NA,1177,5.4,1,2,NA,3,NA,NA,NA,NA,NA,2,4,NA,7,NA,NA,1,1,4,1,3,NA,NA,14,11,4,17,13,31,4,NA,9,9,18,14,17,28,67,31,14,7,154,60,81,81,25745.99,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6110.829,NA,NA,1202,4.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,6,1,NA,2,3,5,4,6,NA,1,16,8,7,12,12,46,11,NA,12,16,24,13,12,27,66,36,11,11,92,87,204,131,12813.77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6197.255,NA,NA,1219,5.2,1,1,NA,1,NA,NA,3,3,NA,NA,2,NA,2,NA,NA,2,2,5,3,9,NA,NA,10,6,4,15,15,50,3,NA,13,23,17,13,12,33,40,46,10,4,99,28,152,127,14741.32,1,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6324.352,NA,NA,1244,4.4,NA,1,NA,NA,1,NA,NA,1,NA,1,2,NA,NA,NA,NA,2,3,7,6,8,NA,1,12,7,2,14,27,48,7,NA,12,17,17,12,17,28,77,36,7,11,97,88,210,107,12549.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6476.868,NA,NA,1274,5.8,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,5,NA,NA,2,NA,6,1,6,NA,1,15,16,3,6,7,52,3,NA,11,28,23,10,17,35,87,39,8,6,110,62,245,74,8147.227,NA,3,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6603.965,NA,NA,1299,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,3,4,4,6,8,NA,NA,12,11,7,22,15,49,11,NA,12,27,16,11,16,26,71,37,11,11,98,89,153,104,19493.93,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6736.146,NA,NA,1325,6.1,1,NA,NA,1,NA,NA,1,NA,NA,3,4,NA,NA,1,NA,4,3,2,4,1,NA,3,19,8,2,7,9,48,3,NA,11,15,14,3,9,25,79,28,7,5,86,30,189,170,9783.92,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6863.244,NA,NA,1350,4.3,3,2,NA,2,1,NA,NA,1,NA,NA,3,NA,8,2,NA,2,3,4,4,8,NA,NA,23,12,8,8,23,33,7,NA,13,21,24,12,14,28,69,41,18,12,83,90,201,144,14577.43,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6990.341,NA,NA,1375,5.7,2,2,NA,2,2,2,NA,8,NA,NA,2,NA,2,1,NA,3,NA,11,2,13,NA,NA,5,21,6,15,8,28,8,NA,12,33,21,16,10,42,66,66,16,8,101,31,132,46,15979.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7086.935,NA,NA,1394,4.4,NA,2,NA,NA,1,NA,NA,2,NA,2,NA,NA,2,2,NA,4,2,5,4,8,NA,NA,13,19,6,13,17,33,7,1,9,19,26,16,16,52,88,39,17,9,113,91,107,36,24629.97,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7214.032,NA,NA,1419,5.7,3,NA,NA,2,2,1,2,1,NA,NA,1,NA,NA,NA,NA,5,2,9,NA,7,NA,NA,5,21,8,12,16,36,9,NA,11,18,17,15,16,77,81,52,14,6,112,32,103,27,20542.27,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA
7341.128,NA,NA,1444,4.2,2,1,NA,1,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,3,2,6,1,3,NA,NA,16,13,4,10,12,43,11,NA,9,14,34,17,7,81,92,37,10,7,112,92,103,12,25945.75,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7468.226,NA,NA,1469,5.7,3,3,NA,4,1,NA,4,4,NA,NA,2,NA,2,1,NA,1,3,10,3,9,NA,NA,18,21,8,12,16,68,10,NA,10,22,31,15,9,61,53,44,18,5,102,33,177,12,11751.37,NA,NA,2,NA,NA,NA,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7595.323,NA,NA,1494,4.3,1,1,NA,NA,1,NA,1,NA,NA,1,6,NA,NA,NA,NA,3,3,5,3,4,NA,NA,21,12,8,13,14,92,6,NA,9,23,19,16,11,57,44,36,9,5,127,93,225,16,11620.38,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7722.42,NA,NA,1519,5.2,2,1,2,2,NA,NA,3,4,NA,NA,6,NA,1,NA,NA,7,2,8,3,8,NA,3,14,12,7,16,20,57,7,NA,12,18,17,17,12,68,46,40,18,6,115,34,166,21,13347.38,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7849.517,NA,NA,1544,4.1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,3,3,7,5,4,NA,2,12,19,9,21,16,44,8,NA,11,19,20,19,13,59,42,33,13,6,139,94,106,22,25270.49,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7976.614,NA,NA,1569,5,2,NA,1,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,8,4,7,NA,NA,4,22,8,25,13,28,7,NA,9,22,21,17,22,40,61,53,13,6,145,35,115,11,20101.96,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8078.292,NA,NA,1589,4.4,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,3,4,3,5,NA,NA,12,20,9,17,12,32,12,NA,11,23,23,21,20,53,67,27,11,NA,153,95,108,8,22837.69,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
8154.55,NA,NA,1604,5.6,NA,NA,NA,4,1,NA,NA,2,1,NA,3,NA,2,NA,NA,1,1,6,3,8,NA,1,10,26,11,11,16,29,11,NA,16,26,15,20,25,56,45,45,12,2,165,36,97,7,21791.92,NA,1,2,NA,NA,NA,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8281.647,NA,NA,1629,4.3,1,NA,1,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,2,3,7,4,6,NA,1,14,19,11,9,10,51,12,NA,12,24,20,23,17,63,38,48,8,6,141,96,131,11,20387.53,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
