depth,Polycarpaea,Salvadora/Dobera,Chenopodiaceae/Amaranthaceae,Bombax/Ceiba,Elaeis guineensis,Rhizophora,Aneilema,Alnus,Borreria,Indetermines,Alchornea,Cyperaceae,Calligonum,Betula,Maerua,Ephedra fragilis-type,Arecaceae,Papilionoideae,Phyllanthus,Crossopteryx,Euphorbia,Uapaca,Celtis,Combretaceae/Melastomataceae,Corylus,Gramineae,Trichilia-type,Plantago,Pinus,Artemisia,Hymenocardia,Cassia-type,Tubuliflorae,Fungal spores,Caylusea,Cleome,Polycarpon,Quercus,Tilia,Crudia-type,Trichodesma,Boscia,Rhus,Acanthaceae,Butyrospermum,Ziziphus,Acacia,Heliotropium-type,Zygophyllum/Peganum,Sterculiaceae,Rubiaceae,Commiphora,Liguliflorae,Typha/Sparganium,Justicia,Boswellia,Macaranga-type,Euphorbiaceae,Aeschynomene-type,Sesbania-type,Tephrosia-type,Lannea,Baphia-type,Nauclea latifolia-type,Bosquiea,Brassicaceae,Bridelia,Gaertnera,Ephedra distachya-type,Manilkara-type,Xylia/Mimosa,Cissus,Canthium,Hyphaene,Cistus,Picconia,Limoniastrum/Limonium,Balanites,Sapotaceae/Meliaceae,Clematis,Triumfetta,Polynogum acuminatum,Hibiscus-type,Diospyros,Eugenia/Syzygium,Antrocaryon-type,Indigofera-type,Capparis,Podocarpus,Caryophyllaceae,Cadaba,Ilex,Acalypha,Sterculia-type,Dodonaea,Lophira,Oleaceae,Ixora,Connaraceae,Hygrophila,Entada sclerata,Tetrorchidium,Pterocarpus,Sapium,Abelia,Iodes,Vigna,Cuviera
118.5,,,1,,,3,,1,,2,,6,,,,3,,,,,,,1,7,,58,,,,1,,,,77,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.25,,,16,,5,10,,,2,9,2,23,,,,,,1,3,,,,3,48,1,84,2,,,6,,2,6,89,,,,,,,,,,,,,2,,,16,,,,,,,,1,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.75,,,,,,2,,4,,2,2,9,,4,,1,,,,,,,,12,9,14,1,,3,,,,,61,,,,,1,,,,,,,,1,,,2,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,2,,,,,,,,,5,,,,,,,,,,,1,1,,13,1,,1,1,,,,28,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.75,,,1,,1,,,3,,2,1,1,,,,,,,,,,,,,,28,,,,,,,,30,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.25,,,,,,,,,,,,,,1,,,,,,,,,,,,13,,,2,1,,,,31,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.25,,,,,,3,,,,5,,3,,2,1,1,,,,,,,,1,1,18,,,1,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,4,,3,,,,,2,2,10,,,,,1,,,1,,,,1,,31,,1,2,1,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.25,,,1,,1,,,,,3,,1,,,,,,,1,1,,,,3,,28,,,,,,,2,21,,,,,,,,,,,,,1,,,1,,,,2,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.75,,,5,,7,2,,,1,5,1,22,,2,5,,,,3,,1,,,9,,101,1,,1,1,1,1,1,53,,,,,1,,,,,,,,3,,,,3,,,,,,,,,,,,,2,,,8,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.25,,,,,,,,,,2,,3,,,,1,,,,,,,,,,30,,,2,1,,,,39,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.75,,,,,2,,,2,,,,3,,,,,,,,,,,,,,12,,,,,,,1,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.25,,,1,,,,,,,2,,,,1,,,,1,,,,,,1,,6,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,1,,,,,,,,,,,,,,,,,,34,,,,2,,,,105,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,2,,,,,4,,3,1,,,,,2,1,,,,,,2,76,,,2,1,1,,,199,,,,1,,,,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.75,,,2,,,3,,,,1,3,10,,,1,1,,,,,,,,6,2,23,,1,,1,4,,,55,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.25,,,2,,1,,,,,1,,8,,1,,,4,,,,,,1,,3,50,,,4,1,,,,55,,1,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.75,,,3,,3,2,,,,4,2,66,,,,5,,1,2,,,,,5,,83,1,,3,4,7,,1,44,,,1,,,,,,,,,,,,,3,,,,,,,,1,,,,1,,3,,1,,2,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192.25,,,8,,1,5,,,,5,3,71,,,2,7,,,2,,,,,11,,116,4,,3,10,4,1,,38,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,1,,1,,,2,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.75,,,8,,2,1,,,,4,,38,,,,11,,,3,,,,,6,,64,2,,1,2,2,2,,41,,,,,,,,,,,,,2,,,3,,,,,,,,,,1,,,1,,,,,2,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.75,,,1,,3,1,,,1,3,,20,,2,,1,,,1,,,,,,,45,,,14,,,1,2,83,,,,,1,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.25,,,4,,2,,,,,10,,26,,1,,13,,5,,,1,,,7,,94,,,4,,,,1,63,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200.75,,,,,,,,1,,3,2,7,,,,5,,,1,,1,,,1,,20,2,,1,1,,,,33,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206.75,,,6,,2,4,,,,1,,39,,1,,15,,,5,3,,,,5,,104,2,,,5,4,,4,41,,,,,,,,,,,1,,,,,5,,,1,5,,,,,,,,1,,3,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.25,,,1,,1,,,,,2,2,39,,,,23,,,,,,,1,5,2,51,2,,2,,1,,,48,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.25,,,15,,,,,,,8,2,25,2,,,23,,,,,1,,,6,,120,,,5,3,,,2,34,,,,,,,,,,7,,,1,,,3,,,1,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,22,,6,,,,1,10,2,72,2,1,,39,,,3,2,1,,,6,,237,,,8,16,,,4,51,,,,,,,,,,,,,,,,2,1,,1,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.75,,,49,,6,6,,,,13,4,45,3,,,13,2,,1,,,,,15,,184,1,,1,7,,,1,64,,1,,,2,,,,,,,,1,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.25,,,14,,2,2,,,,14,1,35,,,,4,,,,,3,,,4,,166,1,,,4,4,,4,96,,,,,1,,,,,,,,,,,9,,,1,4,,,,3,,,,,,,,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.5,,,6,,,8,,,,8,1,53,,,,,3,5,2,,3,,5,,,168,,2,,6,,3,7,,,,,,,,,,1,,9,,,,1,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.5,,,2,,,11,,,,13,4,26,,,,,,,,,4,,,6,,234,,,,5,,,1,,,,,,,,,,1,,6,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258.5,,,22,,,9,,,,3,,23,,,1,6,,,,,,,,2,,50,,,,3,,,2,245,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,4,,,2,1,,,1,2,21,,,1,4,,,,2,1,,,8,1,83,,1,2,4,,,6,44,,,,,,,,,,,,,1,,,,,,3,1,,,,1,1,,,1,,,,,,,,8,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,6,,,10,1,,,,1,5,1,,2,,,,,,,,,,,28,,,,1,,3,4,269,,,,,,,,,,,,,1,,,,,,1,,,,,,,2,,1,,,,1,,,,3,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,15,,8,30,3,,1,2,2,24,2,1,8,8,2,3,,,2,,1,5,,332,,1,3,5,1,1,6,86,,,,,,,,1,,,3,,1,,,2,,,2,3,2,,,,,,,1,,,,,3,2,,2,,,,5,,,,5,,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
309.5,,,2,,,6,,,,,1,1,,,,,,1,,,,,2,1,,9,,,,1,,,1,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319.5,,,4,,2,8,1,,,1,1,4,,,,,,,,,,,,2,,10,1,,,2,,2,2,74,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
329.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339.5,,,5,,11,3,2,,,2,2,21,1,,2,2,5,,2,,,,1,5,,76,,1,2,2,2,,11,425,,,,,,,,,,,3,,3,,,,,,3,3,,,,2,,,,1,,,,,,,,,,,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,8,,9,27,,,2,3,5,28,,,4,3,3,3,2,11,3,,1,30,,119,,1,,2,,6,12,439,,1,,,,1,,,,,6,,1,,,,4,,2,,,,,4,2,,,1,,2,,1,3,,,,1,,4,2,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
359.5,,,1,,1,,,,,,,1,,,,,,,,,,,,,1,4,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366.5,,,,,,,,,,,,5,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
369.5,,,3,,1,15,,,1,,,5,,,,2,,,,4,,3,2,6,,32,1,,,,,1,2,126,,,,,,,,,,,1,,1,,,1,1,,,3,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378.5,,,23,,3,7,,,2,1,3,19,6,,,14,1,2,1,7,4,1,,11,,128,2,3,3,3,2,5,6,597,,,,,,,,,,,8,,1,,,,2,,1,3,,,,2,1,1,,2,,,,,,,,1,1,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,7,,1,5,,,1,5,5,39,,2,,8,,1,,,,8,4,9,3,136,1,1,2,8,1,1,4,123,,,1,1,,,,1,,,,,1,2,1,,,,,1,,,,1,,,,1,,,,,,,1,1,,,,6,,,,3,6,,,,,,,,,,4,4,1,1,1,,,,,,,,,,,,,,,
388.5,,,6,1,,7,,,,2,,16,1,,,16,,1,1,18,,2,,12,,105,1,,2,15,4,1,1,597,,,,,,1,,1,,,7,,2,,,,3,,2,2,,,,,1,,,,,8,,,2,2,,8,1,,1,5,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
393,,,4,,4,4,,1,,7,3,56,,,1,,1,,1,,,7,1,4,,153,,,1,7,,,3,6,,,,,1,,,,1,,1,,1,,,,,,2,2,,,2,1,,,,,,,,,,,,1,,,,10,,,,1,4,,,,,,,,,,,,1,,1,1,2,1,1,1,1,1,1,3,,,,,,
399.5,,6,9,,8,16,,,,2,6,37,2,1,,7,1,1,6,14,3,1,1,6,,116,2,,2,6,1,4,5,740,,,,,,,,2,,,7,,1,,,1,2,,,9,,,1,,3,,,2,,2,,1,,,2,,,,,3,,,,1,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,
409.5,,,2,,2,3,,,,2,,12,1,1,,6,2,,,5,4,2,,3,,41,1,,2,7,,,2,479,,,,,,1,,,,,1,,,,,1,,,,3,,,,,,1,,1,,1,1,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
420,,,2,,1,1,,,1,,,14,1,,,2,3,,,2,,,1,1,,21,,,4,1,,,2,230,,,,,,,,,,,2,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
429.5,,,7,,4,5,,,,,5,22,2,,7,4,,,1,13,1,1,,2,1,83,,,1,1,3,,3,667,1,1,,,,,,1,,1,2,,1,,,,1,,1,1,,,,1,,,,6,,,,,,,,2,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,
439.5,,,3,,5,13,,,,4,3,36,3,,5,3,,4,3,7,1,,,7,,141,3,,3,5,2,8,3,673,1,,,,,,,1,,1,2,,3,,,,1,,1,4,,,,,1,2,1,,,,,,1,,,1,,,2,1,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
449.5,,,1,,,,,,,1,,3,,2,,,,,,,,,,1,1,11,,,1,,1,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459.5,,,1,,1,2,,,,,,2,,,,,,,,2,,,,,,7,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
468.5,,,3,,8,19,1,,,,7,25,,1,3,7,2,,2,19,5,,1,11,,163,,,,4,2,5,7,248,,,,,,,,,,,8,,6,,,,3,,,1,,,,1,3,,,,,2,,1,1,,,1,,,1,1,,1,,3,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
478.75,,,3,,9,30,,,1,2,6,8,,,1,8,2,,2,28,,6,1,20,,120,2,,,,1,2,3,308,,,,,,,,3,,,5,,2,,,,,,,5,,,,1,9,,,,,1,,,1,,,1,,,,6,,,,3,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,
489.5,,,17,,4,24,,,,,5,18,,,2,9,1,2,4,4,,1,1,12,,92,,,,,,1,7,291,,,,,,,,1,,,1,,2,,,,1,,1,4,,,2,,,,,,,,,,1,,,,,,1,,,2,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
499.5,,,5,,1,25,,,,,8,11,1,,4,2,,1,1,2,1,,,16,,75,,,,6,,1,3,532,,,,,,,,,,,1,,,,,,1,,1,5,,,2,,1,,,2,,,1,,,,,,,,1,2,,1,,1,3,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
509.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519.5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,1,,,3,1,,,1,1,21,1,,,3,2,2,3,,1,2,,4,,126,1,,2,2,,,3,99,,2,,,,,,,,,6,,1,,,,3,,1,3,1,,,2,1,,,,,,,,,1,,4,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539.5,,,4,,3,14,,,,3,2,18,4,,1,4,,1,1,16,,7,1,9,1,91,2,,3,1,,6,3,479,,4,,,,,,,,,7,,3,,,,1,,,2,,,,1,,,,1,,,,,1,,1,4,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
548.5,,,1,,1,5,,,,1,,13,,,,7,,,,6,1,1,,3,,39,,,5,2,,,3,251,,,,,,,,,,,4,,1,,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
560,,,9,,4,12,,,,2,3,23,3,,1,9,2,1,,9,1,2,,5,1,108,3,,5,7,2,1,1,372,,,,,,,,,,,4,,,,,1,1,,,4,,2,,1,2,,,,,,1,,,1,1,,2,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,
569,,,7,1,9,30,1,,1,3,1,20,,1,,3,2,3,,24,,1,1,8,2,182,5,,2,6,7,3,7,263,,,,,,2,,,,,6,,1,,,1,3,,3,6,,6,1,,11,,,,,2,,,,,2,1,1,,,1,,,,3,3,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,
580.5,,,10,,4,11,,,,2,11,26,2,,1,7,1,,1,16,1,1,,11,,159,,,,11,3,2,4,206,,1,,,,,,,,,4,,1,,,,4,,1,9,,,1,2,4,,,1,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
589.5,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,1,,1,,,,2,,2,,,,,,,1,1,,,1,10,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1
599.5,,,,,,1,,,,,1,,,1,1,,,,1,2,1,1,1,1,1,15,,,,,1,,1,31,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609.5,,,3,,7,25,,,1,3,6,4,2,,3,,1,1,3,8,4,,1,17,,113,1,,2,5,2,5,5,145,1,1,,,,,,,,,1,,1,,,,,,1,2,,,1,1,1,,,2,,,,,2,1,,3,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
618.5,,,,,,,,1,,,,,,,,,,,,,,,,,2,5,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
