"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Vitis","Asteroideae","Rumex acetosa-type","Juniperus","Helianthemum","Galium-type","Filipendula","Cedrus","Erodium","Plantago media-type","Delphinium-type","Aconitum-type","Fraxinus ornus","Plantago maritima-type","Pimpinella-type","Ranunculus peltatus-type","Leontice leontopetalum","Pteridium","Salix","Thalictrum","Alnus","Pistacia","Theligonum","Fraxinus excelsior","Isoëtes","Poaceae (Cerealia-type)","Bunium-type","Corylus","Senecio-type","Dryopteris-type","Quercus coccifera-type","Plantago lanceolata-type","Juglans","Pinus","Centaurea solstitialis-type","Olea","Matricaria-type","Cyperaceae","Sanguisorba-type","Amaranthaceae","Caryophyllaceae","Cichorioideae","Polygonum aviculare-type","Myriophyllum spicatum/M. verticillatum","Quercus robur/Q. cerris","Brassica-type","Artemisia herba-alba-type","Poaceae","Sparganium-type","Ericaceae","Hypericum","Sambucus","Ulmus","Bupleurum-type","Eryngium-type","Lotus-type","Daphne","Spergularia-type","Teucrium","Capsella-type","Ephedra distachya-type","Plantago coronopus-type","Thymus/Mentha","Anchusa/Pulmonaria","Asphodelus albus-type","Datisca","Mercurialis-type","Anisosciadium-type","Cirsium/Gundelia","Noaea-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Scilla-type","Saxifraga exarata-type","Allium","Trifolium-type","Carthamus","Ranunculus sceleratus-type","Euphorbia","Elaeagnus","Typha latifolia","Humulus/Cannabis","Matthiola","Butomus","Fraxinus angustifolia subsp. oxycarpa-type","Caltha","Nymphaea","Lythrum","Ephedra fragilis-type","Apium-type","Arctium/Jurinea","Ranunculus parviflorus-type","Nigella","Bryonia","Botrychium","Alisma","Xanthium","Stachys-type","Malva","Centaurea cyanus-type","Filago-type","Lomelosia rotata-type","Thelypteris palustris-type","Geranium","Prunus-type","Gentiana","Campanula-type","Rhamnus","Persicaria maculosa-type","Convolvulus","Cousinia","Silene-type","Anagallis","Dipsacus-type","Turgenia-type","Chrozophora","Inula-type","Castanea","Fabaceae","Artemisia vulgaris-type","Hedera","Solanum dulcamara","Viburnum-type","Ranunculus asiaticus-type","Myrica","Carpinus betulus","Onopordum-type","Thesium","Ranunculus sect. Batrachium-type","Fagus","Nuphar","Platanus","Linum","Myriophyllum alterniflorum","Plantago major-type","Tamarix","Buxus","Myrtus","Ferula-type","Periploca","Rhinanthus-type","Potentilla-type","Juniperus sabina","Psoraleeae","Hibiscus","Glaucium","Helleborus","Paliurus","Urtica dioica-type","Heliotropium-type","Jasione-type","Vicia-type","Galanthus","Taxus","Halothamnus-type","Armeria/Limonium","Psylliostachys","Hyoscyamus","Knautia","Valerianella","Phillyrea","Atropa","Rosa-type","Descurainia","Rhus","Populus","Ononis-type","Acer","Styrax","Hypericum perforatum-type","Onobrychis-type","Prosopis","Fagopyrum","Scrophularia/Verbascum/Digitalis","Spinacia-type","Punica","Picea","Adonis","Epilobium","Cladium mariscus","Verbascum-type","Menyanthes trifoliata","Asperula-type","Abies","Cornus sanguinea","Maianthemum","Urtica pilulifera-type","Amaranthus-type","Aquilegia-type","Tofieldia","cf. Atraphaxis","Hypericum hirtellum var. assyriacum-type","Micranthes nivalis-type","Cyclamen","Boraginaceae","Cotinus coggygria","Saxifraga rosacea","Papaver","Lathyrus-type","Hedysarum/Ebenus","cf. Myricaria","Malabaila","Asparagus-type","Phlomis","Tribulus","cf. Orobanche","Acanthus","Tilia","Biscutella","Dioscorea communis","Verbena","Scabiosa columbaria-type","cf. Genista","Hypecoum","Dorycnium hirsutum"
8813,NA,NA,140,1,4,5,NA,4,4,NA,1,NA,3,NA,1,NA,NA,24,2,NA,NA,NA,7,28,5,5,4,1,NA,10,6,6,2,8,8,16,10,14,16,24,23,54,139,22,95,25,100,37,11,29,27,102,150,96,1,NA,1,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,6,1,NA,NA,8,2,7,5,NA,NA,1,NA,NA,NA,NA,NA,1,2,4,NA,NA,NA,NA,NA,3,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,1,2,NA,NA,3,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9500,NA,NA,150,1,14,12,NA,NA,3,1,NA,2,3,NA,NA,NA,NA,19,5,1,2,1,10,16,3,1,NA,NA,1,16,2,3,NA,1,7,22,1,10,10,29,24,38,60,11,75,31,78,36,3,9,27,94,67,68,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,4,1,1,NA,NA,5,NA,NA,2,5,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10143,NA,NA,160,NA,3,2,NA,2,1,NA,3,NA,2,NA,NA,1,NA,31,1,NA,NA,NA,5,23,9,6,3,2,1,13,9,8,NA,10,6,11,8,14,12,27,37,38,84,14,141,24,130,36,1,30,29,76,175,79,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,2,2,2,3,2,NA,NA,1,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10429,NA,NA,170,NA,14,7,NA,4,NA,2,1,1,4,NA,NA,1,NA,16,1,1,6,NA,27,14,5,4,NA,NA,NA,26,3,6,1,19,9,26,6,3,13,50,78,72,71,14,110,50,100,72,1,38,38,102,130,147,NA,NA,NA,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,3,8,4,NA,NA,NA,NA,2,2,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10714,NA,NA,180,NA,10,1,NA,2,2,NA,1,NA,2,NA,1,1,NA,16,NA,1,3,NA,13,10,10,3,NA,NA,NA,8,5,3,NA,9,8,6,7,1,4,26,32,42,56,2,67,18,144,31,NA,12,22,49,100,40,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,8,NA,1,2,NA,NA,NA,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10857,NA,NA,185,2,8,5,NA,2,1,2,2,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,17,5,NA,1,NA,NA,NA,14,3,4,NA,6,4,13,4,NA,11,37,17,60,53,9,88,12,43,36,3,12,12,75,53,28,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,3,NA,6,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11000,NA,NA,190,NA,13,NA,NA,6,2,1,NA,NA,3,NA,NA,1,NA,3,2,1,1,NA,15,13,2,1,1,NA,NA,18,7,1,1,6,9,21,3,3,7,30,15,49,81,5,86,20,117,23,NA,25,35,76,108,52,2,NA,1,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,1,2,NA,NA,NA,4,NA,2,1,1,NA,NA,2,3,NA,5,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11077,NA,NA,195,NA,13,4,NA,3,1,NA,1,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,13,9,2,5,1,NA,NA,14,9,5,NA,6,8,21,2,2,5,48,16,80,73,5,114,18,113,17,NA,25,22,57,69,21,NA,NA,3,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,1,NA,5,NA,2,NA,2,NA,NA,5,3,1,3,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11153,NA,NA,200,2,12,NA,NA,1,1,NA,1,NA,1,NA,3,NA,NA,4,4,NA,3,NA,17,12,6,2,1,1,NA,12,12,5,NA,10,4,20,10,2,8,50,18,51,118,3,150,25,179,20,1,54,31,116,158,59,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,6,NA,4,1,NA,NA,NA,2,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11230,NA,NA,205,NA,38,4,1,4,NA,NA,3,NA,NA,NA,1,NA,NA,4,2,1,NA,1,7,NA,6,39,7,NA,NA,19,NA,7,NA,8,7,24,NA,NA,1,47,15,74,67,4,174,13,113,18,NA,57,11,170,45,22,NA,NA,NA,NA,1,2,NA,1,NA,1,1,2,NA,NA,NA,2,NA,NA,2,4,3,10,NA,NA,NA,NA,NA,1,2,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,1,NA,NA,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11307,NA,NA,210,NA,8,3,1,5,5,NA,5,NA,1,NA,NA,NA,NA,14,9,NA,NA,NA,7,25,1,18,7,NA,NA,21,4,12,NA,10,NA,28,7,2,50,34,6,33,110,5,122,12,148,6,NA,133,36,99,189,55,NA,NA,NA,3,2,2,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,3,1,8,NA,NA,NA,NA,2,2,2,NA,NA,NA,1,1,NA,NA,NA,NA,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11383,NA,NA,215,2,37,4,NA,5,NA,1,3,1,3,NA,NA,1,NA,1,1,2,NA,NA,3,NA,5,55,1,1,NA,23,2,13,NA,5,6,25,NA,NA,8,33,8,52,49,6,201,6,65,8,1,38,13,172,52,10,NA,1,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,5,1,NA,NA,NA,6,1,2,3,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,8,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11460,NA,NA,220,1,16,1,NA,1,1,NA,3,1,4,NA,NA,1,NA,6,6,1,3,NA,3,4,1,47,5,2,1,6,1,8,NA,8,1,23,1,NA,50,11,17,49,56,3,111,24,105,4,NA,94,27,108,134,11,NA,NA,NA,2,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,2,3,2,2,1,NA,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11613,NA,NA,230,NA,14,6,NA,4,3,NA,1,1,4,NA,NA,1,NA,NA,2,NA,NA,NA,9,NA,7,78,4,NA,NA,22,2,21,1,12,5,44,3,NA,10,33,17,52,61,3,260,29,99,23,1,85,51,237,77,23,NA,NA,NA,NA,7,8,1,NA,NA,NA,1,NA,3,1,NA,1,NA,1,1,1,2,9,2,NA,NA,1,4,1,3,3,NA,NA,NA,1,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11767,NA,NA,240,NA,26,4,NA,NA,1,NA,4,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,6,8,3,38,3,NA,NA,17,7,19,1,13,15,42,2,NA,7,30,8,40,57,2,196,26,108,18,NA,92,8,125,68,15,1,NA,1,2,4,2,NA,NA,NA,1,1,NA,NA,NA,NA,4,1,2,NA,5,2,2,NA,1,NA,NA,3,3,2,1,NA,NA,1,NA,NA,NA,1,NA,2,2,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11920,NA,NA,250,1,32,8,2,14,2,NA,10,1,2,NA,4,1,NA,NA,6,7,2,NA,21,9,5,20,20,NA,1,23,7,20,NA,17,13,63,NA,NA,16,33,41,65,145,3,218,47,197,26,1,144,36,191,237,12,NA,NA,NA,4,2,2,NA,NA,1,1,2,5,NA,NA,NA,1,NA,NA,1,2,4,15,7,NA,2,NA,2,3,NA,7,NA,1,1,1,1,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,4,NA,NA,NA,3,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12150,NA,NA,265,NA,12,1,NA,5,4,NA,3,NA,3,NA,NA,1,NA,1,3,NA,3,NA,7,6,5,2,3,NA,NA,14,3,5,3,7,5,27,1,1,28,19,23,38,59,9,97,15,149,9,8,95,21,102,148,45,NA,2,NA,1,NA,4,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,4,NA,NA,2,6,NA,1,NA,NA,2,NA,NA,2,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12380,NA,NA,280,NA,14,1,1,1,1,NA,3,1,2,NA,NA,NA,NA,NA,2,NA,2,NA,4,2,1,1,5,3,NA,5,25,11,NA,5,3,1,2,NA,36,17,10,42,75,5,101,17,185,3,2,125,19,87,131,14,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,2,1,NA,1,4,NA,NA,NA,NA,2,2,NA,1,NA,NA,2,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12533,NA,NA,290,NA,12,NA,NA,4,1,3,3,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,1,NA,3,NA,NA,3,NA,3,1,2,5,36,NA,NA,12,19,5,28,67,8,154,10,47,4,1,98,8,84,73,14,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,3,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12687,NA,NA,300,NA,6,NA,NA,1,1,1,3,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,NA,NA,2,NA,3,2,2,8,17,NA,NA,4,22,2,27,31,1,99,8,43,NA,NA,49,8,26,16,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
