"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cannabis sativa","Ranunculus-type","Secale","Spergula-type","Cistus","Sambucus nigra","Ceratonia siliqua","Silenoideae-type","Urtica membranacea-type","Cuscuta","Prunus-type","Salix","Xanthium","Ruppia","Liliaceae-type","Castanea sativa","Ephedra fragilis-type","Quercus cerris-type","Vitis","Poaceae (Cerealia)","Mercurialis annua","Quercus ilex-type","Artemisia","Apiaceae","Asteroideae","Anthemis-type","Urtica dioica-type","Rumex acetosella","Tamarix","Sparganium-type","Cyperaceae","Pinus","Amaranthaceae-type","Poaceae","Cichorioideae","Juniperus-type","Brassicaceae","Olea","Lycopodium spike","Charcoal","Ulmus","Zea mays","Rosaceae","Plantago lanceolata-type","Eucalyptus","Genista-type","Hypericum perforatum-type","Plantago coronopus-type","Alisma-type","Alnus glutinosa-type","Chamaerops humilis","Selaginella denticulata","Pistacia","Fraxinus excelsior-type","Cistaceae","Ostrya-type","Myriophyllum alterniflorum","Corylus avellana","Paronychia-type","Phillyrea","Lythrum","Thalictrum","Rubiaceae","Astragalus-type","Urtica pilulifera","Pteridophyta (monolete) undiff.","Eryngium","Silene vulgaris-type","Polygonum aviculare-type","Sagittaria","Fabaceae","Mentha-type","Persicaria maculosa-type","Convolvulus","Echium","Asphodelus albus-type","Erica arborea-type","Agrostemma githago","Cynoglossum officinale-type","Isoëtes","Amaranthus","Fagus sylvatica","Borago officinalis","Quercus pubescens-type","Celtis australis","Geranium","Helianthemum","Plantago maritima-type","Papaver rhoeas-type","Pteris cretica","Boraginaceae","Caltha-type","Cerinthe","Juglans regia","Fraxinus ornus","Scrophularia-type","Aesculus","Utricularia","Scabiosa","Asparagus","Pteridium aquilinum","Riccia","Citrus","Heliotropium","Centranthus","Ophioglossum lusitanicum","Myrtus communis","Theligonum cynocrambe","Lotus-type","Solanum dulcamara","Buxus sempervirens","Anthoceros laevis","Lamiaceae","Ranunculus acris-type","Trifolium pratense-type","Potentilla-type","Carduus","Sedum-type","Teucrium","Hedera helix","Anthoceros punctatus","Linaria-type","Rumex obtusifolius-type","Fumana","Euphorbia","Polypodium","Picea","Viola","Cirsium","Serratula-type","Cheilanthes-type","Lygeum spartum","Potamogeton-type","Carpinus betulus","Pisum sativum","Osmunda regalis","Linum usitatissimum","Veronica","Typha latifolia-type","Populus","Ornithogalum-type","Valeriana officinalis-type","Sphagnum","Allium-type","Daphne","Vicia-type","Sorbus-type","Botrychium","Platanus","Bupleurum","Centaurea nigra-type","Ilex aquifolium","Gladiolus-type","Rhamnus","Betula","Pinus subg. Pinus","Daucus","Calendula","Ammi-type","Glomus","Apium-type","Peucedanum-type","Cyperus-type","Sporormiella","Malvaceae","Scilla-type","Anemone hortensis-type","Rubus","Polygonatum","Ranunculus sect. Batrachium","Ligustrum","Limonium","Knautia","Linum austriacum-type","Luzula","Phragmites-type","Pimpinella major-type","Taxus baccata","Medicago falcata-type","Gelasinospora","Aster-type","Pinus subg. Strobus","Dinoflagellata","Anthyllis","Bituminaria bituminosa","Nerium oleander","Mercurialis perennis","Chaerophyllum hirsutum-type","Cerastium-type","Geum-type","Carlina","Ambrosia","Myriophyllum spicatum","Nymphaea","Euphrasia-type","Gnaphalium-type","Reseda","Sideritis","Diporotheca","Ustulina deusta","Bidens-type","Sanguisorba officinalis","Silene dioica-type","Centaurium","Trifolium repens-type","Cladium mariscus","Spirogyra-type","Onopordum","Equisetum","Carthamus","Falcaria-type","Rumex acetosa-type","Hippophaë rhamnoides","Cercophora-type","Matthiola-type","Smyrnium-type","Plantago major","Odontites-type","Phlomis","Arbutus","Ornithopus","Gypsophila arrostii","Humulus lupulus","Lysimachia vulgaris-type","Podospora-type","Calystegia","Eupatorium","Lycium","Centaurea scabiosa-type","Polygala vulgaris-type","Asphodeline","Turgenia latifolia","Anemone nemorosa-type","Dryopteris filix-mas-type","Ficus carica","Herniaria-type","Senecio-type","Alnus viridis","Juncaceae","Melampyrum","Galanthus-type","Rhus","Ephedra distachya-type","Ribes","Tuberaria","Thelypteris palustris","Jasione","Linum","Solanum nigrum-type","Tilia","Hydrocotyle","Scutellaria-type","Pediastrum","Rhynchospora","Acer","Viburnum tinus","Filipendula"
56.565,NA,NA,80,"10679, 4","1","","","","","4","","","","","1","","","","","","","3","","2","1","1","1","5","1","5","2","1","12","1","5","3","4","16","41","22","3","32","5","345","9969.235, 13653.52","","","","1","1","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67.522,NA,NA,88,"18583, 4","1","","","","","4","","","","","2","","5","","","","1","","4","","8","6","6","2","5","20","","2","9","16","2","4","4","22","47","70","5","48","22","2819","5356.001, 7335.395","1","","","2","6","","","","","","3","1","1","1","1","","","","1","9","","1","","","","","","","","","","","","","","","","","","2","","","","2","","","1","","","","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78.478,NA,NA,96,"18583, 4","1","","","","1","1","","","","1","3","","2","","13","","","2","1","3","11","3","1","","4","6","","2","6","","6","6","1","19","28","41","8","66","22","1159","17269.05, 23651.09","","","","1","1","","","","","","2","","6","","1","","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","6","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
89.435,NA,NA,104,"18583, 4","1","","","1","","17","","","","","","","3","1","11","","1","9","2","3","6","4","7","2","6","15","5","1","34","1","18","10","10","22","53","75","9","45","45","2760","9648.74, 13214.58","","","","4","3","","1","1","","","4","1","1","1","5","1","","","1","7","1","1","","2","","","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
100.391,NA,NA,112,"18583, 4","1","","","","","","","","1","","","","","","","","5","3","","3","1","","5","1","4","7","6","","12","2","6","1","2","9","10","38","","18","20","1151","12088.34, 16555.76","","","","1","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","3","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
111.348,NA,NA,120,"10679, 4","1","","","","","5","","","","","","","1","","","","","6","4","5","6","","","","3","15","4","","14","","4","2","4","11","11","54","2","35","7","680","18233.84, 24972.43","","","","1","1","1","","","","","","","1","4","1","","","","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
122.304,NA,NA,128,"18583, 4","1","","","","","10","","","","","","","","1","1","","","2","3","1","4","10","3","","4","18","2","1","31","","2","4","3","10","45","93","1","38","38","1854","15710.94, 21517.16","","","","7","2","","","","","","2","2","","","1","","","","1","2","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
133.261,NA,NA,136,"18583, 4","1","","","","","5","","","","","","","","","","","","3","3","5","2","6","8","","4","20","3","1","21","2","2","7","5","12","38","71","","32","47","1613","20440.91, 27995.17","","","","1","2","","3","1","","","","2","","1","1","","","","1","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
144.217,NA,NA,144,"18583, 4","1","","","","","8","","","","","1","","5","","","","","4","4","12","4","6","11","","8","32","8","","25","","","8","3","11","29","81","","45","44","2093","26952.46, 36913.17","","","","","1","","1","","","","2","2","","","1","","","","1","2","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
155.174,NA,NA,152,"18583, 4","1","","","","","10","","","","","","","","","","","7","3","3","2","4","","5","3","10","25","4","","20","","3","5","5","10","26","38","9","17","25","938","27329.55, 37429.59","","","","4","2","","","","","","1","1","","","","","","","1","","","2","","","","","","","","","","1","","","","","1","","","","","","","2","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
166.13,NA,NA,160,"10679, 4","1","1","","","1","11","","","","","2","1","","","","","1","14","2","8","6","3","2","5","5","12","11","","5","","","5","3","14","37","120","5","12","74","880","19342.3, 26490.54","","","","1","","","","1","","1","8","2","2","1","","","","","7","","","","","","","","","","","","2","1","","","","","3","","","9","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
177.087,NA,NA,168,"18583, 4","1","","","","","9","","","","3","2","","","","","","1","1","4","2","4","1","5","","","23","1","2","13","","1","4","2","13","55","85","7","31","7","720","32564.5, 44599.2","","","","2","1","","2","","","","3","","8","2","","","","","1","2","","","","","","","","","","","","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
188.043,NA,NA,176,"18583, 4","1","","","","","12","","","","3","8","","2","","","","4","","29","1","","1","6","","6","6","3","","10","","7","9","3","10","59","63","7","37","47","886","30626.14, 41944.49","","","1","4","1","","","","","","11","2","3","","","","","","","","","","1","","","","","","","","","1","","","","","4","1","","","","","","5","","","","1","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","1","1","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
199,NA,NA,184,"18583, 4","1","","","","","15","","","","1","1","","","","","1","3","3","14","3","6","","5","","16","7","4","","18","","3","3","4","11","48","60","3","33","44","751","31134, 42640.06","","","","2","","","","","","","4","1","3","","","","","","","3","","1","","5","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
209.957,NA,NA,192,"18583, 4","1","","","","","4","","","","1","4","","","2","1","","3","8","7","2","3","","3","","","8","2","1","15","","","4","3","10","48","62","4","27","13","752","31801.27, 43553.91","","","","2","","","","","","","14","1","","","","","","","","4","","2","","","","","","","","","","","","","","","2","","","1","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","4","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
220.913,NA,NA,200,"10679, 4","1","","","","","7","","","","","","","","","","","","3","3","4","8","","2","1","11","32","4","","18","","3","3","3","22","17","90","9","59","10","486","37427.36, 51259.2","","","","2","","","2","2","","","4","3","","","4","","","","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
231.87,NA,NA,208,"18583, 4","1","","","","","13","","","","","2","","","","","","2","9","4","1","7","1","3","4","4","14","3","1","13","1","3","13","4","11","65","75","2","37","24","619","16351.83, 22394.9","1","","","7","","","3","","","","6","5","3","1","","","","","1","2","","1","1","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
242.826,NA,NA,216,"18583, 4","1","","","","","3","","","","","1","","3","","37","","","13","6","","6","2","15","13","6","6","2","","13","4","5","17","2","6","71","13","3","11","26","584","9505.646, 13018.6","","","","7","","","1","1","","1","7","","18","6","","","","","5","4","","","2","","","","","","","","","5","","","","","2","","","","","","","","","","1","5","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
253.783,NA,NA,224,"18583, 4","1","1","","","","4","","","","1","1","","2","","19","2","","1","4","1","4","3","7","10","3","5","4","1","15","3","1","15","4","10","83","26","5","18","13","543","11995.66, 37166","","","","11","","","","2","","","6","","16","","","","","","","","","","1","1","5","1","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
