"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Cistaceae","Quercus (evergreen)","Brassicaceae","Erica","Olea/Phillyrea","Artemisia","Cichorioideae","Asteroideae","Cyperaceae","Poaceae","Pinus","Amaranthaceae","Corylus","Ephedra fragilis-type","cf. Juniperus","Polypodiaceae","Plantago","Typha/Sparganium","Poaceae (Cerealia-type)","Tamarix","Ruppia","Quercus (deciduous)","Alnus","Liliaceae","Lamiaceae","Scabiosa","Betula","Armeria","Caryophyllaceae","Euphorbia","Myriophyllum","Salix","Sambucus","Tilia","Apiaceae","Vitis","Fabaceae","Campanulaceae","Fraxinus","Pistacia","Centaurea","Rhamnus","Persicaria maculosa-type","Polygala","Coriaria","Buxus","Hedera","Echium","Ephedra distachya-type","Thymelaea","Sanguisorba minor-type","Hypecoum","Lygeum","Chamaerops","Cannabaceae"
3277,NA,NA,355,0,5,195,0,7,8,36,6,6,39,111,129,33,0,5,15,2,2,39,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3322,NA,NA,360,0,14,68,0,12,10,26,22,9,20,62,221,19,1,4,14,2,4,22,0,2,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3412,NA,NA,370,0,4,111,1,9,1,18,2,0,18,23,52,5,0,2,9,1,3,15,1,18,0,15,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3499,NA,NA,380,0,4,60,0,4,6,39,14,13,33,99,125,39,9,3,9,1,1,12,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3588,NA,NA,390,0,1,8,0,1,0,2,9,4,1,7,20,18,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3676,NA,NA,400,0,5,7,1,2,0,1,5,3,2,7,7,14,0,0,1,1,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3761,NA,NA,410,0,2,9,0,0,0,1,9,2,0,6,15,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3846,NA,NA,420,0,0,4,0,0,1,1,2,1,0,2,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3904,NA,NA,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3929,NA,NA,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
