Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Thickness (cm) [cm],Acacia groupe I,Acacia groupe III,Adansonia,Adenium-type obesum,Aerva lanata-type,Aeschynomene-type,Alchornea,Allophylus,Alternanthera,Amannia-type,Amaranthaceae/Chenopodiaceae,Ambrosia,Anacardiaceae,Anthostema,Aphania,Artemisia,Ascolepis,Asystasia-type gangetica,Balanites,Basilicum-type,Blighia,Bombax,Bridelia,Caesalpinia-type,Caesalpinioideae,Caperonia senegalensis,Capparidaceae,Caryophyllaceae,Cassia-type,Cayratia-type,Ceiba,Celastraceae,Celtis,Centaurea perrottetii,Ceratopteris cornuta,Chrysobalanus/Parinari,Cissus-type,Clerodendron,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Cyperaceae,Detarium,Dialium,Dichrostachys,Diospyros,Elaeis guineensis,Erythrococca,Euphorbia,Euphorbiaceae,Ficus,Galium-type,Gardenia imperialis,Gramineae,Guttiferae,Harungana,Indeterminables,Indetermines,Ipomaea-type,Jussiaea-type,Justicia flava-type,Kedrostis-type,Kohautia,Landolphia-type,Lannea-type,Laurembergia,Leucas-type,Liguliflorae,Lippia,Lophira,Lotus arabicus-type,Lycopodiaceae,Lygodium microphyllum,Macaranga,Mallotus,Malvaceae,Maytenus,Meliaceae,Micrococca mercurialis,Mitracarpus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Moraceae,Musanga,Myrtaceae,Naucleae,Nymphaea lotus-type,Ormocarpum-type,Pancovia,Pancratium-type,Papilionoideae,Parkia,Phoenix,Phyllanthus,Phyllanthus amarus-type,Phyllanthus reticularus-type,Plantago lanceolata,Polycarpaea,Polycarpon,Polygala,Polygonum senegalense,Potamogeton,Priva-type,Prosopis/Entada,Pseudospondias microcarpa,Pteris-type,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rutaceae,Salacia,Salix,Salvadora,Salvinia,Sapindaceae,Sapotaceae,Scrophulariaceae,Securinega,Sesbania sesban,Sesbania-type,Sorindeia juglandifolia,Spermacoce radiata-type,Spermacoce-type,Spores indeterminees,Syzygium,Tabernaemontana-type,Talinum-type,Tamarix,Tapinanthus-type,Teclea-type,Tetracera,Tiliaceae,Treculia,Trema,Trifolium-type,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Verbenaceae,Vitaceae,Ximenia,Zanthoxylum zanthoxyloides,Zygophyllaceae,Zygophyllum
7869.655,294,2,,,,,,,5,,,,,,,1,,,,,,,,,2,,,,,,,,,,2,,,,,,2,,4,4,57,11,,,1,,,2,,,,,50,,,22,6,1,,,,,,1,,,,,,,5,79,142,,,1,,,2,2,,,165,,,,,,,,,,,241,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,125,,,2,,,2,,,,,,,,,1,,,,,1,11,,
8029.231,301,2,,,,,,,44,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,3,5,2,42,6,,1,,1,,,,3,,,96,,,15,6,1,,,,3,,1,,,,,1,,,68,143,,,,,,,4,,,108,,,,,,,,,1,,16,,,,1,2,,,,,,,,,2,,10,,,,,,,,,,,,,,,,,,380,,,11,,,16,,,2,,,,,3,3,,,,,,7,,
8166.011,307,2,,,,,1,,140,,,,1,,,1,,,,,,,,,7,,,,,,,,,,2,1,,,,,,,8,3,117,12,,,3,1,,,,6,,,95,,,47,26,4,,,,,1,4,,1,,,,,,235,318,,,,,,5,2,,,321,,,,,,,,,,,10,,,,,1,,,,,,,,,,,7,,,,,2,,,1,,1,2,,,,,,6,364,,,16,,,38,,,,,,,,3,8,1,,,,,19,,
8371.18,316,2,,,,,,,159,,,,1,,,2,,,1,,,2,,,2,,,,,,,,,,,,,2,,,,,7,5,133,1,,,,3,,4,,7,,,157,,,58,18,3,,,,1,,2,,,,,,,,57,66,,,,,,,3,,,136,,,,,,,,,,,3,,,,,,,,,,,,,,,,8,,2,,,,,,,,,,,,,,,2,252,,,13,,,26,,,,,,,,2,4,,,,,,2,1,
8690.332,330,2,,,,,,,78,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,49,1,,,,,,,,5,,,71,,,16,6,2,,,,1,,2,,,,,,,,54,173,,,,,,2,4,,,156,,,,,3,,,,,,,,,2,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,1,263,,,23,,,13,,,,,,,,1,1,,,,,,2,,
9055.077,346,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,1,150,,,,,6,,,,2,,,115,,,65,8,2,,,,,,2,,,,,,,,22,2,,,,,,1,1,,2,223,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,8,164,,,6,,,7,,,1,,,,,1,,,,,,,,,
9305.84,357,2,,,,,,,70,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,1,112,,,,,,,,2,,,,123,,,48,12,3,,,,2,,5,,,,,,,,75,20,1,,,,1,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,,,,,,,135,,,25,,,10,,,,,,,,,3,,,,,,,,
9351.433,359,2,,,,,,,92,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,2,,,,,2,1,82,2,,,,1,,,,1,,,109,,,42,16,2,,,,2,,5,,4,,,,,,67,20,,,,,,2,,,,106,,,,,1,,,,,,3,,,,,,,,1,,,,,,10,,9,,,,,,,,,,,,,,,,,1,49,,,7,,,12,,,,,,,,,3,,,,,,,,
9488.212,365,2,,,,,,,229,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,101,,,,,6,,,,3,1,,137,,,73,18,,,,,2,,5,,,,,,,,127,53,,,,,,1,,,,223,,,,,2,,,,,,1,,,,,,,,,,,,,,5,,6,,,,,2,,1,,,,,,,,,,,47,,,20,,,8,,,,,,,,1,1,,,,,,,,
9624.991,371,2,,1,,,,,11,,,,1,,,1,,,,,,,,,1,,,,,,,,,2,1,,,,,,1,3,6,,85,,,,,2,,1,,5,3,,71,,,84,4,,,,,,,9,,,,,,,,7,18,,,,,,,,,,43,,,,,,,,,,,,,,1,,,,,,,,,,,13,,10,,,,,,,,,,1,,,,,,,,21,,,8,,,51,1,,,,,,,,,,,,,,,,
9761.771,377,2,,,,,,,18,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,55,,,,,5,,,,1,,,49,,,32,7,,,,,,,4,,,,,,,,1,11,,,,,,,,,,51,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,3,,1,,,,,,,,,,,,,,,,7,,,5,,,14,,,,,,,,,,,,,,,,,
9966.94,386,2,,1,,,,,32,,,,4,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,8,13,,159,,,,,25,,1,,,4,,84,,,39,9,,,,2,1,,10,,,,,,,,,18,,,,,,1,,,,55,,,,,1,,,,,,,,,,,,,,,,,,,,1,,18,,,,,,,,,,,3,,,,,,,1,,,15,,,14,,,,,,,,,,,,,,,,,
10308.89,401,2,,,,,,,118,,,,1,1,,,,,,,,,,,1,,,,,1,,,,,2,,,,,,4,,1,,139,,,,,22,,,,2,,,36,,,47,12,,,,,,,1,,,,,,,,,1,,,,,,2,,,,101,,,,,1,,,,,,17,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,2,,,,1,,,2,,,,,1,,,,17,1,,,,,,,
