"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Viburnum","Geraniaceae","Myriophyllum","Salix","Apiaceae","Fabaceae","Amaranthaceae","Poaceae (Cerealia) undiff.","Linaceae","Plantago coronopus-type","Myrtus communis","Pinus halepensis-type","Acanthus","Caryophyllaceae","Cistus monspeliensis","Typha latifolia","Asteroideae","Poaceae","Erica arborea","Quercus suber","Unknown (trilete)","Quercus canariensis","Lamiaceae","Alnus glutinosa","Arbutus unedo","Cichorioideae","Fraxinus","Sambucus","Campanulaceae","Olea europaea","Hypericum","Typhaceae","Liliaceae","Corylus","Sphagnum","Ephedra","Asphodelus","Thymelaeaceae","Lythrum","Polygala"
881,NA,NA,65,NA,NA,NA,NA,5,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,4,20,70,28,27,75,NA,NA,NA,2,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,NA,NA,70,NA,1,1,NA,4,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,6,25,69,40,30,96,NA,NA,NA,NA,NA,NA,NA,5,3,1,NA,NA,NA,NA,NA,4,NA,NA
1367,NA,NA,75,NA,NA,1,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,7,30,43,30,40,75,NA,NA,1,2,1,NA,NA,8,NA,1,NA,1,2,NA,NA,4,NA,NA
1610,NA,NA,80,NA,NA,NA,NA,4,1,6,NA,NA,1,1,2,NA,NA,1,NA,8,50,45,40,55,50,NA,NA,NA,4,NA,NA,NA,7,NA,4,NA,2,NA,NA,NA,NA,NA,NA
1854,NA,NA,85,NA,NA,NA,NA,14,3,7,NA,NA,2,NA,NA,NA,NA,2,NA,10,126,25,40,22,60,NA,NA,NA,5,5,NA,NA,NA,12,NA,NA,NA,5,4,NA,3,NA,NA
2097,NA,NA,90,NA,NA,1,NA,12,4,2,NA,NA,1,1,NA,NA,1,3,NA,18,115,19,23,9,43,NA,1,NA,4,2,NA,NA,NA,2,NA,NA,NA,NA,5,NA,4,NA,NA
2340,NA,NA,95,NA,NA,NA,3,25,2,2,NA,1,3,4,NA,NA,2,2,NA,10,103,20,35,25,66,NA,1,1,12,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,NA,2,NA
2583,NA,NA,100,1,NA,NA,2,33,1,8,NA,NA,2,1,NA,NA,5,3,NA,15,82,25,43,22,40,NA,1,NA,10,2,NA,NA,2,NA,NA,NA,1,NA,14,NA,2,NA,NA
2728,NA,NA,105,NA,NA,NA,NA,18,2,2,NA,2,2,2,NA,1,4,NA,NA,18,62,19,20,20,31,NA,1,NA,14,3,NA,NA,NA,5,NA,NA,2,NA,8,NA,2,NA,NA
2873,NA,NA,110,1,NA,NA,5,15,1,NA,NA,NA,NA,3,2,NA,3,3,NA,23,105,30,33,16,30,1,2,1,13,1,NA,NA,NA,12,NA,2,NA,NA,13,2,NA,1,NA
3018,NA,NA,115,NA,NA,NA,3,24,5,3,NA,NA,NA,1,3,NA,4,1,NA,10,155,15,45,23,40,NA,3,NA,1,2,NA,NA,4,10,1,1,NA,NA,5,NA,NA,NA,NA
3164,NA,NA,120,NA,NA,NA,3,20,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,20,115,10,22,13,30,NA,NA,NA,5,1,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,NA
3309,NA,NA,125,1,NA,NA,1,11,2,2,NA,NA,NA,4,1,NA,8,NA,NA,15,120,21,23,41,40,NA,NA,NA,6,NA,NA,NA,NA,2,1,NA,1,2,3,NA,NA,1,NA
3454,NA,NA,130,NA,NA,NA,NA,28,1,1,NA,NA,NA,NA,1,NA,9,NA,NA,16,105,20,20,45,29,NA,1,NA,NA,1,NA,NA,1,4,NA,NA,1,NA,2,NA,NA,1,NA
3599,NA,NA,135,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,14,95,15,20,23,39,NA,NA,NA,NA,2,NA,NA,2,7,NA,1,1,NA,2,NA,NA,2,NA
3744,NA,NA,140,1,NA,NA,3,17,1,2,NA,NA,NA,2,1,NA,NA,NA,NA,3,41,47,45,71,53,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA
3889,NA,NA,145,1,NA,NA,4,17,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,33,60,52,79,63,NA,2,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2
4034,NA,NA,150,NA,NA,NA,5,12,1,2,NA,NA,1,4,1,NA,NA,NA,NA,5,27,57,64,60,73,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
4179,NA,NA,155,NA,NA,NA,5,8,NA,6,NA,NA,NA,1,NA,NA,2,2,NA,3,40,45,21,25,90,NA,NA,1,NA,1,NA,5,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA
4325,NA,NA,160,NA,NA,3,8,18,1,7,NA,NA,NA,2,1,NA,2,NA,1,9,38,42,22,22,100,1,2,NA,2,NA,NA,NA,NA,4,NA,NA,NA,15,NA,NA,NA,2,NA
4470,NA,NA,165,NA,NA,2,4,14,1,2,NA,NA,NA,4,NA,NA,NA,NA,NA,4,35,46,20,36,89,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1,NA
4615,NA,NA,170,NA,NA,4,20,8,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4,30,30,26,44,79,NA,NA,NA,NA,NA,4,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
4760,NA,NA,175,NA,NA,NA,NA,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,18,22,38,90,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,10,NA,NA,NA,NA,NA
4905,NA,NA,180,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,24,18,19,35,70,NA,NA,NA,4,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
5050,NA,NA,185,NA,NA,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,10,50,90,NA,1,NA,1,2,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,2
5195,NA,NA,190,NA,NA,NA,NA,32,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,5,39,12,6,44,70,NA,NA,NA,2,1,NA,2,NA,7,NA,NA,2,4,NA,NA,NA,NA,NA
5340,NA,NA,195,NA,NA,NA,NA,27,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,3,29,15,13,65,75,NA,NA,NA,3,3,NA,NA,NA,5,NA,3,1,NA,NA,3,NA,NA,NA
5486,NA,NA,200,NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,31,10,8,75,60,NA,1,1,3,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA
5631,NA,NA,205,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3,1,30,15,8,65,100,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6022,NA,NA,210,NA,NA,NA,NA,26,NA,1,NA,NA,NA,NA,1,2,NA,NA,4,1,27,6,7,59,96,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
6413,NA,NA,215,NA,NA,NA,NA,44,4,4,NA,NA,NA,NA,4,8,2,NA,5,6,36,13,6,42,100,NA,NA,NA,4,NA,NA,NA,NA,4,NA,1,4,NA,NA,NA,NA,NA,NA
6805,NA,NA,220,NA,NA,NA,1,20,1,NA,NA,NA,NA,NA,2,4,NA,NA,NA,3,16,10,5,50,87,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1
7196,NA,NA,225,NA,NA,NA,NA,20,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,6,5,52,102,NA,NA,NA,NA,NA,NA,4,NA,2,NA,4,2,NA,NA,2,NA,NA,NA
7978,NA,NA,235,NA,NA,NA,NA,10,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,6,21,10,9,62,103,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA
8370,NA,NA,240,NA,NA,1,NA,19,4,9,NA,NA,NA,NA,6,NA,NA,NA,NA,4,25,12,5,60,100,NA,NA,NA,10,NA,NA,4,NA,1,NA,4,6,NA,NA,NA,NA,4,NA
8761,NA,NA,245,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,18,9,4,85,78,NA,NA,1,NA,1,NA,1,NA,NA,NA,7,1,NA,NA,1,NA,2,NA
9152,NA,NA,250,NA,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,10,5,65,80,1,NA,NA,4,3,NA,1,NA,2,NA,4,5,NA,NA,NA,NA,NA,NA
9235,NA,NA,255,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,24,6,8,63,95,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA
9401,NA,NA,265,NA,NA,NA,NA,14,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,4,15,10,9,55,96,NA,1,NA,4,1,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA
9484,NA,NA,270,NA,NA,NA,NA,14,5,2,NA,NA,NA,NA,3,1,1,NA,3,1,20,8,1,64,74,NA,1,NA,5,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA
9566,NA,NA,275,NA,NA,NA,NA,9,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,5,40,6,5,66,96,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1
9649,NA,NA,280,NA,NA,NA,NA,7,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,3,23,8,3,65,90,NA,1,NA,2,NA,NA,1,NA,5,NA,2,3,NA,1,NA,NA,NA,NA
9732,NA,NA,285,NA,NA,NA,NA,15,2,2,NA,NA,NA,NA,3,NA,NA,1,3,3,23,9,NA,62,92,NA,NA,NA,5,NA,NA,4,NA,1,NA,4,4,NA,2,3,NA,NA,2
9815,NA,NA,290,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,2,45,8,2,56,108,NA,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA
9898,NA,NA,295,NA,NA,NA,NA,20,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,40,6,NA,60,86,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,NA,1,NA,NA,1,2
9981,NA,NA,300,NA,NA,NA,NA,12,6,3,NA,NA,NA,NA,5,NA,1,NA,NA,2,53,7,2,52,87,NA,1,NA,2,NA,NA,2,NA,2,NA,4,3,NA,NA,NA,NA,NA,3
10064,NA,NA,305,NA,NA,1,NA,11,5,1,NA,NA,NA,NA,2,NA,1,2,NA,NA,44,6,2,53,87,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,4
10147,NA,NA,310,NA,NA,1,NA,10,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,33,12,5,54,90,NA,NA,1,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA
10229,NA,NA,315,NA,NA,NA,NA,22,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,32,9,NA,55,80,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3
10478,NA,NA,330,NA,NA,NA,1,23,2,1,NA,NA,NA,NA,5,2,NA,NA,NA,NA,45,6,5,49,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,2,NA,NA,NA
10561,NA,NA,335,NA,NA,NA,NA,40,NA,NA,NA,NA,1,NA,9,NA,NA,3,NA,3,40,6,2,52,65,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,2
10644,NA,NA,340,NA,NA,NA,1,26,NA,1,NA,NA,NA,NA,10,NA,NA,NA,NA,1,60,6,NA,60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
10727,NA,NA,345,NA,NA,NA,NA,26,NA,9,NA,NA,NA,NA,22,NA,NA,NA,NA,2,92,8,NA,36,30,NA,1,NA,1,2,NA,NA,NA,NA,9,NA,1,NA,NA,1,NA,NA,NA
10809,NA,NA,350,NA,NA,NA,3,14,3,1,NA,NA,NA,NA,18,2,NA,NA,NA,NA,81,9,NA,24,30,NA,NA,NA,3,NA,NA,NA,NA,1,35,NA,3,3,NA,NA,NA,NA,NA
10892,NA,NA,355,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,19,NA,3,NA,NA,3,90,4,NA,28,45,NA,NA,NA,NA,NA,2,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,4,NA
10975,NA,NA,360,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,16,NA,1,NA,NA,1,135,5,NA,18,40,NA,NA,3,4,NA,NA,NA,NA,NA,24,NA,NA,2,NA,NA,NA,2,1
11058,NA,NA,365,NA,NA,NA,2,16,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,6,100,1,NA,30,23,NA,NA,NA,10,NA,NA,NA,NA,NA,24,NA,2,NA,NA,NA,NA,NA,NA
11141,NA,NA,370,NA,NA,NA,NA,20,NA,3,NA,NA,NA,NA,21,NA,NA,NA,NA,8,90,8,NA,24,20,1,NA,NA,15,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
11224,NA,NA,375,NA,NA,NA,NA,22,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,13,59,4,NA,30,16,NA,NA,NA,34,NA,NA,NA,NA,NA,20,NA,NA,2,NA,1,NA,NA,NA
11307,NA,NA,380,NA,NA,NA,NA,19,NA,3,NA,NA,NA,NA,43,NA,2,NA,NA,10,60,5,NA,40,15,NA,1,NA,25,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,3,NA,NA,NA
11389,NA,NA,385,NA,NA,NA,NA,19,NA,3,NA,NA,NA,NA,30,NA,5,NA,NA,10,65,6,NA,40,19,NA,NA,NA,30,NA,NA,NA,NA,NA,26,NA,NA,5,NA,3,NA,NA,NA
11555,NA,NA,395,NA,NA,NA,NA,22,2,5,NA,NA,NA,NA,43,NA,NA,NA,NA,8,75,7,NA,30,20,NA,NA,NA,18,NA,NA,NA,NA,NA,25,NA,5,NA,NA,NA,NA,NA,NA
11638,NA,NA,400,NA,NA,3,NA,27,NA,NA,NA,NA,NA,NA,40,NA,4,NA,NA,9,56,6,NA,36,15,NA,NA,NA,24,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,3,NA,NA,NA
