"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Castanea","Vitis","Rumex acetosa-type","Poaceae (Cerealia-type)","Brassica-type","Ostrya/Carpinus orientalis","Quercus coccifera-type","Apium-type","Hyoscyamus","Isoëtes","Ophioglossum","Polypodium","Osmunda regalis","Polygonum aviculare-type","Apiaceae","Knautia","Carduus-type","Ephedra fragilis-type","Dryopteris-type","Poaceae","Quercus cerris-type","Sparganium-type","Pinus","Centaurea solstitialis-type","Asteroideae","Unknown","Pteridium","Cyperaceae","Amaranthaceae","Cichorioideae","Fagus","Tilia","Alnus","Urtica","Humulus/Cannabis","Juniperus","Helianthemum","Carpinus betulus","Olea","Artemisia vulgaris-type","Paliurus","Arbutus","Corylus","Plantago lanceolata-type","Galium-type","Filago-type","Ericaceae","Ranunculus undiff.","Senecio-type","Matricaria-type","Clematis-type","Caryophyllaceae","Betula","Euphorbia","Malvaceae","Rhus","Lythrum","Fabaceae","Pistacia","Orchidaceae","Alisma","Linum","Hedera","Asphodelus","Botrychium","Trifolium-type","Abies","Plantago maritima-type","Plantago coronopus-type","Gentianaceae","Salix","Valeriana","Plumbaginaceae","Fraxinus ornus","Scrophularia/Verbascum","Liliaceae","Convolvulus","Fraxinus excelsior","Ranunculus sceleratus-type","Rosaceae","Tamarix","Capsella-type","Gossypium","Nymphaea","Picea","Ulmus","Juglans","Stachys-type","Filipendula","Myriophyllum spicatum/M. verticillatum","Cladium mariscus","Poterium sanguisorba","Ranunculus acris-type","Plantago undiff.","Euphorbiaceae","Thymus/Mentha","Mercurialis annua","Thymelaeaceae","Viburnum-type","Echium-type","Hymenophyllum","Thalictrum","Typha latifolia","Lemna","Polygonaceae","Plantago major-type","Teucrium","Cirsium/Gundelia","Hypericum perforatum-type","Solanum dulcamara","Bunium-type","Calligonum","Calystegia","Phillyrea","Noaea-type","Oleaceae","Plantago media-type","Digitalis","Xanthium","Ranunculus sect. Batrachium-type","Artemisia herba-alba-type","Ranunculaceae","Campanulaceae","Scabiosa","Armeria/Limonium","Platanus","Lysimachia","Malva","Anemone","Theligonum","Potentilla-type","Rhinanthus-type","Matthiola","Sambucus nigra-type","Pteris","Allium","Geranium","Cotinus coggygria","Potamogeton","Brassicaceae","Gentiana","Crocus","Acer","Vicia-type","Buxus","Colchicum","Equisetum","Lycopodium","Taxus","Hystrix","Radiola","Cyclamen","Scrophulariaceae","Fagopyrum","Bupleurum-type","Ephedra distachya-type","Menyanthes trifoliata","Cornus","Geraniaceae","Salvia","Datisca","Butomus umbellatus","Valerianella","Anagallis","Carthamus","Prunus-type","Rhamnus","Pimpinella-type","Primulaceae","Rhamnaceae","Verbena","Scilla-type","Boraginaceae","Morus","Acanthus","Mesembryanthemum","Thelypteris palustris","Lotus-type","Heliotropium-type","Sideritis","Asplenium"
3728,3926,3560,240,3,NA,1,6,6,4,13,30,14,NA,3,1,NA,NA,11,4,NA,6,NA,NA,88,110,74,23,3,2,12,6,66,20,12,9,NA,4,NA,NA,3,NA,NA,5,NA,NA,NA,3,9,1,NA,5,NA,7,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,5,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,NA,1,NA,3,4,NA,NA,NA,7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,4214,3811,255,2,NA,1,3,4,4,8,20,7,NA,3,1,NA,NA,7,3,NA,5,NA,NA,85,83,81,21,NA,NA,13,5,41,11,19,6,NA,1,NA,NA,NA,NA,1,9,NA,NA,NA,5,4,NA,NA,5,NA,17,2,NA,2,1,NA,NA,NA,6,NA,1,NA,NA,2,NA,1,NA,3,3,2,NA,NA,1,NA,NA,2,NA,2,2,NA,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,2,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4455,4681,4217,280,2,NA,NA,NA,4,4,15,27,14,NA,16,4,1,NA,4,3,NA,2,NA,NA,86,141,72,17,1,3,4,5,37,13,7,NA,NA,3,NA,NA,NA,NA,1,13,NA,NA,NA,3,1,NA,NA,2,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,9,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,7,1,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4632,4862,4375,290,NA,2,1,NA,2,NA,21,39,37,NA,23,1,1,NA,1,3,NA,1,NA,2,48,140,47,20,1,7,7,3,46,11,9,3,NA,2,NA,NA,NA,NA,NA,12,NA,1,NA,3,4,NA,NA,2,NA,6,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,10,NA,NA,NA,1,4,NA,NA,1,NA,5,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4806,5040,4529,300,1,NA,NA,2,NA,2,11,23,16,NA,18,NA,NA,NA,NA,NA,NA,2,NA,4,29,71,10,17,NA,1,7,2,18,6,10,1,1,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5141,5384,4824,320,2,NA,11,5,4,NA,28,54,47,NA,26,1,2,NA,NA,8,1,1,NA,13,100,230,11,37,3,10,8,13,43,24,22,2,3,3,NA,1,NA,NA,3,12,1,NA,NA,8,7,2,NA,7,NA,3,2,NA,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,NA,1,20,NA,NA,NA,NA,4,NA,1,1,NA,1,4,NA,NA,NA,2,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5454,5706,5114,340,1,6,3,3,3,1,25,23,30,NA,12,1,1,NA,2,14,NA,NA,NA,12,27,149,5,25,1,4,17,2,27,16,7,4,1,NA,NA,NA,1,NA,NA,8,NA,NA,NA,9,4,NA,NA,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,7,NA,NA,6,NA,3,1,NA,NA,1,2,NA,1,NA,NA,NA,1,10,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5741,5999,5380,360,4,NA,2,NA,3,NA,9,14,11,NA,22,1,NA,NA,NA,1,NA,NA,NA,2,129,133,78,24,NA,2,21,1,198,10,9,1,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,6,8,NA,NA,3,NA,21,NA,NA,3,NA,NA,NA,NA,49,3,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,39,1,NA,1,NA,2,1,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5996,6269,5620,380,3,NA,3,3,7,2,29,32,34,NA,9,2,3,NA,3,6,1,2,NA,13,86,117,7,50,NA,5,30,6,28,21,14,NA,1,1,NA,NA,NA,1,2,4,NA,NA,NA,11,16,2,1,NA,NA,1,6,NA,1,1,1,NA,NA,NA,1,2,NA,NA,3,1,9,NA,1,21,NA,NA,NA,NA,NA,NA,1,NA,4,NA,2,NA,NA,9,NA,NA,NA,NA,3,NA,NA,2,2,NA,7,NA,1,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6223,6506,5836,400,NA,1,5,4,4,2,42,34,18,NA,27,2,1,1,2,11,NA,1,NA,15,87,257,9,91,3,4,16,9,35,19,16,4,2,5,1,NA,NA,1,8,8,NA,NA,NA,6,6,NA,NA,4,NA,6,1,NA,1,1,1,1,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,16,NA,NA,NA,NA,NA,2,2,NA,3,1,NA,1,2,2,1,NA,NA,NA,2,NA,NA,1,2,NA,12,NA,5,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6422,6707,6029,420,1,3,8,2,7,NA,34,36,17,NA,14,1,2,NA,NA,4,NA,1,1,4,50,221,9,35,2,NA,10,10,18,14,2,3,3,7,NA,NA,NA,NA,2,13,5,NA,NA,12,3,1,NA,9,NA,5,1,NA,4,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,2,NA,1,3,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6597,6888,6213,440,3,NA,1,2,8,NA,26,38,13,NA,18,2,1,NA,3,3,NA,2,NA,11,51,138,12,23,1,3,14,6,19,17,13,5,NA,3,NA,NA,1,NA,4,13,NA,NA,NA,6,8,1,NA,5,NA,2,3,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,5,NA,NA,4,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,5,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
