"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fagus","Cichorioideae","Apiaceae","Fabaceae","Mentha-type","Rumex/Oxyria","Abies","Artemisia","Quercus","Asteraceae","Brassicaceae","Sparganium","Quercus ilex-type","Fraxinus ornus","Quercus cerris-type","Poaceae (Cerealia)","Unknown","Lythrum","Quercus robur-type","Pteridium","Poaceae","Cyperaceae","Salix","Alnus","Amaranthaceae","Pteridophyta undiff.","Pinus","Corylus","Juglans","Rosaceae","Fallopia convolvulus","Ostrya/Carpinus orientalis","Caryophyllaceae","Rubiaceae","Spergularia-type","Castanea","Rhamnus/Frangula","Typha","Thalictrum","Vitis","Viburnum opulus","Plantago lanceolata-type","Fraxinus excelsior","Hedera helix","Juniperus","Dryopteris","Platanus","Pistacia","Myriophyllum spicatum","Cistus incanus-type","Varia","Ranunculaceae","Phillyrea","Ulmus","Erica","Carpinus betulus","Centaurea jacea","Centaurea scabiosa","Potamogeton","Humulus","Teucrium","Geranium","Helianthemum","Poterium sanguisorba","Buxus sempervirens","Calicotome villosa","Tilia","Rumex acetosella","Ericaceae","Picea","Acer","Ilex aquifolium","Ephedra","Olea","Cistus creticus","Cornus","Periploca","Paliurus spina-christi","Urtica","Cotinus coggygria","Potentilla","Epilobium","Scabiosa","Gypsophila","Osyris alba","Centaurea cyanus","Ononis-type","Vaccinium-type","Trifolium","Vitex agnus-castus","Arbutus","Betula","Campanulaceae","Cercis siliquastrum","Myosotis","Asphodelus","Lonicera"
2953,NA,NA,510,NA,2,NA,NA,NA,1,2,2,3,1,1,NA,8,4,4,NA,2,NA,14,4,22,4,1,19,2,40,49,NA,1,3,NA,4,NA,1,1,NA,NA,NA,1,6,NA,NA,3,4,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2952,NA,NA,520,NA,NA,NA,NA,NA,2,6,2,2,2,NA,NA,19,5,6,NA,NA,NA,25,9,10,6,7,153,4,106,139,3,NA,2,NA,10,NA,NA,1,NA,NA,NA,NA,5,NA,NA,4,4,NA,44,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3085,NA,NA,530,3,2,NA,NA,NA,NA,4,3,2,1,1,NA,15,4,6,NA,4,NA,22,7,5,4,4,142,3,106,138,6,NA,1,1,10,NA,NA,NA,NA,NA,1,NA,10,NA,NA,6,NA,NA,34,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3218,NA,NA,554,5,NA,NA,1,NA,3,6,4,6,NA,2,2,16,4,17,NA,1,NA,39,1,7,6,2,131,2,10,134,21,NA,3,NA,18,NA,NA,NA,NA,NA,NA,NA,7,NA,2,21,8,NA,1,NA,NA,NA,1,1,1,NA,8,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3537,NA,NA,555,8,NA,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,2,1,NA,2,NA,10,5,3,3,1,2,3,10,89,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3551,NA,NA,560,3,NA,NA,NA,NA,1,3,1,4,NA,1,NA,15,2,9,NA,1,NA,34,4,5,5,3,78,1,12,75,15,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,10,2,1,4,NA,NA,NA,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3790,NA,NA,573,2,1,NA,NA,NA,NA,4,1,1,3,NA,NA,7,3,4,NA,NA,NA,19,NA,4,7,NA,219,1,10,85,9,NA,1,NA,15,NA,1,NA,NA,NA,NA,NA,5,NA,NA,25,19,NA,1,NA,NA,NA,NA,NA,NA,1,3,1,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3910,NA,NA,582,NA,1,NA,NA,NA,NA,3,2,2,1,1,NA,7,7,6,NA,1,1,20,1,6,5,3,195,3,11,66,12,NA,3,NA,45,NA,NA,NA,NA,1,NA,NA,8,NA,NA,23,16,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,NA,NA,589,NA,2,NA,NA,NA,NA,2,1,6,NA,NA,1,12,NA,4,NA,1,NA,28,NA,4,2,3,21,1,9,25,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4083,NA,NA,595,1,3,1,NA,NA,NA,1,4,5,2,NA,NA,8,NA,4,NA,3,1,24,NA,1,2,NA,28,2,22,33,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,1,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
4283,NA,NA,610,3,3,2,2,1,4,9,6,7,6,2,NA,32,3,14,NA,6,4,57,4,22,15,8,103,8,43,104,1,NA,2,1,4,1,1,NA,NA,1,NA,1,3,NA,NA,7,6,5,5,NA,NA,NA,1,NA,1,1,1,NA,4,1,1,1,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
4416,NA,NA,620,5,3,1,NA,NA,NA,3,4,5,7,1,1,21,4,21,NA,4,1,52,8,19,11,4,94,5,51,78,5,NA,NA,NA,6,NA,1,5,NA,NA,1,NA,9,NA,NA,2,1,NA,5,NA,NA,NA,NA,3,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
4549,NA,NA,630,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,6,NA,2,NA,1,NA,18,5,5,2,4,28,1,7,65,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4749,NA,NA,645,NA,13,NA,NA,NA,2,6,5,1,2,1,NA,9,NA,9,NA,2,NA,33,3,7,8,1,112,2,22,50,3,NA,1,NA,6,NA,NA,NA,NA,NA,1,NA,13,NA,NA,2,6,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868,NA,NA,654,2,3,2,NA,1,NA,8,1,1,5,1,1,8,1,14,NA,3,1,30,6,21,12,4,121,2,27,65,5,NA,NA,1,20,NA,NA,3,NA,NA,2,NA,19,NA,2,4,6,NA,3,NA,NA,NA,NA,1,NA,NA,2,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4948,NA,NA,660,5,2,2,1,NA,1,7,1,2,2,3,NA,14,3,14,2,3,NA,48,18,13,12,6,139,5,34,91,7,NA,5,1,8,1,NA,3,NA,NA,NA,NA,7,NA,1,3,9,NA,15,NA,3,NA,NA,1,1,1,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5041,NA,NA,667,5,3,NA,1,NA,NA,18,2,4,2,2,2,11,5,19,2,3,1,48,16,14,16,2,97,2,33,152,14,NA,NA,NA,13,NA,1,2,NA,1,NA,NA,16,NA,2,4,4,NA,19,NA,1,NA,1,NA,1,NA,2,NA,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5135,NA,NA,674,9,5,NA,1,NA,4,6,3,4,2,NA,1,21,2,20,NA,NA,1,61,9,20,10,7,61,3,69,186,14,NA,NA,NA,12,NA,1,4,NA,NA,NA,NA,15,NA,1,6,3,NA,17,NA,1,2,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
