"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Amaranthaceae","Plantago lanceolata-type","Helianthemum","Corylus avellana","Castanea sativa","Teucrium","Anthemis-type","Silene foetida-type","Sedum-type","Filago-type","Gentiana lutea/G. pneumonanthe","Jasione-type","Botrychium","Pteridium aquilinum","Cichorioideae","Brassicaceae","Arenaria","Genista-type","Plantago coronopus","Campanula","Calluna vulgaris","Erica umbellata","Polypodiales (monolete)","Alnus glutinosa","Galium-type","Pedicularis sylvatica","Erica australis","Ranunculus","Juniperus communis","Poaceae (Cerealia)","Betula pubescens","Halimium/Tuberaria","Narcissus pseudonarcissus-type","Rumex acetosella-type","Quercus ilex-type","Plantago subulata-type","Erica arborea-type","Quercus robur-type","Cyperaceae","Olea europaea","Pinus pinaster","Potentilla","Poaceae","Lycopodium spike","Vitis","Juglans","Cirsium-type","Aster-type","Dianthus lusitanus-type","Apiaceae","Colchicum montanum","Stellaria","Narcissus bulbocodium","Paronychia polygonifolia-type","Armeria","Menyanthes trifoliata","Micranthes stellaris-type","Caryophyllaceae (porate)","Pinus sylvestris-type","Viola","Rumex obtusifolius-type","Filipendula","Hedera helix","Ilex aquifolium","Chaerophyllum temulum","Silene dioica-type","Daphne/Thymelaea","Daucus","Pimpinella saxifraga-type","Saxifraga granulata-type","Ornithopus","Hedwigia","Minuartia recurva","Peucedanum-type","Ulmus","Lysimachia","Centaurea","Linum","Plantago major-type","Frangula alnus","Ulex","Phillyrea","Centaurea nigra-type","Ornithogalum-type","Silene ciliata-type","Sphagnum","Centaurium","Pistacia","Rosaceae","Sorbus aucuparia","Salix","Xanthium","Eryngium","Parnassia palustris","Carum verticillatum","Senecio","Sparganium","Silene vulgaris-type","Asphodelus albus","Cytisus scoparius","Conopodium majus","Cistus ladanifer-type","Radiola linoides","Lavandula","Fraxinus angustifolia","Polypodium","Heracleum","Asteroideae","Solidago","Fritillaria lusitanica","Polygonum aviculare-type","Succisa","Prunus","Echium","Anthriscus sylvestris","Rhinanthus/Veronica","Myriophyllum alterniflorum","Hypericum perforatum-type","Mercurialis","Montia fontana","Cerastium","Nymphaea","Epilobium","Veratrum album","Trifolium-type","Valerianella","Physospermum cornubiense","Poterium sanguisorba","Thelypteris palustris","Ephedra distachya-type","Fabaceae","Pimpinella anisum","Thalictrum","Unknown (cf. spore)","Anthriscus cerefolium","Astrantia","Linum catharticum-type","Lythrum","Fagus sylvatica","Robinia pseudoacacia","Chrysosplenium","Marchantiophyta","Cicuta virosa","Taxus baccata","Centaurea scabiosa-type","Primula vulgaris-type","Solanum dulcamara","Apium nodiflorum","Papaver rhoeas-type","Pentaglottis sempervirens","Sambucus nigra","Arnoseris minima","Athyrium filix-femina","Dryopteris filix-mas-type","Arbutus unedo","Rumex acetosa-type","Erica","Meum-type","Bupleurum","Ephedra fragilis-type"
872.34,NA,NA,65,"11329, 1","0.282","5","1","","1","","7","","2","1","12","","14","1","","22","5","6","1","2","52","5","53","11","39","29","10","","22","10","3","9","28","","","15","33","45","56","181","452","7","17","14","663","582","1","","3","1","","60","","","3","4","6","1","2","12","2","","","","","1","","","","","","","","","","","","","","","","","","2","","","1","2","1","","","","","","","","","1","4","","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
940.21,NA,NA,75,"11329, 1","0.282","5","","","","","","","","","11","2","6","","1","11","2","4","","3","11","3","26","1","29","13","8","","10","21","","","15","","2","3","5","11","78","139","163","1","10","11","432","425","","","","1","","7","","","2","","3","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1008.07,NA,NA,85,"11329, 1","0.282","2","","","","","","","","","2","","8","","","7","1","1","1","","4","","9","2","19","12","4","","43","4","1","1","6","","","9","","10","15","55","29","","3","4","139","310","","","","","","9","","","3","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","1","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1042,NA,NA,90,"11329, 1","0.282","1","2","4","","","6","","","","11","","4","","1","11","1","5","","9","24","4","36","1","31","15","4","","3","11","9","1","10","2","1","16","1","15","26","48","28","1","4","5","719","78","","","","","","3","1","","","1","1","3","1","1","7","","1","","","","","1","","","","","","","","6","","","","","","","","","1","","","","","","","","1","","","","","","4","","","2","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1149.43,NA,NA,95,"11329, 1","0.282","12","","","","","8","","2","","4","","8","","1","12","6","","","7","22","3","27","9","23","5","8","","6","23","4","7","12","","","8","27","20","59","78","8","2","6","6","2001","283","","","","1","","12","1","1","2","1","","1","4","4","6","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","4","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1256.86,NA,NA,100,"11329, 1","0.282","3","","3","","3","3","","","2","20","","6","3","","15","2","1","","14","29","5","39","8","47","16","21","","7","8","51","3","18","2","8","25","3","23","60","142","14","2","22","7","3491","145","","","","","","2","2","","","3","","1","1","","3","","","","","1","","","2","3","","","","","4","8","","2","","","","","","3","","","","","","1","","1","","","","","","1","8","","","1","","1","","","1","","","","","","","","","1","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1364.29,NA,NA,105,"11329, 1","0.282","9","","1","","","","","5","5","10","","10","","3","5","4","","","5","29","7","22","3","57","26","17","","11","12","9","4","25","","","11","3","23","131","239","2","4","33","25","4797","369","","","5","1","","16","2","","8","6","5","1","2","","2","","1","1","","","","","","","","","","1","","","1","","","","","","","7","1","","","","","","","3","3","","1","","","","6","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1579.14,NA,NA,115,"11329, 1","0.282","4","2","","","","9","","1","","1","","1","","7","9","6","2","2","6","42","6","26","12","66","25","18","","17","90","22","15","20","1","","8","25","31","77","172","3","8","13","13","3190","435","","","1","","","19","3","","2","4","6","","1","6","26","","","","","","","","","","","1","","","","","2","","","","","","","1","4","","","1","1","2","1","","","","1","","","1","13","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1794,NA,NA,125,"11329, 1","0.282","4","1","","","","2","","1","","8","","6","","1","10","3","2","","3","20","4","18","4","38","14","13","","7","20","10","8","21","","","10","16","24","40","117","10","2","23","6","2427","247","","","","","","10","4","","8","3","2","","","3","4","","","","","","","","","","","","","1","","","","","","","","1","","2","2","","2","","2","1","","","","","2","","","","7","","","1","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2008.86,NA,NA,135,"11329, 1","0.282","2","","4","","2","","","7","4","13","","13","1","1","2","3","2","4","6","21","3","9","6","47","25","11","","7","17","8","","14","","","2","4","47","64","120","5","","22","4","834","191","","","","1","","25","3","","3","6","4","","","2","9","","","1","","","","","","","","","","","","","","","","","","","","2","6","","","","","","","","","","","","","","19","","","1","","","","","1","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2223.71,NA,NA,145,"11329, 1","0.282","8","","","","5","","","2","","19","","1","","","15","8","1","","8","60","7","14","8","66","33","16","","32","37","16","7","26","","","18","10","67","86","190","11","3","55","8","1065","233","","","","","","30","","","9","7","8","","8","7","32","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","7","","2","","","","","","","","23","","","","","","","","7","2","","","","1","3","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2438.57,NA,NA,155,"11329, 1","0.282","7","","","","3","","","1","","15","1","13","1","1","5","5","3","3","6","23","2","28","9","81","26","19","","27","35","9","17","32","1","","20","12","47","62","120","4","1","38","8","985","229","","","","","","12","1","","9","4","9","","6","5","15","","","","","1","","","","","","","","","","","","","","","","","","3","1","1","","3","","2","2","","","","","","","1","18","","","","","","","","1","1","","","1","","","","","1","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2546,NA,NA,160,"11329, 1","0.282","10","3","4","","1","","","","","13","1","7","","","8","4","2","","16","15","1","14","2","53","20","9","","5","23","14","","27","","4","25","6","53","52","121","8","1","15","4","956","81","","","","3","","2","","","","2","1","","8","","11","","","","","1","","2","","1","","","","1","2","16","1","","","","1","","","2","1","","","1","","","","","1","","","","","","15","","","1","","","","1","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2718,NA,NA,165,"11329, 1","0.282","11","","","","1","","","1","","16","1","20","","1","14","5","6","","12","46","5","83","12","147","53","10","","83","20","2","29","56","","","24","12","50","85","315","19","4","47","11","965","192","","","","4","","25","","","9","","7","","4","12","36","","","1","","1","","","","","","","","1","","","","","","","4","","","4","","2","","1","","","5","5","","","1","","","","25","","1","1","","","","1","3","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2890,NA,NA,170,"11329, 1","0.282","1","","3","","1","","","1","","22","","5","","","24","1","","5","8","9","","11","3","74","27","8","","3","2","3","","18","","2","17","8","39","49","89","7","","10","3","557","46","1","","","2","","3","","","","4","","","","","14","","","","","","3","","1","2","","","1","2","","21","","","","","","","","4","2","","","1","","","1","1","","","","","","","10","","","3","","1","","","","","","1","","","1","","","","","1","","2","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3062,NA,NA,175,"11329, 1","0.282","3","1","","","13","","","","1","16","","11","","1","6","5","1","1","8","22","5","9","4","180","38","17","","27","7","4","15","40","","","22","15","34","49","198","10","5","14","10","772","87","","","","","","33","","","3","2","9","","13","4","38","","","","","","","","","","","","","2","","","1","1","","","","","","1","1","2","","","","","","","","","","","","2","7","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3406,NA,NA,185,"11329, 1","0.282","3","","","","","","","","","4","","6","","1","5","3","4","","3","18","1","22","1","116","9","1","","18","4","","12","57","1","","9","5","17","7","149","9","","20","8","716","116","","","1","2","","29","1","","5","3","1","","","4","14","","","","","","","","","","","","","","","","","","","","1","","","2","1","","","1","","1","4","","","","","","","","1","","","","","","","3","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","",""
3750,NA,NA,195,"11329, 1","0.282","2","","","","3","","","","","8","1","14","","1","5","3","9","6","3","4","2","31","6","89","28","7","","55","3","7","28","37","1","1","12","1","28","13","189","12","","41","2","567","119","","","","4","","43","1","","9","","3","","","8","8","","","","","","6","","","","","","","","","","","","","","","","","4","","","","","1","","5","","","","","","","","11","","1","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4094,NA,NA,205,"11329, 1","0.282","2","","","","6","","","","2","8","","13","","3","7","4","3","3","7","21","1","42","17","63","37","9","","35","4","10","15","36","","1","21","18","16","50","273","11","9","49","6","813","110","","","","","","78","1","","8","","8","","1","9","37","","","","","","","","2","","","","","","","","1","","","","","","","","","3","","1","2","2","6","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
4438,NA,NA,215,"11329, 1","0.282","5","1","","","","","","","","8","","16","","1","5","","4","2","3","6","","23","1","42","12","2","","33","2","4","17","37","1","","12","5","17","9","167","8","","25","6","250","92","","","","","","38","1","1","4","","3","","","9","10","","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","5","","","","","","","","3","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
4782,NA,NA,225,"11329, 1","0.282","1","2","","","","","","","","1","","1","","2","3","","7","1","1","4","","3","3","29","7","5","","14","1","3","26","24","1","","5","7","7","16","80","5","","16","2","198","44","","","","","","13","","","","","2","","1","1","10","","","","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4954,NA,NA,230,"11329, 1","0.282","1","","","","","","","1","","22","","1","1","2","22","","","1","8","1","1","3","1","40","20","9","","2","1","2","","37","","5","21","4","10","18","130","2","","13","5","531","50","","","","","","6","","","","1","2","","","","16","","","1","","","1","","","3","","","","1","","9","","","","","","","","2","","1","","","","","","2","","","","","","","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
5107.8,NA,NA,235,"11329, 1","0.282","4","","","","5","","","1","","15","","5","","7","18","1","11","8","27","12","","5","5","109","37","7","","22","9","10","14","72","2","","33","22","14","44","287","","6","72","6","804","158","","","","1","","23","","","5","2","5","","6","13","28","","","","","","","","","","","","","1","","","","1","","","","","1","2","","3","1","","","1","9","1","","","","","","1","7","","1","8","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
5415.4,NA,NA,245,"11329, 1","0.282","5","","","","","","","","","17","1","7","","2","17","","15","6","2","3","2","7","1","140","26","15","","15","1","6","16","94","","3","23","6","22","4","203","7","1","30","3","530","101","","","","4","","40","","","3","1","1","","1","9","34","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","4","","","","","","","","7","","2","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","",""
5723,NA,NA,255,"11329, 1","0.282","3","","","1","","","","","","1","","6","","1","7","","8","1","1","2","1","6","2","69","22","1","","14","1","","18","154","","2","10","4","8","4","143","1","1","29","2","184","63","","","","1","","38","","3","1","1","1","","","6","17","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","3","","1","2","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
6030.6,NA,NA,265,"11329, 1","0.282","3","","","","","","","","","15","","11","","4","2","1","10","4","6","5","3","29","","98","23","6","","11","15","3","25","130","2","","32","13","8","16","227","16","","50","5","569","155","","","","2","","40","","","9","1","3","","","2","23","","","","1","","","","","1","","","","","","","","","","","","","1","1","1","1","","1","","","","1","1","","2","","","","3","6","","1","","","","","1","","","1","2","1","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6338.2,NA,NA,275,"11329, 1","0.282","3","1","","","1","","","1","","12","","6","1","4","7","1","7","1","13","2","1","10","","47","25","6","","15","3","2","10","84","","","16","4","4","10","219","14","1","44","1","327","72","","","","1","","21","","","3","","1","","","6","19","","","","","","","","","","","","","","","","","","","","","","","2","","1","","1","","","2","","","","1","","","","1","","","1","","","","1","2","","","","","1","","","","1","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","",""
6492,NA,NA,280,"11329, 1","0.282","","","","","2","","","","1","16","","11","","2","18","2","10","11","4","","","10","","49","28","7","","","","","","243","","4","32","4","9","9","146","3","","34","1","587","44","","","","","","4","","","","4","","","","","22","","","","","","2","","","1","","","","","","30","1","","","","","1","","","","","","","","","","1","","","1","","","","4","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6685.5,NA,NA,285,"11329, 1","0.282","4","","","2","1","","","","","12","1","3","","3","4","","17","4","3","3","","9","1","85","26","7","","11","2","","9","652","","","37","6","5","6","279","4","4","54","","256","131","","","","1","","40","","3","3","3","3","","","13","29","","","","1","1","","","","","","","","","","","","","","","1","","","1","1","1","","","","1","5","","","","1","","","","","","1","1","","","","1","1","","","","","2","1","","","","","","","","","","","","","","","","","","4","","","","","1","1","","","","","","","","","","1","1","","","","","","","","","","","","","",""
7072.5,NA,NA,295,"11329, 1","0.282","2","1","","","","","","","","18","1","5","","1","7","1","27","8","13","2","1","17","2","85","45","3","","14","4","1","24","751","","","73","5","3","7","331","7","3","88","1","464","116","","","","","","43","","1","1","2","3","","1","13","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","1","","","","","1","1","","","1","4","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7459.5,NA,NA,305,"11329, 1","0.282","","","","","","","","","","8","","2","","3","3","","7","1","3","3","","5","","29","9","","","3","3","","10","220","","","16","5","1","3","129","","1","41","","105","58","","","","2","","10","","","","","3","","","5","13","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7846.5,NA,NA,315,"11329, 1","0.282","","","","","","","","","","5","","2","","2","6","","5","2","1","3","1","5","2","40","18","1","","4","1","2","16","248","","1","14","6","3","","170","","5","61","1","120","61","","","","2","","12","","1","","1","","","","2","23","","","","","","4","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8040,NA,NA,320,"11329, 1","0.282","2","1","","","1","","","1","1","17","","1","1","5","12","1","9","4","10","","","8","2","78","29","5","","","","","","365","","2","47","8","10","11","236","2","1","53","3","131","53","","","","","","4","","3","","2","3","","","","39","","","","","","","","1","3","","","1","","","21","","","","","","2","","","","","2","","","","1","3","","","1","","","","","","1","2","1","","","","","","","","1","","","","","","2","","","2","","","","","","5","","","3","","","","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","",""
8233.5,NA,NA,325,"11329, 1","0.282","1","","","","","","","","","16","","3","","5","6","2","10","6","10","5","","7","3","45","22","5","","4","2","2","26","154","","3","42","3","11","","293","5","2","157","2","245","62","","","","3","","16","","2","2","2","5","","2","9","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","2","","","","","","1","","","2","5","","","","","","","","","","","","","","","","","","1","6","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
8427,NA,NA,330,"11329, 1","0.282","5","","","","1","","","1","","18","3","4","2","2","13","2","13","11","6","","","16","","117","23","7","","","","8","","125","","","78","17","7","9","239","2","1","62","3","290","38","","","","","2","1","","","","1","","","3","1","45","","","","","","2","","","1","","1","","","2","18","","","","","","1","","1","","","","","","","","1","3","","","","","","","","","1","","","","","1","","","","","1","","","","1","","","","2","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","",""
8620.5,NA,NA,335,"11329, 1","0.282","1","1","","","2","","","","","4","1","5","","4","9","1","11","7","4","2","","5","1","65","16","1","","7","16","2","17","20","","","28","7","11","7","201","3","2","149","","226","83","","","","4","","15","","2","","4","8","","","8","102","","","","","","","","1","","","","","1","","","","","","","1","","","","","1","1","","","","3","","","","1","","","","","","1","1","","","","1","","1","","","1","1","","","","","","","","","","","","","","","","","","","1","","1","","2","2","","","","","","","","1","","","","","1","","","","1","","","","","","","","",""
