"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Corylus","Thalictrum","Ulmus","Apiaceae","Poaceae (Cerealia-type)","Echium","Solanum dulcamara","Lysimachia","Ostrya","Phillyrea","Fraxinus excelsior","Erica arborea","Quercus ilex","Abies","Juglans","Pistacia","Pinus","Plantago","Centaurea","Amaranthaceae","Artemisia","Rumex","Asteroideae","Cichorioideae","Brassicaceae","Polypodiophyta (monolete)","Typha angustifolia/Sparganium","Castanea","Olea","Alnus","Quercus robur-type","Poaceae","Fagus","Osmunda-type","Cyperaceae","Ranunculaceae","Filipendula","Mentha","Cannabaceae","Botrychium","Pteridium","Isoëtes","Acer","Lamiaceae","Sedum","Potamogeton","Ranunculus sect. Batrachium-type","Typha latifolia","Fraxinus ornus","Fumaria officinalis","Urticaceae","Carpinus","Morus","Vitis","Convolvulus","Armeria","Cistaceae","Galium","Rosaceae","Papaver","Hedera helix","Salix","Mercurialis","Betula","Juniperus","Polygonum aviculare-type","Campanulaceae","Alisma","Volvocaceae","Liliaceae","Fabaceae","Scrophulariaceae","Helleborus","Nymphaeaceae","Cynoglossum","Selaginella","Ephedra","Tilia","Populus","Viscum","Botryococcus","Centaurium erythraea","Buxus sempervirens","Sambucus racemosa","Prunus","Viburnum","Taxus","Cerinthe","Linum","Knautia","Celtis australis","Valerianoideae","Sambucus","Helianthemum","Ilex","Ligustrum","Poterium sanguisorba","Primula","Gentianaceae","Epilobium","Picea","Lythrum","Geranium","Carthamus-type","Hypericum","Euonymus","Ceratophyllum","Parnassia","Theligonum","Dryopteris","Asperula","Solanum nigrum","Androsace","Sorbus-type","Cirsium","Scabiosa","Dipsacoideae","Saxifraga","Plumbaginaceae","Euphorbia","Myriophyllum","Polygonum","Malvaceae","Anthericum"
168,NA,NA,88,"1","1","","2","6","","","2","","2","","","2","","","","","1","","","3","2","","1","","","64","9","1","2","331","19","8","59","15","19","","","","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
309,NA,NA,92,"","","","","4","","","1","","3","1","","2","1","1","1","2","1","2","","3","1","","1","1","","87","16","3","5","257","29","6","53","16","36","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
450,NA,NA,96,"","3","","","","7","","","","5","","1","","10","1","1","","1","1","","2","3","3","","","","81","9","5","2","485","19","15","49","11","19","1","","","1","","","","1","1","","","","","","","2","","","","","","","","1","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
800,NA,NA,106,"","1","","","","","","","","1","","","","2","3","1","1","2","1","","","4","1","","","2","28","","","7","221","35","6","82","12","38","","","","","","","","2","","","","","","","","","1","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
939,NA,NA,110,"2","3","","","1","","","3","","18","6","3","","14","2","","3","2","1","","2","4","1","","1","1","27","","1","5","176","80","28","155","7","123","","","1","","1","","28","1","","","","","","1","","","3","","1","","","","","1","","","","","","2","","","","1","1","1","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1076,NA,NA,114,"","1","1","1","3","","","","","3","5","","","9","1","1","5","","","","2","","","1","","1","23","1","","5","107","55","14","127","7","73","","","","","","","","2","","","","","","","","","2","","1","1","","","","","","1","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1211,NA,NA,118,"1","","","4","","","","","","34","","3","1","4","5","","","1","1","","2","","","","1","1","19","22","2","2","186","43","12","135","17","77","","","1","","3","2","12","","","","","","","2","","","4","","1","","","","","","","1","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1345,NA,NA,122,"","1","4","2","","1","","","","4","1","2","2","9","1","","","5","","1","5","2","","3","","2","34","","","5","119","70","8","73","37","57","","","","","","","","","1","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1607,NA,NA,130,"","1","2","1","","","","","","4","","","1","","1","","","","2","","2","3","","2","","3","30","","","","295","44","8","81","38","26","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1735,NA,NA,134,"2","3","","","2","1","","","","11","3","2","2","","5","","","1","1","","1","4","2","","","","50","","","2","780","28","18","121","","51","1","1","","","2","7","47","","","","","","","2","","","3","","1","","","","","","","2","","","","","","","","","","","5","","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1860,NA,NA,138,"1","","","1","","","","","","3","","","1","3","6","","","1","","","2","2","1","","","2","14","1","1","","468","26","4","45","13","28","","","","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1982,NA,NA,142,"","","","2","2","","","","","1","","1","","4","39","","","1","1","","5","","","1","","4","58","","","1","524","40","7","62","18","25","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2102,NA,NA,146,"","6","","3","3","","","","","","2","2","1","6","66","","","","2","","2","3","","","","","191","3","1","1","263","59","15","76","33","43","","","","","","1","11","2","","","","","","","","","","","","","","","","","","2","","","1","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2218,NA,NA,150,"","","","1","","","","1","1","5","","","","1","22","","","2","","","3","2","","","1","","177","6","","3","246","67","6","59","49","24","","","","","","","","","","","","","","","","","1","","1","","","","","","","3","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2330,NA,NA,154,"1","1","","","1","2","","","","10","","1","1","10","24","","","","","","2","","1","3","","2","56","","1","1","231","28","12","44","57","13","1","","","1","","","","","","","","","","","","","1","","","","","3","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2492,NA,NA,160,"","2","2","3","4","1","","","","23","","","1","","56","","","2","1","","5","5","","","1","4","101","4","","","83","88","29","50","117","15","","","","","","","","1","","","","","","","","","","","2","","","","","","","13","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2595,NA,NA,164,"1","1","","","2","","","1","","16","1","1","2","","32","","1","3","1","","5","","1","2","1","","67","7","","","70","49","15","76","55","55","","","","","","5","32","","","","","","","1","","1","","","","","","","","","","10","2","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2694,NA,NA,168,"","1","","3","","","","","","17","1","","1","1","42","","","4","1","","7","2","1","","1","1","179","","1","1","68","66","17","73","142","57","","","","","","","","","","","","","","","1","","1","","1","","","","","","","3","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2879,NA,NA,176,"","","1","","3","1","1","","","14","","","2","1","38","","","4","1","","15","3","","4","1","1","289","7","","3","93","75","6","61","118","28","","","","1","","","","","1","","","","","","","","","","4","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3006,NA,NA,182,"2","2","1","","1","","","","","9","1","1","","6","1, 110","","2","7","2","","1","2","","2","","","101","4","","4","86","38","11","102","25","38","","","","","1","","26","","","","","","","","","","","","","","","","","1","","7","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3160,NA,NA,190,"","1","2","","4","","","","","6","","","1","","25","","","15","","","4","3","1","2","","1","39","","","","236","60","9","62","74","29","","","","","","","","","","","","","","","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3232,NA,NA,194,"","","","1","6","1","","","","13","1","3","","5","32","","","","","","2","","3","4","1","","109","1","1","","189","83","21","33","73","19","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3428,NA,NA,206,"","","","1","2","","","","","18","3","","6","6","120","","2","5","1","","","2","1","1","","2","256","","","1","68","50","9","79","141","33","","","","","","","","","","","","","","","","","","","2","","","","","","","4","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3516,NA,NA,212,"","21","","2","4","","","","","29","","2","1","","36","","","2","2","","1","4","3","5","","","58","","","5","282","73","11","106","43","","","","","","","70","36","1","","","","","","1","","","","","3","","","","","","","7","","","","","","","","2","1","","","","5","","","","","","","","","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3571,NA,NA,216,"","","","","","","","","","19","","","1","4","24","","","","","","2","1","1","","","1","24","","","","195","68","27","78","87","14","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3624,NA,NA,220,"","","","","","","","","","13","1","","1","","29","","","2","","","","","1","","","","23","","","2","246","48","16","70","69","5","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3688,NA,NA,225,"","2","","2","1","","","","","32","","3","","1","51","","1","2","1","","1","2","","3","","","34","","","","783","28","18","85","12","","","","","","","9","12","1","","","","","","","","1","","","1","","","","","","","2","1","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3748,NA,NA,230,"","5","","","","1","1","","","22","","9","4","","12","","","3","1","","1","3","1","1","","2","16","2","","","287","81","11","126","92","7","","","","","","","","","1","","","","","1","","","","","2","","","","","","","3","2","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3795,NA,NA,234,"","3","","1","","","","","","26","3","2","1","1","10","1","","1","1","","","1","","1","","1","13","","","","530","18","3","77","28","10","","","","","","","","1","","","","","","1","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3841,NA,NA,238,"","","","3","1","","","","","21","3","2","","1","11","","","","","","1","1","","","","","22","","","3","396","31","6","67","36","5","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3885,NA,NA,242,"","1","1","3","2","","","","","16","","4","1","1","28","","","","1","","3","2","2","2","","","34","","","","1560","39","13","57","38","12","1","","","","","12","11","","","","","","","2","","","","","","","","","","","","2","","","2","","","","","","","","5","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3929,NA,NA,246,"","2","","2","4","","","","","18","","","2","4","38","","","","","","","","2","2","","","30","2","","2","840","34","20","82","252","2","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3971,NA,NA,250,"","","","4","","","","","","11","2","2","2","1","85","","","3","","","2","3","","1","","1","82","","","4","89","67","3","181","63","4","","","","","","","","","","","","","","1","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4014,NA,NA,254,"","2","","5","2","","","","","25","1","","2","5","81","","2","","1","","","","","1","","2","107","","","2","85","40","6","96","13","5","","","","","","1","30","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4077,NA,NA,260,"","1","","7","3","","","","","48","","1","3","","56","","","7","","","","3","","","","3","134","","","","139","107","10","79","140","3","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4119,NA,NA,264,"","2","","3","","","1","1","","11","1","3","2","12","53","","","1","1","","1","","1","","1","1","54","","","","81","60","3","92","101","17","","","","","","","","","","","1","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4161,NA,NA,268,"","","","2","1","","","1","","42","","2","1","2","52","","","1","","","1","","","1","","2","43","","1","","96","76","10","93","30","10","1","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4204,NA,NA,272,"","3","","5","6","","","1","","20","1","","","1","13, 69","","","4","2","","4","","","2","","1","57","4","","","166","37","7","63","37","","","","","","","","60","","","","","","","5","","","","","","","","","","","","5","","","2","","","","","","","","2","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4247,NA,NA,276,"","","","2","3","","","","","25","1","","1","1","48","","","4","1","","3","3","","2","","","32","","2","1","124","62","8","88","21","10","","","","","","","","","","","","","","","","","4","","","","","","","","","9","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4292,NA,NA,280,"","","","2","2","1","","2","","45","1","","","","16","","","1","","","1","1","","1","","3","80","","","2","116","78","15","84","104","11","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4337,NA,NA,284,"","3","","","3","","","","","27","","1","2","2","110","","1","1","1","","3","","","","","1","131","2","","1","66","41","13","90","61","15","","","","","1","","51","","","","","","","2","","","","","","","","","","","","3","","2","1","","","","","","","","1","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4408,NA,NA,290,"","2","1","4","5","","","","","30","","2","1","","77","","","16","","","1","","","6","1","1","44","","2","","52","57","18","98","54","17","","","","","","","","1","","","","","","","","","","","1","","","","","","","5","","","","","","","","","","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4457,NA,NA,294,"","9","","1","6","","","1","","13","","","3","8","1, 61","","","1","2","","","3","","","5","4","33","1","","","38","52","7","80","242","11","","","","","","","","","","","1","","","","","","2","","","","","","","","","1","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4615,NA,NA,306,"","","","2","3","","","","","32","1","","1","1","66","","","3","1","1","3","2","2","4","2","","75","2","","","61","75","35","62","69","13","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4671,NA,NA,310,"","3","","4","2","","","1","2","20","1","1","","1","1, 62","","3","2","3","","4","","","19","","2","214","","","","16","44","88","57","124","19","","","","","","7","35","","","","","","","1","","1","","","","","","","","1","","2","1","1","1","","","","","","","","2","","","","","","2","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4788,NA,NA,318,"","","4","4","","","","","2","42","","1","3","1","28","","","3","4","","4","1","8","11","2","1","136","2","","2","6","70","44","114","455","46","1","","","","","","","1","","","","","","4","","","","","","3","","","","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4970,NA,NA,330,"","","","6","","2","","","","30","","","","","42","","","10","","","1","","","5","1","","106","","","","20","58","43","107","308","67","","","","","","","","","","","","","","1","","","","","1","","","","","","","6","","6","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5032,NA,NA,334,"","2","1","3","","1","","1","","44","","","1","1","20","","","","","","1","","1","1","","","74","","1","1","24","39","26","93","107","19","","","","","","","","","","","","","","1","","","2","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5095,NA,NA,338,"","","","5","2","2","3","","","67","1","","2","2","28","","","2","","","5","2","","1","","5","25","","","3","72","75","17","195","100","8","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5159,NA,NA,342,"","4","","","1","","","","","23","","1","1","","2, 63","","","2","3","","3","1","1","","","","74","1","","","54","47","13","112","","13","","","","","","","87","","","","","","","3","","","","","","","","1","","","","3","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5238,NA,NA,347,"","1","","5","1","","","","1","42","3","","","1","6","","","2","","","3","1","","","","2","17","","1","2","174","41","17","114","56","4","","","","","","","","","","","","","","2","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5286,NA,NA,350,"","","","5","1","1","","","","43","","1","","2","14","","","","1","","2","1","","","","2","6","","1","2","141","55","11","318","384","4","","","","","","","","","","","","","","4","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","4","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5350,NA,NA,354,"","3","","1","","","","","","22","","1","","","1, 28","","","","","","2","","","","","","8","2","","","33","15","6","101","12","","","","","","1","1","12","","","","","","","2","","","","","","","","","","3","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5446,NA,NA,360,"","2","","7","1","","","","","52","","1","","","14","","","3","","","","3","","3","","2","6","","","","122","73","9","154","83","1","","","","","","","","","","","","","1","1","","","1","","1","","","","","","","7","","4","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5540,NA,NA,366,"1","2","","1","2","","","2","","25","2","1","","1","15","","","","","","","","1","1","2","","1","","","","77","21","7","72","13","5","","","","","","","","","","","","","","2","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5603,NA,NA,370,"","","","8","1","","","","","44","","2","1","","21","","1","2","","1","","1","","3","","2","9","","","3","117","68","9","195","68","1","","","","","","","","","","","","","","2","","","","","","","","","","","","6","","1","","","","","","","","","","","","","","","2","1","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5665,NA,NA,374,"","2","","6","","","","","","64","1","","","1","2, 101","","","2","1","","2","1","","","","1","1","","","","101","27","2","136","19","2","","","","","","2","11","","","","","","","2","","","","","","","","","","","","3","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5726,NA,NA,378,"","4","","3","3","","","","","33","","","","1","1, 21","","","","","","","","","","","","","","","1","113","27","4","168","24","1","","","","","","","","","","","","","","5","","","1","","","","","","","","","5","","","","","","1","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5802,NA,NA,383,"","","","8","","1","","","","88","","1","1","1","19","","","2","1","","","2","","2","1","1","24","1","","4","92","58","6","235","72","1","","","","","","","","","","","","","","","","","","","","1","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5907,NA,NA,390,"","3","","9","2","","","","","62","","","","1","56","","","8","","","3","","1","","","7","5","","","","86","61","10","80","84","2","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","3","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5966,NA,NA,394,"","4","","6","","","","","","34","2","2","2","4","1, 60","","","","1","","6","","","4","","6","3","","","","54","58","26","102","101","4","","","","","","","","","","","","","","4","","","1","","","","","","","","","4","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6142,NA,NA,406,"","","1","8","","","","","","84","","3","1","2","39","","1","1","","","4","4","5","10","4","3","44","5","1","4","34","66","10","101","142","","","","","","","","","","","","","","","5","","","","","","","","1","","","","10","","2","","","","1","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6201,NA,NA,410,"","2","","4","1","2","","1","3","27","","1","","2","9, 87","","","4","","","","","","9","","","72","1","","","50","15","9","64","","13","","","","","","","35","","","","","","","5","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
