Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae,Annonaceae,Antidesma,Apocynaceae,Artemisia,Bombax,Borreria,Brassicaceae,Bridelia,Burkea,Butyrospermum,Caesalpinioideae,Capparidaceae,Cassia,Celtis,Cf Zornia,Chrozophora,Cissampelos cf. mucronata,Cissus,Combretaceae,Commelinaceae,Commiphora,Compositae,Cordia,Cyperaceae,Detarium,Elaeis guineensis,Entada,Ephedra,Euphorbiaceae,Ficus,Gardenia imperialis,Gramineae,Heliotropium,Hydrocharitaceae,Hymenocardia,Hyphaene/Borassus,Indetermines,Indigofera,Irvingiaceae,Khaya,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Lythraceae,Macaranga,Maerua,Malvaceae,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monoletes,Moraceae,Morelia senegalensis,Nymphaea,Oldenlandia,Olea hochstetteri,Papilionoideae,Phoenix,Phyllanthus reticulatus-type,Podocarpus,Polycarpaea,Polygala,Polygonum cf. senegalense,Prosopis,Rubiaceae,Salvadoraceae,Scrophulariaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Triletes,Typha,Uapaca,Urticaceae,Ziziphus
7300.639,245,,2,13,,,,,,1,1,,,,,,,,,,,,1,,3,,,,,56,7,1,,,,,,465,,,1,,7,,2,,,,,,5,1,,,,,,,,5,,,,,1,1,,,,,1,,,,,,3,,1,13,,3,22,,
7703.668,258.5,,,15,,,,1,,,,,,,,,,,1,2,,,1,,2,,,,,59,1,7,,,1,,,459,,,,,2,2,,,,,1,,4,,,,,,2,,,1,,,,,1,1,,,,,,,,,1,,2,,,2,,5,21,,
8017.136,269,,,22,,,,,,,,,,,,1,,1,1,1,,,,,3,,,,,62,,,,,1,,,439,,,,,5,,,,,,1,,2,1,,,,,,,,1,2,,1,,1,1,,,,,,,,1,,,,,,,1,3,17,,
8315.677,279,,,14,,,,,1,,,,,,,1,,,,1,,,1,,,,,,,62,,,,,,1,1,443,,,,,3,,,,,,1,,1,,,,,,1,,1,1,,,,,5,1,,,1,1,,,,,,,1,,,2,,4,8,,
8584.363,288,1,,9,,2,,,,1,,,,,1,,,,,,,,,,,,,,,66,,,,,1,,,473,,,,,4,,,,,,,,3,,,,,1,,,1,2,,,,,2,,,,1,,,,,,,,,,,,2,3,5,,1
8882.904,298,,,14,,2,,,,,,,,,1,,,,,1,,,,,1,,,1,,44,,,,,,,,308,,,,,2,1,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,,,,2,,4,,,
9241.153,310,,,9,,2,,,3,,,,,,,,,,,1,,,,,2,,,1,,88,,4,,,,2,,456,,,,,3,,1,,,1,,,,,,,,,,,,,,,1,,1,3,1,,,,,,,,,,,,,6,2,1,17,,
9465.059,317.5,,,8,,,,1,,,,,,,,1,,,,1,,,,,3,,,1,,47,,1,,,,,,462,,,1,,5,,1,,,,,,1,,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,2,20,,
9688.964,325,1,1,12,,3,,,,,,1,,,1,,,,,,,,,,2,,,,,50,2,4,,,,,,500,,,1,,7,,,,,,,1,4,,,,,,,,1,,,1,,,2,2,,1,,,,,,2,,,2,,,3,,,17,,
9987.505,335,,,13,1,1,,,,,,1,,,,,,,,,,,1,,2,,,,,40,1,,,,,,,483,,,,,6,,,,1,,,1,2,1,,,,,1,,,,,,,,2,,,1,,,,,,,1,,,,,2,1,1,15,,
10286.05,345,,,16,,1,,,,1,,,,,,,,,,1,,,1,,1,,,,,64,,,,,1,,,495,,,,,1,,1,,,,,,1,,,2,,,2,,3,1,,,,1,1,1,,,,,,,,,,,,,,1,,5,3,,
10614.44,356,,,,,4,2,,,,,,1,,,,,,,3,,,,,2,,,1,,64,,,,1,1,,,530,,2,,,3,,1,,,,,,,,,,1,,3,,1,,,,3,,,,3,,,,,,,,,,,,,2,,41,2,,
10912.98,366,,,,,2,,,,2,,,,,,,,,,,,,,,,,,3,,54,,,1,1,1,,,454,,,1,,3,,,,,,1,,,,,,,,,,,,,,5,,,1,,,,,,1,,,,,,1,,,,60,,,
11211.52,376,,,,,5,,,,,,,,,,,,,,,,,1,,,,,1,,47,,,,,1,,,310,,,,,1,,,,,,,,,,,,,,,,2,1,,,22,,,3,,,,,,,,,,,,,,,,285,,,
11405.57,382.5,,,,,3,,,,,,,,,,,,,1,1,,,,,,1,,1,,14,,,,,,,,157,,,,,1,,,,,,,,,,,,,,,,2,,,,84,,,,,,,,,,,,,,,,,,,1110,,,
