"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Rumex","Apiaceae","Pistacia","Amaranthaceae","Lamiaceae","Typha angustifolia-type","Matricaria-type","Quercus cf. Q. canariensis","Cyperaceae","Brassicaceae","Plantago cf. P. lanceolata","Cedrus cf. C. atlantica","Quercus cf. Q. rotundifolia","Poaceae","Asteroideae","Plantago cf. P. major","Myriophyllum","Cupressaceae","Fraxinus","Potamogeton","Phillyrea","Plantago cf. P. coronopus","Caryophyllaceae","Cichorioideae","Plantago undiff.","Ranunculus","Alisma-type","Hypericum","Cirsium-type","Herniaria-type","Cladium","Typha latifolia","Pinus","Hedera","Ephedra cf. E. distachya","Helianthemum","Olea","Euphorbia","Ephedra cf. E. fragilis","Ilex"
689,1025,439,1864,1,2,1,NA,1,NA,1,1,2,2,1,1,5,35,50,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,1085,493,1880,1,2,NA,NA,1,NA,3,NA,3,1,NA,1,19,31,36,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,1132,537,1892,NA,1,NA,NA,NA,NA,NA,NA,4,2,1,NA,15,32,43,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,1227,631,1916,1,1,1,NA,1,NA,1,NA,3,1,1,1,7,32,53,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,1295,702,1932,NA,1,1,NA,NA,1,1,1,1,NA,1,1,9,18,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,1367,777,1948,NA,1,1,1,1,NA,1,NA,2,1,1,NA,9,41,41,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,1441,858,1964,NA,NA,2,NA,1,NA,2,NA,6,1,1,NA,11,46,29,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1186,1519,946,1980,1,1,2,NA,1,NA,3,NA,8,1,2,1,8,58,16,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,1570,1004,1990,1,NA,1,1,1,NA,1,NA,4,1,2,1,8,52,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303,1627,1070,2001,1,NA,3,1,1,1,1,NA,8,1,1,1,9,44,25,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
1392,1708,1165,2016,1,NA,3,1,1,NA,1,1,9,1,1,1,14,43,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
1493,1799,1274,2032,1,1,NA,2,1,NA,1,NA,5,1,1,1,16,41,30,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1600,1894,1390,2048,NA,1,1,3,1,NA,3,1,6,2,NA,1,14,42,26,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1656,1944,1450,2056,NA,1,1,NA,1,1,1,NA,6,1,2,1,10,48,29,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1713,1995,1512,2064,2,1,NA,NA,1,NA,NA,NA,6,3,3,NA,26,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1743,2021,1543,2068,NA,NA,1,NA,1,NA,NA,NA,3,1,1,NA,28,31,32,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1833,2100,1639,2080,NA,2,1,1,1,NA,1,NA,7,1,2,1,27,38,18,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,2156,1705,2088,3,1,NA,NA,1,NA,2,NA,4,1,1,1,18,42,26,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2268,1838,2104,1,1,1,NA,1,NA,1,1,3,1,1,NA,17,42,30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2123,2356,1940,2116,NA,1,2,NA,1,NA,1,1,5,1,2,NA,18,46,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2260,2488,2080,2132,1,NA,NA,1,NA,NA,2,NA,4,1,3,2,18,42,25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
2401,2598,2221,2148,1,NA,2,1,1,NA,2,1,9,3,2,NA,11,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2544,2720,2362,2164,1,1,1,1,1,NA,2,NA,11,2,2,1,15,46,19,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2617,2785,2435,2172,NA,1,1,NA,1,NA,1,NA,11,1,2,NA,14,41,25,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2690,2852,2508,2180,1,1,2,1,1,NA,2,NA,14,2,2,1,23,37,14,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2754,2912,2572,2187,NA,NA,NA,NA,NA,NA,2,NA,9,1,2,NA,23,40,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2891,3049,2713,2202,NA,NA,1,NA,1,NA,1,NA,8,1,1,NA,13,44,28,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,3160,2827,2214,NA,NA,NA,1,NA,NA,1,NA,10,1,2,1,23,41,16,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3166,3329,2999,2232,NA,1,1,1,1,NA,2,NA,12,1,4,NA,13,33,31,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3258,3422,3091,2242,NA,NA,1,2,NA,NA,1,1,14,NA,2,1,16,32,26,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
3313,3477,3145,2248,NA,NA,1,NA,1,NA,1,NA,13,1,2,1,20,31,25,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
3386,3554,3219,2256,1,NA,1,NA,1,NA,NA,NA,12,1,2,NA,17,37,24,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
3459,3629,3291,2264,NA,2,2,NA,NA,NA,2,1,11,1,3,1,14,37,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
3604,3780,3435,2280,1,NA,1,1,1,NA,2,NA,17,1,3,1,12,32,29,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
3749,3931,3577,2296,1,1,1,1,NA,NA,1,NA,16,NA,1,2,7,46,22,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3803,3988,3631,2302,NA,NA,1,NA,NA,NA,1,NA,24,NA,3,1,7,39,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3930,4119,3753,2316,NA,NA,1,1,NA,NA,3,NA,20,1,3,1,7,35,28,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4073,4268,3893,2332,1,NA,1,NA,1,NA,3,NA,24,1,2,1,5,31,31,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
4215,4415,4032,2348,1,1,2,1,NA,NA,2,NA,22,3,3,2,4,29,30,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
4357,4560,4169,2364,NA,1,3,1,1,NA,1,NA,28,2,4,NA,5,27,20,NA,NA,1,1,1,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA
4497,4704,4306,2380,1,1,2,3,NA,1,1,NA,29,2,4,NA,5,30,19,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4636,4847,4443,2396,1,2,2,1,1,NA,1,NA,20,1,1,NA,6,27,32,NA,NA,1,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
4808,5023,4612,2416,1,1,1,1,1,NA,1,NA,22,1,2,NA,2,37,28,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4885,5101,4687,2425,NA,1,2,1,NA,NA,1,NA,10,1,NA,1,2,37,43,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4945,5162,4746,2432,1,1,1,2,NA,NA,2,NA,8,1,3,1,2,38,35,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
5029,5248,4829,2442,1,NA,NA,1,1,NA,4,NA,10,1,1,1,3,43,31,1,1,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
5079,5299,4878,2448,NA,NA,NA,1,1,NA,2,1,17,1,2,1,1,40,31,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
5213,5434,5008,2464,1,1,3,1,1,NA,2,NA,15,2,2,2,1,39,29,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
5344,5568,5138,2480,1,1,3,1,1,1,2,NA,19,4,3,1,4,34,27,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
5475,5700,5266,2496,NA,1,3,1,NA,NA,1,NA,12,1,2,NA,NA,41,34,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
5636,5862,5424,2516,1,1,1,1,1,NA,2,NA,10,2,3,1,1,44,27,NA,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
5803,6030,5589,2537,4,NA,2,1,2,NA,3,NA,9,2,3,1,1,32,40,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
5890,6118,5676,2548,1,1,1,3,NA,NA,2,NA,16,NA,5,1,3,42,22,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
6015,6243,5801,2564,NA,NA,1,2,NA,NA,4,NA,7,2,2,1,NA,49,34,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6139,6365,5925,2580,1,1,1,1,1,NA,2,NA,8,6,3,1,1,44,33,NA,NA,3,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1
6262,6488,6050,2596,1,1,1,1,NA,NA,2,1,8,1,3,1,2,34,42,NA,NA,7,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
6293,6519,6082,2600,NA,2,1,2,NA,NA,4,NA,5,NA,4,NA,1,30,50,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1
6415,6640,6206,2616,1,NA,NA,1,NA,NA,3,NA,6,1,1,NA,1,38,47,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
6537,6759,6330,2632,NA,NA,NA,2,NA,NA,2,NA,11,2,4,NA,1,42,34,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1
6658,6878,6454,2648,NA,1,1,1,1,NA,2,NA,11,1,4,1,1,53,20,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
6778,6997,6579,2664,1,1,2,2,NA,NA,1,NA,11,2,5,NA,1,55,14,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
7054,7268,6865,2701,1,1,1,1,1,1,2,NA,9,1,4,NA,2,51,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
7165,7377,6982,2716,1,1,1,NA,1,NA,3,NA,8,1,2,NA,NA,72,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7284,7493,7106,2732,3,1,1,1,1,NA,5,1,12,1,3,NA,NA,57,17,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7402,7609,7229,2748,1,NA,1,NA,1,NA,2,NA,8,1,1,NA,NA,74,10,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7520,7725,7352,2764,4,NA,2,NA,1,NA,2,NA,10,2,3,NA,NA,61,17,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7638,7840,7473,2780,2,NA,2,1,NA,NA,1,NA,11,1,2,NA,NA,69,11,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7756,7953,7592,2796,1,NA,1,1,1,NA,1,NA,11,1,3,NA,NA,72,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7801,7995,7635,2802,1,1,1,1,1,NA,2,1,16,1,3,NA,2,46,23,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7904,8095,7740,2816,1,1,1,1,NA,NA,2,NA,6,1,1,NA,NA,69,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,8206,7857,2832,1,1,2,1,NA,NA,2,NA,8,1,1,NA,NA,70,15,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8137,8314,7971,2848,5,NA,3,1,NA,NA,2,NA,11,1,3,NA,NA,55,19,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8250,8420,8081,2864,2,NA,3,1,1,NA,2,NA,10,1,NA,NA,NA,65,16,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8359,8524,8182,2880,2,2,2,1,NA,NA,2,NA,4,2,1,NA,NA,65,21,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8465,8627,8277,2896,4,NA,3,NA,1,NA,2,NA,10,2,3,NA,NA,56,20,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9170,9352,8987,2996,1,NA,2,1,NA,NA,2,NA,10,1,1,NA,NA,67,12,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9203,9385,9023,3000,2,NA,1,1,1,NA,3,NA,13,NA,1,NA,NA,64,17,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9273,9453,9098,3008,1,NA,1,1,1,NA,1,NA,15,NA,2,NA,NA,61,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9346,9522,9175,3016,2,NA,1,NA,1,NA,1,NA,14,NA,2,NA,NA,65,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9413,9587,9246,3023,2,1,NA,2,NA,NA,1,NA,10,NA,1,NA,NA,69,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9503,9674,9339,3032,1,1,NA,1,NA,NA,4,NA,14,NA,2,NA,NA,67,12,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9576,9747,9412,3039,NA,1,1,2,NA,NA,2,NA,12,NA,2,NA,NA,67,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9674,9850,9509,3048,2,1,1,1,1,NA,2,NA,8,1,2,NA,NA,69,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9742,9921,9574,3054,2,1,1,2,1,NA,1,NA,11,NA,NA,NA,NA,65,14,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9859,10043,9679,3064,2,1,1,1,1,NA,1,NA,8,NA,2,NA,NA,65,16,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9968,10159,9771,3073,2,1,2,1,1,NA,2,NA,9,1,2,NA,NA,63,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10056,10255,9845,3080,2,NA,1,1,NA,NA,4,NA,10,2,3,NA,NA,65,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10331,10563,10074,3101,2,1,4,1,NA,NA,3,NA,12,NA,2,NA,NA,58,19,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10426,10669,10147,3108,1,1,NA,2,1,NA,3,NA,9,1,3,NA,NA,59,20,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10536,10796,10232,3116,3,1,2,1,1,1,4,NA,9,1,2,NA,NA,62,17,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
10648,10926,10316,3124,1,1,2,2,1,1,3,NA,11,1,1,NA,NA,61,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
10762,11061,10400,3132,5,1,2,2,NA,1,3,1,8,1,1,NA,NA,57,20,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10877,11198,10482,3140,5,1,1,1,1,NA,1,NA,9,1,NA,NA,NA,59,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
10993,11338,10564,3148,4,1,1,1,NA,1,4,NA,8,1,2,NA,NA,55,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11109,11480,10645,3156,4,1,1,3,NA,NA,3,NA,8,1,2,NA,NA,57,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11227,11625,10726,3164,4,2,1,3,1,NA,2,NA,11,1,4,NA,NA,48,25,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11330,11753,10797,3171,7,1,2,2,1,1,2,NA,7,1,NA,NA,NA,53,23,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11462,11918,10887,3180,6,1,3,2,1,NA,5,NA,8,1,2,NA,NA,49,26,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11580,12067,10969,3188,6,1,2,2,1,1,3,NA,6,1,1,NA,NA,42,33,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
