"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Fabaceae undiff.","Sparganium-type","Pistacia","Poaceae (Cerealia) undiff.","Secale","Carpinus betulus","Ephedra distachya-type","Ostrya/Carpinus orientalis","Plantago coronopus-type","Fraxinus excelsior-type","Quercus cerris-type","Serratula-type","Betula","Rumex-type","Phillyrea","Varia","Fagus","Sample quantity","Corylus","Centaurea cyanus","Dipsacoideae","Galium-type","Cyperaceae undiff.","Plantago lanceolata-type","Matricaria-type","Cichorioideae","Poaceae","Juniperus-type","Quercus pubescens/Q. robur-type","Spike","Pinus","Artemisia","Amaranthaceae","Botryococcus","Ulmus","Brassicaceae","Sarcopoterium spinosum/Poterium sanguisorba","Centaurea solstitialis","Helianthemum-type","Quercus indet.","Apiaceae","Typha latifolia-type","Ephedra fragilis-type","Quercus ilex/Q. coccifera-type","Alnus","Rosaceae undiff.","Prunella-type","Fraxinus ornus","Xanthium-type","Thalictrum","Pimpinella-type","Polygonum aviculare-type","Euphorbiaceae","Cistus albidus-type","Platanus orientalis","Mentha-type","Polypodiaceae undiff.","Filipendula","Asphodelus-type","Salix","Acer","Senecio-type","Centaurea scabiosa-type","Armeria maritima-type","Elaeagnus","Liliaceae undiff.","Pulmonaria-type","Polypodium vulgare","Ranunculus-type","Erica-type","Juglans","Vicia-type","Sorbus-type","Alchemilla-type","Calystegia-type","Nonea-type","Erodium-type","Medicago sativa-type","Picea","Vitis","Linum undiff.","Populus","Triticum-type","Humulus/Cannabis-type","Abies","Reseda-type","Plantago major/P. media-type","Pteridium","Rumex aquaticus-type","Tilia","Castanea","Limonium vulgare","Myriophyllum-type","Astragalus-type","Stachys-type","Phyteuma-type"
1770,NA,NA,210,2,2,1,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,3.2,2,NA,NA,7,2,7,8,NA,70,11,39,234,144,66,34,810,NA,4,4,1,3,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,NA,226,1,2,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,2,3,NA,3,3,2.4,3,1,NA,2,4,19,4,4,158,3,20,75,6,125,17,193,NA,7,7,NA,4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,234,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,1,1,1,NA,1,35,8,11,47,4,42,8,29,1,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,250,2,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,2,4,3.8,1,1,NA,8,3,28,3,12,67,4,27,153,83,148,8,1,NA,4,23,NA,21,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2094,NA,NA,266,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3.2,1,NA,NA,2,1,5,NA,4,10,NA,7,70,24,59,3,2,NA,2,11,NA,1,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2182,NA,NA,282,NA,2,NA,3,1,NA,NA,NA,1,3,NA,5,3,NA,1,5,9,2,3.6,5,3,1,2,23,21,4,6,48,16,23,111,73,73,48,4,NA,2,9,1,11,NA,11,NA,NA,3,NA,1,NA,NA,NA,1,NA,2,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2226,NA,NA,290,4,NA,NA,NA,NA,NA,1,1,NA,2,NA,2,2,1,NA,NA,7,2,3.2,3,NA,NA,6,1,12,6,12,15,6,27,127,49,71,20,96,NA,8,11,5,5,NA,5,NA,NA,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,1,1,1,5,4,2,2,3,3,3,8,4,4,13,6,25,21,22,49,13,66,NA,8,2,NA,2,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,NA,NA,306,3,3,NA,4,NA,NA,2,NA,4,NA,NA,2,NA,3,2,2,2,NA,4.2,3,NA,1,7,5,6,3,2,13,7,43,23,48,69,5,1,3,8,7,1,3,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2377,NA,NA,316,2,1,1,1,NA,NA,2,NA,2,3,NA,2,NA,1,1,1,7,10,2.8,4,NA,NA,5,9,31,2,12,55,24,35,116,88,86,8,5000,NA,10,6,1,4,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2474,NA,NA,332,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,3,3,NA,1,1,1,5,1,7,35,3,35,92,162,84,13,325,1,7,28,NA,5,NA,2,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2571,NA,NA,348,1,NA,4,NA,NA,NA,NA,NA,1,NA,1,NA,3,3,NA,1,5,1,2.8,NA,1,1,1,NA,10,2,6,7,4,20,160,184,137,12,NA,1,17,5,NA,10,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,NA,NA,364,1,1,NA,1,7,1,4,NA,2,3,NA,1,NA,4,NA,NA,3,9,3,3,NA,NA,5,NA,11,1,5,17,11,23,105,226,74,7,5,NA,4,5,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2708,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,3,NA,15,5,NA,8,84,66,119,7,NA,NA,3,2,NA,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2795,NA,NA,388,NA,4,NA,1,5,NA,2,NA,1,NA,1,NA,1,NA,NA,2,NA,1,3,1,NA,NA,4,2,3,4,2,31,5,36,47,81,228,34,NA,NA,4,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2839,NA,NA,396,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,1,5,NA,4,NA,7,1,13,133,29,71,5,1,NA,NA,8,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2887,NA,NA,404,2,NA,NA,NA,NA,1,1,NA,2,1,1,NA,NA,NA,6,1,NA,NA,3,NA,1,NA,5,11,7,6,6,66,6,33,88,41,193,7,NA,2,6,3,1,5,NA,7,NA,NA,3,1,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2954,NA,NA,412,7,2,1,3,6,NA,2,NA,3,3,NA,1,NA,4,4,NA,5,1,2.6,4,NA,NA,1,5,7,2,1,112,10,58,117,60,182,4,1,1,1,9,NA,2,NA,6,NA,NA,3,4,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
3020,NA,NA,420,1,3,1,NA,NA,NA,3,NA,1,3,NA,1,NA,1,1,NA,4,1,2.4,4,NA,NA,3,13,9,8,NA,60,4,38,45,19,186,15,NA,NA,5,6,2,NA,NA,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3152,NA,NA,436,1,NA,NA,2,7,NA,10,NA,2,3,2,NA,1,1,1,NA,1,1,2.8,8,NA,NA,4,9,5,5,NA,72,3,50,95,49,169,40,NA,3,2,9,NA,NA,NA,8,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,NA,NA,444,NA,5,NA,1,NA,NA,1,1,9,NA,NA,2,NA,1,1,1,2,2,3.8,3,NA,NA,NA,21,5,9,2,49,10,66,70,43,182,25,1,NA,NA,17,NA,2,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
3285,NA,NA,452,2,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,3,9,1,NA,1,12,12,4,7,70,14,46,160,69,193,61,NA,NA,1,3,1,NA,NA,6,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
3317,NA,NA,460,2,4,NA,NA,3,NA,NA,NA,1,5,1,1,NA,NA,3,NA,3,NA,3.6,1,NA,NA,6,26,19,5,4,99,8,15,65,28,176,20,NA,NA,5,13,NA,6,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3348,NA,NA,468,3,2,1,NA,2,NA,4,NA,5,NA,1,2,NA,1,1,NA,1,1,3,3,NA,NA,4,6,3,9,1,123,14,49,153,31,104,46,2,1,1,6,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3380,NA,NA,476,2,1,2,1,4,NA,5,NA,5,7,NA,NA,1,1,4,NA,2,2,3.4,8,1,NA,3,12,27,5,12,75,5,23,115,43,161,26,250,NA,2,8,1,2,NA,5,NA,NA,4,2,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
3412,NA,NA,484,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2,1,NA,1,NA,1,1,NA,1,13,2,4,91,16,30,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3475,NA,NA,500,3,4,NA,1,NA,NA,1,NA,1,1,NA,2,2,1,2,1,4,1,3.4,3,NA,1,2,10,11,3,5,31,2,31,41,25,252,30,986,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3511,NA,NA,508,2,2,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,1,2,6,4.2,2,NA,NA,7,1,6,NA,12,22,5,29,38,69,244,30,456,1,1,1,NA,NA,NA,2,NA,NA,NA,5,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3548,NA,NA,516,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,2,NA,3.8,1,NA,NA,1,1,5,3,2,37,9,19,63,27,178,22,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
3586,NA,NA,524,1,NA,NA,NA,3,NA,1,NA,3,NA,NA,4,NA,NA,2,NA,7,NA,3.6,1,NA,NA,2,5,5,5,6,49,4,28,40,139,209,14,NA,3,2,3,NA,3,NA,4,NA,NA,1,1,1,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3624,NA,NA,532,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,3,5,1,NA,NA,4,1,7,1,16,14,31,26,218,142,9,NA,NA,NA,2,NA,1,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3661,NA,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,2.4,NA,NA,NA,NA,NA,2,NA,NA,9,1,39,88,355,14,4,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3699,NA,NA,548,3,1,NA,NA,NA,NA,8,NA,5,1,1,5,NA,1,1,NA,3,1,2.2,2,NA,NA,2,19,7,3,5,40,18,67,107,106,178,19,1,NA,2,1,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3783,NA,NA,556,NA,3,NA,NA,3,NA,3,NA,NA,1,NA,NA,NA,1,1,NA,NA,3,3,NA,1,NA,1,3,1,1,1,21,7,35,190,184,123,39,658,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3928,NA,NA,564,NA,4,NA,NA,1,NA,1,NA,7,NA,NA,2,1,2,1,NA,6,2,3.2,1,NA,NA,1,5,6,3,5,27,15,30,113,91,216,28,NA,NA,1,3,NA,12,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
