"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Brassicaceae","Quercus ilex-type","Sparganium-type","Ulmus","Acer","Asteroideae","Rubiaceae","Filipendula","Olea","Erica arborea-type","Quercus pubescens-type","Artemisia","Fraxinus ornus","Amaranthaceae-type","Cyperaceae","Cichorioideae","Anthemis-type","Quercus cerris-type","Lemnoideae","Plantago lanceolata-type","Phillyrea","Thalictrum","Apiaceae undiff.","Poaceae","Myriophyllum alterniflorum","Lycopodium spike","Callitriche","Plantago major","Platanus","Ostrya-type","Populus","Poaceae (Cerealia)","Rumex acetosa-type","Eucalyptus","Centaurium","Sorbus-type","Trifolium pratense-type","Sedum-type","Cladium mariscus","Ilex aquifolium","Pimpinella major-type","Ranunculus sect. Batrachium","Sphagnum","Polypodium","Ranunculus acris-type","Aster-type","Plantago maritima-type","Peucedanum-type","Chaerophyllum hirsutum-type","Rumex scutatus-type","Pteridium aquilinum","Sporormiella","Trifolium repens-type","Corylus avellana","Daucus","Mercurialis annua","Pteridophyta (monolete) undiff.","Cercophora-type","Paronychia-type","Centaurea nigra-type","Urtica membranacea-type","Alnus glutinosa-type","Pinus","Urtica dioica-type","Alisma-type","Juniperus-type","Oenanthe","Plantago coronopus-type","Ceratophyllum","Potamogeton-type","Betula","Potentilla-type","Rumex","Pistacia","Bupleurum","Echium-type","Hedera helix","Silenoideae-type","Salix","Rosaceae","Helianthemum","Lythrum portula","Mentha-type","Serratula-type","Fraxinus excelsior-type","Fagus sylvatica","Ranunculus-type","Phragmites australis","Utricularia","Rumex obtusifolius-type","Carpinus betulus","Liliaceae-type","Castanea sativa","Eryngium","Genista-type","Ephedra fragilis-type","Gnaphalium-type","Cyperus-type","Ammi-type","Falcaria-type","Turgenia latifolia","Carduus","Spergula-type","Anthriscus sylvestris-type","Isoëtes","Rubus","Abies","Euphorbia","Juncaceae","Heliotropium","Vicia-type","Hypericum perforatum-type","Papaver rhoeas-type","Solanum dulcamara","Asphodelus albus-type","Trifolium-type","Picea","Apium-type","Smyrnium-type","Fabaceae undiff.","Vitis","Cannabis sativa","Astragalus-type","Humulus lupulus","Daphne","Glomus","Anthyllis","Podospora-type","Cerastium-type","Linum","Osmunda regalis","Cuscuta","Geranium","Rosa","Scabiosa","Silene dioica-type","Viburnum tinus","Loranthus europaeus","Urtica pilulifera","Typha latifolia-type","Corrigiola litoralis","Anemone-type","Cirsium","Senecio-type","Juglans regia","Foeniculum-type","Morus","Prunus-type","Cistus","Sambucus nigra-type","Saxifraga granulata-type","Lygeum spartum","Heracleum","Odontites-type","Carlina","Sanicula europaea","Gladiolus-type","Colchicum-type","Taxus baccata","Theligonum cynocrambe","Ceratonia siliqua","Knautia","Ephedra distachya-type","Calendula","Cynoglossum officinale-type","Cyclamen purpurascens","Gelasinospora","Pteridophyta (trilete) undiff.","Lotus-type","Tilia","Matthiola-type","Epilobium","Calligonum","Polygonum aviculare-type","Allium-type","Melampyrum","Lysimachia vulgaris-type","Ophioglossum lusitanicum","Linaria-type","Scilla-type","Lamiaceae undiff.","Sanguisorba minor-type","Cerinthe","Valerianoideae","Nymphaea","Caltha-type","Viola"
377.88,NA,NA,70,"18584, 3","1","2","15","20","1","","","2","","9","2","43","4","","1","30","9","8","80","","2","","","1","318","26","95","","","","","","","","","","","2","","","","","29","1","","4","10","","","5","2","5","","5","1","1","","8","2","1","5","","","1","","23","","409","13","","1","","2","","","2","","3","","","","","10","","","","7","","","","","","","2","","","","1","","","2","","1","","2","","1","","1","","","","","","","","","","28","","","","","","","","1","","3","","","2","","","","","","","","","","3","1","1","1","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
427.36,NA,NA,78,"18584, 3","1","4","15","29","1","","","1","","4","1","66","6","","","12","8","3","147","2","3","","","","257","21","93","","","","","","1","2","","1","","1","","","","","20","8","","","6","1","","2","2","3","","1","","3","","5","1","3","5","","4","1","","9","","438","2","","","","","","1","1","","2","","","","1","1","1","","","11","","","","","","","3","1","","","","1","","","","1","","","","","1","","","","1","","","","","","","11","","","","1","","","","","","","","","6","","","","","","","","","1","7","","","","1","9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
691.19,NA,NA,86,"18583, 4","1","","1","","2","","9","","","4","7","56","6","1","7","14","4","8","94","3","4","","3","2","75","63","164","","","","1","","25","","","","1","","","","1","","15","5","","","","","","","","1","","","4","2","","31","","","2","","3","2","1","2","","720","","","41","","2","","","2","","6","","","","","","1","1","2","23","1","26","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","","","","","","","15","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1337.03,NA,NA,98,"18584, 3","1","2","28","69","2","2","","","","3","4","143","4","4","4","44","4","6","226","5","2","2","","","195","60","76","","","","3","","1","","","","","","","","2","","17","4","1","","4","","","3","","5","","2","2","3","1","8","","","8","","2","1","","8","","400","1","","16","","4","","1","3","","3","","","","1","6","1","","1","12","","","","","1","","","","2","1","","","","","","","","","","","","1","","","","2","","","1","","","6","","","","","","","","","","","","","3","","","1","","","","1","","1","3","","","","","4","","","","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1767.6,NA,NA,106,"18584, 3","1","","8","26","","","4","","","2","6","81","2","","","11","1","3","180","5","1","","2","6","35","69","88","","","","","","2","","","","","","","","","","11","","","","","","","","","","","","","","","21","","","","","2","","","4","","331","","","11","","5","","","3","","3","","1","","","","","","","27","10","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2413.44,NA,NA,118,"18584, 3","1","2","49","29","5","1","","4","","5","5","135","4","2","5","50","12","","116","","5","1","","","344","92","51","","","","3","","1","","","","1","","","","","","39","9","2","","7","","","5","2","5","","","1","5","2","5","","4","5","","2","3","","4","","114","2","","22","1","2","","1","","","4","","1","","","17","1","2","","13","","","","","","","","3","","","","","","1","","2","","","","","","2","","","","1","","","1","","","66","1","","","1","","","","","","","","","3","","","","","","","","","1","7","","","","1","6","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2844,NA,NA,126,"18583, 4","1","","1","","1","","2","","","","3","19","1","","2","54","4","","18","8","","","","39","402","","24","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","2","","","","2","","","3","1","","","","","","1","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2995.31,NA,NA,134,"18583, 4","1","","23","","3","2","1","","","3","5","117","3","5","4","15","3","","145","","3","","","13","58","","166","","","","1","","2","","","","","","","","5","","","","","","","","","","","1","","","","","","2","","","","","1","","","","","","","1","1","","","","","","","5","","","","","","","","","25","2","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3146.63,NA,NA,142,"18584, 3","1","1","5","","1","","","","","1","4","86","4","4","2","90","1","1","361","","1","","","","40","","88","","","","","","","","","1","","","","","","1","1","","1","","1","","","","","1","","","","2","","2","","1","","","","1","1","1","","1","","","","","1","","2","1","","4","","","","","","","","2","10","","","","","","","","1","","","","","","","","1","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","6","","","1","","","","1","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3297.94,NA,NA,150,"18583, 4","1","","30","","2","1","","","","1","7","115","5","6","11","79","1","1","161","","2","","","14","41","","214","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","3","","","","","2","","","","","","","","","","","","","","","2","3","","","","","1","","2","20","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3449.26,NA,NA,158,"18584, 3","1","1","22","","","2","","1","","1","5","153","2","","5","148","3","","215","","4","","","","32","","51","","","","5","","","1","","","","","","","","","","16","","","1","","","","1","6","","","2","3","1","2","","","","","","2","3","","","3","","","","","1","","6","","","1","","","","","","2","","1","19","","","","","","1","","","1","","1","","","","","","","","1","","1","","","","","2","","","","","","","2","","","","","","","","","","","","31","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3727.85,NA,NA,166,"18583, 4","1","","13","","5","","8","","","3","7","37","3","1","3","357","6","2","177","1","1","","","4","105","","361","","","","4","","4","","","","","","","","","","","2","","","","","","","","2","","","3","","","3","","","","","","1","1","","","","","","2","1","","","1","","","1","1","","","","1","","1","1","36","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
4260,NA,NA,174,"18584, 3","1","","22","2","2","","","1","","1","1","93","1","2","1","118","11","","74","","2","2","","","278","","131","","","","2","","2","","","","","1","","","","","1","9","","","5","1","","","","4","","2","","3","1","","3","","","","2","","2","","1","2","1","","12","","2","","2","","","2","","","","","28","","","","10","","","","","","","","","","","","","","","","","","","1","","","","","","1","2","","","","","","17","","","","","","","","","","","","","31","","1","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","",""
4349.04,NA,NA,180,"18583, 4","1","","9","5","5","","13","","","2","5","64","","5","4","35","5","","110","","","","","15","335","","145","","","","1","","","","","","","","","","","","9","23","","","","","","","","2","","","1","1","1","1","","","","","3","","1","","","","1","5","3","","2","","","","","5","","","","","35","2","1","3","8","4","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","26","","","","","","","","","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
4704,NA,NA,188,"18583, 4","1","","5","","1","1","1","","","1","","26","","1","1","9","","","48","","","","","2","303","","150","","","","1","","1","","","","","","","","","","","5","","","","","","","","","","","","","","7","","","","","","","7","","","","","1","3","","","","","","","1","","","","","","1","1","","5","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","",""
4834.2,NA,NA,198,"18584, 3","1","1","14","6","","","","1","","1","1","88","1","","5","35","2","3","76","1","1","","","2","261","1","123","28","","","","","1","","","","","2","","","1","","","11","1","","2","","1","3","","1","1","","","","1","1","5","","","","2","1","3","","","14","1","1","17","","","","","","","","","","","","2","","","1","7","","","","","","","","","","","","","","","","1","","","","1","","","","","1","2","","1","","","","4","1","","","","","","","","","1","","","23","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","",""
4912.33,NA,NA,204,"18583, 4","1","1","6","","2","","3","","","","2","31","","1","1","3","","","58","","","","1","1","284","","342","","","","","","","","","","","","","","","","","16","","","","","","","","","","","1","1","","1","","","","","","2","","","","","","","2","","","","1","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","1","","","","","","","","","","","","","","","","",""
5016.49,NA,NA,212,"18584, 3","1","1","47","","","","","","","3","9","58","3","1","5","2","2","2","54","","3","1","","3","215","","178","","","","2","","1","1","","","","","","","","","","21","1","","7","","","1","1","33","","2","2","5","","","","","","","4","1","5","","1","","2","","","","","","2","","","2","","","","","","","","3","19","","","","","1","","","","","1","","","","","","","","","","","","","","","","4","","","","","","","","","","","1","","","","","","","","236","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","","","","1","6","","","","","","","","","","","","","","",""
5120.65,NA,NA,220,"18583, 4","1","","35","","1","","2","1","","2","2","152","2","2","1","11","1","1","121","","1","","","6","53","","234","","","","2","","","","","","","","","","3","","","11","4","","","","","","","43","","","","","","1","","","","","1","1","","","","","","1","2","","1","","","","","11","1","","","","","","","8","8","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","",""
5224.82,NA,NA,228,"18584, 3","1","","71","","3","1","","","","4","5","131","2","3","5","8","1","","193","","2","1","","2","40","","188","","","","9","","","","","","","","","","","","","10","2","","3","","","","","59","","","2","","","4","","","","1","5","2","4","","","1","","","","2","1","","4","4","1","4","","","","","","","","5","9","","","","","1","","","","","1","","1","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","1","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
5328.98,NA,NA,236,"18583, 4","1","","11","","9","2","6","","","","1","69","1","2","","3","","","111","","9","","","2","140","","293","","","","4","","1","","","","","","","","","","","15","2","","","","","","","5","","","","1","","4","","","","","3","","6","","","","","","1","","","","1","","","","","","","","","","2","3","21","6","","","","1","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
5433.14,NA,NA,244,"18584, 3","1","2","62","","1","","","","","1","4","171","","5","1","3","4","3","151","","11","","","2","133","","345","","","","3","4","","1","","","","","","","1","","1","51","1","","7","","2","3","","24","","","4","4","","4","1","1","","","2","","2","","","1","","","","","","","2","","1","2","","","","","","","","2","14","","","","","1","1","","","","","","","","1","","2","","","","","1","","","","1","4","","","1","","","1","","","","","","","","","","","","","170","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","37","","","","","","","1","1","1","1","1","","","","","","","","",""
5537.31,NA,NA,252,"18583, 4","1","","40","","12","5","2","","","","3","48","","4","1","2","1","1","167","","6","","","3","79","","1199","","","","2","","","","","","","","","","","","","6","1","","","","","","","7","","","2","","","3","","","","","3","2","1","","","","","","","","","","2","","","4","","","","","","","","2","6","2","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
5641.47,NA,NA,260,"18584, 3","1","","45","","1","1","69","","1","1","6","58","","5","6","15","3","1","109","","","","","5","70","","317","","","","3","","1","","","","1","","","","1","","","6","5","","","","","","","219","","","4","","","42","","","","","2","1","","","","","","3","","","","","1","","","3","","","1","","","2","","1","15","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5745.63,NA,NA,268,"18583, 4","1","","24","","1","10","","","","","1","119","","1","2","6","","1","95","","1","","","1","121","","1105","","","","","","","","","","","","","","","","","","2","","","","","","","763","","","1","","","58","","","","","","2","","","","","","","","","","","2","","","2","","","","","","","","4","17","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","1","","","","","","","",""
5849.8,NA,NA,276,"18584, 3","1","","47","","4","","3","","","","6","86","","5","","","","","150","","5","","","4","43","","317","","","","","","1","","","","","","","","","","","1","1","","","","","","","228","","","4","","","37","","","1","","","1","","","","","","","","","","","","","","","1","1","2","","","","","2","37","12","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","3","","","","","","","",""
5953.96,NA,NA,284,"18583, 4","1","","11","","12","2","","","","1","2","111","","3","2","4","","","149","","2","","1","2","72","","575","","","","2","","","","","","","","","","1","","","9","3","","","","","","","58","","","2","","","23","","","","","2","1","1","","","","","","3","","","","","","","1","","","","","","","","2","31","5","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","1","","","","","","","","","2","1","","","","","","",""
6142,NA,NA,292,"18584, 3","1","","27","","1","","4","","","1","3","51","","3","1","6","","1","80","","","","","","32","","122","","","","2","","","","","","","","","","162","","","2","","","","","","","","158","","","2","","","2","","","","","2","","","","","","","5","","","","","","","","","","","","","","","4","","16","2","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
6358,NA,NA,300,"18583, 4","1","","11","","9","","11","","","","4","115","1","6","2","1","","","102","","","","","6","61","","253","","","","2","","2","","","","","","","","57","","","7","","","","","","","","880","","","1","","1","","","","","","1","","","","","","","","","","","","","","","4","","3","","","","","1","2","17","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","46","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","10","","","2","","","","","","","","","","","","","","","","",""
6574,NA,NA,308,"18587, 3","1","","36","","15","","5","","","","","186","","2","","8","","","62","","","","","4","36","","266","","","","3","","","","","","","","","","33","","","16","3","","","","","","","44","","","","","","43","","","","","3","","","","","","","13","7","","3","","","","","4","","","","","","","","1","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6601,NA,NA,309,"18587, 3","1","","39","","10","","","","","","","95","","","5","10","1","","123","","4","","","6","33","","223","","","","3","","","","","","1","","","","64","","2","14","2","","","","","","","53","","","2","","","21","","","","","","1","","","","","","","","","","","","","1","4","","1","","","","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6628,NA,NA,310,"18587, 3","1","","17","","5","","10","","","","","125","","2","","14","1","","78","","4","","","5","33","","124","","","","2","","","","","","","","","","97","","","13","1","","","","","","","42","","","3","","","49","","","","","3","","","","","","","","","","","","","","","3","","1","","","","","3","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","",""
