"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Closterium","Vitis","Acer","Rhamnus","Berberis","Cistus","Transeauina","Pistacia","Poaceae (Cerealia)","Lamiaceae","Ranunculus","Thecaphora","Mougeotia","Juglans","Genista-type","Betula","Ephedra fragilis-type","Puccinia","Corylus","Amaranthaceae","Ericaceae","Fraxinus","Plantago","Potamogeton","Olea","Phillyrea","Asteraceae","Typha","Indeterminable (unknown)","Quercus (deciduous)","Artemisia","Polygonum aviculare-type","Juniperus-type","Pseudoschizaea","Riccia lamellosa-type","Sordaria-type","Pinus pinaster","Cyperaceae","Spirogyra","Quercus (evergreen)","Zygnema","Fungi","Pinus nigra-type","Poaceae","Lycopodium spike","Charcoal","Botryococcus","Trichuris","Salix","Myriophyllum","Ulmus","Taxus","Caryophyllaceae","Brassicaceae","Helianthemum","Arbutus","Ephedra major subsp. major","Buxus","Hedera","Ilex","Unknown (type 128, HdV)","Desmidiaceae"
1560.3,NA,NA,32,"12542, 2","1","","","","1","2","","6","","3","","1","","","","1","5","","","11","2","","1","1","1","","12","6","11","8","24","1","11","13","4","","10","14","4","9","5","9","258","61","154","56.36","","","","","","","1","","","","","","","","",""
1608,NA,NA,34,"12542, 2","","","3","","","1","","8","","4","","","","","","","3","","","5","1","1","2","2","2","","9","10","10","11","32","1","27","12","3","7","5","33","4","7","3","9","231","99","150","348","1","","","","","1","1","1","","","","","","","",""
1670.5,NA,NA,36,"12542, 2","","","2","","","1","","1","","","2","1","","","","","2","","5","12","","2","2","5","1","5","2","","4","10","29","2","23","8","6","8","22","16","39","11","28","10","178","145","150","24","","","","","","","1","2","2","","","","","","",""
1749.8,NA,NA,38,"12542, 2","","","1","","1","1","","2","","","1","2","1","","","","8","","","10","1","5","1","2","1","1","2","2","3","6","29","3","18","4","10","37","7","5","29","8","19","13","152","177","150","116","","","","","1","","1","1","3","","","","","","",""
1829,NA,NA,40,"12542, 2","","","","","","2","","4","","","","4","","","","","5","","","","1","13","","3","7","4","1","","8","4","25","9","15","12","12","55","29","9","12","17","9","22","63","213","139","205.72","1","2","","","","","","","","","","","","","",""
1961.1,NA,NA,42,"12542, 2","","","","","","1","","9","","","","4","","","1","","3","","1","1","2","12","","8","1","1","1","3","9","","19","12","13","12","13","39","6","9","3","9","8","21","87","69","145","23.2","","1","1","","","","","","","1","","","","","",""
2093.3,NA,NA,44,"12542, 2","","","","1","1","4","","5","","","","5","","","","4","2","","","1","4","10","1","6","1","5","1","","12","2","8","13","11","4","25","42","21","3","8","12","13","11","199","58","156","70.72","","","","","","","","","","","","","","","",""
2233.7,NA,NA,46,"12542, 2","","","","","","2","","6","","","","3","1","","","4","","","","2","7","5","2","4","2","2","1","","13","7","8","3","8","6","9","6","17","6","45","15","31","10","380","34","157","43.96","","","","","","","","","","1","","","","","",""
2382.2,NA,NA,48,"12542, 2","","","","","","1","1","6","","","1","","4","","","1","","","","3","2","4","1","12","7","","1","","10","4","7","1","9","8","3","2","13","4","42","12","22","12","346","31","147","183.05","1","","","1","","","","","","","","","","","",""
2529.7,NA,NA,50,"12542, 2","3","","","1","","1","2","9","","","2","","","1","","","","","1","10","3","1","","14","5","3","1","10","1","9","3","1","11","6","1","1","13","8","29","14","48","21","300","36","150","113.46","","","3","","","","2","","","","","","","","",""
2668.3,NA,NA,52,"12542, 2","","","1","","","1","","7","","","3","","","","","3","1","","3","4","1","6","","2","2","","5","12","7","9","25","","31","12","3","","10","25","7","9","7","62","331","34","151","168.42","","","","","","","","","","","","","","","",""
2807.7,NA,NA,54,"12542, 2","1","","","","1","1","","6","","2","","","","","","2","","","","8","2","","","3","","","12","7","9","8","35","","33","39","","","12","12","3","10","6","54","308","28","151","305.94","1","","","","","","2","1","","","","","","","",""
2943.4,NA,NA,56,"12542, 2","","","","","","2","","8","","3","","","","","","","","","","6","7","5","1","4","1","4","11","","3","3","11","","12","41","","","18","3","5","16","8","38","322","41","153","206","","","","","","","1","2","2","","2","","","","",""
3075.3,NA,NA,58,"12542, 2","","","1","","","2","","7","","","","","","","2","","","","3","8","3","","","7","1","2","2","","5","4","31","2","29","19","5","","12","14","4","11","11","29","293","39","144","142.08","","","","","","","1","2","2","1","","","","","",""
3207.6,NA,NA,60,"12542, 2","3","","","","","1","","4","","","5","","","","","","1","","2","11","6","2","","12","4","5","","7","3","7","24","1","25","6","2","","14","23","39","15","4","11","301","44","170","258.74","","","1","","","","1","1","1","","2","","","","",""
3376.2,NA,NA,62,"12542, 2","","","","","","1","1","3","","","2","","2","","","","2","","","12","5","1","","9","5","11","","","9","8","19","","16","5","","","8","5","28","11","41","12","361","42","155","181.86","1","","","","","","1","","","","3","","","","",""
3545,NA,NA,64,"12542, 2","","","","","","","","5","","","1","","","1","","","6","","","9","12","","1","5","7","7","","","6","8","17","","18","8","","","26","3","18","27","16","16","101","34","160","32","1","","1","","","","1","","","","8","","","","",""
3710.5,NA,NA,66,"12542, 2","","","1","1","1","","","7","","","","","","","","2","5","","1","8","8","5","2","1","4","9","","8","7","4","13","","11","21","1","","32","39","8","38","5","31","86","38","161","51.52","","","","","1","","","","","","6","","","","",""
3871.3,NA,NA,68,"12542, 2","","","","","","","","2","","1","","","","","","1","1","","","7","2","3","","","3","3","13","2","5","7","28","","37","45","1","","28","13","11","18","7","88","142","40","166","75.25","","","","","","","1","1","","1","5","","","","",""
4029.7,NA,NA,70,"12542, 2","1","","","","1","","","","","2","","","","","","","8","","4","7","1","","","1","1","","11","","3","5","13","","19","89","","","9","8","10","3","8","43","321","41","146","381.54","","","","","","","1","2","","","2","","","","",""
4210.7,NA,NA,72,"12542, 2","","","","","","1","","","","5","","","","","","","3","","","9","2","","","6","2","","11","2","9","2","28","","22","25","3","","12","12","7","8","11","27","163","34","167","28.94","","","2","","","","1","2","2","","1","","","","",""
4393.5,NA,NA,74,"12542, 2","","","1","","","","","8","","","3","","1","","","2","2","","","3","9","1","","13","7","12","5","4","7","9","4","","7","2","","","44","23","48","29","14","11","70","38","150","24","1","","","","","","","3","2","","","","","","",""
