"age_NA","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Apiaceae","Dryopteris-type","Pediastrum duplex","Quercus robur-type","Betula","Pseudopediastrum kawraiskyi","Pseudopediastrum integrum","Cichorioideae","Monactinus simplex","Asteroideae","Sparganium-type","Artemisia herba-alba-type","Pseudopediastrum boryanum","Cyperaceae","Poaceae","Pediastrum undiff.","Pinus","Amaranthaceae","Abies","Plantago undiff.","Poaceae (Cerealia-type)","Clematis-type","Artemisia vulgaris-type","Centaurea solstitialis-type","Thalictrum","Galium-type","Unknown","Polygonum aviculare-type","Picea","Tilia","Linum","Thymus/Mentha","Polygonum sensu lato undiff.","Malva","Plantago lanceolata-type","Typha latifolia","Ulmus","Corylus","Ericaceae","Alnus","Carpinus betulus","Ephedra fragilis-type","Juniperus","Ephedra distachya-type","Matricaria-type","Salix","Centaurea scabiosa-type","Selaginella","Polypodium","Centaurea cyanus-type","Centaurea jacea-type","Rumex acetosa-type","Euphorbia","Fagopyrum","Centaurea","Lycopodium","Armeria/Limonium","Ranunculaceae","Filago-type","Juglans","Geraniaceae","Nymphaea","Myriophyllum spicatum/M. verticillatum","Ranunculus sect. Batrachium-type","Fagus","Ostrya/Carpinus orientalis","Rosaceae","Filipendula","Brassica-type","Acer","Plantago media-type","Plantago coronopus-type","Lonicera","Sambucus nigra-type","Scleranthus annuus","Ranunculus","Sanguisorba-type","Quercus ilex-type","Pteridium","Osmunda regalis","Capsella-type","Dipsacoideae","Ophioglossum","Fraxinus ornus","Equisetum","Plantago maritima-type","Lomelosia rotata-type","Xanthium","Buxus","Plantago major-type","Drosera","Scrophulariaceae","Hystrix","Vitis","Helleborus","Convolvulus","Centranthus","Arabidopsis-type","Fabaceae","Bistorta officinalis-type","Brassicaceae","Echinops","Potentilla-type","Pistacia","Rhinanthus-type","Fraxinus excelsior","Humulus/Cannabis","Teucrium","Lythrum","Alisma","Potamogeton","Noaea-type","Fallopia convolvulus-type","Cladium mariscus","Urtica undiff.","Cyperus longus-type","Rumex hydrolapathum","Carthamus","Ilex","Utricularia","Sinapis-type","Celtis","Persicaria maculosa-type","Ranunculus repens-type","Hedera","Oleaceae","Hypericum perforatum-type","Olea","Scrophularia/Verbascum","Phillyrea-type","Liliaceae","Stachys-type","Helianthemum","Taxus","Campanula-type","Lamiaceae","Nuphar","Papaveraceae","Anemone","Silene dioica","Spergularia-type","Cistus incanus-type","Sphagnum","Phyteuma-type","Genista-type","Silene-type","Scilla-type"
NA,NA,NA,540,NA,2,1,NA,3,3,5,NA,7,NA,5,3,303,NA,12,70,NA,338,268,1,1,5,NA,5,NA,1,2,12,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,3,7,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,490,2,NA,1,NA,5,5,NA,NA,7,NA,5,2,47,NA,3,81,NA,279,104,1,1,1,NA,2,NA,1,2,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,6,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,440,NA,1,5,NA,8,4,2,NA,4,6,7,3,33,1,2,89,NA,235,35,1,3,3,NA,3,1,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,510,3,1,2,13,5,6,4,NA,16,2,10,NA,199,NA,1,78,NA,294,99,1,4,1,NA,1,7,NA,2,13,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,6,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,480,NA,1,1,NA,6,2,1,NA,3,2,6,12,154,6,7,95,NA,232,88,2,4,1,NA,NA,1,NA,4,6,33,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,590,NA,NA,3,NA,18,6,NA,NA,14,NA,12,18,170,2,36,56,NA,464,293,2,1,NA,NA,2,6,NA,NA,20,27,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,NA,1,4,10,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,550,3,2,3,NA,5,3,26,NA,3,NA,10,5,229,2,9,55,2,198,210,NA,4,1,NA,1,2,2,1,15,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,430,1,NA,3,5,5,5,NA,NA,2,7,4,4,34,12,1,142,NA,123,18,NA,1,NA,NA,NA,2,1,7,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,350,NA,1,15,NA,198,5,NA,NA,1,NA,1,11,9,94,8,113,NA,357,36,12,2,NA,NA,2,NA,NA,NA,9,NA,1,2,NA,NA,NA,1,NA,1,11,NA,NA,11,14,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,3,1,3,NA,125,1,NA,NA,50,NA,NA,241,2,NA,40,44,NA,220,1,16,2,5,NA,NA,4,NA,NA,28,7,NA,1,NA,2,2,NA,NA,NA,NA,1,NA,7,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75,3,4,10,NA,37,NA,NA,NA,22,NA,13,97,NA,NA,25,17,NA,73,2,3,NA,2,NA,NA,12,NA,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,460,2,NA,2,3,17,5,NA,NA,3,3,4,23,133,5,3,187,NA,282,138,2,4,4,NA,5,NA,3,3,5,6,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,2,1,NA,2,7,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,520,1,2,NA,NA,2,1,15,NA,7,8,3,1,277,2,1,117,1,187,158,1,6,3,NA,NA,6,NA,12,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,2,7,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,560,NA,1,6,31,21,7,NA,NA,6,1,22,9,209,9,17,121,26,290,392,2,NA,2,NA,NA,1,2,1,13,6,NA,NA,NA,NA,26,NA,NA,NA,1,NA,NA,4,NA,NA,11,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,650,4,2,3,NA,8,5,NA,NA,27,NA,11,27,113,NA,NA,135,NA,343,138,1,3,2,NA,NA,7,2,3,17,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,2,1,NA,NA,1,7,NA,1,NA,4,NA,2,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,287,1,2,18,NA,374,15,NA,NA,NA,NA,3,7,6,55,7,112,NA,199,18,23,NA,1,NA,NA,NA,NA,3,NA,NA,1,1,NA,1,NA,1,6,1,35,13,3,30,NA,2,10,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,5,NA,NA,NA,NA,NA,NA,5,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,4,NA,2,3,16,11,NA,NA,4,26,5,9,69,23,6,134,NA,341,82,2,8,11,NA,12,2,1,13,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
