"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Ulmus","Apiaceae","Utricularia","Fabaceae","Amaranthaceae","Sanguisorba-type","Plantago media-type","Cedrus","Cyperaceae","Juniperus","Olea","Cladium mariscus","Pistacia","Quercus cerris-type","Nymphaea","Sparganium-type","Poaceae","Quercus coccifera-type","Pinus","Ericaceae","Plantago undiff.","Platanus","Polygonum aviculare-type","Xanthium","Potamogeton","Rumex acetosa-type","Helianthemum","Poaceae (Cerealia-type)","Brassica-type","Phillyrea","Mercurialis annua","Unknown","Cichorioideae","Vitis","Matricaria-type","Lythrum","Stachys-type","Rumex hydrolapathum","Crocus","Botrychium","Caryophyllaceae","Centaurea solstitialis-type","Asperula-type","Plantago lanceolata-type","Triglochin","Betula","Trifolium-type","Oleaceae","Rhinanthus-type","Myriophyllum spicatum/M. verticillatum","Euphorbia","Alnus","Juglans","Asteroideae","Galium-type","Cirsium/Gundelia","Thymus/Mentha","Pimpinella-type","Ranunculus sect. Batrachium-type","Senecio-type","Artemisia herba-alba-type","Hymenophyllum","Caltha","Fagus","Scrophulariaceae","Rosaceae","Lotus-type","Hedera","Teucrium","Genista-type","Capsella-type","Ephedra fragilis-type","Noaea-type","Arctium/Jurinea","Ranunculus sceleratus-type","Phyteuma-type","Ophioglossum","Pteridium","Dryopteris-type","Citrus","Prunus-type","Polypodium","Humulus/Cannabis","Castanea","Thalictrum","Filipendula","Scrophularia/Verbascum","Brassicaceae","Primulaceae","Vicia-type","Theligonum","Artemisia vulgaris-type","Typha latifolia","Clematis-type","Centaurea cyanus-type","Viburnum-type","Apium-type","Sanicula","Celtis","Fraxinus ornus","Ostrya/Carpinus orientalis","Bunium-type","Equisetum","Corylus","Cornus mas","Rheum","Malva","Plantago maritima-type","Carduus-type","Urtica","Cuscuta","Unknown (trilete)","Osmunda regalis","Cheilanthes","Convolvulus","Aquilegia-type","Arceuthobium oxycedri","Hyoscyamus","Isoëtes","Tamarix","Anemone","Pteris","Carthamus","Iris","Datisca","Asphodelus","Spinacia-type","Asplenium","Plantago coronopus-type","Lonicera","Scabiosa undiff.","Scorzonera-type","Lomelosia rotata-type","Abies","Allium","Rhus","Taxus","Sanguisorba officinalis","Cistus","Arbutus","Potentilla-type","Dipsacoideae","Sphagnum","Thelypteris palustris","Liliaceae","Ferula-type","Quercus ilex-type","Gentiana","Ephedra distachya-type","Filago-type"
3499,3789,3220,320,NA,NA,NA,NA,1,3,8,NA,1,243,1,5,1,NA,6,2,35,4,2,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,12,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3784,4096,3479,351,NA,1,1,2,NA,1,3,1,1,18,NA,2,48,1,5,42,18,10,9,30,1,NA,1,NA,NA,1,NA,1,NA,NA,34,2,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3793,4106,3487,352,NA,2,NA,1,NA,2,5,NA,2,28,1,17,30,NA,12,26,14,17,13,13,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,9,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4050,4387,3713,380,1,NA,NA,NA,NA,5,3,NA,4,24,NA,6,18,4,6,5,6,13,3,64,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,8,1,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4326,4691,3953,410,NA,NA,NA,NA,NA,30,5,NA,2,16,NA,3,40,2,7,2,18,13,9,28,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,8,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4694,5100,4271,450,1,NA,NA,NA,NA,2,7,NA,NA,16,1,7,4,1,17,16,52,15,7,28,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4832,5255,4391,465,13,NA,2,NA,NA,8,11,1,2,37,NA,7,43,4,24,248,41,45,29,54,1,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4923,5357,4468,475,6,1,1,NA,NA,6,6,4,2,19,NA,3,14,3,10,47,51,19,20,30,2,NA,1,NA,NA,1,NA,NA,2,1,NA,NA,7,3,NA,1,1,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5153,5615,4663,500,2,NA,1,NA,NA,2,3,1,1,4,NA,NA,12,1,10,1,55,16,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5337,5822,4819,520,1,4,1,NA,NA,5,NA,NA,4,14,1,2,118,NA,20,NA,50,55,24,32,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,NA,3,9,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,4,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5521,6031,4974,540,5,NA,NA,NA,NA,1,6,1,4,6,1,NA,11,NA,12,NA,142,26,9,48,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,7,8,NA,2,NA,NA,NA,NA,3,NA,3,NA,1,13,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5613,6135,5051,550,NA,1,2,NA,NA,2,3,NA,1,13,NA,2,33,NA,19,NA,173,98,14,50,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5705,6239,5129,560,NA,NA,NA,2,NA,5,2,NA,7,4,NA,3,NA,3,20,NA,33,78,29,66,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5889,6446,5282,580,NA,1,NA,NA,NA,10,6,NA,4,7,NA,2,1,2,63,NA,13,39,27,27,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6073,6654,5436,600,7,2,NA,NA,NA,13,11,2,2,4,1,7,NA,4,85,NA,22,40,50,29,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,3,NA,NA,2,NA,NA,NA,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6165,6759,5514,610,3,3,NA,NA,NA,19,9,NA,9,20,1,1,NA,1,53,NA,23,51,47,120,NA,1,NA,NA,NA,NA,NA,1,NA,4,NA,2,3,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
