"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Melilotus-type","Rosaceae undiff.","Fraxinus","Juglans","Galium-type","Hedera","Rhamnus-type","Aster-type","Quercus suber-type","Echium","Phillyrea","Centaurea cyanus-type","Cichorieae","Ranunculus","Helianthemum","Plantago major/P. media-type","Poaceae (>50 µm)","Quercus (deciduous-type)","Apiaceae","Plantago coronopus-type","Botryococcus","Pinus","Brassicaceae","Coronilla-type","Rumex","Astragalus-type","Plantago lanceolata-type","Cyperaceae","Amaranthaceae","Ephedra undiff.","Artemisia","Cupressaceae","Ulex-type","Olea","Poaceae","Quercus (evergreen-type)","Cedrus","Pseudopediastrum boryanum","Myriophyllum","Salix","Xanthium","Urtica","Euphorbia","Pistacia","Anthemis-type","Lathyrus-type","Anagallis-type","Betula","Scrophulariaceae","Tilia","Typha latifolia","Alnus","Caryophyllaceae","Cistus","Saxifragaceae","Pteridophyta (trilete) undiff.","Acer","Fabaceae undiff.","Potamogeton","Lotus-type","Erica undiff.","Anthyllis rupestris","Corylus","Filipendula-type","Medicago-type","Mentha-type","Cytisus-type","Lygeum spartum","Convolvulus arvensis-type","Thalictrum","Primulaceae","Ilex","Lamiaceae","Indeterminable undiff.","Equisetum","Typha/Sparganium","Botrychium","Dipsacoideae","Alisma-type","Pteridium aquilinum","Anthericum","Buxus","Campanulaceae","Pteridophyta (monolete) undiff.","Rhus coriaria-type","Geranium","Rubus-type","Vitis","Polypodium","Poterium sanguisorba","Selaginella","Linum","Plantago undiff.","Potentilla-type"
-2.4,NA,NA,104.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,5,NA,1,1,4,1,NA,26,7,2,5,10,5,3,15,8,8,23,17,10,5,35,85,48,193,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3,NA,NA,113.8,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,1,3,3,2,4,1,13,5,1,11,3,4,14,NA,10,7,13,13,4,12,18,24,7,29,59,40,13,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.9,NA,NA,123.5,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,2,4,4,3,3,10,3,1,59,3,4,3,10,6,1,8,10,NA,25,14,16,6,41,71,35,53,4,1,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27.5,NA,NA,133.2,1,NA,NA,NA,1,NA,NA,6,NA,NA,1,NA,NA,3,NA,4,NA,14,3,5,25,3,1,1,4,1,3,NA,6,4,26,13,1,6,19,99,63,39,1,NA,NA,NA,NA,7,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39.7,NA,NA,142.9,NA,NA,NA,NA,1,NA,NA,4,NA,NA,1,2,NA,11,3,2,NA,10,5,3,11,4,4,7,2,9,5,1,10,5,25,12,2,14,36,87,32,8,5,2,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51.9,NA,NA,152.6,NA,2,1,NA,1,NA,NA,5,3,NA,NA,NA,4,8,2,4,1,15,7,1,49,NA,4,14,7,9,6,NA,11,3,15,19,23,8,26,55,46,16,2,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64.2,NA,NA,162.3,NA,NA,2,NA,NA,NA,NA,4,NA,NA,4,NA,2,13,NA,4,NA,11,4,4,25,5,5,6,4,8,3,14,5,5,12,18,13,6,23,83,48,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.1,NA,NA,172,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,11,2,3,NA,12,6,NA,39,1,1,17,7,17,5,2,12,6,21,19,21,7,22,57,48,2,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,181.6,NA,NA,1,NA,NA,NA,NA,2,1,NA,2,NA,2,16,2,2,2,7,3,1,32,2,6,2,4,9,2,NA,14,1,17,23,9,6,37,72,47,11,5,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392.5,NA,NA,203.5,NA,NA,1,NA,NA,NA,NA,3,NA,NA,4,NA,1,2,5,NA,1,8,7,1,12,11,5,3,11,5,3,8,10,10,15,17,3,8,37,75,44,1845,2,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468.9,NA,NA,213.5,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,2,NA,6,5,2,45,1,3,1,8,2,2,5,11,2,19,17,1,7,30,84,73,2,1,NA,NA,NA,NA,8,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539.9,NA,NA,223.5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,19,1,1,NA,13,4,1,22,3,1,11,5,10,1,3,3,3,28,26,5,9,21,82,42,7,4,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618.4,NA,NA,233.5,NA,1,NA,NA,2,NA,NA,2,3,NA,1,NA,4,3,2,4,2,11,4,1,40,3,4,10,2,12,7,4,11,2,20,25,24,10,31,58,40,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688.4,NA,NA,243.5,NA,NA,1,NA,NA,NA,NA,8,NA,NA,1,NA,NA,6,4,2,NA,13,8,5,36,4,3,8,9,6,5,4,11,5,20,17,1,7,26,76,41,1,NA,NA,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735.3,NA,NA,254,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,6,1,3,NA,9,4,2,19,4,4,9,6,8,7,3,17,1,20,33,10,5,33,55,54,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781.2,NA,NA,263.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,9,1,5,NA,14,9,3,45,2,6,4,12,6,3,6,15,6,22,18,6,3,39,76,36,3,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829.8,NA,NA,273.5,NA,NA,1,NA,4,NA,NA,5,NA,NA,1,2,1,6,1,3,NA,17,2,5,6,2,6,10,4,11,4,2,18,4,23,19,10,7,33,63,39,3,5,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878.5,NA,NA,283.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,16,2,2,NA,10,3,3,25,4,8,10,3,9,3,3,11,2,24,16,4,4,33,83,35,NA,NA,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927.4,NA,NA,293.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,4,8,NA,3,1,15,NA,5,39,6,2,NA,6,4,3,4,9,5,23,9,7,9,23,69,77,4,1,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976.4,NA,NA,303.5,NA,2,NA,NA,1,NA,NA,NA,NA,1,1,1,1,13,3,4,NA,14,2,1,22,7,3,7,6,5,3,3,12,4,10,22,4,2,39,72,58,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025.3,NA,NA,313.5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,3,12,NA,NA,1,17,1,3,49,3,7,11,4,13,5,1,20,1,14,14,24,6,35,63,40,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073.5,NA,NA,323.5,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,1,NA,2,3,3,3,18,6,3,65,3,3,3,6,6,9,5,11,3,10,23,15,5,63,60,25,2,3,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121.8,NA,NA,333.5,NA,4,NA,NA,1,NA,NA,2,5,NA,5,NA,2,11,NA,2,3,17,7,3,22,3,4,9,4,12,7,3,11,5,8,28,17,NA,39,56,31,2,9,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1171.3,NA,NA,343.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,10,4,4,2,18,7,2,44,5,2,4,3,3,6,6,3,5,15,20,7,4,35,87,42,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220.3,NA,NA,353.5,NA,NA,NA,NA,2,NA,NA,6,NA,NA,3,1,NA,15,1,4,NA,8,7,2,78,2,4,10,NA,6,3,4,11,3,16,18,8,4,24,68,66,NA,7,NA,NA,1,NA,4,2,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249.5,NA,NA,363.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,13,2,3,NA,19,6,NA,106,NA,1,NA,4,NA,1,13,12,8,21,15,1,3,22,100,49,1,8,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1281.9,NA,NA,373.5,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,1,NA,10,1,2,NA,11,2,NA,36,7,4,9,1,11,7,7,6,3,17,19,24,2,29,54,61,NA,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311.2,NA,NA,383.5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,16,NA,2,NA,4,6,1,59,23,5,4,NA,6,2,9,8,NA,10,15,7,5,24,59,81,1,7,NA,NA,2,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1356.7,NA,NA,403.4,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,2,14,NA,2,NA,7,1,NA,69,7,1,7,2,11,2,6,9,4,10,24,11,4,18,66,85,1,4,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1376.9,NA,NA,413.3,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,22,NA,1,NA,16,3,2,26,8,3,7,NA,12,3,NA,5,3,11,33,18,2,17,75,46,1,11,NA,NA,NA,4,4,NA,1,NA,NA,2,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396.4,NA,NA,423.1,NA,NA,1,NA,NA,NA,NA,3,3,NA,NA,2,1,9,NA,4,NA,11,4,NA,56,3,1,6,3,15,8,2,6,8,9,40,28,4,22,61,41,NA,NA,1,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416.1,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,1,12,NA,3,NA,12,6,NA,44,7,NA,5,2,6,1,3,8,5,7,33,9,NA,17,64,93,NA,3,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421.9,NA,NA,435.9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,7,1,3,NA,23,2,2,79,1,3,NA,3,1,NA,6,7,8,6,20,7,6,12,89,84,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435.7,NA,NA,442.8,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,13,NA,NA,1,10,1,2,69,7,NA,6,5,2,NA,7,12,5,6,32,10,3,12,65,88,NA,5,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455.3,NA,NA,452.6,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,2,2,9,1,1,2,15,2,1,116,6,1,7,1,11,1,2,6,2,12,31,24,1,22,82,45,NA,2,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475.1,NA,NA,462.5,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,1,2,20,NA,1,NA,11,2,2,62,1,3,12,2,10,NA,2,9,6,14,36,14,3,35,67,42,1,NA,NA,NA,NA,1,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494.4,NA,NA,472.3,NA,NA,NA,NA,2,NA,NA,1,7,NA,1,NA,NA,4,1,1,NA,20,4,NA,31,NA,1,4,5,7,1,6,6,2,6,50,19,2,37,67,46,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
