Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acanthaceae,Aerva-type,Aizoaceae,Amaranthaceae/Chenopodiaceae,Annona,Balanites,Baphia-type,Barleria,Blepharis,Borreria,Boscia,C3P3 verruquate,Capparis fascicularis-type,Cassia,Celosia-type,Celtis,Clematis,Cleome-type,Cocculus,Combretaceae,Commelinaceae,Commiphora,Convolvulaceae,Cordia,Crossopteryx,Crotalaria,Cucumis,Cucurbitaceae,Cyperaceae,Dichrostachys,Diospyros,Euphorbia,Ficus,Gramineae,Gramineae >40µm,Grewia,Gynandropsis,Hydrocharitaceae,Hyphaene-type,Indeterminables,Indetermines,Indigofera,Ipomaea,Justicia,Lamiaceae,Lannea/Sclerocarya,Liguliflorae,Liliaceae,Ludwigia,Lythraceae,Maerua,Malvaceae,Mitracarpus,Mitragyna,Monocotyledoneae,Monoletes,Nyctaginaceae,Nymphaea,Palmae,Papilionoideae,Paullinia-type,Phyllantus,Piliostigma,Polycarpaea,Polygala,Polygonum senegalense-type,Pteridophytae,Pterocarpus,Rhynchosia,Salvadora,Sapindaceae,Sida,Solanaceae,Talinum,Tephrosia,Tribulus,Triletes,Tubuliflorae,Typha,Vernonia-type,Ziziphus
528.0259,51,,,,,2,,,,,,,1,1,,2,1,,,,,4,,,1,,,1,,1,31,,,1,1,116,3,,,,,3,4,1,1,1,2,,,1,,,,,1,,2,,,3,,3,,,,,,,,1,,,,,,,,,,1,,,
569.4396,55,,,1,,2,,,,,,,,,,,,,,1,,3,,,1,1,,,,,36,,,,,107,3,1,,,,5,7,1,,,3,,,,,,1,,,,3,,,5,,2,,,,1,,,,,,,,,,,,1,,3,,,
671.8168,61,,,,,6,,,,,,2,,,1,1,,,,,,4,,1,,,1,,,,41,,,,,109,,,1,,,2,4,1,,,4,,,1,,,,1,2,1,2,,,3,,2,,,,,,,,,,,,,1,,2,,,,1,,
766.9059,65,,,,,1,,,,1,,,,,1,,,,,,,2,,,,,,,,,31,,,,,126,2,,,,,2,2,,,,2,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,
909.5396,71,,1,,,1,,,,,,,,,,,,,,,1,3,,,,,,,,1,31,,,1,,95,1,,,,1,3,3,1,,,3,,,,,1,,,1,,1,,,4,,2,,,,,1,,,,,1,,,,,,1,,1,,,
1004.629,75,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,36,,,,,127,2,,,1,,3,4,1,,,2,,,,,,1,,1,,1,,,6,,,,,,,,,,,,,,,,,,,,2,,,
1147.262,81,1,,,,,,,,,,,,,,,,,,1,,2,,,1,,,1,,,33,,,,,101,1,,,,,2,4,,,,1,,1,,,,,,1,,1,,,7,1,1,,,1,,,,,,,,,1,1,,,,,1,,,
1242.351,85,,1,,,1,,,,,,,,,1,,,,,,,3,,,,,,,,,39,,,,,103,2,,,,,2,4,1,,,3,,,,,,,,2,1,1,,,5,,2,,,,,,,,,,,,,,,,,,,,,
1384.985,91,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,54,,,1,1,120,3,,,,,3,3,1,,,1,,,1,,,1,,,,2,,1,8,,,,,,1,,1,1,,,,,,,,,1,1,2,,,
1480.074,95,1,,,1,,,,,,,,,,,1,,1,,,,2,,,,,1,,,,41,,,,1,110,4,,,,,3,3,1,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,
1622.708,101,1,,,,1,1,,,,,,1,,,1,,,,,,1,,,,,,,,,26,,,,,61,,,,,,2,2,,1,,1,,,,,,,,,,1,,,4,,2,,,,,,,,,,,1,,,,1,,,1,,,
1717.797,105,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,21,,,,,68,1,,,,,3,3,,,,,,,1,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,1,,,
1955.52,115,,,,,1,,,,,,,,,1,1,,,,,,3,,,,,,,,,31,,,,,106,1,,,,1,4,6,,,,3,,,,,,,,,,1,,,3,,2,,,,,,,,,,1,,,,,,,,2,,,
2098.154,121,1,1,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,38,,,,,98,1,,,,,2,2,1,,,1,,,,,,1,,1,,2,,,4,,1,,,,,1,,,,,,,,,,,,,1,,,
2193.243,125,,,,,,,,,,,,,,1,,,,,,,2,,,,,,1,,,41,,,,1,133,3,,1,,,2,2,1,,,,,,,,,,,,,2,,,4,,1,,,,,,1,,,,,,,,,,,,,,,
2335.876,131,,,,,1,,,,,,,,,,,,1,,,,1,1,,,,1,,,1,43,,,,,110,2,,,,,3,3,,,,1,,,,,,,,2,,1,,,4,,2,,,,,,,,,1,,,,3,,1,,,1,,,
2430.965,135,,,,,1,,,,1,,,,,1,1,,,,,,3,,,,1,,,,,42,,,,,101,3,,,,,6,8,2,,,3,,,1,,,,,1,,1,,,3,,3,,,1,,,,,,,,,,,,,,,1,3,,
2668.688,145,,,,1,1,,,,,,,,,,,,,,,,4,,,,,1,,,,36,,,,,98,2,,,,,5,5,1,,,3,,,,,,,,,1,,,,3,,1,,,1,,,,,,,,,,,,,,,1,1,,
2811.322,151,,,,,,,,,,,3,,,,1,1,,,1,,1,,,1,,,,,1,39,,,1,,89,,,,1,,2,2,,,,1,,1,,,,1,,1,,1,,,5,,1,,,,,,1,,,,,,1,,,,,,,,,
2906.411,155,2,,,,,,,,1,,,1,,1,,,,,1,,1,,1,,,,1,,,43,,,,,159,4,,,,,6,8,,,,1,,,1,,,,,,,2,,,2,,,1,,,,,2,,,,,,,,1,,,,2,,,1
3034.974,161,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,1,,,,49,,,1,1,111,1,,,,,4,4,,1,,,,,,,,1,,1,1,,,1,4,,4,,,,,,,,,,,,,1,,,,,1,,,
3101.921,165,,1,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,,55,,,,,102,2,,,,,5,7,1,,,,,,,,,,,1,,1,,,8,,3,,,,,,,,,,,,,,,,,,1,,,
3185.605,170,,,,,1,,,,,,,,,,1,1,,,1,,1,,,,,,,,,31,1,,,,115,2,,,,,3,5,,,,1,,,,1,,,,,1,3,,1,5,,2,,1,,,,1,,,1,,,,,,,,,1,,,
3269.29,175,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,12,,,,,108,1,,,,,3,3,,,,,,,,,,,,,,,,,2,,1,,1,,,,1,,,,,,,,,,,,1,,,
0,181,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,15,,,1,,112,1,,,,,1,1,,,,,,,,,,,,,,1,,,3,,1,,,,,,1,,,,,,,,,1,,,3,1,1,
0,185,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,24,,,,,195,1,,,,,2,2,1,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,2,,,
0,190,1,1,,,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,13,,1,,,119,,,,,,2,2,1,,,,,,,,,,,,1,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,1
0,195,1,,,1,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,12,,,,,133,3,,,,,3,5,,,,,1,,2,,,,,,,1,,,5,,2,,,,,,1,,,,,,,,,,,,,3,,
0,201,,1,,,1,,,,,,,,,,,,1,,1,,1,,,,,1,,,,19,,,,,107,2,,,,,6,6,,,,,,1,,,,1,,1,,2,,1,4,,1,,,,,,1,,1,,,,,,,,,,1,,,
0,205,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,13,,,,,79,,1,,,,9,9,,,,,,,1,,1,,,,,1,,,5,1,,,,,,,1,,,,,,,,,,1,,,,,
0,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,87,1,,,,,7,9,,,,,,1,,,,,,,,1,1,,3,,1,,,,,,,1,,,,,,,,,,,,,,
0,221,,,,,,,,,,1,,,,1,1,,1,,,,1,1,,1,,,,,1,12,,,,,85,,,,,,3,5,1,,,,1,,,1,,,,,,,,,3,,2,,,,,1,2,,,,,,,1,,,,,1,,,
0,225,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,18,,,,,119,2,,,,,3,5,,,,,,,,,,,,,1,,,,7,,,,,,,,2,1,1,,,,,,,,,1,,,,
0,231,1,1,,,1,,,,,,1,,,,,,,,1,,1,,,,,1,1,,,12,,1,,,94,1,,,,,2,2,1,,,,,,,,,,,,,,1,,3,,1,,,,,,,1,,,1,,,,,,,,1,,1,
0,235,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,35,,,,,139,2,,,,,3,3,,,,,,,,,,,,,,,,,5,,2,,,,,,3,,,,,,,,,,,,1,1,,
0,241,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,31,,,,,101,,,,,,2,2,1,1,,,,,,,,,,,1,,,,3,,1,,,,,,1,,,,,,,1,,1,,,1,,,
0,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,76,2,,,,,1,1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1
0,251,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,25,,,,,95,1,,,1,,1,1,,,,,,,1,,,,,1,1,,,,2,,1,,,,,,2,,,,,,,,,,,,1,,,
0,255,,1,,,,1,,1,,,,,,,,,1,,1,,,1,,1,,1,1,,,18,1,,,,60,2,,,,,3,5,,,,,,,,,,,,,,1,,,4,,,,,,,,1,1,,,,,,,,,,1,,,,
0,265,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,15,,,,,64,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,
0,275,,,,,,,,,3,,,,,,,,,1,,1,,,,,,,,,,21,,,,,65,2,,,,,3,3,,,,,,,,,,,,,,3,,,,,1,,,,,,1,,,,,,,,,,,,1,,,
