"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Ephedra","Amaranthaceae","Potamogeton","Plantaginaceae","Fraxinus excelsior","Caryophyllaceae","Apiaceae","Sphagnum","Pinus","Unknown (monolete) undiff.","Pteridium","Olea","Asteraceae undiff.","Sarcopoterium","Cichorieae","Platanus","Poaceae undiff.","Quercus coccifera-type","Quercus undiff.","Ericaceae undiff.","Cyperaceae","Corylus","Rosaceae","Typhaceae","Fabaceae","Brassicaceae","Arbutus","Dipsacoideae","Phillyrea","Osmunda","Abies","Alnus","Juglans","Poaceae (>40 µm)","Hedera","Unknown (trilete) undiff.","Artemisia","Rubiaceae","Euphorbiaceae","Cistaceae","Rhamnaceae","Ranunculaceae","Hypericum","Liliaceae","Lamiaceae","Betula","Polygonaceae undiff.","Carpinus","Ostrya","Pistacia","Polypodium","Caprifoliaceae","Salix","Ulmus","Castanea"
715,NA,NA,136,1,NA,1,NA,4,NA,3,2,1,1,49,19,2,5,2,5,5,86,19,4,90,287,NA,2,NA,18,NA,NA,NA,3,61,NA,NA,NA,NA,NA,16,2,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,NA,NA,141,NA,NA,NA,1,4,NA,NA,6,9,3,79,35,7,8,4,11,8,51,29,17,160,209,1,NA,NA,10,NA,2,NA,NA,33,NA,1,NA,NA,2,NA,3,1,NA,2,NA,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,NA,NA,146,NA,NA,NA,NA,3,NA,1,8,14,6,137,46,4,13,2,12,1,48,38,5,44,209,NA,1,NA,11,NA,NA,1,NA,46,NA,NA,NA,NA,NA,4,NA,3,3,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,NA,NA,151,1,NA,1,NA,1,NA,NA,6,5,1,81,35,3,8,2,4,10,74,17,13,91,249,NA,NA,NA,11,NA,5,2,NA,70,NA,NA,NA,NA,NA,36,NA,NA,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870,NA,NA,156,NA,NA,NA,NA,1,NA,NA,3,3,3,88,22,6,7,2,7,3,35,23,11,128,258,NA,NA,NA,16,1,1,1,NA,44,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
909,NA,NA,161,1,NA,2,NA,3,NA,1,4,20,5,87,13,2,11,6,3,NA,31,35,10,163,235,1,NA,NA,1,4,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,1,NA,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
947,NA,NA,166,NA,NA,2,NA,3,NA,NA,1,10,6,132,19,1,18,5,1,1,36,35,9,118,261,2,2,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,3,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
986,NA,NA,171,NA,NA,1,NA,1,NA,NA,4,1,6,24,3,NA,5,3,2,1,43,8,3,59,367,NA,2,1,2,NA,NA,NA,NA,11,NA,2,NA,1,NA,NA,7,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1025,NA,NA,176,NA,NA,NA,NA,2,NA,NA,3,1,5,74,17,6,7,2,4,1,51,5,3,93,319,NA,1,1,2,1,NA,NA,NA,5,NA,1,NA,NA,NA,NA,1,NA,2,5,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,NA,NA,181,NA,NA,NA,NA,7,NA,NA,NA,12,5,27,65,5,22,3,4,3,51,25,6,70,287,NA,NA,NA,9,NA,NA,4,NA,20,NA,1,NA,NA,NA,2,NA,NA,NA,17,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,NA,NA,186,1,NA,2,NA,2,NA,NA,1,9,8,15,11,11,7,2,1,1,40,19,1,102,309,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141,NA,NA,191,NA,NA,1,NA,1,NA,NA,NA,71,4,4,8,8,NA,3,1,1,21,21,13,235,223,1,NA,NA,1,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1180,NA,NA,196,NA,NA,NA,NA,2,NA,NA,NA,37,3,19,8,8,2,9,1,1,24,49,23,165,236,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,NA,NA,201,NA,NA,1,NA,1,NA,NA,2,4,1,20,4,3,4,1,1,1,61,44,12,79,314,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,NA,NA,204,NA,NA,1,NA,NA,NA,2,NA,NA,2,7,10,2,NA,1,1,4,52,18,15,89,316,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
