"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cuscuta","Morus","Salix","Pistacia","Mentha-type","Rubiaceae","Rosa","Spergula-type","Paronychia-type","Phillyrea","Genista-type","Ephedra fragilis-type","Alisma-type","Apium-type","Erica arborea-type","Fraxinus excelsior-type","Lithospermum officinale","Mercurialis annua","Oenanthe","Peucedanum-type","Chaerophyllum hirsutum-type","Ranunculus sect. Batrachium","Falcaria-type","Urtica membranacea-type","Pteridophyta (monolete) undiff.","Cercophora-type","Plantago lanceolata-type","Rumex acetosa-type","Eucalyptus","Fagus sylvatica","Senecio-type","Castanea sativa","Eryngium","Plantago maritima-type","Smyrnium-type","Apiaceae undiff.","Olea","Aster-type","Artemisia","Poaceae (Cerealia)","Lythrum portula","Sporormiella","Cichorioideae","Potentilla-type","Quercus pubescens-type","Cyperus-type","Anthemis-type","Urtica dioica-type","Alnus glutinosa-type","Quercus cerris-type","Amaranthaceae-type","Quercus ilex-type","Cyperaceae","Daucus","Juniperus-type","Pinus","Callitriche","Plantago coronopus-type","Poaceae","Potamogeton","Lycopodium spike","Sparganium-type","Brassicaceae","Corylus avellana","Montia","Daphne","Gladiolus-type","Pteridium aquilinum","Silenoideae-type","Centaurea nigra-type","Trifolium repens-type","Phragmites australis","Betula","Platanus","Thalictrum","Vitis","Ranunculus acris-type","Carpinus betulus","Heracleum","Asphodelus albus-type","Ceratonia siliqua","Robinia pseudoacacia","Podospora-type","Juglans regia","Ceratophyllum","Pediastrum angulosum","Geum-type","Juncaceae","Rubus","Fabaceae","Ostrya-type","Heliotropium","Scabiosa","Liliaceae-type","Trifolium pratense-type","Silene dioica-type","Ornithogalum-type","Polygonum aviculare-type","Vicia-type","Astragalus-type","Fraxinus ornus","Gnaphalium-type","Corrigiola litoralis","Rumex scutatus-type","Foeniculum-type","Carduus","Asteroideae","Echium","Sambucus nigra-type","Dianthus superbus-type","Serratula-type","Sanicula europaea","Minuartia rubra-type","Reseda-type","Gelasinospora","Carlina","Picea","Cannabis sativa","Bupleurum","Centaurium","Tuberaria","Caltha-type","Scrophularia-type","Pseudopediastrum boryanum var. longicorne","Prunus-type","Nigella","Polypodium","Lamiaceae","Typha latifolia-type","Scleranthus","Silene vulgaris-type","Rosaceae undiff.","Ilex aquifolium","Cerinthe","Medicago falcata-type","Turgenia latifolia","Sagittaria","Pseudopediastrum boryanum var. boryanum sensu lato","Lemnoideae","Ulmus","Iris pseudacorus-type","Taxus baccata","Calligonum","Orlaya grandiflora","Isoëtes","Myriophyllum alterniflorum","Erodium","Hypericum perforatum-type","Saxifraga granulata-type","Cyclamen hederifolium","Anthoceros laevis","Utricularia","Linum austriacum-type","Geranium","Helianthemum","Sagina","Glomus","Carthamus","Moehringia-type","Malvaceae","Fedia cornucopiae","Cirsium","Anthyllis","Abies","Limonium","Ophioglossum vulgatum","Acer","Cerastium-type","Papaver rhoeas-type"
1025.09,NA,NA,105,"18583, 3","1","","","","","3","3","","4","3","","","","","2","1","","","1","","","1","1","2","","1","2","5","2","","1","","1","3","","","3","8","8","5","2","2","14","20","","6","1","16","","","5","2","4","29","3","2","1","","65","280","137","565","1","3","","","","","","2","1","3","","","","1","","2","","1","","","","","","3","","","3","","","","","","","","","","","","","","","","5","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","7","","","","","","","","","","","","","","","","","","","","","","",""
1128.06,NA,NA,115,"18583, 3","1","","","1","","5","6","","10","7","","","1","2","1","1","","","","2","1","2","","1","","","4","4","2","","1","","","1","1","","8","2","6","5","3","4","24","61","2","8","","29","1","1","3","5","3","14","1","2","1","","57","187","295","442","","3","","","","","1","1","7","5","18","1","","","","4","","","1","","","","","1","","","1","","","","","1","","1","","","","","2","","3","","3","","1","","1","","","","1","","","","1","","","","","","1","","","","","","","1","","","","","","1","","","","","1","","","","1","","2","1","1","1","1","1","","","","","","","","","","","","","","","","","",""
1231.02,NA,NA,125,"18583, 3","1","1","","","","1","1","","10","2","","","1","4","","1","","","","5","","","1","","","","7","4","","","2","1","","","2","","16","2","19","4","2","6","47","94","2","17","","30","","1","","2","3","8","2","1","","1","82","260","13","219","","1","1","","","1","","3","19","13","5","","","","","3","1","","1","","","3","1","","","","","","","1","","","","4","1","","","","","","2","","","","3","","","","","","1","","","","2","","","3","","","","","31","","","","","1","2","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","",""
1333.98,NA,NA,135,"18583, 3","1","1","","","","1","2","","4","","","","","","","1","","","","3","","3","","2","","","15","1","","","","","","1","3","","7","2","10","3","2","1","74","100","1","2","2","24","","","1","1","3","9","1","","1","","45","320","1","132","","6","","","","1","","2","17","8","2","","","","","3","","","","","","1","","","","","","","","","1","","","","2","","","","","","","","2","","7","","","","","","2","","","","1","","","1","","","","","","","","","","","1","2","","","","","","","41","","","","","","","","","2","","","","","","","1","1","1","1","2","","","","","","","","","","",""
1436.94,NA,NA,145,"18583, 3","1","","","","","","","","8","","","","1","","","","","","","","","","","","","","21","1","","","","","","1","1","","11","2","2","1","2","","185","105","","1","","18","","1","","","2","4","","","","","51","184","","80","","5","","","","1","","10","21","5","2","","","","","2","","","3","","","4","","","","","","","2","","","","","1","","1","","4","","","1","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","2","","1","","","","","","","","","",""
1539.9,NA,NA,155,"18583, 3","1","","","","","","1","","1","","","","","","","","","","","","","4","","","","1","12","3","","","","1","","1","1","","8","","6","2","4","","90","87","","4","","34","","1","1","","1","3","","","","","46","361","","111","","14","1","","","1","","5","19","17","5","","","","","2","","","1","","","5","","","","","","","","","","","","","1","","","","","","","","","","6","","","","","2","","","","","3","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","1","","1","","","","","","","","",""
1642.86,NA,NA,165,"18583, 3","1","","","","","1","2","","3","","","","","","","2","","","","","","","","","","","2","1","1","","1","4","","","","","7","1","14","3","5","","21","103","","6","1","40","","1","","2","2","9","","1","","","66","300","","97","","2","","","","4","1","3","20","9","","","","","","","","","2","","","1","","","","","","","","","","1","1","1","3","","","1","","","5","","","","4","","","","","","1","","","","2","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
1745.82,NA,NA,175,"18583, 3","1","1","","","","","4","","1","","","1","1","","","4","","","","","","","","","","","1","3","","","2","","","","3","4","9","1","12","3","1","","16","90","","24","3","40","","1","1","1","2","3","","","1","","71","272","","147","","3","2","","","4","","2","9","8","6","","","","","","","","5","","","1","","","","","","","","","","","","3","1","","","","","","","","","","3","1","","","","4","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","3","","","","","","","","","",""
1848.79,NA,NA,185,"18583, 3","1","","","","","","4","","","","","","1","","","1","","","","","","","3","","","2","1","1","2","","8","","","2","","","5","1","25","3","1","","2","77","","18","1","26","","1","1","","2","3","","","1","","67","212","","127","","","","","","2","1","4","5","9","","","","","","1","","","6","","","","1","","","","","","2","","","","","","1","","","","","","3","","","","4","","","","1","","","","","","1","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","1","","","","","","","",""
1951.75,NA,NA,195,"18583, 3","1","","","","","","1","","","","","1","1","","","","","","","","","","","","","3","","4","2","","1","","","","5","","5","","20","5","","","","34","","28","1","42","","2","3","2","2","3","","","1","","63","208","","159","","1","1","","","2","1","8","7","10","","","","","","2","","","2","","","","","","","","","","","1","","","","3","","2","","","","","","","","","17","1","","","1","","","","","","1","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","1","","","","","","","",""
2054.71,NA,NA,205,"18583, 3","1","","","","","","1","","8","","","1","","","","1","","","","","","","","","","","5","2","2","","1","","1","","1","","18","1","25","4","6","","67","94","","10","2","36","","1","1","","3","8","","1","3","","64","282","","131","","4","","","1","1","","4","10","9","","","","","","1","","","2","","","3","","1","","","1","","","","","","","1","2","2","","","","","2","","","","4","2","","","1","","","","","","2","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","2","","1","2","","","","","","",""
2157.67,NA,NA,215,"18583, 3","1","","","","","","1","","","","","","","","","","","","","","","","","","","4","1","","1","","6","","","1","","","11","","25","1","3","","","28","","24","","59","","","2","","2","1","","","1","","125","121","","125","","","1","","","2","","3","10","23","","","","","","","","","1","","","","2","","","","","","","1","","","","5","1","","","","","","3","","","","4","","","","","","","","","","","","","1","","","","","","","","","","","2","13","","","","","","","","","","","","","","","","1","","","","","","","2","","","","1","2","","","","","","","","","",""
2260.63,NA,NA,225,"18583, 3","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","5","1","","3","","","","","","4","","25","1","1","1","","27","","12","1","140","","1","1","","","1","","","1","","111","176","","89","","","","1","","2","","3","3","21","4","","","","","4","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","",""
2363.59,NA,NA,235,"18583, 3","1","","","","","","1","","","","","","2","","","","","","","","","","1","","","","","3","","","1","","","4","","","5","2","15","3","11","","","32","","10","","370","","2","","","1","","","","2","","49","153","","159","","","","","","1","","5","4","15","","1","","","","2","","","","","","","","","","","","","5","","","","","2","1","","","","","","2","","","","4","","","","","1","","","","","2","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","",""
2466.55,NA,NA,245,"18583, 3","1","","","","","","","","","","","","","","","2","","","","","","","3","","","1","","1","","","4","","","","1","1","2","1","4","1","","","","12","","3","","142","","","","","1","1","","","1","","15","33","","473","","","2","","","1","2","","5","137","","","","","","","","","","","","","","","","","","","","","","","3","3","1","","","","","","","","","","1","","","","1","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","1","1","","",""
2569.52,NA,NA,255,"18583, 3","1","","","","","","1","","","","","","","","","5","","","","","","","3","","","2","","","","","1","","","","1","","7","","5","","","","","17","","5","1","27","","","1","1","2","2","","","","","10","46","","1240","","","","","","","2","3","8","2","","","","","","","","","1","","","","","","","","","","","","","","1","","4","","","","","","","","","","4","","","","2","2","","","","","17","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","1","",""
2672.48,NA,NA,265,"18583, 3","1","2","","","","","2","","8","","","","","","","3","","","","8","","","","","","1","4","2","","","1","","","","","","6","1","8","1","4","1","36","105","","5","2","23","","1","1","","1","2","","","2","","50","156","","403","","1","","","","1","1","3","3","10","","","","","","","","","","","","2","","","","","","","","","","1","1","1","","","","","","","","","","","2","","","","","","","","","","1","","1","","","","","","","","","","1","","1","2","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","1","","","","2","","","","","1",""
2981.36,NA,NA,295,"18583, 3","1","","","","","1","","","3","","","","","","","","","","","","","","","","","","13","1","1","","","4","","","2","","10","1","1","2","2","","60","161","","1","1","10","","1","","","","6","","","1","","40","83","","486","1","3","","","","1","","4","11","11","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","1","","","3","","","","1","1","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","2","2","","","1","","","","","","","","","","",""
3187.28,NA,NA,315,"18583, 3","1","","","","","1","2","","4","","","","","","","","","","","","","3","","","","1","11","","","","","","","","","2","14","1","7","5","1","","52","175","","2","3","17","","2","","1","","5","","","","","44","74","","654","","1","","","","","","4","22","7","","","","","","","","","3","","","3","","","","","","","","","","","","","2","","","","","","7","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","",""
3393.21,NA,NA,335,"18583, 3","1","","","","","","2","","12","","","","1","1","","1","","","","","","1","","","","","4","1","","","2","","","","1","","10","","11","3","1","","53","106","","8","","14","","1","3","","1","14","","","1","","56","192","","267","","4","","","","1","","3","20","3","","","","","","2","","1","1","","","2","","","","","","","","","","","","1","","1","1","","","","1","","","","4","","","","","","","","","","2","","","","","","","","","","","","","","","3","","","","","","","","","","","","","1","","","","","","","","1","","1","1","","","","2","","","","","","","","","","1"
3702.09,NA,NA,365,"18583, 3","1","","","","","","","","2","","","","","","","1","","","","2","","","","","","","1","1","","","2","","","","1","","10","3","12","3","1","1","8","116","","2","","25","","","","2","","5","","1","1","","50","166","","978","","3","","","","","","1","17","3","5","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","3","","1","","4","1","","","","","","","","","1","","","","","","","","","","","","","","1","2","","1","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","",""
