Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Abutilon,Acacia,Aerva,Ambrosia,Artemisia,Balanites,Blepharis,Borreria,Burkea,Cassia,Celtis,Cf Boscia,Cf Cadaba,Cf Capparis,Chenopodiaceae/Amaranthaceae,Chrozophora,Cleome,Combretaceae,Commicarpus-type,Commiphora-type,Compositae,Corchorus,Cornulaca,Cruciferae,Cucumis,Cyperaceae,Dalechampia,Ephedra,Erica arborea,Fenestrae,Gramineae,Grewia,Hyphaene-type,Indigofera,Jatropha/Croton,Justicia,Lannea,Laurembergia,Maerua,Merremia,Mitracarpus,Mitragyna,Oldenlandia,Pavonia,Peristrophe,Phyllanthus,Piliostigma,Polygala,Ruellia,Salvadora,Tamarix,Tephrosia,Tribulus,Typha,Vernonia,Ziziphus
6239.87,244,,5,,2,,,8,,,,,,,,67,,,7,,5,,,,4,,1415,,2,8,4,743,,,,,,,,17,,,,,,,,,,,,,,,5,,
6254.1,245,6,18,44,,,5,20,,,,,,,,196,,,6,2,5,24,,,,,2634,,,2,13,1687,,,,,,,,6,,,,,,,,,,,8,3,,,,,
6439.09,258,,3,,2,,4,13,3,,,1,,,,60,,,9,,,9,,10,4,,809,,,8,,644,,,,,,,,8,,,,,,,,,,,,,,,15,,
6481.78,261,,1,,1,,1,5,,,,3,,,6,13,,4,,2,4,1,,8,7,,1007,,,6,1,771,,,,,,,,6,,,,,,,,,,,,,,,8,,
6609.85,270,,,,,,7,13,,,,,,,,35,,1,,6,,4,3,,,,1075,,2,1,,379,2,,,,,,,8,,,,,,,,,,,,,,,14,,1
6681,275,,,,,,3,4,,,,4,,,,62,,,1,,,,,,,,779,,,2,3,296,,,,,,,,7,,,,,,,,,,,,,,,9,,
6765.5,285,,4,,1,,,3,,,,,2,,,10,,,4,1,3,5,,,,,874,2,,,1,173,,,,,,,,6,,,,,,,,,,,,,,,2,,
6807.75,290,,7,,3,,,3,2,,,,,,,18,,,,2,,7,,,,,590,,,2,,358,,,,,,,,6,,,,,,,,,,,,,,,7,,
6892.25,300,,,,,,3,,,,,3,,,,23,,,5,,6,,,,,3,804,,,,,338,,,,,,,,8,,3,,3,,,2,,,,,,,,7,,
6934.5,305,,1,,,,3,5,,,,,,,,10,,,3,1,5,6,,,3,,691,1,,1,3,290,1,,,,,,,5,,,,,,,1,,,,,,,,5,,2
6976.75,310,,,2,,,,10,,,,1,,1,,44,,1,1,4,3,2,,,,,833,,5,,3,434,,,,,,,,18,,,,,,,,,,,,2,,,12,,
6993.65,312,,,,,,,,,,,11,,,,58,,,8,,8,4,,,,,1329,,,8,,633,,,,,,,,13,,,,,,,,,,,,,,,11,,
7019,315,,2,3,1,3,,,,,,1,,,,40,,,,,,3,,,,,266,,,1,4,130,,,1,,,,,,1,,,,,,,,,,,,,,,,
7081.6,320,,3,3,1,,,,3,,,12,,19,,122,,,21,5,1,6,,,,1,733,,2,4,6,433,5,,,,,,,7,,,,,,,4,,1,,,,,,17,,
7106.64,322,,,,5,,,7,,,,6,,,,55,,,7,5,7,,,,,,667,,3,4,,558,,,,,,,,10,1,,,,,,,,,,,,,,7,,
7144.2,325,,2,,,,,,,,,4,,4,,30,,,8,2,,8,,,,,492,,2,1,,386,3,,2,,,,,,,,,,,,,2,,,,,,,18,,2
7169.24,327,3,2,,,,,3,,,,8,10,10,,15,,,18,,10,3,,,,,157,,2,3,10,243,3,,,,,,,2,,,,2,,,,,,,,,,,4,,
7206.8,330,,8,,,,,2,2,,,1,2,2,,55,5,2,10,2,2,2,2,,,,743,,,3,,396,6,,,,,,,2,,,,4,,,7,,,,,2,,,9,,
7269.4,335,,7,,,,,,,,,5,,,1,55,2,,16,4,7,4,1,,,,536,,6,4,,342,8,,,,,,,1,,,,,,,,,,,,,,,4,,
7306.96,338,,2,,,,,1,,,,2,,,1,44,,,4,2,1,1,,,,,248,,,2,,132,,,,,,,,3,,,,1,,,,,,,,,,,2,,
7332,340,,,,,,,1,,,,1,,3,1,32,,,8,,,,,,,,115,,,,,128,2,,,,,,,,,,,3,,,,,,,,,,,,,
7394.6,345,,1,,,,,2,,,,3,,3,,117,,2,20,,1,,,,,,1971,,1,1,,943,4,,,,,,,2,,,,,,,,,,,,,,,97,,
7457.2,350,,1,,,,,1,,,,12,,11,,19,,,18,,,3,,,,,777,,,,,668,18,,,,,,,12,,,,12,,,,,,,,,,,8,,
7494.76,353,,,,,,,3,,,,5,,3,,10,,,5,,,6,,,,,136,,,,,238,6,,,,,,,,,,,,,,2,,,,,,,,5,,
7519.8,355,,,,,,,3,3,,,,,1,,13,,,6,,,3,,,,,98,,,,,531,3,,,,,,,4,,,,1,,,,2,,,,,,,7,1,
7582.4,360,,2,,,,,,5,,,,,5,,15,,,7,,,6,,,,,107,,,,,441,,,,,,,,,,,,,,,,5,,,,,,,51,,
7832.8,380,,,,,,,,,,,1,,,,13,,,3,,1,2,,,,,253,,,,,521,1,,,,,,,,1,,,,,,,2,1,1,,,,,9,,
7870.36,383,,,,,,,1,,,,,,1,,11,,,4,,,,,,,,217,,,,,1036,2,,,,,,,,,,,3,,,,9,,,,,,,43,2,
7907.92,386,,,,,,,,,,,,,3,,11,,,2,,,6,,,,,39,,,,,214,3,,,,,,,,,,1,,,,,2,,,,,,,17,,
7958,390,,1,,,,,3,,2,,7,,,,22,,,3,,,,,,,,263,,1,,,749,,,,,,,,,,,,3,,,,9,,,,,,,58,,
8020.6,395,,,,,,,,,,,,,,,7,,,4,,,2,,,,,117,,,,2,512,4,,,,,,,,,,2,2,,,,4,4,,,,,,2,,
8058.16,398,,,,,,,,,,,2,,,,8,,,13,,,,,,,,175,,,,,443,,,,,,3,,,,,,1,,,,5,,,,,,,84,,
8108.24,402,,2,,,,,,,,,3,,4,,4,,,2,,,1,,,,,60,,,,,335,3,,,,,2,1,,,1,,3,,1,1,4,,,,,,,51,,
8546.84,427,,1,,,,,,,1,,,,,,53,,,13,,2,9,,,,,125,,3,,10,695,4,,,,,,,,,,2,,,,1,5,,,,,4,,4,,
8569.827,428,,2,,,,,,,,,7,,1,,71,,,4,,,,,,,,190,,,,,1079,4,,,,,,,,,,,,,,,5,,,,,6,,14,,
8615.8,430,,2,,,,,2,,,,3,,,,24,,,3,,,6,,,,,271,,,,5,780,2,,,,,,,,,,,2,,,,3,,,,,,,34,,
8638.787,431,,2,,,,,,,,,,,,,24,,,6,,,1,,,,,239,,,,1,502,,,,,,,3,,,3,,3,,,,3,,,,,,,24,,
8891.64,442,,2,,,,,,,,2,,,2,,13,,,,,,2,,,,,112,,,,,617,,,,,2,,,,,,,2,,,,11,2,,,,2,,4,,
9604.227,473,,2,,,,,,,,2,2,,2,,21,,,,,,2,,,,,79,,,,,423,2,,,,2,,3,,,,,4,,,,8,,,,,,,261,,
10132.92,496,,3,,,,,,,,,,,,,27,,,2,,,2,,,,,345,,,,1,827,1,1,,,,1,,,,,,1,,,,3,,,,,,,73,,
10362.79,506,,1,,1,,,,,,,7,,,,29,,,2,,,,,,,,388,,,,,809,,,2,,1,,,,,,,8,,,,5,,,,,,,14,,
