"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Rumex","Alnus","Lythrum","Fraxinus","Lamiaceae","Rubiaceae","Juniperus","Quercus suber","Unknown (monolete)","Artemisia","Liliaceae","Pinus","Brassicaceae","Rosaceae","Unknown (trilete)","Hypericum","Cichorioideae","Vitis","Fabaceae","Hedera","Quercus coccifera","Erica","Isoëtes","Osmunda","Caryophyllaceae","Apiaceae","Quercus faginea","Asteroideae","Cyperaceae","Plantago coronopus","Poaceae","Thalictrum","Damasonium","Amaranthaceae","Salix","Ulmus","Dipsacoideae","Olea","Phillyrea","Polypodium","Pistacia","Quercus ilex","Betula","Ilex","Ephedra","Polygonum","Asphodelus","Ranunculaceae","Plantago pro parte","Cistaceae","Myrtus","Cedrus","Campanulaceae","Linum","Typha","Myriophyllum","Thymelaeaceae","Corylus","Arbutus","Calluna","Epilobium","Iris","Abies","Nymphaea"
725,NA,NA,50,5,1,1,1,2,5,3,2,3,10,2,3,NA,8,4,9,5,2,10,1,2,53,5,9,7,12,31,16,86,22,134,1,NA,3,2,NA,NA,4,NA,NA,NA,5,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,NA,NA,55,2,NA,NA,3,4,7,2,4,4,6,1,2,1,9,3,13,11,4,13,7,8,15,4,6,3,44,24,19,125,29,155,NA,2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,NA,NA,60,3,3,NA,3,4,7,3,3,15,117,6,4,NA,4,6,NA,12,1,36,3,NA,34,7,6,16,21,31,3,181,8,11,NA,4,1,10,NA,2,4,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
971,NA,NA,65,3,2,NA,2,1,4,1,2,8,5,NA,NA,NA,2,4,35,4,1,7,6,6,52,4,1,5,9,22,9,60,9,55,NA,1,1,2,NA,NA,4,NA,1,NA,4,NA,4,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,NA,NA,70,7,NA,NA,NA,NA,2,NA,1,8,4,4,2,2,2,1,41,2,2,NA,5,3,130,NA,1,NA,8,12,12,45,19,68,1,2,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,NA,NA,75,4,4,1,2,9,4,1,1,NA,7,12,3,9,8,1,92,7,3,1,23,6,229,104,1,1,12,25,31,NA,23,176,NA,55,3,3,NA,NA,5,NA,NA,NA,3,2,1,NA,NA,3,1,NA,2,NA,1,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA
1333,NA,NA,80,9,1,3,2,NA,3,1,NA,50,5,NA,5,3,2,10,144,1,8,23,NA,6,119,4,1,2,4,34,42,68,13,105,NA,2,1,4,2,NA,11,NA,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,NA,NA,85,9,1,2,1,NA,2,2,NA,54,7,2,2,2,1,6,39,2,2,5,7,NA,64,2,2,1,3,65,39,47,20,67,NA,1,9,NA,NA,NA,6,5,2,2,13,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,NA,NA,90,3,NA,8,1,NA,1,1,6,146,7,2,1,6,14,4,16,2,NA,1,3,5,20,2,1,1,3,145,13,33,9,42,NA,2,1,1,NA,NA,5,NA,1,1,10,1,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1695,NA,NA,95,NA,1,2,1,NA,1,6,4,242,2,NA,NA,1,8,4,NA,NA,NA,2,NA,1,5,2,NA,NA,7,101,5,9,1,22,1,NA,1,NA,NA,NA,1,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1815,NA,NA,100,NA,NA,3,5,3,NA,6,2,163,26,10,1,NA,7,6,41,3,1,9,7,117,122,3,3,NA,7,77,3,87,NA,5,1,1,NA,3,NA,7,3,NA,2,NA,8,1,1,11,NA,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,105,6,NA,2,2,4,2,8,2,301,3,8,2,4,5,4,24,5,1,3,6,3,47,4,1,2,9,107,16,45,24,89,2,4,3,3,NA,NA,3,NA,2,1,7,NA,2,NA,NA,1,2,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
2056,NA,NA,110,6,1,5,2,NA,3,NA,NA,565,7,NA,1,1,8,9,8,3,1,4,2,3,14,8,1,2,7,76,9,22,15,43,NA,2,4,4,NA,NA,2,NA,NA,NA,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2204,NA,NA,115,2,2,3,12,NA,NA,3,NA,499,4,1,2,3,7,8,2,NA,NA,NA,NA,3,21,7,1,1,3,76,8,12,10,36,NA,1,3,4,3,NA,5,1,NA,NA,20,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
2352,NA,NA,120,NA,NA,NA,NA,NA,NA,7,1,415,23,NA,1,NA,3,2,NA,5,NA,NA,1,NA,6,2,NA,6,4,118,NA,10,4,NA,2,1,NA,1,NA,NA,4,NA,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,NA,NA,125,3,2,NA,NA,1,NA,2,1,457,1,7,1,1,3,3,3,1,NA,2,3,4,9,NA,NA,1,7,121,7,14,4,19,NA,2,1,4,NA,NA,1,NA,NA,NA,12,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2647,NA,NA,130,6,NA,NA,1,NA,3,8,NA,156,4,NA,3,1,NA,4,1,2,NA,4,3,13,8,7,1,NA,7,182,4,16,3,66,1,NA,1,1,NA,NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2795,NA,NA,135,10,2,1,1,1,10,NA,3,53,7,NA,2,1,5,6,15,2,1,7,2,13,NA,4,NA,NA,11,177,10,16,13,52,NA,NA,2,1,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA
2942,NA,NA,140,7,3,1,1,4,8,3,2,23,5,3,4,5,5,4,7,5,1,8,NA,14,12,10,NA,3,13,185,13,26,10,76,NA,3,5,2,1,NA,3,NA,3,NA,14,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090,NA,NA,145,17,4,NA,6,NA,1,4,5,11,2,1,3,5,9,2,9,6,NA,5,1,25,3,20,NA,4,8,139,18,16,23,119,2,2,6,3,NA,NA,3,NA,3,NA,23,NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3238,NA,NA,150,17,3,NA,2,4,3,4,5,26,1,NA,2,8,4,3,NA,10,2,11,2,46,3,16,NA,6,16,238,31,17,18,126,3,NA,2,4,2,2,4,NA,7,NA,6,NA,NA,NA,NA,NA,8,3,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3374,NA,NA,155,21,5,NA,6,3,5,4,6,22,1,2,3,8,10,3,4,6,4,8,2,27,3,17,NA,5,4,187,21,15,36,88,1,2,7,5,1,NA,4,NA,3,NA,17,NA,NA,NA,NA,1,7,NA,NA,1,4,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA
3510,NA,NA,160,17,4,1,2,1,5,3,5,6,1,1,6,5,2,7,1,21,3,8,1,28,5,21,NA,3,9,154,25,12,19,79,NA,NA,5,NA,3,1,8,NA,4,NA,9,NA,NA,NA,NA,1,1,6,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3647,NA,NA,165,18,3,2,1,NA,2,2,7,13,1,3,1,6,14,5,3,7,2,6,2,10,13,42,1,2,12,147,40,7,21,129,2,1,4,2,NA,1,6,NA,3,NA,61,1,NA,NA,NA,NA,3,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3783,NA,NA,170,30,4,1,1,1,3,1,8,16,1,3,8,4,NA,8,2,5,1,3,1,26,4,42,1,3,9,168,13,12,13,65,2,1,1,1,NA,1,1,NA,6,NA,2,NA,NA,NA,NA,1,2,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
3919,NA,NA,175,9,2,1,1,1,3,1,4,7,NA,1,4,6,7,NA,1,7,2,5,NA,19,5,43,1,4,7,152,21,13,26,81,1,1,4,3,NA,NA,2,NA,5,1,10,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
4056,NA,NA,180,3,NA,3,1,NA,1,NA,2,3,1,NA,2,1,NA,2,NA,NA,NA,1,1,13,3,3,NA,1,3,72,3,2,NA,31,NA,1,3,3,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4192,NA,NA,185,6,1,NA,3,3,1,3,3,13,2,2,5,1,4,6,1,3,NA,4,NA,8,6,4,1,1,4,251,12,6,1,47,1,NA,1,1,1,NA,3,1,4,NA,6,NA,NA,1,NA,NA,2,1,NA,NA,4,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA
4328,NA,NA,190,17,2,NA,1,3,NA,3,7,18,8,NA,10,NA,NA,3,3,1,1,3,1,4,15,6,11,2,7,415,7,11,7,42,NA,NA,4,NA,1,NA,NA,NA,11,2,15,NA,NA,NA,NA,NA,4,NA,NA,NA,16,6,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA
4528,NA,NA,195,8,3,1,1,NA,NA,1,5,4,4,NA,3,NA,7,3,1,NA,NA,4,NA,7,6,2,4,1,7,257,7,3,6,68,1,NA,3,3,NA,NA,1,NA,7,NA,13,NA,1,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
4728,NA,NA,200,11,2,12,4,NA,5,2,5,2,7,2,6,2,6,5,3,1,3,9,NA,31,8,27,3,2,6,321,15,13,17,86,2,1,3,6,1,1,5,2,7,NA,9,NA,1,1,NA,1,4,NA,1,1,9,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA
4928,NA,NA,205,14,4,8,3,2,2,3,6,9,1,3,6,2,5,5,4,11,1,5,NA,20,9,28,2,3,5,202,37,4,13,83,6,1,5,1,NA,1,6,NA,7,1,16,NA,NA,NA,NA,NA,3,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5128,NA,NA,210,8,3,4,1,NA,3,3,4,16,2,1,2,4,6,9,2,1,NA,6,1,10,3,3,4,1,6,206,9,11,8,86,1,NA,1,NA,NA,2,2,NA,4,NA,23,NA,NA,1,NA,NA,1,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5328,NA,NA,215,1,1,NA,1,4,2,2,9,24,9,8,8,1,5,9,NA,12,NA,8,1,13,6,12,15,3,11,401,22,18,3,70,1,NA,3,2,5,NA,1,NA,13,NA,2,NA,NA,1,NA,NA,5,2,1,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5527,NA,NA,220,12,3,3,1,NA,1,2,2,7,1,1,6,1,2,2,NA,9,1,4,2,10,4,10,4,3,8,328,12,13,4,72,NA,NA,NA,1,NA,NA,2,NA,5,NA,10,1,NA,NA,NA,1,5,1,NA,NA,5,3,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA
5727,NA,NA,225,8,1,1,2,1,NA,1,8,8,5,2,2,1,1,1,NA,4,NA,NA,NA,16,4,6,2,2,8,306,6,8,4,60,1,NA,2,1,NA,2,NA,NA,4,NA,8,NA,1,NA,NA,NA,1,NA,NA,NA,8,3,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA
5927,NA,NA,230,7,1,NA,1,NA,NA,9,6,8,3,2,15,2,NA,2,NA,4,NA,4,1,17,7,3,9,5,14,565,18,4,3,47,NA,NA,2,1,NA,NA,1,NA,11,NA,5,NA,3,1,NA,NA,NA,NA,NA,NA,15,4,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
6127,NA,NA,235,6,1,1,NA,NA,1,3,12,7,2,NA,5,3,5,5,1,5,4,8,2,11,2,5,6,1,11,328,24,5,NA,62,NA,1,4,5,1,NA,1,NA,2,NA,8,NA,NA,1,NA,1,3,3,1,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6327,NA,NA,240,5,2,4,5,NA,2,2,4,17,3,NA,4,2,4,4,NA,NA,NA,NA,NA,16,5,8,8,3,13,383,27,9,8,52,NA,NA,7,NA,NA,2,2,1,10,NA,16,NA,NA,NA,NA,NA,3,NA,2,NA,11,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6527,NA,NA,245,1,NA,3,NA,NA,NA,6,6,7,4,2,11,1,1,3,NA,3,NA,NA,1,20,6,2,5,1,3,292,4,9,3,86,NA,NA,4,5,1,1,2,NA,5,1,6,NA,1,NA,NA,NA,NA,3,1,NA,30,2,NA,NA,NA,NA,1,NA,5,NA,NA,2,NA
6726,NA,NA,250,8,NA,5,3,NA,NA,1,3,NA,5,NA,14,2,1,1,NA,2,NA,4,NA,6,4,1,3,1,8,138,10,4,6,43,NA,NA,3,2,1,NA,2,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1
