depth,age CAL BP,Sample,Acacia-type,Aizoaceae,Algaecyst,Alisma-type,Alnus,Amaranthus-type,Anchusa-type,Anthemis-type,Anthoceros,Apiaceae,Artemisia,Asphodelus-type fistulosus,Asteroideae,Balanites,Betula,Blepharis-type,Boraginaceae,Boscia,Cadaba-type,Calligonum,Capparaceae,Capparis-type,Carduus-type,Caryophyllaceae,Celtis-type,Centaurea-type,Cerastium-type,Cerealia-type,Charred Plant Particles,Chrozophora,Cichorioideae,Cissus,Cistanche,Cistus,Cocculus,Combretum-type,Commiphora,Convolvulus-type,Cornulaca-type,Corylus,Cressa-type cretica,Crotalaria-type,Cyperaceae,Delonix,Dianthus-type,Dipsacaceae,Dodonaea,Drymaria-type,Echinophora,Echinops-type,Echium-type,Emex,Ephedra-type distachya,Ephedra-type fragilis,Epilobium-type,Equisetum,Erica-type,Euphorbiaceae,Euphorbia-type indica,Fabaceae,Fagonia,Farsetia-type,Ficus-type religiosa,Ficus-type vasta,Frankenia,Fraxinus-type excelsior,Fumaria,Fungi,Geranium-type,Gnidia-type,Gypsophila-type repens,Haplophyllum,Heliotropium-type ramosissimum,Indeterminable,Indigofera,Juniperus-type,Lamiaceae,Lannea-type,Leonotis-type,Liliaceae,Linum,Lithospermum-type afromontanum,Lotus-type,Maerua-type,Malva-type,marker spores counted,Matthiola,Mentha-type,Mikania-type,Moltkiopsis ciliata,Monsonia,Morella,Neurada procumbens,NPP,Ochradenus-type,Ocimum,Olea,Ophioglossum-type,Ostrya-type,Papaver,Pediastrum,Pediastrum-type boryanum,Persicaria-type senegalensis,Piliostigma,Pinaceae,Pistacia,Plantago-type amplexicaulis,Plantago-type ciliata,Poaceae,Polemonium,Polycarpaea-type,Polygala-type,Polygonum,Populus,Potamogeton-type,Quercus,Ranunculaceae,Reseda-type,Rhus-type,Ricinus-type,Rosaceae,Rubiaceae,Rumex-type acetosa,Rumex-type crispus,Ruppia,Salvadora-type persica,Saxifraga-type,Scrophulariaceae,Secale,Senna-type,Sesbania,Silene-type,Solanum-type nigrum,Spergula-type,Spermacoce-type,spores,Symphytum-type,Syzygium-type,Tamarix-type,Tetraena,Teucrium,Tilia,Tribulus,Trichodesma,Trifolium-type,triletes,Typha latifolia,Typha-type domingensis,Ulmus-type,Undetermined,Urticaceae/Moraceae,Verbenaceae,Veronica-type,Vicia-type,Viola-type,Vitis,Ziziphus-type,Zygnemaceae,Moraceae/Urticaceae (Mikrom)_17.5,Moraceae/Urticaceae (Mikrom)_20.0,Moraceae/Urticaceae (Mikrom)_22.5,Moraceae/Urticaceae (Mikrom)_25.0,Moraceae/Urticaceae (Mikrom)_27.5,Poaceae (Mikrom)_17.5,Poaceae (Mikrom)_20.0,Poaceae (Mikrom)_22.5,Poaceae (Mikrom)_25.0,Poaceae (Mikrom)_27.5,Poaceae (Mikrom)_30.0,Poaceae (Mikrom)_32.5,Poaceae (Mikrom)_35.0,Poaceae (Mikrom)_37.5,Poaceae (Mikrom)_40.0,Poaceae (Mikrom)_42.5,Poaceae (Mikrom)_45.0,Poaceae (Mikrom)_47.5,Poaceae (Mikrom)_50.0,Poaceae (Mikrom)_52.5,Poaceae (Mikrom)_55.0,Poaceae (Mikrom)_57.5,Poaceae (Mikrom)_60.0,Poaceae (Mikrom)_62.5,Poaceae (Mikrom)_65.0,Poaceae (Mikrom)_67.5,Poaceae (Mikrom)_70.0,Poaceae (Mikrom)_72.5,Poaceae (Mikrom)_75.0,Poaceae (Mikrom)_undef,Poaceae+Cerealia-type
311,6394,TAY22_0336,1,,30,,,641,,13,,7,26,1,29,,,1,,,3,5,5,,,,3,14,,59,2838,,12,,,,,,,,149,,,,104,,,,,,5,,2,,,10,,,2,,,3,,24,2,2,1,,,14,,,,,,8,,,,,,,,,,,,136,,,,3,,1,,,,,12,,,,4,5,,,,2,47,8,129,,2,1,,,,2,,1,,,,2,7,1,,,,3,,,,1,5,,,,,,5,1,,,,,,1,,31,,7,18,,1,,,,,3,6,8,4,,,,13,,25,51,13,,7,7,13,7,7,13,25,7,,,,,,,,,,,188
314,6438,TAY22_N039,1,,273,,,1126,,13,,5,72,,22,,,,,,2,8,12,3,1,,1,21,,50,1179,,30,,,,1,2,,,303,1,,,63,,,,1,,,,1,,1,6,,,4,,1,4,,25,3,3,,,,22,1,,,,,4,,,,,,,,,,1,,93,,,,2,,,1,,,,11,,,,1,2,,1,,2,74,22,106,,,,1,,,5,2,1,,,,,18,1,,4,,,,,,,,1,,,,,7,,,,,,,2,,5,,2,14,,,,,,,,1,10,3,,,,7,3,10,19,19,3,,29,16,7,13,16,7,7,,,,,,,,,,,156
317,6486,TAY22_N041,2,,140,,,647,,16,,1,147,,20,,,1,,,,6,2,2,,,3,38,,135,720,,22,,,,,,,,147,,,,47,,1,1,3,1,4,,,,1,10,,,4,,,4,,15,,,,,,10,,,,,1,6,1,,,,,,,,,,,149,,3,,3,,1,,,,,28,,,,,,,,3,3,71,31,80,,,,,,,5,,,,,1,,18,,,1,,,,,,1,,,,,,,2,,,,1,,,9,,7,,1,1,,,,,1,1,,,,,,,,,,5,15,15,20,5,15,5,20,25,,30,5,15,15,10,,10,,,5,,,215
321,6550,TAY22_N044,2,,125,1,,470,,6,,5,38,,20,,,,,,,5,22,24,,,2,13,,43,1032,,7,,,,,,,,341,,,,55,,3,,1,,2,,,,,13,,,,,,1,,21,3,3,,,,,1,,,,3,33,,,,,,,,,,,,172,,2,,1,,,,,,,14,,,,,,,,1,5,31,25,87,,,,,,1,3,,3,1,1,,,7,,1,4,,,,,,,,2,,,,,2,,1,,,,,,,17,,2,1,,1,1,,1,,,,,,,,,,,30,10,17,4,9,17,,4,4,9,22,,,,,4,,,,,,,130
322,6565,TAY22_0345,1,,108,,,790,,24,,,168,,36,,,1,,,,19,,2,,,2,38,,146,708,,39,,,,,,1,,299,,,1,84,,,,3,,2,,,,1,16,,,,1,,2,,17,,,2,,1,,,,,,2,2,,,,,,,,,,,,207,,,1,,,1,,,,,33,,,,,,,,2,9,88,27,153,,,,,,,3,,1,1,,,,11,,,,,3,,,,1,1,,,,,,3,1,,,1,,1,8,,5,1,,,,,,,,1,3,,,,,,,,,14,28,21,6,35,28,21,,28,14,42,6,28,14,,,14,,,,,,299
330,6666,TAY22_0356,3,,336,,,773,,9,,6,85,1,24,,,1,,,,6,12,12,,,1,8,,51,1290,,3,,,,,,,1,280,,,,100,,,,,,7,,2,,,8,,,,,,2,5,26,2,,,,,,,,,,2,25,,,,,,1,,,,,,86,,1,1,1,,1,,,,,12,,,,,,,,1,1,61,37,133,,,,,,1,3,,7,,,1,,15,3,1,2,,1,,,1,,,,,1,,,2,1,,,,,1,1,,2,,6,13,,,,,,,,,,12,,,,,,18,22,27,13,18,13,22,,13,4,13,9,3,,,,,9,,,,,184
332,6683,TAY22_N053,1,,108,1,,922,,20,,13,105,,28,,1,3,,,,15,15,2,1,,1,15,,95,2270,,22,1,,,,3,,,381,,,,99,,,,1,,5,,,,,15,,,1,,1,3,1,19,2,,,,,26,1,,,,1,17,1,,,,,,,,,,,100,,,,1,,,,,,,10,,,3,,,,,1,3,105,11,126,,1,,,1,,5,,5,,,,6,11,,,1,,1,,,1,,1,,,,,,13,1,,,,,,2,,3,,6,7,,,,,,,,,1,2,4,,,,,,,24,24,39,31,8,,,,8,,31,8,16,24,8,,,,,,221
343,6758,TAY22_N063,5,,83,1,1,921,,10,,8,152,1,14,,,1,,,,11,10,5,,,6,12,9,80,3874,,12,1,,,,,,,456,,,1,122,,,,1,,2,,3,,,8,,,,,,1,1,19,1,1,1,1,,,2,,,,,19,1,,,,,,,,,,,197,1,,,3,,,,,,,12,,,,,,,,,2,37,9,142,,,,,,,3,,2,,,,1,5,,2,2,,1,,1,,4,,2,,1,,,2,2,,,,,1,9,,3,,5,8,,2,,1,1,2,,,,,,,,,3,15,13,19,17,23,29,23,6,16,,3,12,18,4,4,8,,3,,3,3,,222
346,6774,TAY22_N066,1,,280,,,918,,15,,14,111,,31,,1,3,,,,15,8,1,,,1,14,1,86,3259,,18,1,2,,,,,,290,,,,90,,1,,4,,3,,,2,1,12,,,,,,2,3,22,,2,,,,65,,,,,1,13,1,,,,,,,,,,,111,,,,3,,2,,,,,11,,,,,,,,,2,60,22,129,,,,,,,5,,2,,,,7,7,,,2,,,,,,2,,1,,,,,5,,,,,,,2,,4,,5,8,,,,,,2,,,,3,3,2,,,,9,13,36,9,26,18,18,9,13,,13,4,,18,4,4,13,4,,,4,,215
347,6780,TAY22_N068,,,24,1,1,570,,17,,2,76,,29,,,1,1,,,11,1,1,1,,1,22,,84,6492,,23,1,,,,3,,,62,,,,25,,,,4,,2,1,,1,,25,,,1,,,1,2,13,,,,,,306,2,,,,,7,,,,1,,,1,,,,,389,,,,2,,1,,,,,8,,2,,1,,,,2,3,72,26,69,,,,,,,10,,,1,,,,5,,,,,1,,,,1,1,1,,,,,1,,,,,,,15,,2,,7,1,,,,,,,,,,,,,,5,,5,,5,14,14,21,5,12,5,14,5,,9,15,,9,,5,5,,5,,153
350,6798,TAY22_0399,1,,33,,,484,,11,,8,47,1,12,,,1,,,,8,4,1,,,3,6,,24,2383,,10,,,,,,,,215,,,,34,,,,2,,5,,,,,7,,,1,,,1,2,19,,,,,,,2,,,,3,7,,,,,,,,1,,,,161,,4,,,,,,,,,15,,,,,,,,1,2,64,58,77,,,,1,,,9,,4,1,,,1,5,2,,1,,1,,,,1,,,,,,,2,,,,,,1,4,,2,,2,1,,,,,,1,,,,,,,,,,7,6,27,3,7,16,11,8,4,4,,3,,5,,,,,,,,,101
356,6849,TAY22_0405,,,,,,196,,9,,2,35,,10,,,,,,,4,,,,,1,16,,98,1200,,9,,,,,2,1,1,57,,,,23,,,,6,,,,,,,8,,,,,,,,10,,,,,,21,1,,,,,,,,,,,,,,,,,91,,,,,,,,,,,5,,,,1,,,,1,2,36,24,79,,,,,,,,,,,,,,4,,,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,7,11,11,32,14,22,11,11,11,14,,7,11,4,,,7,,,,177
3645,6925,TAY22_0414,4,,,,,398,,9,,2,67,,11,1,,1,,,,14,1,3,4,,2,22,,75,288,,4,,,,,1,,,153,,,,33,,1,,8,,2,,1,1,,14,,,2,,3,,,17,,,,,,48,,,1,,,3,,,,,,,,,,,,103,,1,,2,,1,,,,,7,,,,,,,,1,2,87,7,102,,,,,,,2,,,,,,,5,1,,,,,,,,2,,,,2,,,,,,,,,,1,,2,,5,4,,,,,,,,,4,,,,,,,20,14,35,11,11,14,8,8,20,14,11,14,8,,,,8,,,,,,177
3695,6975,TAY22_0419,4,,,,,309,,5,,8,50,1,16,,,,,,,7,3,1,,,1,10,,23,632,,6,,,,,,,,139,,,,20,,,,,,3,,,1,,4,,,1,,,,1,22,,,,,,80,,,,,,5,,,,,,,,,,,,41,,1,1,,,,,,,,8,,,,,,,,3,,60,10,46,,2,,,,,6,,2,,,1,,2,,,,,,,,,2,,,,,,,6,,1,,,,,,,3,,1,12,,,,,1,,,,5,7,,,,,,,2,15,7,7,5,10,,2,,7,5,7,2,,,,,,,,,69
3745,7030,TAY22_0424,1,,130,2,,913,,11,,8,92,,29,,,,,,4,13,6,,,,2,7,,37,2065,,21,1,2,,,,,,311,,,,38,,,,3,,8,,,,,13,,,2,,,1,,26,1,,3,,,430,,,,,,12,,,,,,,,,,,,118,,2,,2,,1,,,,,5,,,7,,,,,1,3,97,7,120,,1,,,,,6,,10,,,,2,10,5,,,,,,,,1,,1,,,,,4,1,,,,,,,,9,,6,14,,,,,,2,1,,5,8,1,,,,,21,21,16,10,16,27,5,,16,10,10,,,,,,,,,,,5,157
3775,7063,TAY22_0427,1,,285,,,427,,4,,6,30,,19,,1,,1,,,6,,4,,,1,21,,29,502,,8,,,,,,,,105,,,,28,,,,1,,2,,,1,,12,,,1,,2,,,17,,,,,,43,,,,,,5,,,1,,,,,,,,,111,1,,1,2,,,,,,,7,,,1,,,,,1,,41,,57,,2,,,,,2,,3,,,,1,5,,,3,,,,,,,1,,,,,,1,,,,,,,2,,7,,1,2,,,,,,,,,,,,,,,,,28,10,,,,19,,,10,19,,,,,,,,,,,,86
3805,7094,TAY22_0430,2,,165,,,520,,12,,13,86,1,13,,,,,,,14,,1,,,,21,,48,611,,11,,,,,4,,2,126,,,,31,,,,2,,3,,,,1,9,,,3,,1,,,22,,,,,,,,,,,,13,,,,,,,,,,1,,74,,,1,1,,1,,,,,2,,1,1,,,,,2,1,38,34,83,,,,,,,5,,1,,,,1,8,2,,1,,1,,,,,,,,,,,4,,,,,,,,,5,,6,32,,,,,,1,1,,9,18,5,,,,,21,4,21,8,13,8,8,18,2,2,18,8,,,,,,,,,,,131
3875,7167,TAY22_0437,1,,1743,,,1245,,34,,13,132,1,39,,,2,,,,13,13,3,3,,6,28,,68,376,,34,1,,,,2,,,415,,,,83,,,,15,,8,,,,,16,,,1,,2,2,,50,,,,,,177,,,,,,28,1,,,,,,,,,,,113,2,,,3,,1,,,,,19,,,4,,,,,4,3,135,36,212,,,,,,,2,1,6,3,,,1,37,,1,6,,,,,,2,,1,,,,,10,,,,,,,,,9,,6,10,,2,,,,,,,4,4,2,,,5,,40,22,36,32,36,36,5,9,18,9,18,5,9,,,,,,,,,,280
3925,7252,TAY22_0442,5,,160,,1,840,,15,,6,97,5,24,,,,,,,16,10,3,,,1,19,,22,548,,19,,,,,,,,214,1,,,76,,,,19,,6,,,,1,16,,,2,1,,,3,21,,,,,,21,3,,,1,1,8,,,,,,,,,,,,196,,,,3,,1,,,,,25,,,,,,,,3,1,84,13,193,,,,,,,11,,1,1,,,,10,,,1,,,,,,,,1,,,,,5,1,,,1,,,3,,14,,7,1,,,,,,2,3,,,,,,,,12,32,35,41,23,32,12,6,,8,,14,,,,,,,,,,,,215
