"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Caryophyllaceae","Corylus","Picea","Thalictrum","Pinus","Ostrya","Achillea","Galium","Amaranthaceae","Unknown (trilete)","Cichorioideae","Carpinus","Fagus","Salix","Olea","Cyperaceae","Poaceae (Cerealia-type)","Unknown (monolete)","Quercus","Poaceae","Alnus","Plantago lanceolata","Vitis","Cirsium","Pteridium","Rumex","Indeterminable undiff.","Ulmus","Apiaceae","Brassicaceae","Hedera","Fraxinus excelsior","Pistacia","Asteroideae","Poterium sanguisorba","Fraxinus ornus","Acer","Juniperus","Plantago undiff.","Centaurea montana","Centaurea nigra","Buxus","Dryopteris","Rhamnaceae","Betula","Tilia","Helianthemum","Taxus","Viburnum","Unknown","Ephedra fragilis","Allium","Hippophaë","Centaurea scabiosa","Ephedra distachya"
3815,4187,3451,170,43,1,NA,6,NA,NA,1,20,NA,NA,1,NA,NA,10,8,1,NA,NA,NA,1,71,9,53,1,1,NA,NA,NA,2,5,1,NA,2,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA
4392,4755,4037,190,39,2,NA,8,NA,NA,2,17,NA,1,1,NA,NA,9,12,NA,NA,1,NA,1,105,8,23,NA,2,NA,2,NA,3,4,1,NA,2,2,NA,NA,NA,3,3,NA,1,NA,1,NA,1,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA
4680,5040,4321,200,44,NA,NA,7,NA,NA,4,14,1,NA,2,1,NA,4,7,NA,1,NA,NA,1,73,5,97,NA,2,NA,3,NA,1,2,1,NA,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
5545,5931,5159,230,28,NA,NA,11,NA,NA,1,29,NA,NA,3,1,NA,11,7,NA,1,1,NA,NA,86,8,56,2,2,NA,1,NA,3,5,NA,NA,1,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6121,6542,5700,250,28,NA,NA,8,NA,NA,1,18,NA,NA,NA,NA,NA,4,8,NA,NA,1,NA,1,70,7,53,2,NA,NA,3,NA,1,2,NA,NA,NA,5,1,NA,NA,5,1,1,NA,NA,1,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
6410,6849,5967,260,25,1,NA,11,NA,NA,1,21,NA,NA,1,1,NA,4,6,NA,NA,1,NA,1,109,5,111,3,1,NA,1,NA,NA,2,1,NA,2,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,8,NA,1,NA,NA,NA,NA,NA
6698,7159,6233,270,19,NA,NA,1,NA,NA,1,14,NA,NA,1,1,NA,6,11,NA,NA,3,1,NA,100,1,102,2,1,NA,NA,NA,3,2,1,NA,3,3,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
7274,7787,6760,290,30,NA,NA,18,NA,1,2,25,NA,NA,1,1,NA,1,10,NA,NA,1,NA,17,113,12,9,2,1,NA,5,NA,3,6,NA,NA,NA,6,NA,NA,NA,4,3,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA
7767,8254,7280,310,8,1,NA,13,NA,NA,1,38,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,3,83,9,33,NA,NA,NA,2,1,1,7,1,NA,2,3,1,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
8176,8585,7790,330,5,1,NA,24,NA,NA,3,80,NA,NA,1,1,NA,1,10,NA,NA,1,NA,NA,158,15,38,1,NA,NA,NA,NA,NA,29,4,NA,5,6,1,NA,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA
8584,8966,8231,350,NA,NA,NA,28,NA,NA,3,27,NA,1,NA,NA,NA,1,6,1,1,3,NA,1,103,23,38,NA,2,NA,NA,NA,2,11,3,NA,NA,6,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA
8993,9384,8603,370,1,NA,NA,31,NA,NA,3,40,NA,NA,3,NA,NA,NA,4,2,NA,NA,1,NA,168,26,30,4,2,NA,1,2,1,17,1,NA,1,13,1,NA,NA,6,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
9401,9855,8940,390,6,NA,NA,57,NA,NA,1,23,NA,NA,NA,NA,NA,NA,6,1,1,2,NA,2,206,20,2,1,1,NA,2,NA,3,10,1,NA,3,5,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
9606,10104,9097,400,NA,1,NA,24,NA,NA,2,18,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,2,124,9,3,NA,2,NA,NA,1,1,14,3,NA,6,7,1,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA
9700,10179,9217,410,3,NA,NA,33,NA,NA,1,12,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,127,18,1,NA,NA,NA,1,3,1,11,2,NA,1,1,2,NA,1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9842,10294,9393,425,1,NA,NA,44,NA,NA,NA,11,NA,NA,2,NA,NA,1,10,3,NA,NA,NA,4,158,17,3,1,1,NA,NA,NA,3,7,3,NA,2,3,NA,NA,NA,4,5,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,3,1,NA,NA,NA,NA,NA
10031,10450,9620,445,NA,NA,NA,35,NA,NA,1,5,NA,1,4,NA,NA,1,9,8,NA,NA,NA,NA,153,12,1,NA,3,NA,NA,1,4,10,3,NA,3,15,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,1,NA,NA,NA,NA,NA
10221,10613,9838,465,NA,NA,NA,44,NA,NA,2,5,NA,NA,4,NA,NA,NA,9,5,NA,2,NA,2,164,22,3,3,1,NA,NA,NA,8,23,7,NA,2,10,NA,2,NA,11,3,NA,NA,NA,NA,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
10410,10779,10045,485,NA,3,NA,27,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,7,NA,3,NA,NA,152,18,1,NA,NA,NA,1,NA,4,21,2,NA,3,5,NA,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,3,NA,NA,NA,NA,NA
10505,10869,10144,495,NA,1,NA,21,NA,1,4,1,1,NA,1,NA,NA,NA,2,2,NA,1,NA,NA,163,34,1,NA,NA,NA,1,1,NA,23,4,NA,3,6,NA,1,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA
10836,11215,10449,530,NA,3,NA,11,NA,NA,5,NA,1,NA,2,NA,2,NA,7,1,NA,NA,NA,2,169,9,NA,NA,NA,NA,NA,NA,3,13,3,NA,4,3,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
10930,11320,10527,540,NA,NA,NA,10,NA,NA,5,NA,1,NA,NA,1,3,NA,8,5,NA,NA,NA,NA,253,23,2,2,NA,NA,1,1,3,24,6,1,5,2,NA,NA,NA,8,NA,NA,NA,NA,1,NA,1,NA,4,6,NA,NA,4,2,1,1,NA,NA,NA
11120,11547,10684,560,NA,NA,1,5,NA,NA,16,NA,NA,NA,3,NA,2,NA,2,2,NA,6,2,NA,287,57,1,2,NA,NA,2,7,4,16,5,NA,1,1,NA,NA,NA,6,NA,1,2,NA,NA,NA,1,NA,12,9,1,NA,3,2,1,NA,NA,NA,NA
11309,11784,10842,580,NA,2,1,1,NA,NA,10,NA,NA,1,6,NA,1,NA,3,4,NA,2,1,NA,187,39,1,NA,NA,NA,NA,2,NA,9,4,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,7,5,NA,NA,1,NA,NA,NA,NA,NA,NA
11498,12021,10987,600,NA,18,3,NA,NA,NA,12,NA,NA,1,1,1,2,NA,3,NA,NA,NA,NA,NA,222,98,1,NA,NA,NA,NA,12,1,2,3,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,25,3,NA,NA,2,1,NA,NA,NA,NA,NA
11731,12171,11305,610,1,5,2,NA,NA,1,9,NA,NA,2,NA,1,NA,NA,1,1,NA,1,NA,NA,190,40,NA,NA,NA,NA,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,1,NA,NA,NA,NA,NA,1,NA,NA
12080,12437,11702,625,NA,33,NA,NA,NA,1,14,NA,1,NA,10,1,1,NA,3,NA,NA,2,NA,NA,160,64,1,NA,NA,NA,NA,1,NA,4,4,1,NA,2,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,58,2,NA,NA,1,NA,NA,NA,NA,NA,NA
12313,12704,11928,635,NA,24,1,NA,1,NA,16,NA,2,NA,6,NA,2,NA,4,2,NA,NA,NA,2,193,31,3,NA,NA,1,NA,NA,NA,5,1,NA,NA,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,21,3,1,NA,1,NA,1,NA,NA,1,NA
12546,13005,12092,645,NA,5,NA,2,NA,NA,8,NA,NA,1,NA,NA,1,NA,8,1,NA,3,NA,1,152,26,NA,NA,NA,NA,NA,2,2,8,2,NA,NA,9,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,12,22,NA,NA,NA,3,NA,NA,NA,NA,NA
12861,13315,12402,655,NA,18,NA,2,NA,3,2,NA,NA,NA,1,NA,NA,NA,12,3,NA,NA,NA,1,189,20,3,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
13258,13645,12862,665,NA,14,1,4,NA,1,9,1,1,NA,4,NA,1,NA,27,2,NA,1,NA,NA,172,67,NA,1,NA,NA,NA,3,NA,7,4,NA,NA,17,NA,2,NA,3,2,3,NA,NA,1,NA,NA,NA,39,27,NA,NA,2,1,NA,2,NA,NA,NA
14054,14454,13630,685,NA,12,1,NA,NA,1,15,NA,1,4,6,1,2,NA,20,3,NA,2,NA,NA,127,106,NA,NA,NA,NA,NA,8,NA,4,4,1,NA,3,NA,3,NA,NA,2,1,3,NA,NA,NA,NA,NA,72,NA,NA,NA,1,1,NA,NA,NA,NA,NA
13656,14019,13275,675,NA,11,NA,2,1,1,17,NA,2,2,1,NA,3,NA,15,6,NA,4,NA,NA,119,52,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,58,21,NA,NA,1,2,1,NA,NA,NA,1
14253,14687,13795,690,NA,16,NA,1,NA,NA,17,NA,1,NA,7,NA,1,NA,15,NA,NA,3,NA,NA,92,121,3,NA,NA,NA,NA,2,NA,5,3,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,49,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
14451,14932,13959,695,NA,20,NA,2,NA,NA,18,NA,1,5,7,NA,1,NA,2,3,NA,3,NA,NA,74,125,1,NA,NA,NA,NA,2,3,2,3,NA,1,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,21,NA,NA,NA,1,1,NA,1,NA,NA,NA
14650,15185,14115,700,1,14,1,2,NA,1,12,NA,NA,1,3,1,1,NA,7,6,NA,3,NA,3,92,100,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,37,NA,NA,NA,1,1,NA,NA,2,NA,NA
14849,15439,14261,705,1,60,2,NA,1,NA,8,NA,5,1,31,NA,1,NA,2,1,NA,4,NA,NA,8,118,NA,NA,NA,NA,NA,1,1,NA,5,2,NA,NA,NA,1,NA,NA,NA,2,3,NA,2,NA,NA,NA,3,NA,1,NA,NA,3,NA,NA,2,NA,NA
15048,15695,14402,710,NA,12,NA,NA,NA,NA,8,NA,NA,3,9,1,1,NA,1,5,NA,2,NA,NA,28,147,1,NA,NA,NA,NA,1,2,1,9,NA,NA,NA,NA,1,NA,1,NA,5,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,1,1,NA,NA,NA,1
15247,15951,14537,715,NA,9,NA,NA,NA,NA,15,NA,2,3,1,1,1,NA,NA,2,NA,NA,NA,NA,14,120,NA,NA,NA,NA,NA,1,NA,1,9,NA,NA,1,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1,53,NA,NA,NA,NA,1,NA,NA,NA,NA,1
15843,16730,14924,730,NA,29,1,1,NA,1,30,NA,1,5,4,NA,1,NA,2,5,NA,2,NA,NA,14,152,1,NA,NA,1,NA,3,NA,3,8,1,NA,NA,NA,1,NA,NA,NA,6,NA,NA,1,NA,NA,NA,94,NA,1,NA,NA,1,1,NA,1,NA,NA
16241,17253,15178,740,NA,55,NA,NA,NA,1,20,NA,5,1,20,NA,1,NA,4,4,NA,4,NA,NA,14,125,NA,NA,NA,NA,NA,1,1,NA,6,NA,NA,NA,NA,1,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,NA,2
16638,17780,15432,750,NA,47,1,NA,NA,1,9,NA,1,2,20,1,5,NA,4,1,38,5,NA,NA,16,146,NA,NA,NA,1,NA,2,NA,NA,4,1,NA,NA,NA,2,NA,NA,NA,30,NA,NA,2,NA,NA,NA,17,NA,2,NA,NA,NA,1,NA,1,NA,1
17433,18846,15944,770,NA,68,1,NA,NA,1,13,NA,3,4,1,1,NA,NA,NA,1,NA,16,NA,NA,6,106,NA,NA,NA,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,65,3,NA,NA,NA,NA,NA,3,NA,2,NA,NA,1,NA,NA,1,NA,1
18229,19920,16457,790,NA,67,NA,NA,1,NA,16,NA,NA,6,22,NA,NA,NA,NA,2,NA,4,NA,NA,2,85,1,3,NA,2,NA,3,3,NA,1,1,NA,NA,NA,1,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2
18626,20459,16716,800,NA,105,3,NA,NA,1,17,NA,7,1,32,NA,2,NA,3,NA,NA,7,NA,NA,4,104,1,NA,NA,NA,NA,1,9,NA,5,1,NA,NA,NA,1,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,3,NA,NA,4,NA,2
19422,21538,17232,820,NA,101,5,NA,NA,NA,21,NA,4,1,41,1,3,NA,3,NA,NA,3,NA,NA,1,88,NA,NA,NA,NA,NA,4,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35,2,NA,NA,NA,NA,1,3,NA,4,NA,NA,2,NA,NA,2,NA,2
20217,22621,17748,840,NA,67,NA,NA,NA,3,17,NA,2,1,21,NA,NA,NA,NA,1,NA,2,NA,NA,1,68,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,1,NA,NA,41,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2
21012,23705,18262,860,1,51,1,NA,1,3,85,NA,1,5,10,NA,2,NA,1,NA,NA,6,NA,1,6,124,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,NA,NA
21807,24788,18775,880,NA,58,1,NA,NA,3,54,NA,3,7,12,NA,NA,NA,2,NA,NA,9,NA,NA,2,158,NA,NA,NA,NA,NA,1,1,NA,3,1,NA,NA,NA,2,NA,NA,NA,23,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,2,NA,1
22642,25925,19311,901,NA,41,2,NA,NA,NA,39,NA,1,4,6,1,1,NA,NA,1,NA,14,NA,NA,NA,94,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,27,2,NA,NA,NA,NA,NA,3,NA,11,NA,NA,NA,NA,NA,2,NA,2
23398,26954,19800,920,NA,28,1,NA,NA,2,35,NA,5,4,3,NA,1,NA,NA,1,NA,2,NA,NA,3,83,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,47,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1
24193,28038,20312,940,1,57,4,NA,NA,3,27,NA,4,3,9,NA,1,NA,1,NA,NA,6,NA,NA,2,124,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,2,NA,NA
24988,29122,20824,960,NA,37,NA,NA,NA,4,46,NA,4,6,4,NA,2,NA,1,NA,NA,NA,NA,NA,4,160,NA,NA,NA,2,NA,1,2,NA,3,NA,NA,NA,NA,1,NA,NA,NA,37,2,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,3,NA,NA
25783,30206,21334,980,NA,69,NA,NA,NA,2,45,NA,1,5,7,1,1,NA,NA,NA,NA,7,NA,NA,2,138,1,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,4,NA,NA,NA,55,5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2,1,2
26579,31289,21843,1000,NA,39,1,NA,3,1,114,NA,4,7,2,1,1,NA,1,NA,NA,7,NA,NA,3,107,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,34,4,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA,1,NA,NA
27374,32373,22354,1020,2,44,3,NA,NA,1,77,NA,2,4,6,NA,2,NA,1,NA,NA,7,NA,1,3,116,NA,NA,NA,NA,NA,1,4,1,NA,2,1,NA,NA,NA,NA,NA,2,36,3,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA
28169,33458,22864,1040,NA,116,NA,NA,2,NA,35,NA,11,6,27,1,2,NA,2,NA,NA,1,NA,NA,2,108,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,18,7,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,1,NA,NA
28964,34541,23374,1060,NA,67,1,NA,NA,4,52,NA,5,4,8,1,3,NA,3,NA,NA,11,NA,NA,2,117,2,NA,NA,2,NA,2,2,NA,5,NA,NA,1,NA,2,NA,NA,NA,43,10,1,NA,NA,NA,NA,3,NA,9,NA,NA,1,NA,1,1,NA,NA
29760,35625,23885,1080,8,98,5,NA,NA,NA,30,NA,7,NA,16,NA,1,1,2,NA,NA,4,NA,NA,11,93,2,1,NA,3,NA,1,5,1,3,1,NA,NA,NA,1,NA,NA,NA,15,5,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,2,NA,NA
30555,36710,24396,1100,4,65,3,NA,NA,3,27,NA,7,1,12,NA,2,1,2,NA,NA,4,NA,NA,11,93,2,2,NA,1,NA,3,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,17,1,NA,NA,NA,NA,NA,1,NA,3,NA,1,3,NA,NA,3,NA,NA
31350,37794,24907,1120,NA,104,2,NA,NA,4,29,NA,2,7,27,NA,NA,NA,NA,NA,NA,2,NA,NA,3,94,NA,NA,NA,NA,NA,1,2,NA,5,NA,NA,NA,NA,2,NA,NA,NA,8,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,2,NA,1
32145,38878,25416,1140,NA,30,3,NA,1,NA,96,NA,10,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,2,80,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA
32940,39962,25926,1160,NA,41,NA,NA,2,NA,79,NA,2,NA,5,4,NA,NA,NA,NA,NA,3,NA,2,NA,54,NA,NA,NA,1,NA,3,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,29,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
33736,41045,26434,1180,NA,36,2,NA,3,1,61,NA,6,5,4,2,NA,NA,2,NA,NA,2,NA,NA,1,81,NA,NA,NA,2,NA,1,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,24,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,1,NA,1
34531,42130,26944,1200,1,50,2,NA,1,2,31,1,2,2,12,NA,NA,1,2,NA,NA,1,NA,NA,8,134,4,NA,NA,1,NA,2,3,NA,2,NA,1,NA,NA,1,NA,NA,NA,79,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1
35326,43214,27454,1220,NA,NA,5,NA,NA,4,18,NA,5,4,1,NA,2,NA,2,NA,NA,NA,NA,NA,5,84,NA,2,NA,NA,NA,NA,5,NA,40,NA,NA,NA,NA,1,NA,NA,NA,65,3,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,NA,NA
36121,44299,27964,1240,NA,24,4,NA,2,8,29,NA,1,9,2,NA,1,NA,4,4,NA,8,NA,1,6,119,NA,NA,NA,1,NA,1,3,NA,13,1,NA,NA,NA,1,NA,NA,1,81,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,1,NA,3,NA,NA
36917,45382,28473,1260,1,105,2,NA,2,NA,13,NA,7,5,26,2,5,NA,NA,3,NA,2,NA,NA,NA,143,1,NA,NA,NA,NA,5,2,NA,8,1,NA,NA,NA,2,NA,NA,NA,5,7,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,1,NA,NA
38109,47009,29237,1290,1,86,3,NA,NA,2,8,NA,4,2,16,1,1,NA,2,1,NA,6,NA,NA,1,103,2,NA,NA,1,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,33,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA
38507,47551,29491,1300,6,91,4,NA,2,4,17,NA,3,1,39,1,2,1,3,NA,NA,4,NA,NA,7,103,5,NA,NA,2,NA,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,NA,1,NA,NA
39302,48635,30000,1320,1,67,5,NA,1,NA,34,NA,7,2,8,1,4,NA,1,NA,NA,1,NA,1,4,145,NA,NA,NA,4,NA,2,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,14,2,NA,1,NA,NA,1,NA,NA,6,NA,NA,NA,1,NA,NA,NA,2
40098,49719,30508,1340,2,50,7,NA,2,NA,25,NA,4,1,13,1,3,NA,1,NA,NA,1,NA,NA,1,10,NA,2,NA,NA,NA,2,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,66,6,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,1,4,NA,2
