"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Poaceae (Cerealia-type)","Cannabaceae","Unknown (monolete)","Ephedra","Quercus ilex-type","Buxus","Cistus","Fabaceae","Plantago","Quercus robur-type","Unknown (trilete)","Cyperaceae","Pinus","Asteroideae","Pseudoschizaea","Cichorioideae","Poaceae","Sparganium-type","Apiaceae","Amaranthaceae","Ericaceae","Polygonum","Geraniaceae","Artemisia","Corylus","Typha latifolia-type","Rubiaceae","Lamiaceae","Olea","Thalictrum","Vitis","Thymelaea","Tamarix","Phillyrea","Caryophyllaceae","Tilia","Potamogeton","Coriaria myrtifolia","Alnus","Hedera","Pistacia","Ligustrum","Betula","Ranunculaceae","Myrtaceae","Brassicaceae","Fagus","Lythrum","Rumex","Helianthemum","Ulmus","Lygeum-type","Juglans","Rosaceae","Juniperus","Dinoflagellata","Convolvulus","Lotus","Carpinus","Centaurea-type","Urticaceae","Myriophyllum","Malvaceae","Nymphaea","Rhamnus","Salix","Euphorbia","Nuphar","Populus","Abies","Dipsacoideae","Crassulaceae","Boraginaceae"
5303,5424,5193,840,1,NA,2,30,17,29,NA,3,3,6,23,1,7,151,1,NA,11,21,82,3,18,NA,NA,7,9,NA,NA,NA,28,NA,NA,5,NA,4,NA,3,1,NA,7,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5383,5512,5279,860,NA,NA,NA,10,6,26,NA,1,4,NA,19,NA,8,105,NA,NA,23,21,59,5,25,2,NA,NA,14,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5462,5624,5363,880,NA,NA,NA,46,7,6,NA,1,3,NA,12,1,5,125,NA,NA,5,8,71,NA,15,NA,1,NA,15,NA,NA,NA,2,NA,NA,3,NA,NA,NA,2,1,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5542,5717,5446,900,1,NA,1,16,2,26,NA,2,2,NA,27,1,14,52,1,3,23,23,30,2,18,NA,NA,2,6,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5621,5806,5526,920,NA,NA,NA,27,NA,22,NA,NA,NA,3,18,2,16,60,NA,NA,20,13,28,NA,10,2,NA,2,8,NA,NA,7,8,NA,NA,2,NA,NA,NA,2,NA,NA,5,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5681,5874,5582,935,NA,NA,NA,61,6,17,NA,1,3,2,19,3,9,125,4,NA,1,15,83,NA,22,NA,NA,1,9,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5714,5902,5617,950,NA,NA,1,32,4,15,NA,1,NA,NA,28,1,11,107,NA,NA,10,12,49,1,24,1,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5748,5932,5653,965,NA,1,1,34,15,13,NA,2,NA,NA,31,NA,2,156,NA,NA,16,10,71,2,32,NA,NA,NA,12,NA,NA,3,1,NA,NA,2,NA,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5781,5960,5686,980,NA,NA,NA,42,8,10,NA,3,NA,2,17,NA,5,121,NA,NA,9,24,43,2,28,2,NA,NA,4,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
5814,5989,5720,995,NA,NA,NA,28,NA,14,NA,3,NA,2,10,1,7,81,6,3,29,11,43,1,23,1,NA,3,10,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
