sample_name,depth,Triletes,Aerva-type javanica,Monoletes,Combretum-type molle,thickness,Hagenia abyssinica,Rananculus oreophytus-type,Dodonaea viscosa,Cyperaceae,Cruciferae,Amaranthaceae,Olea africana,Euphorbia hypericifolia,Caryophyllaceae,Ericaceae,Clematis,Plantago africana-type,Alchemilla,Chenopodiaceae,Tubuliflorae,Gramineae,Uebelinia-type,Celastraceae,Papilionoideae,Plantago lanceolata,Celtis africana-type,Barbeyaceae,Podocarpus,Umbelliferae,Euclea,Juniperus procera,Monocotyledoneae,Olea hochstetteri-type,Ilex mitis,Rumex,Anthospermum,Helichrysum-type,Schefflera volkensii,Syzygium,Urticaceae,Lythrum,Cerastium octandrum,Euphorbia-type,Combretaceae,Teclea-type,Macaranga kilimandscharica,Cussonia,Balanites aegyptiaca-type,Pappea capensis,Indetermines,Myrica salicifolia,Prunus africana,Allophylus,Celosia-type trigyna,Artemisia,Acalypha,Basilicum-type polystachyon,Plantago coronopus-type,Celosia-type argentea,Trifolium-type acaule,Crepis-type,Cerastium afromontanum-type,Ricinus communis,Xyris,Vernonieae,Digera-type muricata,Gentianaceae,Commiphora africana-type,Myrsine africana,Apodytes dimidiata,Thalictrum,Swertia lastii-type,Rubus pinnatus-type,Typha,Pentanisia-type ouranogyne,Hebenstreitia dentata,Polyscias fulva,Laurembergia tetrandra,Silene-type burchellii,Tribulus,Liguliflorae,Nuxia
,95,,,,,1,4,,2,72,,3,14,,1,56,,,112,,6,184,,,3,,1,,65,,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,100,,,4,,1,12,2,2,54,1,,26,,1,276,,,297,2,17,177,,,1,,2,,146,3,,17,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,
,105,,,1,,1,2,1,1,145,,2,6,,,65,,,141,,13,115,,,1,,,,50,1,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,,,,1,4,,,137,,,5,,1,148,,,111,,17,19,2,,2,,,,80,,,,14,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,,
,115,,,1,,1,1,1,,146,,1,2,,,106,,,93,,11,72,,,2,,,,38,1,,2,4,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,120,8,,7,,1,3,2,,124,,2,2,,,199,,,168,,25,115,1,,1,,,,99,2,,11,46,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
,125,,,2,,1,,,,115,,2,,,,87,,,130,,10,74,,,,,,,45,1,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,,,2,,1,1,,,62,,,4,,,97,,1,123,1,12,60,,,3,,,,77,2,,1,3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,,1,,1,,,,78,,5,1,,,114,,,,,17,103,,,1,,,,53,1,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,,,,1,,,,51,,,4,,1,143,,,60,,21,138,,,5,,,,79,1,,3,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,145,,,2,,1,,,,62,,,,,,45,,,8,,20,51,,,,,,,11,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,150,,,4,,1,4,5,1,238,1,1,1,,7,137,,,244,,59,232,,,6,,,,101,47,,2,3,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,155,,,1,,1,,,,104,,1,2,,,122,,,72,,20,56,,,,,,,54,2,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
,160,2,,1,,1,1,,,139,,,,,,61,,,212,,29,121,,,1,,,,51,,,1,23,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,1,,2,,,,,,,,,,
,165,,,,,1,,,1,35,,,,,3,63,,,19,,11,30,,,,,,,23,3,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,,,3,,1,,,,57,,,,,6,243,2,,3,,45,67,,,,,,,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,1,,1,,1,,,,25,,1,,,,70,,,3,,22,11,,,,,,,15,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,1,,8,,1,,,,171,1,,2,,9,82,,,50,,44,152,,,3,,1,,50,13,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,185,,,,,1,,,,117,,,1,,,121,,,29,,15,54,,,1,,,,32,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,190,4,,6,,1,1,9,1,150,,,,,4,76,,,20,,28,97,,,2,,2,,31,6,1,2,13,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2
,195,,,1,,1,,1,,189,,,2,,1,101,,,12,,29,97,,,,,,,41,36,,2,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
