Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia group I,Acacia group III,Acalypha,Acanthaceae undiff.,Alchemilla,Allophylus,Anacardiaceae undiff.,Apiaceae,Apodytes,Artemisia,Asteraceae: Asteroideae,Asteraceae: Lactucoideae,Blepharis,Botryococcus braunii,Brassicaceae,Canthium,Capparidaceae,Carissa,Caryophyllaceae,Casuarina,Celtis,Chenopodiaceae/Amaranthaceae,Clematis,Coelastrum,Combretaceae undiff.,Combretum,Commelina,Commiphora,Convolvulaceae,Cordia abyssinica,Croton,Cucurbitaceae,Cupressaceae,Cyperaceae,Dodonaea angustifolia,Dombeya,Ekebergia,Ericaceae,Eucalyptus,Euclea,Euphorbia,Euphorbiaceae undiff.,Fabaceae: Papilionoideae undiff.,Ficus,Gentianaceae,Hagenia abyssinica,Hildebrantia,Hypoestes,Indeterminate,Indigofera,Justicia,Lamiaceae hexacolpate,Lamiaceae tricolpate,Lemnaceae,Leucas,Liliaceae,Maesa,Malvaceae,Maytenus,Menispermaceae cf. Cissampelos,Myrica salicifolia,Myriophyllum,Nuxia/Dobera,Nymphaea,Olaceae cf. Ximenia,Olea capensis,Olea europaea ssp. africana,Passifloraceae cf. Adenia,Pediastrum boryanum,Pediastrum duplex,Phoenix,Phyllanthus,Plantago,Poaceae <40,Poaceae >40,Podocarpus falcatus,Polygala,Polygonum,Potamogeton,Prunus africana,Pterolobium,Ranunculaceae/Papaveraceae undiff.,Rapanea,Rhus,Ricinus communis,Rosaceae cf. Rosa,Rubiaceae undiff.,Rumex,Salix,Sapotaceae,Schefflera,Scrophulariaceae,Senna,Solanum,Spores: monolete,Spores: trilete,Tapinanthus,Teclea,Terminalia,Tiliaceae,Tribulus,Trilepsium,Typha latifolia,Typha type-angustifolia,Unknown tetracolpate,Unknowns: various,Urticaceae,Vitaceae,Zanthoxylum,Ziziphus
479.317352,40,1,1,1,,,,,,,,2,1,,84,,1,1,1,,,10,23,4,,4,1,,,,,,,84,72,14,,,1,,4,,1,4,1,,,1,2,18,,,,,,,,,,,,5,,5,,,,66,,4956,1888,,,,214,44,6,,,3,,,,1,1,,,1,4,,,,,,,3,,,1,2,,,,,8,9,4,1,,,
530.455078,44,,3,1,,,,,,,1,8,1,,212,,,,,,,3,17,2,,,3,1,,,,,,46,96,30,,1,,,,,1,2,1,,,,,16,,,,,,,,,,,,6,,1,1,,,41,,2913,1536,,,2,283,23,9,,1,4,,,,1,2,3,1,,8,,,,,,1,1,1,,,1,,1,,1,5,4,3,,,,
581.592834,48,1,2,,,,,,,,,8,3,,368,1,,1,2,,,4,30,2,,,,,,,,1,,17,200,17,1,,,,,1,,1,,,1,1,1,30,,,,,,,,,,,,9,,,,,1,35,,3908,1867,,,5,315,31,5,,,3,,,1,,2,1,1,,14,,,,,,1,2,1,,,,,,,1,4,2,4,,,,
632.73053,52,,3,1,1,,,,1,,,11,2,,160,2,,,,,,4,32,1,,1,1,1,,,,,,16,138,20,,,2,,1,,1,13,,,,,2,22,1,1,,,,,,1,,,,4,,1,1,,,30,,5612,7212,,,5,301,26,2,,,11,,,1,,2,1,,2,10,,,,1,1,3,2,1,,,,,,,1,4,1,6,2,,,
683.868286,56,,2,2,1,,,,,,1,13,1,,88,,1,1,,,,4,23,1,,,1,2,,,,,,12,99,22,,,1,,1,,1,16,,1,1,,,15,,,,,,,,,,1,,3,,,1,1,,26,,9821,6771,,,2,306,29,7,,,7,1,,2,,5,2,,,9,,,,,,2,2,3,1,,,1,1,,,2,1,4,,,,
735.005981,60,,1,,1,,,,1,,,27,6,,119,1,,2,,,,5,30,5,,,,,,,,,,19,172,79,,,1,,1,1,,8,,,,,1,29,1,,1,,,,1,,,,,3,,2,,,1,17,,8929,,,,5,227,26,5,,2,5,,,,,,2,1,1,22,,,,,,,1,,,,,,,1,2,10,2,9,2,,,
786.143738,64,1,1,2,,,,,,,1,16,,,278,,,3,,,,6,43,1,,3,2,,,,,,,17,80,76,,,1,,4,1,,3,,,1,,2,20,1,3,1,2,,,,1,,,,6,,1,,,1,19,,11333,,,,5,193,25,4,,1,1,,,,,8,9,1,1,34,,,,,,1,3,2,,,,1,1,,4,6,3,5,2,,,1
837.281433,68,,2,1,,,,,,,2,20,2,,1764,3,,1,,,,12,54,4,,1,2,2,,,,,,13,98,51,,2,1,,2,1,1,1,,,2,1,1,14,1,1,,,,,1,1,,,,5,,1,,,,13,,273042,,,,6,198,19,5,,,2,,1,2,1,2,10,,7,44,,,,,1,2,2,,,,,1,,,9,26,5,3,,,,1
888.419189,72,,1,,,,,,,,,4,3,,371,,,2,1,,,7,29,,,2,,,,,,,,10,35,88,,,2,,2,2,2,4,,,1,,2,7,,,,,,,,,,,,2,,,,,3,10,,44778,,,,5,233,28,6,,,,,,1,,2,7,,6,44,,,,,,4,2,,,1,1,1,1,,2,18,7,5,1,,,
965.125732,78,1,2,2,,,,,1,,,10,2,,139,1,,,,,,4,29,5,,1,2,,,,,,,6,25,38,,,,,1,1,1,2,,,1,,1,13,,,,,,,,,,,,1,,1,,1,,15,,44296,,,,5,251,30,2,,,2,,,2,,1,8,1,2,70,,,,,,,,1,,,1,1,1,,,5,4,1,,,,
1041.832275,84,1,,2,1,1,,,,,,11,2,1,273,,,2,,,,10,30,1,,,2,1,1,,,,,8,69,41,,,,,1,1,2,2,,,2,3,1,20,1,2,,,,,,,,,,7,,4,,,,16,2,34425,,,,4,242,16,18,,,2,,1,2,,3,7,,2,46,,,,,,1,,2,,,1,,,,1,15,4,4,,,1,
1118.53894,90,1,2,1,,,,,,,,8,1,,268,,,1,,,,13,26,4,,3,,,,,,1,,16,33,43,,,3,,2,1,1,2,,,,,,14,,1,,,,,,,,,,15,,2,,,,15,,110192,,,,9,236,24,21,,,1,,,,,4,5,,3,26,,,,,,3,3,2,,1,3,1,,,1,13,6,6,,2,,
1182.5,96,1,2,,,,1,,1,,1,3,1,,346,,,1,,,,40,21,3,,2,2,,,,,,,37,19,83,,,2,,1,1,,2,,,,,,9,3,,,2,,,,,,,,9,,1,1,,,26,,18685,,,,5,187,12,16,,,1,,1,1,,4,2,,4,23,,,,,,1,1,,,1,3,,1,,,,5,2,,,,
1237.357178,102,1,2,1,,,,,1,,,4,2,,118,,,1,,,,18,22,2,,2,1,,,,,,,15,30,53,,,,,4,3,1,1,,,,,,13,,,,1,,,,,,,,17,,3,,2,2,32,,14890,,1,,5,239,11,13,1,,4,,1,,,6,2,,7,26,1,,,,,,,1,,,2,,,,1,1,7,4,,,,
1292.214233,108,,4,2,,,2,,2,,,4,,1,450,,,1,,,,15,28,2,,2,4,,,,,,,15,30,81,,,1,,,2,1,2,1,1,,,,13,1,,1,1,,,,,,1,,17,,6,,,2,34,1,5500,,,1,,219,13,20,,,3,,,,,1,1,,,13,,,,,,1,,1,1,,1,,1,,,,12,10,1,,,
1347.071411,114,1,2,2,,,,,1,,,8,1,,238,,,2,,,,8,22,,,1,3,,,,,,,4,29,65,,,,,4,,1,4,,1,,,3,13,1,,1,2,,,,,,,,5,,,2,,1,16,,13135,,,,2,248,16,24,,,1,,,,,4,7,,1,46,,,,,,4,3,2,,,1,,1,,,,5,6,2,,,1
1429.357178,123,,2,4,,,,,,2,,5,1,1,788,,,1,,,,15,25,2,,1,,,1,,1,,,13,29,77,,,1,,1,,1,3,,,,,2,10,,,,,,,,,,,,8,,4,,1,1,23,,116533,,,,4,243,10,32,,,,,,,,2,1,,3,30,,,,,2,,,1,,1,4,,1,,,1,4,3,2,,,
1593.844238,132,2,1,3,,,,,,,1,11,,2,218,,,1,,,,11,33,,,4,6,1,1,,,,,9,30,77,,,2,,,,1,,1,,,1,3,10,,,,,,,,,,,,5,,3,,,,17,,14181,,1,,,208,10,27,,,,,,,,2,2,,1,46,1,1,,,,2,1,1,,,6,,,,,3,3,4,1,,,
1977.581909,146,,,1,,,,1,,,,6,1,3,1385,1,,2,1,,,12,27,4,,4,1,,1,,,,,18,26,66,,,1,,2,,1,1,1,,2,,1,3,,,1,,,,,,,,,6,,3,,,,21,,19995,,,,,244,20,21,,,,,,,,7,,1,4,37,,1,,,1,1,1,,,1,3,,,,,1,8,3,,,,
2361.31958,160,1,1,,,,,,,,,7,,1,367,2,,3,,,,10,22,1,,5,4,,,,,,,10,16,82,,,,,3,,2,1,,,,1,,9,,,,1,,,,,,,,6,,,1,,,15,,113954,,,,1,247,12,23,,,,1,,1,,4,2,,4,31,,,1,,2,2,1,1,,,1,1,1,,,,2,5,,,,1
