"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Lonicera","Malvaceae","Primulaceae","Rhus","Apiaceae","Fabaceae","Pinus","Urticaceae","Juniperus","Crataegus","Styrax","Tamarix","Thymelaeaceae","Hippophaë","Cistus","Phillyrea","Arbutus","Nerium","Acantholimon","Pistacia atlantica","Pistacia palaestina","Polygalaceae","Rubiaceae","Dipsacoideae","Quercus coccifera","Polygonum","Rumex","Juglans","Plantago","Fraxinus ornus","Scrophulariaceae","Centaurea","Ziziphus","Myriophyllum","Sagittaria","Salix","Poaceae","Ulmus","Lamiaceae","Rosaceae","Lemna","Hedera","Elaeagnus","Acer","Campanulaceae","Populus","Brassicaceae","Liliaceae","Ranunculaceae","Papaveraceae","Prunus","Myrtus","Ceratonia","Alismataceae","Cercis","Quercus ithaburensis","Vitis","Olea","Cyperaceae","Typha","Rubus","Platanus","Fraxinus","Rhamnus","Laurus","Poaceae (Cerealia)","Artemisia","Boraginaceae","Ephedra","Amaranthaceae","Asteraceae","Euphorbiaceae","Helianthemum","Scabiosa","Zygophyllaceae","Teucrium","Sarcopoterium"
2508.235,NA,NA,125,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,7,4,6,6,7,9,10,10,9,11,10,5,11,9,11,10,8,12,7,7,7,10,7,8,8,8,8,8,9,9,9,9,9,9,19,10,10,19,23,20,15,13,16,16,16,16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2572.941,NA,NA,130,5,4,4,4,5,4,5,1,4,1,5,4,5,5,4,5,5,4,4,4,3,2,2,2,3,4,12,12,11,13,12,9,13,4,12,13,12,5,11,11,11,14,11,12,12,12,12,12,13,13,13,13,13,13,22,14,14,21,25,25,22,17,20,20,20,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2637.647,NA,NA,135,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,7,5,7,7,8,8,7,6,6,6,9,6,8,8,9,9,9,9,8,8,8,11,8,9,9,9,9,9,10,10,10,10,10,10,20,11,11,15,20,21,18,14,17,17,17,17,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702.353,NA,NA,140,5,4,4,4,5,4,5,1,4,1,5,4,5,5,4,5,5,4,4,4,3,2,2,2,3,4,12,12,11,13,12,9,13,4,15,15,12,5,11,11,11,17,11,12,12,12,12,12,13,13,13,13,13,13,25,14,14,21,25,31,31,17,20,20,20,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780,NA,NA,146,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,3,4,5,9,13,8,9,9,6,10,5,13,13,9,6,8,8,8,14,8,9,9,9,9,9,10,10,10,10,10,10,16,11,11,17,18,27,24,14,17,17,17,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2804,NA,NA,152,1,1,1,1,1,1,1,8,1,8,1,1,1,1,1,1,1,1,1,1,12,10,6,6,9,16,6,6,7,6,7,2,6,14,10,10,5,15,4,4,4,10,4,5,5,5,5,5,6,6,6,6,6,6,10,7,7,11,14,10,10,10,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1
2828,NA,NA,158,1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,11,9,5,5,8,15,6,6,7,6,7,3,6,13,10,10,6,14,5,5,5,10,5,6,6,6,6,6,7,7,7,7,7,7,10,8,8,11,14,10,10,11,14,14,14,14,13,10,6,4,8,9,6,5,8,8,3,7
2852,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,9,9,12,19,4,4,5,4,5,2,4,17,8,8,5,18,4,4,4,8,4,5,5,5,5,5,6,6,6,6,6,6,8,7,7,9,12,8,8,10,13,13,13,13,10,13,9,7,11,12,9,8,11,11,6,10
2876,NA,NA,170,1,1,1,1,1,1,1,10,1,10,1,1,1,1,1,1,1,1,1,1,14,12,8,8,11,17,8,8,9,8,10,3,8,16,12,12,6,16,5,5,5,14,5,6,6,6,6,6,7,7,7,7,7,7,18,8,8,15,18,21,24,11,14,14,14,14,15,12,8,6,10,10,8,7,10,10,5,9
2900,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,14,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18,15,15,17,23,5,5,8,6,9,2,6,21,8,8,5,24,4,4,4,9,4,5,5,5,5,5,6,6,6,6,6,6,9,7,7,14,17,9,9,10,13,13,13,13,13,15,15,11,16,16,12,13,16,14,10,14
2954.657,NA,NA,182,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,5,6,5,5,5,8,8,8,10,9,11,4,9,8,16,16,7,10,6,6,6,16,6,7,7,7,7,7,8,8,8,8,8,8,16,9,9,22,25,30,29,12,15,15,15,15,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3009.315,NA,NA,188,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,7,9,9,12,11,13,7,11,7,25,25,10,9,9,9,9,26,9,10,10,10,10,10,11,11,11,11,11,11,26,12,12,27,29,31,30,15,18,18,18,18,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3063.973,NA,NA,194,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,6,5,5,5,8,8,8,11,10,12,6,10,8,26,27,9,10,8,8,8,27,8,9,9,9,9,9,10,10,10,10,10,10,27,11,11,26,28,32,32,14,17,17,17,17,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118.63,NA,NA,200,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,5,10,11,13,12,14,8,12,5,28,29,11,8,10,10,10,29,10,11,11,11,11,11,12,12,12,12,12,12,29,13,13,28,30,45,47,16,19,19,19,19,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3182.397,NA,NA,207,6,6,6,5,6,6,5,NA,5,NA,6,5,5,6,6,6,6,5,5,6,NA,NA,NA,NA,1,2,13,13,15,13,16,13,13,2,27,27,16,4,15,15,15,27,15,16,16,16,16,16,17,17,17,17,17,17,27,18,18,31,31,38,37,21,24,24,24,24,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3246.164,NA,NA,214,5,5,5,4,5,5,4,1,4,1,5,4,4,5,5,5,5,4,4,5,1,1,1,1,2,3,12,12,14,12,14,11,12,3,27,27,14,5,13,13,13,27,13,14,14,14,14,14,15,15,15,15,15,15,27,16,16,30,30,38,37,19,22,22,22,22,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3309.931,NA,NA,221,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,5,5,3,2,4,8,10,11,12,10,12,6,10,6,28,28,9,11,8,8,8,28,8,9,9,9,9,9,10,10,10,10,10,10,28,11,11,28,28,41,42,14,17,17,17,17,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3373.699,NA,NA,228,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,2,2,2,7,8,6,5,7,13,8,9,11,8,11,5,8,10,25,25,8,15,7,7,7,25,7,8,8,8,8,8,9,9,9,9,9,9,25,10,10,25,26,36,36,13,16,16,16,16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437.466,NA,NA,235,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,8,11,12,12,11,12,9,10,5,27,27,12,10,11,11,11,27,11,12,12,12,12,12,13,13,13,13,13,13,27,14,14,29,29,40,40,17,20,20,20,20,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3501.233,NA,NA,242,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,9,7,7,9,7,10,5,7,7,22,22,8,11,7,7,7,22,7,8,8,8,8,8,9,9,9,9,9,9,22,10,10,26,24,30,30,13,16,16,16,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3565,NA,NA,249,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,4,6,11,9,9,10,9,12,6,9,9,25,25,9,13,8,8,8,25,8,9,9,9,9,9,10,10,10,10,10,10,26,11,11,28,26,33,33,14,17,17,17,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3574.045,NA,NA,256,4,4,4,4,4,4,4,5,4,6,4,4,4,4,4,4,4,4,4,4,7,6,8,6,8,13,9,9,10,9,12,6,9,11,20,20,9,15,8,8,8,20,8,9,9,9,9,9,10,10,10,10,10,10,20,11,11,28,26,30,32,14,17,17,17,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3583.09,NA,NA,263,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,3,2,3,2,3,7,12,11,11,12,14,10,11,6,25,25,13,9,12,12,12,25,12,13,13,13,13,13,14,14,14,14,14,14,26,15,15,30,28,41,41,18,21,21,21,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3592.135,NA,NA,270,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,4,3,5,4,4,8,8,8,9,8,10,8,8,7,19,19,10,10,10,10,10,19,10,11,11,11,10,11,12,12,12,12,12,12,19,13,13,23,23,30,30,15,18,19,19,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3601.18,NA,NA,277,3,3,3,3,3,3,3,NA,3,NA,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,3,9,9,12,9,11,9,9,1,21,21,11,7,11,11,11,21,11,12,12,12,11,12,13,13,13,13,13,13,20,14,14,24,24,32,32,16,19,20,20,20,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3610.225,NA,NA,284,5,4,4,4,5,5,4,NA,5,NA,5,4,5,4,4,5,5,4,4,4,1,1,2,1,1,3,11,11,13,12,13,11,12,1,25,25,13,7,13,13,13,25,13,14,14,14,13,14,15,15,15,15,15,15,25,16,16,29,27,39,37,18,21,22,22,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3619.27,NA,NA,291,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,10,10,10,12,11,12,7,11,5,29,29,9,10,9,9,9,29,9,10,10,10,9,10,11,11,11,11,11,11,28,12,12,28,26,42,42,14,17,18,18,18,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628.315,NA,NA,298,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,10,10,10,12,11,12,9,11,5,25,25,11,10,11,11,11,25,11,12,12,12,11,12,13,13,13,13,13,13,25,14,14,28,26,35,35,16,19,20,20,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3638.652,NA,NA,306,3,2,2,2,3,3,2,3,3,3,3,2,3,2,2,3,3,2,2,2,5,4,6,5,6,13,9,9,11,10,11,7,10,7,21,21,9,13,9,9,9,21,9,10,10,10,9,10,11,11,11,11,11,11,24,12,12,26,24,28,29,14,17,18,18,18,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3648.989,NA,NA,314,4,3,3,3,4,4,3,2,4,2,4,3,4,3,3,4,4,3,3,3,3,2,3,3,4,8,12,12,13,13,13,9,13,5,22,22,11,11,11,11,11,22,11,12,12,12,11,12,13,13,13,13,13,13,25,14,14,29,27,30,30,16,19,20,20,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659.326,NA,NA,322,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,5,4,5,5,6,14,9,9,11,10,11,6,10,8,24,24,8,14,8,8,8,24,8,9,9,9,8,9,10,10,10,10,10,10,27,11,11,26,24,35,35,13,16,17,17,17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3669.663,NA,NA,330,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,13,11,11,12,11,12,7,11,6,25,25,9,13,9,9,9,25,9,10,10,10,9,10,11,11,11,11,11,11,28,12,12,28,26,45,45,14,17,18,18,18,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3680,NA,NA,338,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,13,10,10,11,10,11,5,10,6,24,24,7,13,7,7,7,24,7,8,8,8,7,8,9,9,9,9,9,9,25,10,10,26,24,42,42,12,15,16,16,16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3687,NA,NA,346,2,2,2,2,2,2,2,7,2,7,2,2,2,2,2,2,2,2,2,2,9,7,8,9,7,16,8,8,9,8,9,5,8,8,17,17,7,19,7,7,7,17,7,8,8,8,7,8,9,9,9,9,9,9,17,10,10,21,22,17,18,12,15,16,16,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3694,NA,NA,354,3,3,3,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,3,3,6,5,6,7,5,14,9,9,11,10,11,6,9,6,20,20,8,17,8,8,8,20,8,9,9,9,8,9,10,10,10,10,11,10,20,11,11,25,24,32,33,13,16,17,17,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3701,NA,NA,362,1,1,NA,NA,NA,1,NA,6,NA,6,1,1,2,NA,NA,1,1,1,NA,1,7,6,7,8,6,15,6,6,9,7,9,5,7,7,17,17,7,18,7,7,7,17,7,8,8,8,7,8,9,9,9,9,9,9,17,10,10,21,20,17,18,12,15,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3708,NA,NA,370,1,1,NA,NA,NA,1,NA,6,NA,7,1,1,2,NA,NA,1,1,1,NA,1,9,7,8,9,7,16,6,6,9,7,9,4,7,8,17,17,6,19,6,6,6,18,6,7,7,7,6,7,8,8,8,8,8,8,24,9,9,21,20,26,25,11,14,15,15,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3715,NA,NA,378,2,2,1,1,1,2,1,6,1,7,2,2,3,1,1,2,2,2,1,2,9,7,8,9,7,16,8,8,10,8,10,5,8,8,17,17,7,19,7,7,7,18,7,8,8,8,7,8,9,9,9,9,9,9,24,10,10,23,22,25,24,12,15,16,16,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3722.027,NA,NA,386,3,3,2,2,2,3,2,4,2,4,3,3,4,2,2,3,3,2,2,3,5,5,6,7,5,13,11,10,12,11,12,4,10,6,20,20,8,17,8,8,8,21,8,9,9,9,8,9,10,10,10,10,10,10,26,11,11,25,24,28,28,13,16,17,17,17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3728.176,NA,NA,393,4,4,3,3,3,4,3,2,4,1,4,4,4,3,3,4,4,3,3,4,2,3,4,4,3,10,17,16,15,16,15,9,15,3,33,33,13,13,13,13,13,33,13,14,14,14,13,14,15,15,15,15,12,15,36,16,16,33,36,43,41,18,21,22,22,22,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3734.324,NA,NA,400,6,6,6,6,7,7,6,2,6,1,7,6,7,6,6,6,7,NA,6,6,2,3,4,4,3,10,16,15,14,15,14,13,14,3,30,29,17,13,17,17,17,28,17,18,18,18,17,18,19,19,19,19,16,19,30,20,20,32,34,31,30,22,25,26,26,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3740.473,NA,NA,407,5,5,5,5,6,6,5,2,5,1,6,5,6,5,5,5,6,NA,5,5,2,3,4,4,3,10,15,14,13,14,13,11,13,3,33,31,15,13,15,15,15,33,15,16,16,16,15,16,17,12,12,17,14,17,36,18,18,31,33,37,34,20,23,24,24,24,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3746.622,NA,NA,414,4,4,4,4,5,5,4,2,5,1,5,4,5,4,4,4,5,3,4,4,2,3,4,4,3,10,13,12,11,13,12,9,11,3,34,32,13,13,13,13,13,34,17,14,14,14,12,14,15,10,10,15,12,15,35,16,16,29,31,38,35,18,21,22,22,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3752.77,NA,NA,421,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,7,3,3,3,4,5,5,4,12,11,10,8,11,8,6,9,4,26,27,10,15,10,10,10,27,14,11,11,11,9,11,12,7,7,12,9,12,28,13,13,23,25,30,28,15,18,19,19,19,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3758.919,NA,NA,428,5,5,5,6,6,6,5,2,5,3,6,5,6,5,5,6,6,5,5,5,2,3,4,4,3,11,14,14,11,14,10,10,13,3,37,35,14,14,14,14,14,36,18,13,15,15,13,15,16,11,11,16,13,16,35,17,17,27,29,42,38,19,22,23,23,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3765.946,NA,NA,436,6,6,6,7,7,7,6,2,6,3,7,6,7,6,6,7,7,6,6,6,2,3,4,4,3,11,16,16,13,16,12,11,15,3,35,32,15,14,15,15,15,32,19,14,16,16,14,16,17,12,12,17,14,17,32,18,18,29,31,38,34,20,23,24,24,24,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3772.973,NA,NA,444,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,3,3,3,3,3,6,5,7,7,6,12,9,8,9,9,8,8,8,6,15,14,12,19,10,12,7,14,16,11,13,13,11,13,14,9,9,14,11,14,18,15,15,13,13,20,22,17,20,21,21,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3780,NA,NA,452,3,3,3,3,3,3,3,5,3,6,3,3,3,3,3,3,3,3,3,3,7,6,8,8,7,13,8,7,8,8,7,8,7,7,10,9,12,20,10,12,7,10,16,11,13,13,14,13,14,9,9,14,11,14,12,15,15,11,11,14,16,17,20,21,21,21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3789.091,NA,NA,460,6,6,6,7,7,7,6,1,NA,3,7,6,7,6,6,7,7,6,6,6,2,3,2,1,1,11,9,9,9,9,8,15,8,1,16,15,16,14,14,16,18,17,20,15,17,17,18,17,18,20,19,18,20,18,25,19,19,13,13,26,24,21,24,25,25,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3798.182,NA,NA,468,5,5,5,6,6,6,5,3,6,5,6,5,6,5,5,6,6,5,5,5,4,5,4,3,3,13,8,7,8,8,7,14,7,3,12,11,15,16,13,17,17,13,19,14,16,16,17,16,17,19,18,17,19,17,21,18,18,12,12,22,20,20,23,24,24,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3807.273,NA,NA,476,5,5,5,6,6,6,5,1,6,3,6,5,6,5,5,6,6,5,5,5,2,3,2,1,1,11,10,9,10,10,10,14,9,1,17,16,15,14,13,17,17,19,19,14,16,16,17,16,17,19,18,17,19,17,29,18,18,15,15,26,30,20,23,24,24,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3816.364,NA,NA,484,3,3,3,4,4,4,3,1,4,3,4,3,4,3,3,4,4,3,3,3,2,3,2,1,1,11,9,8,9,9,9,10,8,1,16,15,11,14,9,13,13,18,15,10,12,12,13,12,14,15,14,13,15,13,28,14,14,13,13,25,27,16,19,20,20,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3825.455,NA,NA,492,5,5,5,5,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,2,3,2,1,1,11,12,12,12,12,12,14,11,1,22,21,15,14,13,17,17,24,19,14,16,16,17,16,17,19,18,17,19,17,34,18,18,16,17,32,34,20,23,24,24,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3834.545,NA,NA,500,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,3,4,3,2,2,12,10,10,10,10,10,14,9,1,17,16,15,15,13,17,17,18,19,14,16,16,17,16,17,19,18,17,19,17,18,18,18,14,15,24,24,20,23,24,24,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3843.636,NA,NA,508,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,13,9,9,9,9,9,12,8,2,12,13,13,16,11,15,15,12,17,12,14,14,15,14,16,17,16,15,17,15,13,15,15,13,14,16,17,18,21,22,22,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3852.727,NA,NA,516,3,3,3,3,3,3,3,4,3,6,3,3,3,3,3,3,3,3,3,3,5,6,5,4,4,14,7,7,7,7,7,10,6,3,11,12,11,17,9,13,13,11,15,10,12,12,13,12,14,15,14,13,15,13,12,13,13,11,12,13,15,16,19,20,20,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3861.818,NA,NA,524,3,3,3,3,3,3,3,5,3,7,3,3,3,3,3,3,3,3,3,3,6,7,6,5,5,15,6,6,6,6,6,10,5,4,10,11,11,18,9,13,13,10,15,10,12,12,13,12,14,15,14,13,15,13,11,13,13,10,11,12,14,16,19,20,20,20,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3870.909,NA,NA,532,2,2,2,2,2,2,2,13,2,14,2,2,2,2,2,2,2,2,2,2,10,11,10,8,10,25,8,8,8,8,8,8,7,8,13,14,9,25,7,11,11,13,13,8,10,10,11,10,12,13,12,11,13,11,14,11,11,12,13,15,17,14,17,17,17,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3880,NA,NA,540,1,NA,NA,1,1,NA,NA,14,1,15,1,NA,1,NA,NA,1,1,NA,NA,NA,12,13,12,10,12,29,7,7,6,7,7,6,6,10,11,12,7,29,5,9,9,11,11,6,8,8,9,8,10,11,10,9,11,9,12,9,9,11,12,13,15,12,15,15,15,15,10,3,1,1,2,2,2,1,1,1,1,2
3895,NA,NA,548,1,NA,NA,1,1,NA,NA,15,1,17,1,NA,1,NA,NA,1,1,NA,NA,NA,14,15,14,12,14,31,5,5,5,5,6,6,4,13,9,9,7,31,5,9,9,9,11,6,8,8,9,8,10,11,10,9,11,9,10,9,9,10,11,10,11,12,15,15,15,15,8,5,3,2,4,4,4,3,3,3,2,4
3910,NA,NA,556,2,1,1,2,2,1,2,11,2,13,2,1,2,1,1,2,2,1,1,1,10,11,10,8,11,27,8,8,8,8,9,7,7,9,14,12,8,27,6,10,10,13,12,7,9,9,10,9,11,12,11,10,12,10,14,10,10,13,14,14,16,13,16,16,16,16,11,3,1,1,2,2,2,1,1,1,1,2
