"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Apiaceae","Pinus","Amaranthaceae","Asteraceae (echinate)","Abies","Cichorioideae","Erica","Cyperaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Cistus","Quercus canariensis/Q. pyrenaica","Alnus","Cedrus atlantica","Poaceae","Mercurialis","Ephedra fragilis","Artemisia","Centaurea","Fraxinus","Daphne gnidium","Brassicaceae","Plantago","Plumbaginaceae","Caryophyllaceae","Pistacia","Asphodelus","Helianthemum","Boraginaceae"
6154,NA,NA,490,1,NA,NA,4,NA,2,NA,NA,NA,NA,15,NA,20,NA,201,30,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6199,NA,NA,497,NA,NA,NA,4,NA,NA,12,NA,NA,NA,4,NA,14,NA,314,38,NA,NA,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6257,NA,NA,506,2,NA,NA,5,NA,1,NA,NA,NA,NA,45,NA,63,NA,247,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
6289,NA,NA,511,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,40,NA,64,NA,222,35,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6334,NA,NA,518,NA,NA,NA,4,NA,NA,2,NA,NA,NA,19,NA,42,NA,151,50,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6367,NA,NA,523,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,34,1,41,NA,126,20,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6405,NA,NA,529,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,88,NA,135,NA,347,53,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6463,NA,NA,538,NA,NA,NA,7,NA,NA,NA,2,NA,NA,46,NA,107,NA,529,24,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,2,NA,NA
6521,NA,NA,547,NA,NA,NA,25,NA,NA,2,NA,NA,NA,65,3,79,NA,365,27,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6560,NA,NA,553,NA,NA,NA,2,NA,1,NA,1,NA,NA,41,2,85,NA,135,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA
6625,NA,NA,563,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,24,NA,50,NA,64,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
