sample_name,depth,Achyranthes-type aspera,Olea capensis,Triletes,Hagenia abyssinica,Trema-type orientalis,Elaeophorbia-type drupifera,Euclea,Suaeda-type monoica,Flueggea-type virosa,Laportea-type aestuans,Rapanea,Myrica,Celtis,Zea mais,Combretaceae,Phyllanthus-type reticulatus,Tubuliflorae,Prunus africana,Urticaceae,Celosia-type trigyna,Zanthoxylum-type usambarense,Ricinus communis,Cyperaceae,Tribulus,Juniperus procera,Gramineae,Nuxia/Dobera,Cyphostemma-type,Ericaceae,Dodonaea viscosa,Rumex,Myrsine africana,Plantago lanceolata,Anthospermum,Eucalyptus,Chenopodiaceae,Rhus-type,Podocarpus,Nymphaea lotus-type,Monoletes,Typha,Justicia-type anselliana,Acacia groupe III,Crateva-type adansonii,Solanum,Acalypha,Umbelliferae,Xanthium-type,Ficus,Papilionoideae,Pilea-type bambuseti,Cissus-type quadrangularis,Cyathula-type orthacantha,Olea europaea ssp africana,Hypoestes-type,Capparis fascicularis-type,Protea-type,Salvadora-type persica,Aerva-type lanata,Pterolobium stellatum,Clematis,Plantago africana-type,Amaranthaceae/Chenopodiaceae,Acacia groupe I,Indetermines,Apodytes dimidiata,Shirakia-type elliptica,Indigofera-type schimperi,Phyllanthus engleri-type,Lannea-type,Macaranga,Euphorbia-type,Potamogeton thunbergii-type,Rubia-type cordifolia,Aphania-type senegalensis,Lactuceae,Moraceae,Clutia,Cruciferae,Buxus hildebrandtii-type,Syzygium,Lamiaceae,Blighia-type unijugata,Maytenus-type senegalensis,Hymenodictyon-type floribundum,Schefflera abyssinica-type,Asparagus buchananii-type,Leucas-type,Borassus-type aethiopium,Alchornea,Rubus pinnatus-type,Commiphora africana-type,Hallea-type rubrostipulata,Dichrostachys cinerea-type,Polyscias fulva-type,Diospyros,Maesa lanceolata-type,Phoenix reclinata,Vernonieae,Tiliaceae,Kotschya-type,Boscia-type,Kohautia-type caespitosa,Rhamnaceae,Maerua-type,Rubiaceae,Vepris-type dainellii,Psydrax-type schimperiana,Artemisia,Cussonia,Capparis tomentosa-type,Justicia-type odora,Croton-type,Loranthaceae,Schefflera myriantha-type,Cordia africana-type,Serichostachys-type scandens,Potamogeton pectinatus-type,Balanites aegyptiaca-type,Ximenia,Hymenocardia,Allophylus abyssinicus-type,Jasminum floribundum-type,Cocculus-type,Anthocerotaceae,Aerva-type javanica,Monocotyledoneae,Entada-type,Vepris-type nobilis,Mimulopsis-type,Digera-type muricata,Sapotaceae,Pupalia-type lappacea,Caucanthus-type,Polygonum senegalense-type,Cerastium-type octandrum,Cassia-type mimosoides,Cyathea,Margaritaria-type discoidea,Erhetia,Ascolepis,Trifolium-type acaule,Psilotrichum elliottii-type,Lantana-type viburnoides,Senecio-type mannii,Cissampelos-type mucronata,Erythrococca-type,Tephrosia-type uniflora,Ekebergia-type,Commelina-type benghalensis,Rhynchosia-type malacophylla,Pappea-type capensis
,50,4,6,,6,,,,1,1,,,1,6,,2,,2,2,16,1,,,47,1,21,356,1,,1,1,,,2,,,1,2,72,,3,2,4,2,,,5,,,1,,,1,,28,,,,1,,,,,1,,1,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,1,14,5,8,1,,5,1,,,,,2,,3,,2,1,12,2,,2,75,,35,372,1,,7,10,2,,1,,,1,2,103,1,7,1,4,4,,,1,,,,,,,,19,1,1,1,3,1,,,,,2,1,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,4,11,,4,,,3,6,,3,,,11,,3,,9,,11,2,,,75,1,38,333,1,,1,4,,,,,,,,74,,5,2,1,,,1,2,,1,,,,,,16,,1,,,,,,1,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,2,14,2,8,,,3,5,,,,1,4,,4,2,3,2,13,,1,,70,,28,378,,,4,11,1,,2,2,,1,4,78,,3,5,2,1,,3,2,,,,,,,1,12,2,,,1,1,,1,,2,,,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,60,2,12,,10,,,,2,,,,,5,,1,,3,2,19,4,,2,63,,43,290,,,6,9,,,1,,,,2,122,1,4,6,2,,,,2,,,,,1,,,11,1,,,2,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,62,2,11,2,8,1,,2,5,,,,,9,,2,,,,3,2,,2,83,,23,288,,,8,10,,1,,5,,1,3,154,,8,5,,1,,1,1,,,1,,1,1,3,19,1,,2,3,3,,,,2,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,65,,9,1,7,,,2,3,,3,,,7,,1,,1,,24,2,,2,65,,36,330,,,3,12,1,,1,,,,1,90,,6,4,5,5,,,2,1,,1,,,,3,31,2,,,2,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,70,,5,,13,1,,7,3,1,,,,5,,3,,3,1,16,4,,3,67,,38,286,,,5,10,2,3,,1,,3,2,101,,6,3,,1,,1,4,,,2,1,,,,23,5,,,1,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,72,3,28,6,9,,1,10,1,,,,,1,,5,,8,2,5,3,,2,71,1,40,227,1,,8,17,1,,2,1,,1,3,138,,7,7,1,,,,2,1,,1,,,,,29,2,2,,4,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,,,2,,,,1,2,,,1,,,,,,,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,75,5,16,3,16,,,4,5,1,,,,7,,5,,2,1,14,1,,9,43,1,63,231,,,2,20,1,,1,2,,2,2,132,,5,5,1,3,,,3,,,,,2,,,29,4,2,1,5,,,,,,,,,1,2,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
,80,2,18,,13,,1,4,2,,1,,,4,,5,,4,,14,2,,3,63,,49,222,1,,2,6,3,,,,,,1,121,2,4,8,1,2,,1,2,1,,1,,,,,21,2,1,,5,,,4,,,,,2,,,,,1,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,
,85,1,7,,6,,1,4,,,,,,5,,6,,3,,15,6,,1,35,,17,275,,,1,6,2,,,2,,2,1,90,,1,2,1,2,,2,2,,,1,,,,,16,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,
,90,2,18,,15,,,5,1,1,,,,5,,1,,4,2,29,6,,3,32,,30,330,,,3,4,1,,,1,,3,2,92,1,3,3,,1,,1,4,,,1,,,,,9,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,2,,,2,1,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,
,95,3,4,,4,,1,5,,,,,1,2,,5,,,,37,1,,4,23,,17,281,,,2,12,1,,2,1,,3,1,88,,2,1,,1,,,8,,,,,,,1,61,,,,,,,,,,1,2,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
,100,,11,,13,,1,1,2,,1,,2,1,,5,,1,,25,4,,5,14,,35,308,1,,3,3,2,,1,,,2,5,111,,1,7,1,,,,3,,,,,,,,18,,,,5,1,,,,,,,,,,,1,1,,,,,,,1,,,2,,,1,1,,,1,,1,,,,,2,,,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,
,105,,6,,11,1,,3,,1,,,4,9,,2,,1,1,39,2,,3,23,,25,277,2,,2,5,2,,2,1,,4,2,146,,,1,,5,,,7,,,,,,,,21,,1,,,,1,,,1,,3,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,110,3,17,,9,,,1,1,,1,,1,2,,6,,2,,16,3,,3,34,,35,317,,,,5,2,1,,1,,1,3,93,,1,,,1,,3,11,,,1,,,,1,15,,,,5,,,,1,,,1,,,,,3,1,,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1
,115,1,19,1,5,,,3,1,1,1,,2,3,,1,,1,,17,2,,2,71,,19,311,,,3,5,3,,,1,,3,4,114,,3,2,1,4,,1,8,,,,,,,,10,2,,,,2,,,,1,,2,,,1,,2,,,,,,,,,,,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
