Depth (cm),Acanthaceae,Alnus,Anthoceros,Antidesma-type,Apiaceae,Artemisia,Asphodelus,Betula,Brassicaceae,Calligonum,Caryophyllaceae,Cedrus,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Cistus-type,Combretaceae,Corylus,Cupressaceae,Cyperaceae,Delphinum,Dipsacaceae,Ephedra distachya-type,Ephedra fragilis-type,Erica,Euphorbiaceae,Geraniaceae,Gramineae,Gymnocarpus,Gypsophila-type,Helianthemum,Heliotropium,Isoetes,Juglans,Lamiaceae,Leguminosae,Liguliflorae,Liliaceae,Meliaceae,Monoletes,Olea,Ophioglossum,Phillyrea,Pinus,Pistacia,Plantago psyllium-type,Plantago sp.,Polemonium,Polycarpon,Poterium-type,Quercus ilex-type,Quercus pubescens-type,Quercus sp.,Ranunculaceae,Rhus,Rubiaceae,Rumex,Sanguisorba-type,Thalictrum,Thymelaea,Tilia,Triletes,Tubuliflorae,Typha,Ulmus
229.25,,,1,,,101,,,3,,1,1,,,22,,,1,,3,,,3,6,1,,,4,,,1,,1,,,,6,,,,,,1,131,,1,1,,,,2,2,,,,,,,,,,1,8,,
239.25,,,1,,,96,,,8,,,1,1,,22,,1,,1,8,,,8,11,,,,7,,,1,1,2,,,,20,,,2,2,,,88,2,,1,,,,3,4,,,,1,,,1,1,,,13,,
248.75,,,,,,84,,,10,1,,1,,2,22,,,,,7,,,3,7,7,,,24,,2,1,1,4,,,,17,,,1,1,1,2,66,3,1,3,,,1,5,9,1,,,,4,,,,,,13,,
258.75,,,1,,,63,,1,11,,,,,1,37,1,,,1,5,,,2,9,3,,,22,,1,,1,7,,,,23,,,6,2,1,5,67,3,2,6,,,1,4,8,,,,1,1,,,1,1,,27,,
269.25,,,,,,21,1,,9,,,1,1,1,30,2,,,,5,,,4,10,6,,,15,,,,,8,,,,35,,,5,2,3,3,100,3,2,3,,,,9,9,2,,,,2,,,,,1,26,,
279.25,,,,,4,42,,,9,,1,1,,1,23,,,,,9,,,4,15,,,,19,1,,,1,6,,,,26,,,5,2,,5,96,3,,1,,,,11,10,2,,1,,2,,,,,,13,,
289.25,,,,,1,12,1,,9,,1,1,,1,19,1,,,,12,,,2,12,1,,1,16,,,,,9,,,,32,,,1,3,1,8,109,7,,2,,,,18,9,3,,2,,1,,,,,,16,,
299.25,,,,,,20,,1,10,,,1,,2,18,,,,,10,,,1,16,1,,,11,,,,,6,,,,27,,,3,1,,2,148,3,,2,,,,10,7,2,,1,,,1,,,,1,9,,1
309.25,,,,,,24,1,,5,1,1,2,,,24,,,,,3,,,2,7,1,,,12,,1,,,2,,,,17,,,1,1,1,,181,2,,1,,,,5,4,1,,,,,,,,,,25,,
319.25,,,,,1,55,1,1,28,1,1,,1,,41,,,,,3,,,1,3,1,1,,17,,2,,,19,1,,,21,,,8,3,2,1,79,4,1,7,,,,5,5,1,,,,2,,,,,1,16,,
329.25,,1,1,,2,35,,,7,,,1,,2,35,,,,1,5,,,2,7,2,,,13,,2,,,19,,,,36,,,4,2,1,,111,1,1,1,,1,,4,6,1,,,1,,,,,,2,14,1,
339.25,,,1,,,26,,,8,,1,,,,32,2,,1,,6,1,,2,12,2,,,23,,1,,,18,,,,81,,,4,,,1,71,2,,,,,,3,6,1,,3,1,3,,,,1,1,12,,
348.25,,,,,1,32,,2,7,,1,,1,1,30,3,,,1,9,,,6,18,,,,13,,,1,,3,,,,20,,,1,2,1,1,103,2,1,3,,,,6,6,1,,,,1,,,,,2,24,,
359.25,1,,,,1,31,,,5,,1,,,1,30,,,2,1,12,,,4,19,,,,16,,1,,,6,,,,30,,,3,1,,2,104,3,,1,,,,6,10,2,,,,1,,,,,,16,,
369.25,,,,,,98,,,17,,1,,,,31,,,,1,5,,1,1,9,2,,,14,,,,,8,,,,26,,,9,1,,3,53,3,1,2,,,,6,9,2,,,,1,,,,,1,22,,
379.25,,,,,,81,,,14,,1,,1,1,31,1,,2,1,6,,,,16,1,,,24,,,1,,13,,,,46,,2,3,3,1,4,72,6,3,15,,,,13,8,,,,,4,,,,1,2,16,,
389.25,,,,1,,19,,6,11,,,,1,,27,2,,2,,7,,,,10,2,,,20,,2,,,15,,,,28,,1,,5,3,8,73,12,1,6,,1,,16,12,3,,1,,2,,,,,,21,,1
399.25,,1,,,1,7,1,9,11,,,,,1,13,,1,2,,12,,,1,10,2,1,,20,,,,,13,,,,32,,,,10,,14,66,21,1,5,,1,,2,10,2,,5,,2,,,1,,,21,,
408.25,1,,,,,48,,1,17,,,,,1,79,,,1,1,6,,,1,5,,,,11,,,,,,,1,,9,,,,1,,1,105,,,1,,,,2,8,1,,,,,,,,,,11,,
419.25,,,,,1,82,,,5,,2,1,,1,62,,,1,2,10,,,5,14,6,,,22,,,3,,,,,1,6,,,,,,,60,1,,,,,,2,4,1,,1,1,,,1,,,,11,,
430.75,,,,,1,79,,1,3,,,1,,1,34,,,,,4,,,6,16,2,,,8,,,2,,,,,,8,,,,,,,121,,,,,,,2,2,,1,,1,,,,,,,7,,
439.25,,,,,,71,,,3,,,,,,30,,,,,5,,,10,9,1,,,6,,,2,,1,,,,5,,,,,,,142,,,1,,,,1,2,,,,1,1,,1,,,1,7,,
