"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Plantago major","Rubus","Vitis","Ostrya-type","Pistacia","Populus","Cannabis sativa","Trifolium repens-type","Mentha-type","Rubiaceae","Astragalus-type","Apiaceae undiff.","Lotus-type","Daphne","Cistus","Paronychia-type","Anthemis-type","Sorbus-type","Hypericum perforatum-type","Urtica dioica-type","Asphodelus albus-type","Theligonum cynocrambe","Chaerophyllum hirsutum-type","Ranunculus sect. Batrachium","Falcaria-type","Dryopteris filix-mas-type","Ulmus","Acer","Poaceae (Cerealia)","Typha latifolia-type","Corylus avellana","Phillyrea","Fraxinus ornus","Solanum dulcamara","Mercurialis annua","Isoëtes","Cercophora-type","Artemisia","Vicia-type","Ailanthus","Pteridium aquilinum","Sporormiella","Salix","Brassicaceae","Aster-type","Hedera helix","Amaranthaceae-type","Potentilla-type","Plantago lanceolata-type","Daucus","Pteridophyta (monolete) undiff.","Plantago coronopus-type","Quercus cerris-type","Cichorioideae","Eucalyptus","Quercus ilex-type","Fraxinus excelsior-type","Peucedanum-type","Juniperus-type","Potamogeton","Ceratophyllum","Olea","Castanea sativa","Rumex scutatus-type","Callitriche","Sparganium-type","Quercus pubescens-type","Oenanthe","Poaceae","Pinus","Cyperaceae","Lemnoideae","Lycopodium spike","Abies","Cuscuta","Platanus","Carpinus betulus","Fagus sylvatica","Carduus","Heracleum","Juglans regia","Lysimachia vulgaris-type","Asparagus","Celtis australis","Ornithopus","Cynoglossum officinale-type","Rosa","Trifolium pratense-type","Alnus glutinosa-type","Pimpinella major-type","Cyperus-type","Podospora-type","Spergula-type","Euphorbia","Rumex obtusifolius-type","Erica arborea-type","Cyclamen hederifolium","Rhynchospora","Epilobium","Echium","Agrimonia-type","Boraginaceae","Dipsacus","Ephedra fragilis-type","Centaurea nigra-type","Linaria-type","Verbena officinalis","Viburnum tinus","Nigella","Cerinthe","Corrigiola litoralis","Diporotheca","Foeniculum-type","Apium-type","Polygonum aviculare-type","Scrophulariaceae","Thalictrum","Rumex acetosa-type","Alisma-type","Carthamus","Glomus","Juncaceae","Fabaceae undiff.","Ranunculus acris-type","Euphrasia-type","Liliaceae-type","Eryngium","Odontites-type","Ammi-type","Turgenia latifolia","Bupleurum","Plantago maritima-type","Dianthus superbus-type","Linum catharticum-type","Matthiola-type","Pseudopediastrum boryanum var. boryanum sensu lato","Smyrnium-type","Caltha-type","Cerastium-type","Anemone-type","Convolvulus","Calystegia","Calligonum","Scandix pecten-veneris-type","Betula","Polypodium","Allium-type","Tuberaria","Silenoideae-type","Gladiolus-type","Calendula","Geranium","Prunus-type","Sedum-type","Ficus carica","Ornithogalum-type","Utricularia","Anemone hortensis-type","Asplenium-type","Jasione","Genista-type","Scorzonera humilis-type","Reseda-type","Urtica membranacea-type","Athyrium filix-femina","Helianthemum","Dorycnium","Senecio-type","Gelasinospora","Cirsium","Erodium","Asphodelus fistulosus","Gnaphalium-type","Heliotropium","Echinops","Papaver rhoeas-type","Lythrum portula","Anthoceros laevis","Rosaceae","Carlina","Persicaria maculosa-type","Loranthus europaeus","Ilex aquifolium","Riccia","Sanguisorba minor-type","Consolida-type","Lamiaceae undiff.","Serratula-type","Rhamnus","Urtica pilulifera","Dryopteris dilatata-type","Fedia cornucopiae","Humulus lupulus","Saxifraga granulata-type","Ophioglossum vulgatum","Anogramma leptophylla","Silene dioica-type","Knautia","Anthyllis","Myrtus communis","Botrychium"
205.13,NA,NA,90,"18583, 3","1","1","1","","","1","","2","1","1","1","","5","","","","1","1","","1","1","","","","3","2","","","","3","","1","","","1","","","2","5","","","4","","","","2","3","2","2","2","1","","","9","6","","1","","2","1","14","57","1","3","5","","1","23","58","104","2","40","9","295","","","","","","","1","","","","","","","","","1","","","","","","","","","1","","","","","","1","1","","","","","","3","","","6","","","","","1","","","","","","","","1","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
263.15,NA,NA,110,"18583, 3","1","1","1","","","","","","","","2","1","1","1","","","2","3","","","","","","1","6","2","","","","2","","","","1","2","1","","4","6","","","6","1","","2","2","2","2","3","","","","2","12","4","","10","","6","","3","88","1","","4","","","126","37","60","","4","5","316","","1","","","","","","","","1","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","5","","","","1","","","","","","","","","3","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
292.17,NA,NA,120,"18583, 3","1","","","1","","","","","1","1","1","","","","","","","3","","","3","1","","2","3","","","2","2","3","","","","","","","","2","2","2","","2","1","","4","6","17","2","3","","","2","1","24","8","","5","","2","","8","18","","","5","","3","404","24","141","","9","25","162","","1","","","","1","","","","","","","","","","","2","1","","","","","1","","","","","","","","1","1","","","","","","15","","2","","","","","","","","","","","1","","1","","","","1","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
321.18,NA,NA,130,"18583, 3","1","","1","","1","1","","","4","","2","","1","","","","","7","","1","","2","","","13","1","","1","17","2","1","","","","","","","23","1","1","","1","1","","1","12","13","5","4","3","2","2","4","30","9","","3","","2","","9","7","2","1","1","","21","290","47","141","3","35","47","82","","","","","1","2","","","","","","","","","2","1","","","","","1","","","2","1","","","","","1","","","","","","","","38","","1","","","","1","","1","","","","","","","1","1","","","2","","","","","","","7","","","3","","","","","","1","1","1","1","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
350.19,NA,NA,140,"18583, 3","1","1","1","","","","","","1","","6","1","1","","","","3","5","2","","1","","1","","16","3","","2","15","2","1","","","","1","","1","112","2","3","","2","","","1","9","4","1","2","1","4","3","4","43","18","","5","1","2","2","12","14","","","2","","11","219","89","142","1","29","14","91","","1","","","","1","","","","1","","","","","","2","1","3","","","","2","","2","1","","","","1","","","","","","","","2","16","","","","","","","","1","","","","","","","","","","","","1","","","","","","4","","","1","","","","","","","","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
379.21,NA,NA,150,"18583, 3","1","","2","","","","","","1","","3","2","1","","","","1","3","2","","","2","","","10","1","","5","15","","","","","","1","1","1","328","2","","","","2","","","3","12","2","1","1","4","1","1","39","4","","8","","2","1","7","30","","2","2","","15","321","59","100","","41","14","179","","","","","","1","","","","1","","","","","","","","2","1","","","","","2","","","1","","","","","","","","","","","4","","1","","","","","","1","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
408.22,NA,NA,160,"18583, 3","1","","","","","2","1","","1","","4","","1","","","","","","","","","","","","3","","","3","13","2","","1","","1","1","","","28","5","1","","2","1","","2","3","9","2","5","","7","1","6","25","12","","4","","1","2","13","17","","1","1","7","14","215","42","112","1","33","9","115","","","","","","1","","","","","","","","","","1","","3","","","","","1","","","","","","","","1","","","","","","","10","","","","","","","","","","","","","","","","1","","","1","","","","","","","2","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
437.24,NA,NA,170,"18583, 3","1","","","","","2","","","1","","1","","","","","","1","","","","","","","2","5","1","","3","14","","","1","","","1","1","","2","4","","","1","","3","1","","5","1","","1","4","","2","24","2","","4","1","","1","2","56","1","","1","4","2","221","30","56","1","29","3","186","","","","","","","","","","","","","","","","","","2","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","1","","","","","","5","","","","","","","","","","","","","","4","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
495.26,NA,NA,190,"18583, 3","1","1","","","","3","","1","1","","6","","","","","","1","1","","","2","1","","1","36","","","","5","1","","","1","","","1","","","6","","","6","3","1","5","2","1","1","1","3","2","","4","42","5","","8","","2","1","14","106","1","","1","5","9","133","25","153","","48","7","383","1","","","","","2","","","","","1","","","","","1","2","","","","","","","1","","","1","","","","","","","","","","","3","","2","1","","","","1","","","","","","","","","","","","","","","","","","2","1","","","","","","","1","","","","","","","1","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
553.29,NA,NA,210,"18583, 3","1","","","","1","","","1","","","","","","","","","","1","","","1","","","","1","","","5","3","2","","","","","","","","2","5","1","","1","1","","1","1","","1","","2","2","1","","11","4","","3","","1","1","7","89","","","","","1","99","9","83","","17","5","293","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","4","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
611.32,NA,NA,230,"18583, 3","1","","1","","","","","","5","1","9","","1","","","","3","5","","1","7","2","","4","117","","","","","5","","2","","","4","","1","19","6","3","","2","6","","7","11","1","17","1","10","5","2","16","5","72","","2","","2","1","12","87","2","","8","","64","5","13","201","1","20","","360","","","","1","","1","","","","","","","","","","","","6","1","1","","1","","","3","","2","","","","","1","","","","","","8","","1","1","1","","","","","1","","","","","","","","","","1","","","","","","7","1","","","1","","","","2","","1","","","","","6","","","","","","","","","","1","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
669.35,NA,NA,250,"18583, 3","1","1","1","","","1","","","2","","3","31","3","","","","1","6","","","2","","","3","13","1","","1","","3","","","","","3","1","","6","4","4","","2","9","","2","22","2","4","2","6","3","1","8","6","36","","1","","15","","6","32","","","","","","4","9","160","","46","8","407","","1","","","","2","","","","1","","","","","1","","","","","","","2","","1","1","","3","","","","","","","","","","","2","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","7","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
727.38,NA,NA,270,"18583, 3","1","","","","","","","","","","2","","3","","","","","2","","","","","","1","27","2","","5","18","2","","","","","","","","8","","","","1","1","1","","","","2","","1","4","","2","4","7","","2","","5","","24","40","1","","3","1","","2","2","133","","23","3","195","","","","","","3","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
785.4,NA,NA,290,"18583, 3","1","","","","","","","","6","3","2","","5","","","","2","14","","1","2","7","","2","","","","2","1","3","","1","","","","","","9","1","","","3","14","","4","7","1","3","","1","1","6","10","5","80","","6","","","","6","1","1","","2","","","38","3","118","1","17","","985","","","","","","3","","","","1","","","","","1","","","","1","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","4","","1","2","","","","","","","","","","","","","","","","","","","1","2","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
843.43,NA,NA,310,"18583, 3","1","","","","","","","","6","","1","","2","","","","1","6","","","","2","1","5","","","","","","3","","","","","1","","1","7","2","2","","2","20","","1","3","1","2","","3","2","7","2","5","107","","8","","1","","9","1","","1","12","1","1","54","19","170","1","20","1","467","","","","","","7","","","","","","","","","1","1","","1","4","","","","","","1","","","","","","1","","","","","","","1","","","","1","","","1","","","3","","","","","","","","","","","","","","","","1","","1","","","","","","","3","","","1","","2","","","","","","2","","","","","","","","","","","","4","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
930.47,NA,NA,340,"18583, 3","1","","5","","1","2","","1","","1","3","","3","","1","","3","12","","1","3","","1","2","6","1","","5","13","5","2","","","","5","1","","6","3","","","4","1","2","4","3","1","6","","7","24","4","5","14","11","","15","1","3","1","40","26","4","","3","","6","86","49","245","1","42","34","366","","1","","","","","","1","","1","","","","","","2","","2","","","1","","","1","","","","","","","","2","1","","","","1","","","4","","","","","1","","1","","","","","1","","1","","1","6","","2","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","",""
959.49,NA,NA,350,"18583, 3","1","","6","","1","1","","","","3","12","","","","","","","5","","4","3","1","","4","4","","","4","1","5","1","","1","","4","1","","44","1","","","11","6","","","2","2","7","3","3","8","2","5","15","11","","8","","1","","88","16","1","","2","","8","172","38","112","","7","14","207","","","","","","3","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","1","","","","1","","","","","","","","1","","","","1","","","","","","","","1","","1","","1","1","","","","","","3","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","",""
1017.52,NA,NA,370,"18583, 3","1","","14","","","1","","","6","1","2","1","","","","","1","11","2","","1","","","","2","2","","1","1","2","","1","1","","2","1","","7","2","","","4","2","","3","1","2","1","4","4","7","9","2","37","3","","11","","","","228","3","1","","","","5","275","10","105","1","2","16","253","","","","","","1","","","","","","","","","1","1","","1","","","","","2","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","6","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
1075.54,NA,NA,390,"18583, 3","1","","","","1","2","","","","","4","","","","","","2","7","2","1","1","","","1","3","","","15","22","1","","","1","1","4","","","3","6","","","4","1","","1","1","8","3","3","2","3","13","","35","","","9","","1","","13","16","2","1","3","","2","347","16","59","2","7","5","133","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","1","","","","1","","1","1","","1","","","","","","","","","","","1","","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
1133.57,NA,NA,410,"18583, 3","1","","","1","","6","","","","","1","","1","","","","1","2","","","13","1","","","","","","3","3","","","","","","","","","2","2","","","2","3","1","2","1","4","3","","","","5","1","28","","","15","","","","74","9","","","6","","5","264","7","48","1","5","1","269","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","1","","","","","","","","1","","","","","","","5","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1191.6,NA,NA,430,"18583, 3","1","","4","","2","3","","","","","3","","","","","","","1","1","","4","","","2","3","2","","5","3","","","","","","","","","3","1","","","3","","","","1","30","","1","","","4","1","20","","","8","1","","","1","7","2","","2","","1","270","2","31","1","","4","71","","","","","1","1","","","","1","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1249.31,NA,NA,450,"18583, 3","1","","1","","","4","","","3","","1","","1","","","","","4","","1","1","","","1","4","","1","1","2","2","","1","","1","1","1","","4","2","","","3","4","","1","1","24","3","1","1","1","7","2","20","7","","12","2","2","","14","22","1","1","1","","5","201","5","70","12","26","8","409","","","","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","5","1","","","","","","","","","","","","","","","","","",""
1307,NA,NA,470,"18583, 3","1","","3","1","2","5","","","1","","1","","","","","","3","1","1","1","1","","","2","5","","","7","2","","","1","","2","","","","","5","","","1","1","1","2","1","37","1","3","1","","1","3","25","","","9","1","1","","3","19","2","2","","","5","225","2","12","","2","3","107","","","","","","1","","","","1","","","","","","2","1","","","1","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","",""
1364.69,NA,NA,490,"18583, 3","1","","6","1","1","4","","","2","","","","","1","","","2","3","","","","","","4","5","","","6","","","","2","","1","","","","","1","","","2","","","","","9","2","3","","6","2","2","30","","","7","2","3","1","18","22","3","","1","","","219","22","46","","2","3","125","","","","","","","","","","1","","","","","1","4","","","","1","2","","1","5","","","2","","","","","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","1","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","1","2","","","","","","","","","","","","","","",""
1422.38,NA,NA,510,"18583, 3","1","","1","","1","3","","","","","5","","","1","","","","4","","","1","1","","1","","","1","5","2","1","","","1","1","","","","3","2","3","","1","4","","","3","3","1","6","","9","1","","73","3","","12","1","3","","54","2","","","","","1","242","24","72","2","7","6","297","","","","","","1","","","","","","","","","","","","","1","","3","","1","1","","","1","","","","1","","","","","","","1","","","1","","","","","","","2","","1","","","","1","","","","1","","","","","","4","","","","","","","","","1","","","","","","","","","","","","","","","3","","","","","","","","3","","","","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","",""
1480.07,NA,NA,530,"18583, 3","1","","2","","","3","","","","","3","","","","","1","","3","","1","1","","","8","4","3","","8","","","","1","","","","","","","1","","","4","","","1","","1","1","3","1","40","1","1","46","","","10","","3","1","73","7","3","","","","","264","42","60","","6","6","121","","","","","","1","","","","","","","","","","","25","","","","1","","3","","","","","","","","","1","","","","","","","","10","","","","","","","","","","","","","","","","","","1","","","","","","5","","1","1","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1537.76,NA,NA,550,"18583, 3","1","","","","1","2","","","","","1","","","1","","","2","2","","","","","","2","1","","","21","","","","","","","","","","1","1","","","3","3","1","1","","13","1","","","","1","","55","","","6","1","","1","5","9","3","","","","","325","1","54","1","3","3","109","","","","","","2","","","","","","","","2","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","9","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
