"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Callitriche","Sparganium-type","Ostrya-type","Rosaceae","Ericaceae undiff.","Melampyrum","Anemone-type","Liliaceae-type","Cedrus","Sorbus-type","Ephedra fragilis-type","Fraxinus ornus","Lysimachia vulgaris-type","Centaurea nigra-type","Erica arborea-type","Hedera helix","Mercurialis annua","Myrtus communis","Pimpinella major-type","Pinus cembra-type","Falcaria-type","Smyrnium-type","Fungi","Betula","Cuscuta","Thalictrum","Allium-type","Rubiaceae","Rumex acetosa-type","Ranunculus acris-type","Plantago maritima-type","Anthriscus sylvestris-type","Apium-type","Pedicularis palustris-type","Sedum-type","Lythrum portula","Urtica pilulifera","Pteridophyta (monolete) undiff.","Apiaceae","Olea","Castanea sativa","Solanum dulcamara","Amaranthaceae-type","Chaerophyllum hirsutum-type","Silenoideae-type","Alnus viridis-type","Achillea-type","Corylus avellana","Plantago major/P. media","Peucedanum-type","Artemisia","Phillyrea","Pteridophyta (trilete) undiff.","Poaceae (Cerealia)","Cannabis sativa","Aster-type","Plantago coronopus-type","Pinus subg. Pinus","Juniperus-type","Alnus glutinosa-type","Ilex aquifolium","Urtica dioica-type","Myriophyllum verticillatum","Quercus cerris-type","Cichorioideae","Quercus ilex-type","Plantago lanceolata-type","Brassicaceae","Typha latifolia-type","Myriophyllum alterniflorum","Cyperaceae","Quercus pubescens-type","Fagus sylvatica","Poaceae","Lycopodium spike","Crataegus-type","Acer","Alisma","Hypericum perforatum-type","Daucus carota","Fraxinus excelsior-type","Gnaphalium-type","Cynoglossum officinale-type","Polypodium","Potentilla-type","Rubus","Cistus","Silene dioica-type","Cercophora-type","Mentha-type","Ranunculus sect. Batrachium","Pediastrum","Potamogeton","Phragmites-type","Sambucus ebulus","Salix","Pteridium aquilinum","Botryococcus","Fabaceae undiff.","Ulmus","Trifolium repens-type","Helianthemum","Juglans regia","Echium","Spergula-type","Sambucus nigra-type","Lemnoideae","Osmunda regalis","Astragalus-type","Rumex acetosella-type","Cerastium-type","Ephedra distachya-type","Loranthus europaeus","Sanguisorba minor-type","Lamiaceae undiff.","Geranium","Plantago undiff.","Populus","Carpinus betulus","Carduus","Gentiana-type","Asphodelus albus-type","Sphagnum","Saxifraga granulata-type","Spirogyra","Senecio-type","Trifolium pratense-type","Cyperus-type","Abies","Pistacia","Bupleurum-type","Thymelaeaceae","Indeterminable","Plantago major","Plantago media","Matthiola-type","Geum-type","Stachys-type","Eryngium","Paronychia-type","Gelasinospora","Cyclamen hederifolium","Secale","Genista-type","Caltha-type","Jasione","Oenanthe","Solanum nigrum-type","Viola","Alchemilla-type","Primula veris-type","Urtica membranacea-type","Scleranthus","Scrophularia-type","Ustulina deusta","Lygeum spartum","Sporormiella","Silene vulgaris-type","Crocus","Primula hirsuta-type","Juncaceae","Rhabdocoela","Rumex obtusifolius-type","Ceratophyllum","Vitis","Tilia","Picea","Ligustrum-type","Phlomis","Reseda-type","Cirsium","Astrantia-type","Rhinanthus","Euphorbia","Aconitum","Botrychium","Ambrosia","Filipendula","Rhamnus","Epilobium","Heracleum","Viburnum","Theligonum cynocrambe","Podospora-type","Athyrium filix-femina","Campanula-type","Adonis","Amphitrema","Prunus-type","Ophioglossum vulgatum","Teucrium","Vicia-type","Hedwigia","Montia","Cercis siliquastrum","Rumex scutatus-type","Lycopodium clavatum"
3461.27,NA,NA,50,"18584, 3","1","87","","2","","","","","","","","","","","","4","2","","","","","","","","","","1","","","","","","","","","","","","193","1","3","","","7","5","","","","","","","1","","","","","2","2","","","2","7","5","","8","2","5","","","","","42","124","118","74","49","","1","","2","","1","","","","","","","","","","","","","","","2","3","","","","","","","","","","","138","","1","","","","","","","","","","","","","","","","","","","","","2","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3567.59,NA,NA,55,"18584, 3","1","","","1","","","","","","","","1","","","1","5","1","1","","","","","","","","","","","","1","","","","","","","","","5","","1","","","8","","1","","3","2","","","2","1","","1","","1","1","1","1","4","","1","","24","","8","","2","","","392","194","140","28","84","","","","35","","1","","","","1","1","","","","8","","","","","","1","","","1","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3673.92,NA,NA,60,"18584, 3","1","","","3","","","","","","","","1","","","","5","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","1","","","","","","","","3","1","","1","","2","1","","","","1","","","14","","3","2","","","","132","124","71","280","84","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3780.24,NA,NA,65,"18584, 3","1","12","","1","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","1","","","","","","","66","","2","","","5","","","","1","","","","","","","1","","","1","1","1","1","1","3","","13","","4","2","2","","","7","59","84","300","59","","","","8","","","","","","","1","","1","","15","","","","","","42","5","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","1","","","","","","","","1","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3886.57,NA,NA,70,"18584, 3","1","61","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","70","","1","","","2","2","","","","","","","2","","","1","","3","","","","","3","1","","4","","2","","","","","2","52","126","422","93","","","","1","","1","","","","","","","","","5","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3992.9,NA,NA,75,"18584, 3","1","4","","2","","","","","","","","1","3","","","4","","","","","","","2","","","1","","","","","","","","","","","","","30","","8","","","3","","","","","","","","1","","","2","","2","2","2","","5","12","1","","19","1","9","3","1","","","10","133","243","428","104","1","2","","1","","1","","","1","","1","","","","","","","","","","","14","","","3","1","","","1","","1","","","","4","","","1","","","","","","1","","","","","","","","","","2","1","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4099.22,NA,NA,80,"18584, 3","1","18","3","1","1","","","","","","","","1","","","5","","","","","","","","","","","","","","","","","","","","1","1","","21","","4","","4","1","1","1","","6","1","","","","","23","3","","1","","1","1","","10","7","","9","6","7","1","4","","","17","54","145","320","110","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4205.55,NA,NA,85,"18584, 3","1","17","","4","","","1","","","","1","1","1","","","6","","","","","","","","","","","2","1","","","","1","","","","","4","","58","1","6","","","7","","","","10","1","","","7","2","","1","","7","1","","","3","34","9","","22","9","15","2","6","","","5","135","181","165","143","","3","","21","","","1","","1","","1","","2","","","","","","","","","16","","","5","","","","","","","","","","6","1","","","","","","","","1","","","","","","","","","","1","2","","","","","","","","","","","","2","","1","","3","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4311.88,NA,NA,90,"18584, 3","1","43","2","6","","","","","","","","","1","","","2","1","2","","","","","","","","","","","1","","","","","","","","","","24","","3","","","2","1","","","3","1","","","3","","","","","","1","","","1","25","3","","12","4","12","1","1","","","8","157","315","208","73","","1","","","","","","","1","2","5","","","2","","","","","5","","","4","","","","","","","","","","2","","","1","","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4313,NA,NA,90.1,"18584, 3","1","174","","1","","","","","","","","1","2","","","4","3","","","","","","","","2","","","","","","","","","","","","","","40","","7","","","4","","","","","","","","","2","","1","","3","","3","","","36","7","","17","3","11","3","1","","","1","135","280","21","62","","1","","1","","","1","","1","","2","","","","","","","","","","","8","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","","","1","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4439.47,NA,NA,96,"18584, 3","1","4","1","1","","","","","","1","","","1","","","3","1","1","","2","","","","","","","","","","","1","","","","","","","","23","","3","","","3","","","","3","","","","1","1","","","","1","2","1","","3","21","5","","7","1","4","2","1","","","4","68","130","270","64","","1","","2","","2","","","","","2","","","7","","","","","3","","","20","","","","","","","","","1","","","","5","","","","","","","","","","1","","","","","","1","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4487.53,NA,NA,100,"18584, 3","1","91","1","3","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","37","1","7","","","3","","","","","1","","1","","2","","","","4","","1","","1","36","3","","14","1","7","1","","","","6","123","274","24","112","","","","","","3","","","1","","","","","1","1","","","","","","1","4","","","","","","","","","","","","","2","","","","","","1","","","","1","","","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","","","","","1","4","","2","","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4515.2,NA,NA,110,"18584, 3","1","392","9","","1","","","","1","","","","1","","","3","1","","","1","","","","","","","","","","","1","1","","","","","2","","42","","1","","","2","","5","","1","","","","1","1","3","","","3","2","1","","1","31","","","27","2","12","1","4","","","15","115","244","35","102","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","1","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4542.87,NA,NA,120,"18584, 3","1","147","13","","","","","","","","","","2","","","4","","3","","","","","","","","","","","","","1","","","","","","3","","62","","4","","","4","","1","","1","1","","","","","","1","","3","","1","","3","16","3","","6","3","6","2","1","","","12","103","281","40","163","","1","","","","","","","","1","","","","","2","","","","","","","4","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4589.08,NA,NA,130,"18584, 3","1","136","8","","","","","","","","","","","","","4","1","2","","","","","","","2","","1","","","","","","1","","1","","1","1","57","1","3","","1","","","","","1","3","","","1","3","6","","","1","","","","3","67","19","","20","1","5","3","2","","","17","113","324","23","224","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4709.48,NA,NA,140,"18584, 3","1","403","9","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","5","","53","","6","","","4","1","","","1","1","","","","","","4","","2","","1","","","39","10","","18","3","9","2","3","","","7","104","252","25","277","","1","","","","2","","","","","2","","","","","","","","","","","6","","","1","","","","","","","","","","3","","","","","","","","","1","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","","13","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4829.88,NA,NA,150,"18584, 3","1","319","8","","","","","3","","","3","1","1","","","6","1","","","","","","","1","","","1","","","","","1","","","","","","","27","","3","","","2","1","4","","1","2","1","","3","","4","","","","","1","","3","65","5","","24","9","10","","3","","","17","107","302","39","230","","2","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4950.28,NA,NA,160,"18584, 3","1","503","","","","","","","","","","1","2","","1","1","1","1","","","","","","","","","","","","","1","","","","","","2","","70","2","7","","","1","1","","","1","2","","","2","","","3","","4","","","","3","28","1","","7","3","12","2","","","","2","136","274","31","114","","1","","","","1","","","","","2","","","","","5","","","","","","3","","","1","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5070.68,NA,NA,170,"18584, 3","1","425","6","","","","","1","","","","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","65","1","6","","2","4","","","","1","1","","","1","1","4","1","1","5","","1","","2","41","","","12","4","9","","2","","","10","114","338","35","183","","2","","","","2","","","2","","","","","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","2","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
5193.04,NA,NA,180,"18584, 3","1","407","2","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","3","","","","","","1","","40","1","4","","","2","","","","2","2","","","1","","","","","","1","","","1","30","1","","5","","8","2","","","","1","111","295","28","112","","2","","","","","","","1","","","","","1","","","","","","","","4","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5323.24,NA,NA,190,"18584, 3","1","692","","","","","","1","","","3","","","","","4","","","","","","","","","","","1","","","","","","1","","","","5","","72","","2","","","","","","1","","2","","","","2","","","","2","","","","","37","","","20","2","8","","2","","","10","129","341","33","277","","1","","","","1","","","2","","","","","","","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","2","2","","","","","","","","","","","","","","","","","","","","","",""
5453.44,NA,NA,200,"18584, 3","1","272","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","2","","131","","1","","","3","","","","1","","","1","","","","","","2","","2","","","22","1","","6","5","9","1","2","","","6","94","207","31","106","","","","1","","","","","","","","","","1","","3","","2","","","","2","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","3","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
5583.64,NA,NA,210,"18584, 3","1","160","3","","","","","2","","","2","","2","","","4","","","","","","","","1","","","","","","","","","2","","1","","2","","246","","3","1","","2","2","2","","3","3","","","","","3","","","","","","","4","20","1","","21","","7","","1","","","6","176","298","35","301","","1","","","","2","","","2","","","","","","","1","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","",""
5713.84,NA,NA,220,"18584, 3","1","","2","2","","","","","","","","","2","","","5","2","1","","","","","","","1","","","","","","","1","","","","","","","96","1","","","1","4","","","","","6","","1","2","","","3","","","","","","2","4","9","","10","1","20","2","1","","","5","201","205","89","303","","","","8","","2","","1","","","1","","","2","5","","","20","","","1","7","","","1","1","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
5778.94,NA,NA,225,"18584, 3","1","9","1","2","","","","","","","","","1","","","2","2","","","","","","","","1","","","","","","","","","","","1","","","133","1","1","","2","","1","","","3","","","","1","2","","1","","2","","","","","5","4","","16","1","9","1","","","","15","278","114","52","165","","1","","11","","","","","1","","","","","","1","","","","1","","","13","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","3","","","","1","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","10","","","","","","","","","","","",""
5881.84,NA,NA,235,"18584, 3","1","1","","1","","","","","2","","","","1","","","2","","1","","1","","","1","","","","","","","","","","","","","","","","56","","1","","1","2","1","","","1","2","","","1","","","2","","","","1","","1","2","4","","13","1","9","","1","","","8","340","105","22","86","","","","","5","","1","","1","2","","1","","3","","","","","","","","3","","","2","","","","1","","1","","","","1","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","2","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
5927.45,NA,NA,240,"18584, 3","1","3","2","","","","","","","","","1","","","","1","","2","","","","","","","","","","","","","","","","","","","","","22","","2","","","","1","2","","1","5","","","1","","3","2","","","","","","2","2","3","","29","1","16","3","","","","12","403","88","36","85","","1","","","","","","","2","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","",""
6018.66,NA,NA,250,"18584, 3","1","","1","1","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","12","","2","","","","","","","1","2","","1","","","","1","","","","","","1","2","3","","15","1","14","3","1","","","8","322","45","43","158","","","","","1","1","","","","","1","","","","","","1","1","","","","8","","","1","1","","","","","","","","","4","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","",""
6109.86,NA,NA,260,"18584, 3","1","2","7","","","","","","","","","","1","","","2","1","","","","","","","2","","","","","","1","","","","","","","","","22","","1","","","","4","","","1","","","","1","1","3","2","","2","1","","","1","","3","","13","1","11","","1","","","19","457","38","61","95","","","","","","","","","2","","","","","","","1","3","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","2","","37","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
6201.07,NA,NA,270,"18584, 3","1","6","2","1","","","","","","","","1","2","","","2","2","","","","","","","","","","2","","","","2","1","","","","","","","88","","1","","","3","1","","","1","3","","","2","","","1","","2","","","","","15","4","","8","1","14","2","","","","18","143","202","43","70","","1","","","","2","","","1","","1","1","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
