sample_name,depth,Olea africana,Grewia-type,Euphorbia-type,Prunus africana,Urticaceae,Chenopodiaceae,Salvadora,Pteridophyta monoletes,Ricinus communis,Hagenia abyssinica,Euclea,Amaranthaceae/Chenopodiaceae,Dodonaea viscosa,Typha,Acalypha,Myrica,Maytenus-type senegalensis,Ericaceae,Acacia groupe III,Juniperus Excelsa,Hypoestes-type,Macaranga-type,Pteridophyta triletes,Rumex,Capparidaceae,Rhus-type,Commelinaceae,Eucalyptus,Indetermines,Indeterminables,Cyperaceae,Nuxia/Dobera,Podocarpus,Plantago,Compositae Tubuliflorae,Celtis,Gramineae,Combretaceae,Plantago coronopus-type,Celosia-type trigyna,Achyranthes-type,Aerva-type lanata,Suaeda-type monoica,Solanum-type,Clematis-type,Euphorbiaceae,Justicia-type anselliana,Maerva-type,Vernonieae,Erythrococca-type,Ranunculus,Olea hochstetteri-type,Rubiaceae,Combretum-type molle,Croton-type,Impatiens,Cruciferae,Acacia groupe I,Lannea-type,Capparis tomentosa-type,Caucanthus-type,Salix,Digera-type muricata,Phoenix reclinata-type,Commelina-type benghalensis,Olea,Compositae Liguliflorae,Allophylus-type,Ambrosieae,Pupalia-type,Anthospermum,Sericocomopsis-type,Potamogeton,Plantago lanceolata-type,Leucas-type,Chenopodium-type,Sapotaceae,Pilea-type bambuseti,Plantago africana-type,Phyllanthus-type reticulatus,Dichrostachys-type,Schefflera,Mitragyna-type,Combretum-type aculeatum,Vahlia,Artemisia,Cissus-type quadrangularis,Ilex mitis,Clerodendrum,Kohautia-type caespitosa,Euphorbia-type hirta,Rhamnaceae,Papilionoideae,Commiphora africana-type,Acanthaceae,Cardiospermum,Bryophyta anthocerotaceae,Aerva-type javanica,Malvaceae,Commiphora Boiviniana-type,Umbelliferae,Buddleia,Securinega virosa,Cissamplelos-type Mucronata,Tribulus,Abutilon-type,Alisma-type plantago-aquatica,Schefflera abyssinica,Brucea antidysenterica,Tapinanthus-type,Rubia-type,Justicia-type odora,Acanthus-type,Ficus,Canthium-type schimperianum,Polyscias fulva-type,Balanites,Celosia-type argentea,Capparis,Blighia-type unijugata,Ximenia,Labiatae,Boerhavia-type
,210,15,,,,2,,,1,,,1,2,8,8,2,,,2,,6,,,,1,,,,,2,8,46,,19,,2,4,95,1,,2,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
,240,18,,,,7,1,,3,,1,1,1,13,15,1,2,,2,,4,1,,2,3,,1,,,2,7,93,3,47,,3,4,148,,,,,,1,,1,,3,1,,,,4,1,,,,,1,,,,1,,1,,,1,,,,1,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,19,,,,7,3,,,1,1,4,2,9,3,4,1,,2,1,14,,,,1,,4,,,2,13,162,,68,,2,2,304,,,,4,2,2,1,1,,,,,,,1,,,,,,1,,,,1,,,,,2,,,,1,,,6,2,,1,,,1,,,1,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,302.5,29,,1,,8,,,3,,,3,2,8,5,2,1,,2,,13,,,1,6,,2,,,12,13,133,,40,,1,5,426,,,1,2,,1,1,1,,,,,,,1,,2,,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
,320,15,,,,3,5,,3,,2,,1,12,5,,,,3,,5,,,,2,,,,,1,15,79,,36,,3,3,272,,,1,1,2,2,,1,,,,,,,2,1,2,,,,1,1,,,1,,1,,4,,,,,1,,,2,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,337.5,14,,3,,1,6,,2,,3,1,1,6,2,1,2,,6,,5,2,,,,,2,,,2,10,66,,54,,1,1,276,,,,2,,2,1,,,,,,,,4,,,,,,,1,,,2,,,,1,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
,355,7,,,,,1,,,,1,3,,4,1,1,,,2,1,7,,,,3,,,,,1,6,9,,21,,1,,91,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,380,15,,,,3,3,1,1,,1,1,1,9,1,2,,,2,1,6,1,,1,2,,,,,2,6,49,,35,,1,,193,,,,1,1,3,2,1,,,,,,,5,,,,,1,1,,,,,,1,,1,,1,,,3,,,2,,,,,,,,,1,,,10,,1,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,
,400,16,,1,,12,,,6,,3,3,3,1,3,,1,,10,,8,2,1,,1,,2,,,15,23,121,,87,,8,9,337,,,1,3,1,6,1,1,1,,1,,,,1,,2,,,,,1,,,1,,3,,,,1,1,,,1,,3,1,5,,,,,,,,1,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,1,1,,,,,,,,
,420,21,,1,,4,2,,4,,1,4,2,6,3,4,2,,2,,7,1,,3,,,,,,1,14,104,,58,,1,2,195,,,,2,,1,,2,,,1,,,,4,,1,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
,452.5,3,,,,,1,1,2,,1,1,3,1,,,1,,2,,1,2,,2,2,,,,,,20,53,,48,,,1,126,1,,,,,,1,,,2,,,,,5,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,4,,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,
,480,9,,,,4,3,,3,,6,4,,11,2,1,,,,,5,,,1,3,,3,,,6,7,70,,89,,5,6,165,1,,2,1,5,,,1,,,,,,,2,,3,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,3,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,
,492.5,5,,,,2,,1,2,,1,1,2,4,9,1,,,,1,8,1,,1,1,,,,,3,9,86,,39,,1,10,163,,,1,2,2,2,,,,,,,,,3,,2,,,,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
,500,5,,1,,3,,,1,,,1,3,1,8,,,,2,3,17,,,2,1,1,4,,,7,12,104,,70,,5,3,185,,,5,1,,2,,,,1,,,1,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,3,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,1,,
,520,5,,,,,1,,2,,2,2,,2,8,1,1,,,2,7,,,2,,,,,,,4,103,,35,,2,1,161,,,,1,,1,,1,,,,,,,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
,540,1,,,,4,,3,3,,,1,5,1,,2,1,,1,1,9,,,2,1,,2,,,5,17,148,,78,,1,3,336,1,,,,1,2,,,,1,,,,,9,,,,,,1,,,,,1,1,,,1,1,,,1,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1
