"age_NA","ageolder_BP","ageyounger_BP","depth","Geranium","Ulmus","Vitis","Lythrum","Humulus/Cannabis","Eryngium-type","Carduus-type","Centaurea cyanus-type","Centaurea scabiosa-type","Cousinia","Fraxinus ornus","Quercus coccifera-type","Bunium-type","Filago-type","Scabiosa columbaria-type","Chrozophora","Lomelosia rotata-type","Ophioglossum","Lycopodium","Anthoceros laevis-type","Alnus","Malva","Artemisia vulgaris-type","Inula-type","Dryopteris-type","Polygonum aviculare-type","Poaceae (Cerealia-type)","Silene-type","Onopordum-type","Turgenia-type","Pteridium","Caryophyllaceae","Trifolium-type","Cedrus","Asphodelus albus-type","Sparganium-type","Senecio-type","Euphorbia","Cirsium/Gundelia","Apiaceae","Quercus robur/Q. cerris","Brassica-type","Pinus","Artemisia herba-alba-type","Cyperaceae","Carthamus","Amaranthaceae","Isoëtes","Poaceae","Centaurea solstitialis-type","Matricaria-type","Cichorioideae","Betula","Nuphar","Prunus-type","Salix","Sanguisorba-type","Olea","Daphne","Matthiola","Ferula-type","Dipsacus-type","Corylus","Nymphaea","Rosaceae","Rumex acetosa-type","Persicaria maculosa-type","Knautia","Spergularia-type","Ephedra distachya-type","Ephedra fragilis-type","Noaea-type","Mercurialis-type","Hyoscyamus","Polypodium","Platanus","Juniperus","Bupleurum-type","Galium-type","Theligonum","Plantago media-type","Scilla-type","Pimpinella-type","Ranunculus repens-type","Plantago lanceolata-type","Ostrya/Carpinus orientalis","Ranunculus sceleratus-type","Allium","Picea","Typha latifolia","Pistacia","Rhynchospora-type","Papaver","Hedera","Valerianella","Thymus/Mentha","Arctium/Jurinea","Heliotropium-type","Aquilegia-type","Asperula-type","Castanea","Plantago maritima-type","Thalictrum","Capsella-type","Primula","Tribulus","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Fagus","Alisma","Fabaceae","Stachys-type","Helianthemum","Styrax","Tamarix","Cistus","Fraxinus excelsior","Urtica dioica-type","cf. Anthericum","Anisosciadium-type","Descurainia","Cheilanthes","Acer","Apium-type","Psoraleeae","Prosopis","Ericaceae","Carpinus betulus","Abies","Sambucus","Juglans","Asteroideae","Ononis-type","Teucrium","Andrachne","Acroptilon","cf. Gratiola","Phillyrea","Halothamnus-type","Potamogeton","Echinops","Convolvulus","Hibiscus","Viburnum-type","Scrophularia/Verbascum/Digitalis","Colchicum","Ranunculus asiaticus-type","Rosa-type","Sagina","Scorzonera-type","Asphodeline","Ranunculus sect. Batrachium-type","Elaeagnus","Gentiana","Campanula-type","Myriophyllum alterniflorum","Lithospermum-type","Butomus","Onobrychis-type","Malabaila","Plantago major-type","Abutilon","Hypericum perforatum-type","Cladium mariscus","Nigella","Phlomis","Pteris","Filipendula","Plantago coronopus-type","Loranthus","Thesium","Osmunda regalis","Fagopyrum","Aristolochia","Calendula","Botrychium","Hypericum","Rhus","Xanthium","Rhamnus","Lotus-type","Syringa","Glaucium","Thelypteris palustris-type","Sisyrinchium","Lemna","Lysimachia","Vicia-type","Oleaceae","Rhinanthus-type","Solanum dulcamara","Iris pseudacorus","Primula elatior-type","Equisetum","Anemone","Caltha","Asparagus-type","Echium-type","Urtica pilulifera-type","Myrtus","Datisca","Genista-type","Verbena","Melampyrum","Cornus sanguinea","Potentilla-type","Tilia","Cupressus","Gentiana pneumonanthe-type","Leontice leontopetalum","Menyanthes trifoliata"
NA,NA,NA,255,NA,3,4,2,NA,2,NA,NA,NA,NA,1,68,13,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,6,6,16,1,1,1,6,20,3,1,1,20,13,4,4,33,271,64,19,108,58,8,105,36,142,16,59,168,NA,NA,NA,10,6,24,1,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,7,4,NA,6,NA,1,1,3,1,5,6,4,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,5,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,205,1,3,5,1,NA,4,NA,3,NA,2,3,42,9,2,NA,NA,1,NA,NA,NA,35,NA,NA,NA,11,10,11,2,2,NA,10,17,11,3,5,41,4,13,21,26,90,16,9,60,60,9,52,19,130,75,81,205,NA,NA,NA,2,NA,24,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,2,5,3,2,NA,NA,2,2,8,1,NA,NA,NA,4,1,2,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,225,NA,2,1,1,NA,4,NA,NA,NA,NA,NA,18,19,3,NA,1,1,NA,NA,NA,31,1,NA,NA,7,6,14,NA,NA,7,3,14,5,4,3,46,21,15,9,24,449,43,109,57,181,11,93,22,257,64,56,271,NA,NA,NA,2,3,3,2,NA,1,3,NA,NA,NA,2,1,NA,1,NA,1,NA,2,1,NA,1,NA,NA,5,1,NA,4,1,2,12,8,1,NA,NA,1,5,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,175,2,1,4,NA,NA,NA,NA,1,NA,5,1,14,3,2,2,NA,4,1,NA,1,25,1,3,1,17,17,19,2,6,4,8,14,7,4,10,51,4,13,15,28,73,22,60,84,65,23,49,40,175,120,115,353,1,NA,NA,3,NA,9,1,NA,1,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,3,NA,NA,1,1,6,2,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,245,1,4,9,5,NA,5,NA,NA,NA,1,NA,76,4,2,NA,1,1,NA,NA,NA,86,1,1,NA,9,2,7,NA,2,5,NA,3,4,1,2,39,8,12,10,20,312,46,16,72,82,4,55,4,93,49,42,158,NA,NA,NA,9,5,7,NA,NA,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,6,1,NA,1,NA,NA,1,2,3,3,13,3,NA,NA,NA,3,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,330,NA,5,1,NA,NA,1,NA,NA,NA,3,3,6,6,4,NA,1,1,NA,NA,NA,47,1,NA,NA,4,3,6,1,NA,NA,2,4,NA,6,4,15,7,2,2,17,165,29,36,55,70,1,72,21,145,18,30,172,NA,NA,NA,2,1,11,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,NA,1,1,NA,NA,4,1,NA,2,NA,3,1,1,2,NA,NA,1,2,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,265,NA,4,1,NA,NA,5,NA,NA,NA,NA,5,52,6,1,NA,2,NA,NA,1,NA,10,1,NA,NA,6,5,17,2,NA,NA,2,6,2,1,2,16,12,1,5,25,216,37,19,96,73,3,97,95,144,24,60,187,1,NA,NA,13,1,46,1,1,1,1,NA,NA,NA,1,NA,NA,NA,2,NA,1,11,NA,NA,7,3,1,3,2,1,1,1,4,2,14,1,NA,NA,1,20,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,315,2,2,7,NA,NA,2,NA,1,NA,2,6,47,4,8,NA,NA,2,NA,NA,1,160,NA,2,NA,4,10,5,NA,1,NA,4,25,4,10,1,21,8,11,2,43,77,24,25,176,30,1,107,27,65,67,83,149,1,NA,1,1,6,25,2,NA,1,NA,NA,1,NA,5,NA,1,NA,1,NA,1,NA,NA,NA,2,3,NA,NA,NA,1,1,2,1,1,5,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,3,2,4,NA,NA,NA,NA,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,275,1,5,11,2,NA,2,NA,2,NA,NA,6,37,7,5,NA,NA,2,NA,NA,2,22,NA,1,NA,9,8,7,1,1,NA,4,14,11,3,3,19,15,9,4,43,109,34,6,111,45,9,91,26,70,56,97,212,1,NA,NA,7,5,34,NA,1,1,1,NA,NA,NA,5,NA,NA,NA,2,1,2,NA,NA,NA,5,2,1,1,2,1,1,4,2,NA,10,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,7,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,335,NA,NA,4,1,NA,2,NA,5,NA,NA,1,81,11,3,NA,NA,NA,1,NA,2,54,NA,5,1,8,3,2,NA,NA,1,2,15,3,2,2,30,10,5,4,30,111,17,6,125,49,3,127,12,57,43,76,143,1,1,NA,1,1,14,NA,1,1,NA,1,NA,NA,3,NA,2,NA,1,1,2,1,NA,NA,3,2,2,4,NA,NA,1,1,3,2,6,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,305,3,2,1,2,NA,9,NA,6,NA,NA,1,33,5,4,NA,1,5,NA,NA,NA,173,NA,2,1,8,12,5,NA,2,1,3,15,8,6,3,10,7,7,9,42,65,14,9,143,34,6,122,22,48,60,118,111,3,NA,1,1,6,12,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,3,1,4,2,NA,1,3,1,2,1,2,NA,NA,NA,NA,7,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,2,NA
NA,NA,NA,325,NA,3,4,1,NA,4,NA,1,NA,1,2,69,9,7,NA,1,NA,1,1,1,95,NA,4,1,10,12,6,NA,1,NA,5,11,11,5,4,36,10,6,4,29,132,38,17,131,64,4,121,43,93,50,74,185,3,NA,NA,6,7,25,2,2,2,NA,NA,1,NA,5,NA,1,NA,2,2,2,NA,NA,NA,4,5,1,3,1,NA,2,2,1,1,5,NA,1,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,3,9,4,NA,NA,NA,NA,1,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
