"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Plantago major","Ulmus","Apiaceae","Vitis","Mentha-type","Plantago lanceolata-type","Rumex acetosa-type","Persicaria maculosa-type","Secale","Cerastium-type","Rumex obtusifolius-type","Eucalyptus","Corylus avellana","Daphne","Hedera","Spergula-type","Eryngium","Agrimonia-type","Centaurea nigra-type","Fraxinus excelsior-type","Gnaphalium-type","Lythrum portula","Pimpinella major-type","Tuberaria","Amaranthaceae-type","Falcaria-type","Corrigiola litoralis","Cyclamen hederifolium","Gladiolus-type","Scandix pecten-veneris-type","Ceratophyllum","Isoëtes","Riccia","Pediastrum","Quercus ilex-type","Genista-type","Odontites-type","Cerinthe","Calendula","Foeniculum-type","Cercophora-type","Rhynchospora","Carduus","Erica arborea-type","Pteridophyta (monolete) undiff.","Poaceae (Cerealia)","Trifolium repens-type","Castanea sativa","Aster-type","Peucedanum-type","Apium-type","Juniperus-type","Brassicaceae","Quercus cerris-type","Cyperus-type","Rubiaceae","Artemisia","Potamogeton-type","Anthemis-type","Ranunculus sect. Batrachium","Plantago coronopus-type","Olea","Pteridium aquilinum","Lemnoideae","Cichorioideae","Oenanthe","Rumex scutatus-type","Cyperaceae","Sparganium-type","Quercus pubescens-type","Typha latifolia-type","Pinus","Poaceae","Lycopodium spike","Prunus-type","Acer","Pistacia","Linum","Scabiosa","Liliaceae-type","Echium","Phillyrea","Ephedra fragilis-type","Urtica dioica-type","Asphodelus albus-type","Borago officinalis","Sambucus nigra","Serratula-type","Theligonum cynocrambe","Ailanthus","Podospora-type","Cuscuta","Asparagus","Daucus","Trifolium pratense-type","Populus","Sporormiella","Polygonum aviculare-type","Asteroideae","Hypericum perforatum-type","Lysimachia vulgaris-type","Euphrasia-type","Carlina","Gelasinospora","Senecio-type","Paronychia-type","Silene dioica-type","Chaerophyllum-type","Juncaceae","Thalictrum","Anemone-type","Calystegia","Sorbus-type","Ficus carica","Amaranthus","Silenoideae-type","Turgenia latifolia","Polypodium","Diporotheca","Rosaceae","Vicia-type","Solanum dulcamara","Rubus","Salix","Euphorbia","Heracleum","Juglans regia","Buxus sempervirens","Ammi-type","Lygeum spartum","Smyrnium-type","Callitriche","Fraxinus ornus","Rumex acetosella","Rhus","Ostrya-type","Alnus glutinosa-type","Calligonum","Tordylium maximum","Utricularia","Anthoceros laevis","Ranunculus acris-type","Mercurialis annua","Picea","Bupleurum-type","Celtis australis","Fabaceae","Potentilla-type","Astragalus-type","Myriophyllum spicatum","Lythrum","Echinops","Rosa","Ornithopus","Glomus","Ustulina deusta","Sedum-type","Botryococcus","Athyrium filix-femina","Plantago maritima-type","Cistus","Abies","Betula","Valerianella locusta-type","Boraginaceae","Anthriscus sylvestris-type","Cannabis sativa","Allium-type","Carthamus","Fagus sylvatica","Lotus-type","Sagina","Androsace","Geranium","Knautia","Valeriana","Campanula-type","Hippocrepis-type"
662.32,NA,NA,100,"18583, 3","1","","","1","","","","","","","","","","","","","","","","","","","","","","4","","","","","2","201","","","","2","","","","1","","","","","","","","","","","","","","1","26","","","2","2","1","","","1","3","","1","","","14","1","70","1","","32","198","","","1","","","","2","","","","","","","","","","","","","1","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2","","","","","","1","","","","","","","","","","","","","","","2","157","157","","","","","","","","","","","","","","","","","","",""
730.76,NA,NA,110,"18583, 3","1","","","1","","","1","","","","","","","","","","","","","","","","","","1","4","","13","","","","73","","","1","6","","","","","","","","","","","4","","","","","","","","24","","","7","","","","1","","","","1","","","13","","52","4","","51","192","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","1","","","","","","","1","","","","","","","","","93","","1","","","","","","","","","","","","","","","","","",""
802.6,NA,NA,120,"18583, 3","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","292","","","","3","1","","","","","","","","","","","","","","","","","","2","","","","1","","","","1","1","","","","","12","2","39","2","","48","280","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","1","","","2","","","","","1","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","",""
868.01,NA,NA,130,"18583, 3","1","","","11","","7","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","150","3","","","","","","","","","3","","2","","","1","","","1","","","","","6","38","","","3","","1","","","","2","8","3","6","","","67","143","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","1","","","","","","","","","","","","","","","","",""
936.64,NA,NA,140,"18583, 3","1","","","","","2","2","","","1","","","","","","","","1","","1","1","","","","","2","","5","","","","42","","","85","2","","","","","","","","","","1","5","","","1","","1","1","1","","","","3","26","2","","","","1","2","3","","","41","","10","","","43","175","","","","","","","1","","","","2","","","","","","","","","1","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","16","","","","1","1","2","","","","","","","","","","","","","",""
1082.82,NA,NA,160,"18583, 3","1","1","","","","","10","","","","","","","2","","","","","","","11","","","1","","2","1","4","","","","8","","","","5","","","","","","","","5","2","6","16","","","8","","3","4","3","20","","1","5","3","5","4","1","","11","","11","1","","11","37","117","","1","272","390","","","","","","","1","","","","","","","","","","","","","1","4","","","","","","","","","","","","","9","","4","","","","","","4","","4","","1","3","1","","","","","","","","","","11","2","5","","4","4","","","","","1","","","","","","","","9","","","","","","","2","6","","2","","","1","","1","5","","","","","","","","","","","",""
1142.51,NA,NA,170,"18583, 3","1","","2","14","","4","1","","","","","","","","","1","","","","","2","3","","","","5","","38","","","","","1","","","9","","1","","","","","","","","","5","","","5","","","","","46","","1","1","18","2","","2","","3","","18","","","","","168","","","73","56","","","1","","","","","","","","2","","","","","","","","","","","","15","","","","","","","","","","1","","","","","","","","","","","2","","","","","","3","","","","","","","","","","","","1","1","","","","","","","","","","","","2","2","","","","","","","","12","","","","","","","","","","","","","","","","","","","",""
1222.92,NA,NA,180,"18583, 3","1","","99","1","","2","1","","","1","","","","2","","11","","","","","1","","","","","1","","70","","","","1","","","1","9","5","","","","","","","1","","1","1","","","4","","2","2","3","99","","1","","","5","1","","","2","11","6","","1","7","","265","","1","82","57","","1","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","2","","1","","","","","","","","1","","1","","","","","","","","","","","","11","","2","","1","1","","","","","","","","","","","","","6","1","","","","","","","12","","","","","","","","1","1","1","1","2","2","","","","","","",""
1410.39,NA,NA,190,"18583, 3","1","","17","17","","3","2","","","","1","","","","","","","1","","","","3","","","","7","","61","","","","","","","","4","","","","","","","","","1","","2","2","","13","","","2","6","28","","3","1","5","14","","","2","","","5","","","1","","162","","","59","37","","","2","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","1","","","","","1","","","","1","1","","","","","","","","","","","10","","1","2","","","","","","","","","","","1","","","","","",""
1629.95,NA,NA,200,"18583, 3","1","2","43","2","","","","","","","","","","1","","7","","","","","","","","","","1","1","22","","","","","","","","14","2","","","","","","","1","1","4","","","","6","","8","1","","123","","","3","","9","1","","2","2","2","1","2","","1","2","289","1","","35","30","","1","","","","","","","1","2","","","","","","","","1","","","","1","","","","1","","","","","","","","2","","1","","","","","","","","3","","","","","","","","","","","","","6","","","","","","3","","","","","","","","","","","","","1","1","","","","","","","5","","","","","1","","","1","","","1","1","","","1","","","","",""
1837.92,NA,NA,210,"18583, 3","1","","21","17","","1","1","","","","","","","","","2","","","","","1","2","","","","2","","28","","","","","1","","","8","","2","","","","","","","1","","","","","4","","","","","42","","","1","","5","","","11","","","","","","","","242","","","45","24","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","1","","","1","","","","","4","","","","","","","","5","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
2051.18,NA,NA,220,"18583, 3","1","","4","1","","","1","","","","","","","2","","1","","","","","","","","","","1","","4","","","","","","","","20","4","","","","","","","1","3","7","1","","","6","1","1","1","3","213","","","1","","5","4","","10","","3","4","1","3","7","","260","","1","32","","","","","","","","","1","","2","","","","1","","","","","","4","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","","1","3","","1","","1","1","","","","","","","","","","","","","2","","1","","","","","","1","1","","1","","1","","1","1","","","","1","","","","1","","","",""
2472.41,NA,NA,240,"18583, 3","1","1","","1","","","","","","","","","","1","","","1","","","","1","","","1","","","","17","","","","","","1","","25","1","","","","","","","2","1","2","2","","","14","4","2","3","3","141","","1","2","","3","7","1","1","2","","6","2","","16","","283","","","38","109","","","","","","","","2","","3","1","","","","","","","","","1","","","","","","12","","","","","","","","3","","","1","","","","","1","","3","","1","","1","","","","","","","","","3","3","","3","","","4","","","","","","","","","","","","","2","2","1","","","","","2","1","3","","","","1","","","2","","1","","","","","","1","","","",""
2692.97,NA,NA,250,"18583, 3","1","1","","19","","1","","","","","","","","","","","","","","","","23","","","","6","","9","","","","","","2","1","2","","","","","","","","","9","","1","","","43","","","1","1","26","","1","1","","22","","2","1","53","","67","","","14","","76","","","77","230","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","3","","3","","","1","","","","","","","","","","","1","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","",""
3112.06,NA,NA,270,"18583, 3","1","","","11","","1","","","","","","","","","","","","","","","2","11","","","","1","","5","","","","","","","","3","","1","","","","","","2","","","1","","","","4","","1","2","31","","","3","","9","","","","7","","26","2","","9","","155","","","32","377","","1","","","","1","","","","","6","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","1","","",""
3497.33,NA,NA,290,"18583, 3","1","","","6","","","","","","","","","","","","","","","","","","8","","","","","","6","","","","","","","","2","","","","","","","","","1","","","","","","","","2","","20","","","","","12","","","","1","","18","","","6","","87","","1","8","406","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
3689.97,NA,NA,300,"18583, 3","1","","","","","","","","","","","","","","","","","","","","1","5","","","","","","7","","","","","","","","1","","","","","","","","4","","","","","","","","","","","10","","","","","7","","","","2","","8","1","","4","","58","","","4","354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
4075.3,NA,NA,320,"18583, 3","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","2","","","","","","","","2","","","","","","","","","","","15","","","","4","5","","","","4","2","7","","","2","","42","","","8","511","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5597.1,NA,NA,399,"18583, 3","1","","14","6","","","","","","","","","","","","","","","","","2","","","","","","","47","","","","","","","","11","","1","","","","","","","","","","","","","2","","1","1","53","","","","18","22","","1","","2","","8","6","","12","","160","1","","46","462","","1","","","","7","","","","1","2","","","","","","","","","","1","","2","2","","1","1","","","","","","","","","2","","","","","","","","3","","1","1","","1","","","","","","","","","","3","","","1","1","","","","","","","","","","2","","","1","","","","","","","","","","","2","","","","","","","","","1","","","","","1","1","1","1"
