"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crassulaceae","Malvaceae","Alnus","Ranunculaceae","Fraxinus","Myrica","Pistacia","Rosaceae","Geraniaceae","Dipsacoideae","Acacia","Cedrus","Phillyrea","Ephedra fragilis-type","Noaea-type","Halothamnus-type","Myrtus","Lamiaceae (stephanocolpate)","Bellevalia-type","Cichorioideae","Fabaceae","Asteroideae","Abies","Poaceae","Podocarpus","Bunium-type","Lamiaceae (tricolpate)","Scrophulariaceae","Quercus coccifera-type","Artemisia sp.","Pinus","Cyperus","Atriplex-type","Betula","Castanea","Ericaceae","Allium-type","Centaurea","Chenopodium-type","Quercus ithaburensis-type","Cupressus","Cistaceae","Olea","Campanulaceae","Populus","Plantago","Polygonaceae","Ostrya","Poaceae (Cerealia-type)","Combretaceae","Primulaceae","Rumex","Picea","Tamarix","Cedrus libani","Thymelaea","Epilobium","Brassicaceae","Boraginaceae","Rhamnus","Ceratonia","Ziziphus","Ephedra distachya-type","Sium/Apium-type","Bupleurum-type","Saxifragaceae","Zygophyllaceae","Icacinaceae","Echinops","Papaveraceae","Asphodelus-type","Turgenia-type","Tilia","Valerianoideae","Corylus","Salix","Carpinus","Anisosciadium-type","Plantago lanceolata","Rhus","Acanthaceae","Pimpinella-type","Juniperus","Euphorbiaceae","Ferula-type","Malabaila-type","Ulmus","Caprifoliaceae","Orobanchaceae","Vitis","Acacia albida","Rutaceae","Salvadoraceae","Rubiaceae","Acer","Solanaceae","Cercis","Aristolochiaceae","Tsuga","Dacrydium","Loranthus","Amaryllidaceae","Gentianaceae"
6410,NA,NA,106,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,5,4,6,NA,NA,NA,1,2,4,5,7,2,1,1,4,NA,27,7,43,63,35,4,2,NA,5,1,8,2,NA,NA,9,NA,2,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7200,NA,NA,116,3,2,NA,NA,1,5,NA,NA,3,1,NA,NA,3,8,11,7,NA,1,NA,NA,NA,4,5,7,2,NA,3,2,NA,14,7,43,77,63,NA,NA,2,NA,NA,1,5,NA,1,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7450,NA,NA,121,2,3,NA,NA,1,6,NA,NA,NA,1,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,4,7,2,15,NA,5,NA,NA,17,13,28,55,86,1,NA,NA,NA,1,5,14,NA,NA,3,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7750,NA,NA,126,6,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,NA,8,11,NA,NA,NA,1,3,NA,12,1,3,3,NA,7,1,NA,31,6,8,136,82,1,NA,NA,3,NA,3,18,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8010,NA,NA,133,NA,5,NA,NA,4,3,2,NA,2,1,NA,NA,1,10,13,5,NA,NA,NA,NA,NA,3,3,NA,8,NA,3,2,4,22,10,23,90,81,NA,NA,NA,1,NA,4,6,1,1,6,NA,1,NA,NA,NA,5,NA,NA,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8160,NA,NA,136,1,NA,1,1,1,2,NA,2,1,NA,NA,NA,1,1,10,6,NA,NA,NA,NA,NA,2,8,1,2,NA,2,2,NA,7,32,20,32,71,NA,NA,NA,NA,2,3,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8250,NA,NA,138,1,3,NA,NA,2,5,1,NA,NA,NA,NA,NA,NA,9,2,4,NA,NA,NA,NA,1,1,8,1,21,NA,4,3,1,27,6,7,29,87,NA,NA,NA,NA,1,7,8,1,NA,2,NA,NA,4,NA,NA,5,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8450,NA,NA,142,NA,3,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,12,20,3,NA,NA,NA,NA,3,2,13,1,NA,NA,9,1,NA,19,13,11,61,98,NA,NA,NA,NA,NA,3,7,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9150,NA,NA,157,1,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,11,10,5,NA,NA,NA,3,NA,3,8,NA,1,NA,4,4,NA,20,6,3,34,71,1,NA,NA,2,1,15,21,NA,NA,7,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9440,NA,NA,163,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,12,11,6,NA,NA,NA,NA,NA,3,3,NA,10,NA,5,5,1,43,6,1,41,95,NA,NA,NA,1,NA,1,10,NA,1,3,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9900,NA,NA,173,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,17,NA,NA,NA,NA,1,2,1,1,3,1,NA,3,3,NA,12,12,13,40,129,NA,NA,1,NA,NA,12,2,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10390,NA,NA,186,3,2,NA,NA,2,2,1,NA,1,NA,NA,NA,NA,7,10,3,NA,NA,1,NA,8,2,3,1,NA,NA,2,1,1,18,18,8,52,84,NA,NA,NA,NA,NA,3,5,NA,1,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10810,NA,NA,196,1,2,NA,2,4,2,NA,NA,1,NA,NA,NA,4,2,16,2,NA,NA,NA,NA,NA,3,9,2,2,NA,4,3,NA,19,19,18,52,50,NA,NA,NA,2,NA,4,2,4,NA,2,NA,2,NA,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA,2,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11200,NA,NA,206,2,1,NA,NA,NA,1,1,NA,1,NA,2,NA,2,5,10,NA,NA,2,NA,1,2,3,9,NA,NA,NA,6,NA,3,12,61,13,35,42,NA,NA,NA,NA,NA,1,7,NA,NA,2,NA,NA,1,1,NA,1,NA,NA,3,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11850,NA,NA,221,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,2,9,2,NA,NA,3,NA,1,6,5,2,2,NA,2,4,NA,14,64,31,69,52,NA,NA,2,NA,NA,1,9,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12280,NA,NA,231,1,1,NA,NA,2,4,NA,1,4,NA,NA,NA,NA,7,15,6,NA,NA,NA,NA,NA,1,5,1,9,1,NA,2,NA,17,17,23,38,59,NA,NA,NA,1,1,6,4,NA,NA,3,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12730,NA,NA,243,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,10,2,NA,NA,1,NA,2,2,8,2,NA,NA,NA,1,2,12,20,46,30,58,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,NA,NA,256,2,3,NA,NA,3,NA,NA,1,NA,NA,NA,NA,4,3,7,2,NA,1,NA,NA,NA,3,2,1,5,1,2,NA,NA,15,18,59,18,40,2,NA,NA,NA,1,1,5,NA,1,4,NA,NA,2,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14600,NA,NA,265,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,4,NA,14,4,NA,NA,NA,2,NA,4,NA,4,2,NA,NA,NA,NA,22,20,30,20,52,NA,NA,NA,2,NA,4,8,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15500,NA,NA,283,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,3,13,NA,NA,1,NA,1,NA,NA,3,12,NA,NA,2,1,1,7,33,77,33,22,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17000,NA,NA,300,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,11,4,NA,4,3,NA,NA,1,7,1,NA,1,NA,NA,NA,4,61,13,29,69,NA,NA,NA,NA,NA,1,7,NA,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18800,NA,NA,323,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,2,NA,NA,NA,NA,3,1,9,NA,1,1,2,3,NA,2,45,21,22,86,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19690,NA,NA,341,5,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,9,1,17,NA,NA,NA,NA,NA,NA,6,NA,1,2,NA,3,NA,NA,8,73,26,30,31,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21030,NA,NA,361,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,8,3,NA,1,NA,1,3,1,12,15,NA,NA,NA,5,1,8,42,16,13,72,NA,NA,NA,NA,1,5,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22400,NA,NA,381,1,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,20,1,NA,1,NA,1,NA,2,9,NA,NA,NA,NA,2,1,3,41,22,38,77,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23690,NA,NA,401,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,15,1,NA,NA,1,NA,1,6,2,1,7,NA,3,1,1,2,63,18,31,63,NA,NA,NA,2,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24270,NA,NA,411,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,6,NA,9,3,NA,2,NA,NA,1,NA,6,NA,NA,1,NA,2,1,6,66,56,31,53,1,NA,NA,2,NA,3,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24730,NA,NA,421,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,15,7,NA,NA,1,NA,NA,2,4,NA,NA,NA,2,3,2,2,51,39,28,57,NA,NA,NA,NA,NA,3,3,NA,NA,1,NA,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25240,NA,NA,431,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,18,NA,11,1,NA,NA,NA,NA,NA,3,6,NA,3,NA,1,3,2,2,51,53,38,37,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25640,NA,NA,441,2,1,NA,NA,NA,NA,NA,NA,3,1,1,NA,4,1,10,3,NA,NA,2,NA,NA,NA,3,1,NA,1,2,NA,3,NA,77,40,32,40,NA,NA,NA,1,1,3,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26120,NA,NA,452,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,NA,10,NA,NA,NA,1,2,NA,4,2,NA,2,NA,NA,1,2,6,38,40,24,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26600,NA,NA,463,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,14,2,NA,NA,NA,NA,1,2,12,NA,6,NA,NA,2,NA,2,66,28,32,60,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
