"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Citrus","Juncaceae","Cichorioideae","Pinus subg. Pinus","Pinus subg. Strobus","Sagittaria","Salix","Thalictrum","Lythrum","Rubiaceae","Corylus avellana","Fagus sylvatica","Liliaceae-type","Tamarix","Eryngium","Anthemis-type","Plantago coronopus-type","Plantago maritima-type","Anthericum","Apium-type","Erica arborea-type","Gnaphalium-type","Odontites-type","Onobrychis","Quercus pubescens-type","Ornithopus","Chaerophyllum hirsutum-type","Carlina","Saxifraga tridactylitis-type","Trachycarpus fortunei","Urtica membranacea-type","Poaceae (Cerealia)","Paronychia-type","Hypericum perforatum-type","Urtica dioica-type","Peucedanum-type","Artemisia","Bidens-type","Cuscuta","Vitis","Reseda","Smyrnium-type","Trifolium repens-type","Plantago lanceolata-type","Mercurialis annua","Fabaceae","Typha latifolia-type","Echium","Cladium mariscus","Falcaria-type","Mentha-type","Amaranthaceae-type","Ceratophyllum","Eucalyptus","Rumex acetosella","Juniperus-type","Quercus ilex-type","Olea","Ruppia","Brassicaceae","Pistacia","Astragalus-type","Cyperaceae","Sparganium-type","Poaceae","Lycopodium spike","Pediastrum","Xanthium","Populus","Allium-type","Prunella-type","Carduus","Daphne","Cistus","Fraxinus ornus","Sedum-type","Fraxinus excelsior-type","Iris pseudacorus-type","Pimpinella major-type","Solanum nigrum-type","Amaranthus","Ammi-type","Chaerophyllum-type","Anthoceros laevis","Apiaceae","Papaver rhoeas-type","Daucus","Hippocrepis-type","Ornithogalum-type","Phragmites-type","Quercus cerris-type","Potentilla-type","Tuberaria","Calendula","Alnus glutinosa-type","Turgenia latifolia","Lotus-type","Cyperus-type","Spirogyra-type","Plantago major","Rubus","Ostrya-type","Rosaceae","Potamogeton-type","Teucrium","Phillyrea","Ephedra distachya-type","Trifolium pratense-type","Alisma-type","Lithospermum officinale","Viburnum tinus","Nigella","Theligonum cynocrambe","Cerinthe","Ligusticum mutellina","Helleborus viridis","Cynoglossum officinale-type","Urtica pilulifera","Equisetum","Isoëtes","Ononis-type","Castanea sativa","Genista-type","Linum usitatissimum","Asparagus","Mougeotia","Rumex obtusifolius-type","Celtis australis","Cercophora-type","Chamaerops humilis","Cannabis sativa","Stachys-type","Helianthemum","Ephedra fragilis-type","Solanum dulcamara","Caltha-type","Rhamnus","Cerastium-type","Carpinus betulus","Scabiosa","Aster-type","Asphodelus albus-type","Borago officinalis","Sanguisorba minor-type","Carthamus","Sideritis","Centaurium","Scrophularia-type","Bellis","Ranunculus acris-type","Convolvulus","Hedera helix","Polygonum aviculare-type","Vicia-type","Filipendula","Gladiolus-type","Betula","Cedrus","Knautia","Sagina","Sanicula europaea","Bituminaria bituminosa","Polypodium","Sporormiella","Podospora-type","Pteridium aquilinum","Lamiaceae","Cirsium","Gypsophila arrostii","Ophioglossum lusitanicum","Rumex acetosa-type","Serratula-type","Asphodelus fistulosus","Simethis planifolia","Medicago falcata-type","Pteridophyta (monolete) undiff.","Alnus viridis","Spergula-type","Buxus sempervirens","Rumex scutatus-type","Platanus","Ulmus","Anthyllis","Linaria-type","Myrtus communis","Valerianella","Arbutus","Euphorbia","Geranium","Ranunculus sect. Batrachium","Matthiola-type","Ficus carica","Oenanthe","Boraginaceae","Succisa","Humulus lupulus","Coriaria","Veronica","Centaurea nigra-type","Sambucus nigra","Senecio-type","Taxus baccata","Utricularia","Eupatorium","Abies","Limonium","Dinoflagellata","Sorbus-type","Menyanthes trifoliata","Scorzonera humilis-type","Anemone hortensis-type","Diporotheca","Calligonum","Dorycnium","Silene vulgaris-type","Rhus","Acanthus","Lysimachia vulgaris-type","Lygeum spartum","Clematis","Silene viscaria-type","Verbena officinalis","Colchicum-type","Tilia","Ligustrum","Calystegia","Tofieldia","Picea","Hydrocotyle","Persicaria maculosa-type","Agrimonia-type","Trollius europaeus","Silenoideae-type","Thelypteris palustris","Zelkova","Acacia","Saxifraga granulata-type","Fedia cornucopiae","Acer","Riccia","Anogramma leptophylla","Ustulina deusta","Tilletia sphagni","Cheilanthes-type","Euphrasia-type","Asplenium-type","Phlomis","Petasites","Ranunculus lingua-type","Mercurialis perennis","Anthriscus sylvestris-type","Morus","Prunus-type","Myriophyllum spicatum","Rosa","Heracleum","Herniaria-type"
1351.706,NA,NA,220,"10679, 4","1","","","6","","3","","","","","1","","","1","","","8","4","2","","1","","","","","2","","","","","","1","2","4","","56","","12","","","","","4","","11","28","","","3","27","3","","8","","","11","4","16","7","3","9","12","","94","55","121","257","","","1","","","","","","","","1","","","","","1","3","1","1","","1","1","","8","5","","","5","3","","","16","28","","","1","","","","","","","1","","","","7","","","","","","","","","","","","","","","1","","5","1","","","1","","","1","","1","","1","2","","","","","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1515.86,NA,NA,240,"10679, 4","1","","","3","","1","","","","","1","2","2","","1","1","2","","1","","","3","","","","2","","","","","","3","2","3","","12","1","7","","","1","","","","10","12","","","","14","2","1","2","8","","1","2","8","3","13","2","250","","10","28","67","123","","","","","","","","","","","","","","","","","","","2","","1","","","","1","","","2","2","","","5","10","","","2","","","","","","","","","","","","","","","","4","","","","1","","","3","","","","","","","","1","1","","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1680.015,NA,NA,260,"10679, 4","1","","1","2","","1","","1","","1","","1","","2","3","","","1","2","","1","3","","","","","","2","","","","1","","10","","9","","3","","","1","","2","","5","4","","","1","8","","3","5","","","3","","13","5","1","","250","2","46","31","90","153","","","","","1","1","","3","1","","","","","","","","","","","","2","","","1","3","","","1","4","","1","1","52","","","4","","","","1","","","","","","","","","","","","","","1","","","2","","1","1","","","","","1","","","2","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1844.17,NA,NA,280,"10679, 4","1","","","6","","2","","","","3","1","","","1","1","","1","3","","","3","2","1","","","4","","","","","","3","1","6","","27","","4","","","","1","1","","12","10","","3","","11","1","","6","6","","5","2","88","38","2","","222","","25","39","81","156","","","","","","1","","1","2","","","1","","","","1","","","","","1","","","1","18","","","","2","","","4","19","","","1","","1","","1","","","","","","","","","","","","5","","1","","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","1","","1","","","2","","","1","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1971.858,NA,NA,300,"10679, 4","1","","","2","1","","","","","1","1","4","","10","1","1","","6","3","1","8","7","","","","6","","1","","","","1","","4","1","9","7","13","","1","","","","1","8","5","1","","","34","1","","7","4","","3","1","17","10","3","1","83","2","36","6","59","190","","","","1","","2","1","1","","","5","","","","","","","","","","","","","","5","","","8","3","","1","","","","","2","","","","","","","2","","","","","","","","","2","","","","","1","","","","","","1","","","","","2","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2090.429,NA,NA,320,"10679, 4","1","","","5","","3","","","3","","","2","","","1","","1","1","1","","10","3","","","","7","","","","","","2","1","10","","25","3","12","","","","","","","3","16","1","","","42","","1","4","1","","4","2","13","17","1","1","34","1","20","2","73","305","","","","","","1","","","1","","2","","","","","1","","","","","1","","","3","3","","","3","4","","","1","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","8","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2209,NA,NA,340,"10679, 4","1","","1","","1","","","","","4","","2","","","","","2","","2","","15","6","","","","2","1","","","","","3","","","","22","1","3","","","","","","","1","7","1","","","33","","","2","5","","1","2","45","60","6","7","10","","7","","51","195","","","","","","","","","1","","1","","","","","","","","","","","","","2","","","","","1","","","","","","1","","","1","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2327.572,NA,NA,360,"10679, 4","1","","","1","","1","","","6","","","","2","3","","1","","","2","","","10","","","","11","","","","","","","","1","","7","","5","","","","","","","10","4","","","","59","2","","3","","","","3","117","78","3","15","47","","7","2","50","344","","","","","","","","","","","4","","","","","","1","","","","","","","3","8","","","","","","","","4","","","1","","2","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2386.858,NA,NA,370,"10679, 4","1","","","1","","","","","","","","","1","","","","2","1","1","","","12","","","","5","","","","","","1","","10","1","6","2","6","","","","","","","3","9","","","","33","","","4","","","5","4","128","72","5","1","50","","4","2","37","227","1","","","","","","1","2","","","1","","","","","","","","","","","","1","4","17","","","","1","","","","2","","1","1","","2","","7","","","1","","","","1","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","1","","","1","","","","","","1","","","","","1","","1","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2505.429,NA,NA,390,"10679, 4","1","","","7","1","","","1","","1","","1","2","","","","","1","2","","","2","","","","13","1","","","","","","1","7","","6","2","7","","","","","","1","2","7","","2","","33","","","4","73","","2","3","66","56","","1","37","","5","5","22","202","","","","","","10","","","","","1","","","","","","","","","","","","","4","16","","","","","","","","3","","","","","","","3","","","2","","","","1","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","1","","","","43","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2624,NA,NA,410,"10679, 4","1","","1","1","1","1","","","","1","","","1","","","","2","","3","","2","8","","","","2","","","","","","6","2","9","","37","3","5","","","","","","","4","28","","4","1","22","","1","9","18","","3","3","19","50","5","6","5","","5","21","103","284","","","","","","2","","2","1","","3","","","","","","","","1","1","","","","3","2","","1","","1","","","","","","","","","1","1","3","","","1","","","","3","","","","","","","","","","","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2691.728,NA,NA,430,"10679, 4","1","","","10","2","1","","","2","1","3","2","","1","1","","1","","2","","","8","","","","4","","2","1","","","8","1","6","","70","1","5","","","1","","2","","15","25","","7","7","30","1","","12","7","","2","2","23","28","8","23","12","4","9","32","148","234","","","","1","","3","","1","","","","","","1","","","","","2","","3","","","","6","","","1","1","","","","3","","1","1","","8","","1","","","2","","","","","","","","","1","","","","","","","","1","","","1","5","","","1","1","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2752.682,NA,NA,448,"10679, 4","1","","","16","","1","","","","2","","","1","","","","1","","1","","3","3","","","","7","","","","","","1","","9","1","8","1","3","","","1","","","1","10","8","","","","20","","","7","","","1","","30","11","11","4","20","","60","1","27","203","1","","","","","2","","","","1","","","1","","","","","","3","","","","","","9","1","1","2","2","","","","14","","","","","9","","2","","","3","","","","","","","","","","","1","","","","","","","","","","12","","","1","","1","","","","","","2","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2810.25,NA,NA,465,"10679, 4","1","","","2","","","","","3","1","","","","","","","","1","3","","","3","","","","16","","","","","","","","3","","6","","5","","","","","3","","2","5","","","","32","","","4","1","","4","3","97","65","1","5","57","","4","","26","128","","","","","","","","","","","2","","","","","","","","","","","","","","19","","","","","","","","","","1","3","","1","","2","","","1","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2827.182,NA,NA,470,"10679, 4","1","","","4","","1","","","4","","1","1","","","","","","1","","","","7","","","","2","","","","","","","","3","","13","","4","","","","","2","","3","16","","","","38","","","5","4","","2","3","96","84","1","","51","","14","13","43","335","","","","","","","","","1","","3","","","","","","","","","","1","","","4","18","","","","2","","","2","","1","","3","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","88","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2861.046,NA,NA,480,"10679, 4","1","","","2","","","","","","3","1","","","","1","","2","1","4","","1","16","","","","9","","","","","","2","2","11","1","11","2","3","","","","","2","","5","11","","","","34","1","","6","","","","4","147","81","1","6","52","","4","","47","224","","","","","","","","","3","","14","","","1","","","","","1","","3","","","2","21","","","2","5","","","","","","","3","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2894.91,NA,NA,490,"10679, 4","1","","","4","","1","","","4","1","2","","1","","","","3","3","4","","1","7","","","","8","","","","","","1","","4","","14","4","5","","","","","6","","3","7","","1","","25","","","9","","","4","3","117","68","4","","94","","4","3","51","157","","","","","","","1","","","","16","","","1","","2","","","1","","1","","1","5","35","2","","1","2","","","1","","","","3","","","","1","","","1","","","","","","","","1","","","","","","1","","1","","","","","","","","1","","","","1","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","115","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2952.092,NA,NA,500,"10679, 4","1","","","7","","1","","2","","","","1","1","","1","","2","","4","","","7","1","","","13","","","","","","2","","9","","13","2","5","","","1","","1","","5","14","","","","30","","1","5","","","2","4","211","88","4","5","123","","5","7","52","153","1","","","","","","","","1","","11","","","","","1","","","","","","","1","2","43","","1","","","","1","","2","","","3","","1","","7","","","2","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
