"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Lamiaceae undiff.","Cichorioideae","Apiaceae","Polygala","Rumex acetosella-type","Betula pubescens","Sedum-type","Gentiana lutea/G. pneumonanthe","Ranunculus sect. Batrachium-type","Asteroideae undiff.","Potamogeton","Alnus glutinosa","Corylus avellana","Fritillaria lusitanica","Poaceae (Cerealia-type)","Erica australis","Halimium-type","Cyperaceae","Indeterminable undiff.","Quercus","Quercus ilex-type","Olea europaea","Pinus pinaster","Erica arborea-type","Poaceae","Pinus sylvestris-type","Pinus","Armeria","Plantago lanceolata-type","Rumex obtusifolius-type","Castanea sativa","Erica umbellata","Hedysarum cf. H. hedysaroides","Amaranthaceae-type","Vitis","Narcissus pseudonarcissus-type","Potentilla","Calluna vulgaris","Quercus robur-type","Nymphaea","Filipendula","Echium","Polypodium","Taxus baccata","Caryophyllaceae","Brassicaceae","Anthemis-type","Sphagnum","Filago-type","Plantago coronopus","Pteridium aquilinum","Juglans regia","Liliaceae-type undiff.","Dryopteris-type","Aquilegia","Narcissus bulbocodium","Vaccinium myrtillus","Hypericum perforatum-type","Juniperus communis","Equisetum","Galium-type","Campanulaceae","Hedera helix","Polygonum aviculare-type","Salix","Frangula alnus","Plantago alpina-type","Genista-type","Pedicularis sylvatica","Asphodelus","Cytisus grandiflorus","Ilex aquifolium","Micranthes stellaris-type","Hedwigia","Phillyrea","Myriophyllum spicatum","Fraxinus excelsior","Botrychium","Dipsacoideae","Fabaceae undiff.","Sparganium","Thalictrum","Helianthemum-type","Gentianella","Aconitum","Pistacia","Teucrium","Sanguisorba officinalis-type","Ulmus","Vicia","Typha latifolia","Rhamnus","Ephedra","Thymelaeaceae","Saxifraga granulata-type","Lycopodium clavatum","Lonicera periclymenum","Veratrum album","Centaurea nigra-type","Myrtus communis","Poterium sanguisorba","Lythrum","Lysimachia","Nigella","Myrica","Sorbus aucuparia","Lotus","Plantago major-type"
2977,3106,2850,105,2,NA,1,3,NA,4,28,10,NA,193,3,NA,13,NA,6,25,13,1,50,5,205,3,9,4,99,576,10,14,3,NA,NA,NA,NA,1,2,NA,NA,1,28,202,NA,NA,1,NA,4,1,NA,NA,5,NA,NA,NA,NA,3,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3184,3322,3048,110,11,2,2,5,NA,1,46,3,NA,231,NA,1,22,3,5,15,13,NA,68,4,226,36,3,3,147,591,32,35,7,NA,NA,2,11,1,NA,NA,NA,NA,43,190,NA,1,1,NA,7,6,NA,1,3,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,2,NA,3,2,NA,4,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3287,3432,3147,112.5,2,1,2,3,NA,6,26,3,NA,205,NA,NA,12,4,2,9,6,NA,78,NA,110,26,1,4,71,436,12,16,2,2,NA,NA,NA,5,NA,NA,3,3,22,84,NA,NA,NA,1,NA,3,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,1,NA,12,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3390,3541,3246,115,1,NA,3,5,NA,2,367,3,NA,50,8,NA,6,38,2,15,18,4,91,3,220,10,10,10,80,215,20,30,3,NA,NA,2,10,NA,1,NA,NA,8,37,210,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3555,3710,3409,120,NA,NA,NA,12,NA,NA,76,3,9,9,2,1,6,4,3,4,4,NA,95,2,84,16,NA,1,8,124,13,14,NA,1,NA,NA,3,1,NA,NA,NA,NA,14,68,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,3805,3519,125,NA,NA,1,6,NA,1,7,NA,NA,72,1,NA,4,3,2,9,2,NA,22,3,93,9,NA,1,14,145,4,5,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,84,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3763,3906,3625,130,1,2,NA,5,NA,1,15,1,1,30,NA,NA,11,NA,4,8,5,NA,48,2,149,26,2,NA,36,117,12,12,2,NA,1,NA,4,NA,1,NA,NA,4,19,123,NA,NA,NA,NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3970,4127,3829,140,1,NA,NA,NA,NA,NA,15,2,NA,14,NA,2,9,NA,NA,1,3,NA,18,NA,103,14,NA,2,6,53,7,9,NA,NA,NA,1,NA,NA,2,NA,NA,NA,14,89,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4177,4366,4019,150,3,1,2,1,NA,NA,12,1,NA,52,1,6,3,NA,NA,7,9,NA,18,12,81,25,NA,2,24,114,3,5,1,1,NA,2,2,NA,NA,NA,NA,NA,4,56,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4281,4488,4109,155,1,NA,NA,NA,NA,1,24,NA,NA,30,NA,NA,5,1,NA,8,8,NA,111,NA,172,42,1,9,20,206,3,12,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,130,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
