"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Betula","Myriophyllum","Ostrya/Carpinus","Thalictrum","Acer","Fabaceae","Ranunculaceae","Saxifraga","Mentha-type","Plantaginaceae","Vicia-type","Filipendula","Phillyrea","Galeopsis-type","Asphodelus","Hypericum perforatum-type","Centaurea solstitialis","Solanum dulcamara-type","Urtica undiff.","Pteridophyta (monolete) undiff.","Apiaceae","Plantago lanceolata-type","Pteridium","Chenopodium-type","Spergularia-type","Carduus-type","Cistus undiff.","Pistacia","Unknown","Cichorioideae","Asteroideae","Rumex acetosa-type","Brassicaceae","Pinus","Quercus pubescens-type","Cupressaceae undiff.","Genista","Erica","Quercus undiff.","Cyperaceae undiff.","Sarcopoterium","Indeterminable undiff.","Poaceae","Olea","Quercus ilex/Q. coccifera-type","Pteridophyta (trilete) undiff.","Platanus","Secale","Arbutus unedo","Cyclamen","Valerianaceae undiff.","Osmunda regalis-type","Castanea","Alnus","Vitex agnus-castus","Fraxinus undiff.","Triticum-type","Sphagnum","Euphorbia","Xanthium-type","Berberis","Anthoceros laevis-type","Caryophyllaceae","Ephedra","Rosaceae","Helianthemum","Alchemilla","Corylus","Utricularia","Vitis","Rubiaceae","Linaria-type","Hedera","Sedum-type","Cedrus","Hordeum-type","Echinops","Typha angustifolia/Sparganium","Scrophularia-type","Isoëtes","Juncus/Luzula","Potentilla-type","Lythrum","Plantago coronopus-type","Saussurea-type","Polypodium","Juglans","Plantago maritima/P. alpina","Theligonum cynocrambe","Poaceae (Cerealia) undiff.","Papaveraceae","Convolvulus","Ulmus","Phlomis","Gentianaceae","Primulaceae","Geraniaceae","Acanthus","Echium","Dipsacoideae","Equisetum","Linum","Polygonaceae","Campanulaceae","Daphne/Thymelaea","Liliaceae undiff.","Abies","Fagus","Prunus undiff.","Fagopyrum","Paeonia","Matthiola","Rosaceae (herbs) undiff.","Androsace-type","Potamogeton","Tamarix","Mercurialis","Plantago major/P. media-type","Styrax","Veronica-type","Butomus","Epilobium"
329,NA,NA,30.5,3,NA,2,NA,1,NA,2,NA,NA,1,NA,13,NA,NA,NA,2,NA,NA,NA,NA,5,1,3,1,NA,NA,1,5,NA,NA,7,2,20,2,5,2,3,NA,120,1,755,2,2,79,3,14,2,2,NA,NA,NA,NA,11,1,NA,NA,1,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,NA,NA,32.5,3,1,NA,1,1,NA,NA,4,NA,NA,2,17,NA,NA,NA,2,NA,2,NA,NA,8,2,12,NA,NA,NA,NA,3,1,NA,12,9,39,3,6,3,NA,NA,406,3,925,17,3,95,10,35,1,NA,NA,NA,NA,NA,5,1,NA,NA,4,NA,7,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,12,NA,5,1,1,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,1,NA,3,NA,1,NA,NA,11,2,6,1,NA,NA,3,6,1,NA,9,6,38,3,4,2,2,1,140,NA,654,3,7,90,6,35,5,2,NA,NA,3,NA,10,1,1,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,NA,NA,40.5,1,NA,1,2,NA,NA,1,NA,NA,1,NA,5,NA,NA,NA,3,1,NA,NA,1,8,NA,5,2,NA,NA,NA,1,NA,NA,5,2,7,NA,3,1,1,NA,125,1,365,1,2,43,3,16,12,1,1,NA,NA,NA,38,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,NA,NA,50.5,9,NA,NA,NA,NA,NA,4,2,NA,NA,NA,40,NA,1,NA,NA,NA,NA,NA,NA,NA,3,5,6,3,NA,NA,2,NA,NA,5,5,7,2,3,NA,3,NA,346,3,975,6,4,45,6,21,1,3,NA,1,NA,1,50,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,NA,NA,60.5,6,NA,NA,1,NA,NA,1,1,NA,2,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,11,3,6,4,1,NA,1,2,2,NA,NA,5,1,1,8,NA,5,NA,250,3,230,6,5,98,7,12,8,8,NA,8,NA,NA,52,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,NA,NA,70.5,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,15,2,2,44,NA,NA,NA,22,1,NA,15,1,1,4,14,NA,3,NA,210,5,176,3,7,81,1,11,1,12,1,4,NA,NA,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,80.5,4,1,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,5,1,1,4,NA,NA,NA,NA,2,NA,NA,2,NA,NA,8,1,2,NA,303,6,205,1,4,30,7,8,1,4,1,1,NA,NA,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,NA,NA,102.5,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,2,4,NA,1,NA,1,1,1,NA,NA,NA,2,NA,4,1,2,NA,309,NA,210,1,NA,3,NA,15,NA,1,1,NA,NA,NA,4,NA,1,NA,NA,NA,9,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,NA,NA,132,2,2,NA,NA,NA,NA,4,2,NA,NA,1,5,NA,1,NA,NA,1,NA,NA,NA,76,2,4,12,1,NA,4,7,NA,NA,13,7,2,4,4,NA,3,NA,169,10,460,3,3,58,4,23,54,18,1,3,NA,1,481,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,NA,NA,156,3,NA,NA,2,NA,NA,2,2,NA,2,NA,3,NA,NA,1,1,1,NA,NA,NA,26,2,7,6,NA,NA,3,16,NA,NA,5,4,1,1,1,3,1,NA,116,10,339,NA,12,39,4,94,14,2,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,NA,NA,168,4,NA,NA,1,2,NA,4,1,NA,NA,NA,8,NA,1,NA,3,NA,1,NA,NA,33,1,2,1,1,NA,1,7,1,NA,4,4,2,5,2,2,4,NA,120,6,485,3,7,37,3,237,5,8,1,1,1,NA,9,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,NA,NA,178,3,NA,NA,1,NA,NA,NA,1,2,2,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,3,2,NA,1,NA,NA,7,NA,NA,3,5,1,10,2,3,4,NA,86,NA,804,5,2,33,1,326,11,5,NA,NA,NA,NA,96,1,2,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,NA,NA,184,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,2,4,2,3,22,2,NA,2,59,NA,NA,1,1,NA,2,7,NA,NA,NA,204,NA,106,2,6,48,3,44,47,3,NA,1,2,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
888,NA,NA,192,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,55,NA,2,NA,1,NA,NA,NA,NA,13,1,2,NA,NA,NA,NA,21,NA,1,7,3,NA,NA,7,1,2,NA,204,2,354,5,10,37,2,90,13,7,1,4,NA,NA,9,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,NA,NA,196,4,1,NA,1,NA,NA,NA,NA,NA,3,NA,14,NA,NA,NA,2,1,NA,NA,1,14,NA,NA,5,3,NA,5,15,NA,NA,4,1,NA,1,6,1,5,NA,242,5,328,3,15,41,1,71,5,2,NA,1,NA,NA,4,NA,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,11,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
932,NA,NA,200,5,2,NA,NA,1,NA,3,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,7,1,1,NA,1,NA,NA,24,NA,1,5,2,NA,3,5,2,2,NA,447,6,550,5,3,26,2,146,9,11,NA,4,NA,NA,12,NA,2,NA,NA,NA,77,NA,NA,NA,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,NA,NA,215,1,NA,NA,2,NA,37,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,2,NA,3,NA,1,4,NA,NA,3,2,NA,4,3,1,3,NA,226,1,438,5,4,11,5,119,NA,19,NA,1,NA,NA,5,1,NA,NA,1,2,133,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,NA,NA,221,NA,1,NA,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,6,2,2,2,NA,280,5,296,1,3,15,5,144,2,18,NA,NA,NA,NA,17,3,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,NA,NA,241,7,1,NA,1,1,5,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,15,NA,7,NA,3,NA,1,13,1,2,5,2,NA,2,3,3,NA,NA,392,1,205,5,3,10,4,50,9,16,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,966,NA,NA,NA,NA,2,1,NA,2,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,NA,NA,261,5,1,NA,1,NA,7,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,28,3,NA,NA,1,NA,1,7,NA,NA,NA,1,1,2,3,2,1,NA,267,17,441,2,5,18,8,62,NA,10,NA,1,NA,NA,2,NA,NA,NA,NA,NA,754,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,NA,NA,273,1,NA,NA,NA,NA,24,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,114,1,2,2,2,NA,1,2,2,NA,5,1,1,NA,2,4,NA,NA,49,1,617,3,1,44,4,281,3,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,14,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1144,NA,NA,289,4,NA,NA,NA,1,NA,1,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,35,1,2,33,NA,NA,1,2,NA,6,1,3,NA,NA,3,1,3,NA,155,3,245,2,NA,19,1,554,NA,34,1,NA,NA,NA,NA,4,1,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1192,NA,NA,309,3,2,NA,NA,NA,NA,3,3,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,1,56,NA,343,2,3,16,4,521,2,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,NA,NA,329,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,19,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,3,3,5,NA,NA,257,5,741,5,5,5,8,505,1,16,NA,NA,NA,NA,NA,9,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
