"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Artemisia","Fagus","Rumex","Typha latifolia","Vitis","Xanthium","Avena-type","Asteroideae","Rosaceae","Triticum-type","Humulus/Cannabis","Olea","Hedera","Centaurea solstitialis-type","Arbutus","Convolvulus arvensis","Myriophyllum verticillatum/M. spicatum","Sarcopoterium/Sanguisorba minor","Indeterminable/Varia","Betula","Sparganium-type","Hordeum-type","Plantago lanceolata","Ulmus","Fraxinus ornus","Botrychium","Pteridium","Juglans","Ostrya/Carpinus orientalis","Brassicaceae","Poaceae (Cerealia-type, indeterminable)","Salix","Cyperaceae","Alnus","Pistacia","Amaranthaceae","Erica","Quercus ilex/Q. coccifera-type","Platanus","Pinus","Phillyrea","Poaceae","Quercus robur/Q. pubescens-type","Lycopodium spike","Pediastrum simplex","Corylus","Ranunculus","Senecio-type","Serratula-type","Polypodiophyta","Cichorioideae","Scrophulariaceae","Apiaceae","Lamiaceae","Juniperus","Matthiola incana","Anogramma","Caryophyllaceae","Picea","Cistus albidus-type","Polygonum aviculare","Callitriche","Utricularia","Centaurea scabiosa","Cistus monspeliensis","Gypsophila","Ceratonia siliqua","Polypodium","Coelastrum","Fabaceae","Acer","Plantago lagopus-type","Pseudopediastrum boryanum","Secale","Ephedra fragilis-type","Plantago ovata-type","Plantago major/P. media-type","Fraxinus angustifolia-type","Zea mays","Urtica","Euphorbiaceae","Thymelaeaceae","Plantago coronopus-type","Phaeoceros","Tilia","Alchemilla-type","Quercus cerris-type","Pediastrum duplex","Nymphaea","Thalictrum","Lythrum","Linum","Plumbaginaceae","Primula veris-type","Sambucus ebulus","Thelypteris","Trifolium-type","Myrtus","Carpinus betulus","Filipendula","Helianthemum","Reseda","Anemone-type","Centaurea cyanus","Ephedra distachya-type","Asphodelus","Sambucus racemosa","Epilobium","Amphitrema","Mentha-type","Rhamnus","Cistaceae","Gentianaceae","Rubiaceae","Cistus salviifolius","Liliaceae","Vicia-type","Ranunculus acris-type","Prunella-type","Genista-type","Persicaria maculosa","Knautia","Cotinus coggygria","Theligonum cynocrambe","Botryococcus"
931,NA,NA,148,"1.8","","13","4","7","13","15","","2","6","2","1","1","","1","","","","","","9","","","","6","6","4","5","5","3","9","13","5","27","31","91","39","9","13","30","31","28","28","147","276","1168, 21358","407","5","2","","","14","2","2","1","","1","","","2","1","","2","","","","","","","1","10","","","","","1","1","","","20","","","","","","","","","","2","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
977,NA,NA,164,"2.1","","9","3","6","8","14","","2","4","","","","3","","","","","3","","5","2","","","8","5","1","11","6","4","4","10","1","27","10","69","29","8","19","12","33","21","21","82","203","788, 21358","64","8","1","2","1","7","6","1","4","1","","","","3","1","","2","","","","","","","1","","","","","","","","","1","12","","","","","","3","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","",""
999,NA,NA,172,"1.6","","1","1","1","","10","","","3","1","","1","","","1","","","","","","","3","1","4","4","2","40","7","1","1","1","1","5","3","45","18","5","14","3","15","11","12","78","102","716, 21358","24","","","","1","5","7","","","","","","","3","","","","","","","","","","","5","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
1021,NA,NA,180,"","","","","","","","","2","","","","1","","","5","","","","","","","","","1","","","6","","","","","1","","","","","","1","1","","1","","4","10","121, 21358","","","","","","3","","","","","","","","","","","","","","","","","","","400","","","","","","","","","","","1","","","","","","","","","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1044,NA,NA,188,"2","","2","1","7","12","16","","","3","","2","","","","1","","","1","","3","1","","1","8","16","5","2","8","2","9","2","","17","4","66","21","3","10","17","21","9","18","109","199","359, 21358","69","2","4","","1","10","3","1","2","1","","","","3","","","2","","","","","","","1","200","1","","","","","1","","","50","","","","","","","","","","","","1","1","1","2","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","",""
1069,NA,NA,196,"1.5","","4","2","","","7","","","1","1","1","","","","1","","","","4","","","5","6","4","14","1","2","1","1","10","","","1","3","43","23","3","8","4","6","13","7","83","354","297, 21358","95","2","1","","","2","2","","","","","","","","","","","","","","","","","","400","","3","","","2","","","","5","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1096,NA,NA,204,"1.8","","6","","1","5","9","","","2","","2","","","1","","","","","3","5","2","","3","7","20","","","3","","8","3","2","","6","45","5","1","17","4","3","18","7","109","367","329, 21358","159","5","","","1","7","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","2","2","","","","","","","","","","","","","","","","","",""
1126,NA,NA,212,"1.2","","3","2","","1","9","1","","","1","1","1","","1","1","","","1","4","3","2","10","1","7","19","3","","2","","8","","2","1","3","49","23","1","6","5","6","17","19","100","329","246, 21358","41","4","1","","4","8","2","2","1","1","","","","","","","3","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
1159,NA,NA,220,"1.1","","4","1","3","1","19","","","","","","","","","1","","","3","1","1","2","13","1","10","15","5","4","1","1","6","3","1","2","9","31","19","6","7","15","11","38","13","139","307","432, 21358","78","11","","","2","2","4","1","","","","","","","","","","","","","","","","1","400","","","","","3","","","","10","","1","","","","1","","","1","","","","","","","","","","","1","","","1","","","1","1","","","","","1","1","","","","","","","","","","","","","",""
1195,NA,NA,228,"1.9","1","3","2","7","8","15","","","1","3","1","","","2","4","","","1","2","2","8","","2","17","12","12","2","5","","2","5","","27","6","73","17","9","16","14","41","16","18","212","216","361, 21358","30","4","","2","5","8","2","","4","","3","","","","","2","","","","","","","","","200","1","","","","1","","","1","17","","","1","","","","","","","","","2","","","","","","1","1","","1","","","","","","","","1","","","","","1","1","","","","","","","","","","","",""
1235,NA,NA,236,"2","","4","","2","5","5","","1","1","","1","1","","","1","","","1","","","3","1","1","4","7","4","","2","1","","4","1","2","6","25","13","","10","","8","12","9","87","102","727, 21358","23","","","3","","6","3","","2","","","","","","","","","","","","1","","","","","","","","","2","1","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","1","1","","","","","","","","","",""
1280,NA,NA,244,"1.4","","7","7","3","","14","","","3","","","","","","2","","","6","2","2","3","3","8","8","17","5","7","12","2","5","7","5","7","9","45","45","6","12","9","28","32","43","95","213","892, 21358","64","","","2","1","8","5","1","1","","1","","","","","","1","","","1","","","","","1","2","","","","","1","","","","","","","","","","","","","","2","1","","","1","","","1","","1","","","","","","1","4","","","","","","","","","1","","","","","","","","","","",""
1317,NA,NA,250,"2.1","","8","1","6","9","19","","","3","6","1","1","2","2","4","","","3","","4","1","1","","11","12","4","3","7","","9","9","3","30","8","56","31","11","19","6","34","16","30","158","191","840, 21358","73","3","4","","2","10","4","","2","2","2","","","","","1","3","","","","","","1","","","1","1","","","2","3","","","27","","","","","","","","","","","2","2","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
1370,NA,NA,258,"2","","11","1","1","","15","","","","","","","","1","","","","2","2","1","3","6","4","4","21","3","3","15","","5","1","1","2","37","36","15","10","10","","13","24","17","125","285","883, 21358","171","4","1","2","3","10","6","","","","1","","","7","","2","","","","1","","1","","","","","","","2","4","","","","4","","","","","","","1","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","1","","","","","","","","",""
1428,NA,NA,266,"2","","6","1","10","16","13","","","5","5","1","1","","2","1","","","1","2","2","2","","","12","19","5","3","8","1","8","4","2","10","8","33","31","8","12","10","28","18","29","98","272","454, 21358","152","1","","1","1","18","4","1","4","","","","","3","","1","1","","","","","","","","","","1","","","","","","","21","","1","","","","2","","","","","1","5","","","","2","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","",""
1509,NA,NA,276,"1.5","","4","1","","","4","","","3","2","2","","","","2","","","1","3","3","","3","","5","8","3","21","13","2","3","","","1","4","16","29","7","13","14","9","17","4","52","183","702, 10679","163","4","","1","","7","9","","","","","","","","","","2","","","","7","","","2","400","1","","","5","1","1","","","1","","","","","1","3","","","1","","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
1580,NA,NA,284,"1.3","","14","3","9","16","21","","1","","","","1","1","","3","","","4","5","3","2","1","1","18","21","","7","14","","9","6","1","6","16","31","34","10","28","15","7","30","48","191","517","920, 10679","98","8","1","8","5","44","12","1","","","","","","5","","1","","","","","","","","","","","","","1","","1","","","1","","","","","","1","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","",""
1658,NA,NA,292,"2.1","2","6","3","5","2","9","2","","8","1","","","1","","3","","","1","7","","1","10","","3","7","2","4","5","","9","3","","5","8","16","22","4","4","4","15","9","21","86","344","333, 21358","168","5","","2","","7","2","","2","1","","","","3","","2","","","","2","","","","1","","","1","","3","2","3","","","7","","","","","","","","","2","","","","","","","","","1","","","","","3","","","","","1","","","","","","","","","","","","","","","","","","",""
1742,NA,NA,300,"1.5","2","4","","1","12","11","","","1","","1","","1","2","2","","","3","2","","1","","","3","9","5","3","12","1","5","4","","1","9","13","16","7","13","10","2","16","11","80","401","347, 21358","91","8","6","2","3","35","6","","","","","","","2","","","1","","","","","","","1","","","","","1","","","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","",""
1931,NA,NA,316,"1.7","1","5","2","2","5","2","","","2","","","","","1","","","","","1","1","","","","2","9","1","3","7","1","13","","","1","2","5","4","1","15","2","4","8","11","45","438","151, 21358","81","2","","1","2","20","3","","2","","","","","3","","","1","","","","","","","2","","","","","3","","","","","7","","","","","","","","","7","","","","","","","","","1","","","2","","","","1","","","","","","","","","","","","","1","","1","","1","","","","",""
2119,NA,NA,330,"2.2","","3","","","6","3","","1","1","1","1","","","1","1","","","","1","1","1","","","4","10","5","","2","2","8","2","","2","4","10","23","2","10","7","2","14","14","45","478","79, 21358","160","4","1","1","","8","1","1","","","","","","3","","1","","","","","","","","","","","","","10","1","","","","5","","","","","1","2","1","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2236,NA,NA,338,"1.3","","2","5","4","","5","1","","5","","","","","","1","","","","3","1","3","13","1","2","16","1","1","1","","7","1","","","6","19","17","","15","5","5","12","21","45","367","172, 10967","483","12","3","","","7","3","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2357,NA,NA,346,"1.8","","4","","2","2","6","","","","1","4","1","1","3","1","","","1","1","4","4","","1","4","2","1","3","3","","5","2","3","4","3","24","8","1","14","7","5","6","17","35","342","438, 21358","129","","1","4","2","5","","1","","","","","","1","","2","","","","","","","","","","","1","","4","1","","","","4","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
2616,NA,NA,362,"2","","5","4","3","8","4","","2","","","2","","1","","","","","","","2","4","","","3","7","5","2","1","","8","","","2","","6","20","2","12","10","1","11","14","43","402","356, 21358","140","2","3","3","2","13","3","2","","","","","","4","","2","1","","","","","","","1","","1","","","3","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","",""
2683,NA,NA,366,"1.8","","5","3","1","17","4","","","1","1","","","1","1","","","","1","","2","","","1","1","6","5","1","3","1","5","","2","12","1","11","15","5","4","11","8","14","21","37","393","180, 21358","38","8","2","3","","18","","","","","","","","2","","1","1","","","2","","","","2","","","","","","","","","","6","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","1","","1","","","","","","","","","","","1","1","1","","",""
2821,NA,NA,374,"2","","2","3","","11","3","","","3","1","1","","1","","","","","","1","2","2","1","","2","18","2","","7","","10","","2","6","1","14","6","3","19","18","3","30","23","35","368","91, 21358","74","7","4","","1","9","","2","","","","","","2","","1","1","","","","","","","2","","1","","","","","","","","4","","","","","1","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
3108,NA,NA,390,"2","","1","","1","7","3","","1","1","","","","","1","","1","","","2","5","2","","1","2","17","","2","1","2","11","","3","9","","13","8","","19","16","5","17","17","65","368","120, 21358","321","4","5","","","17","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","3","","","","","","","","","2","4","","","","","","","","3","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","","1","",""
3256,NA,NA,398,"1.2","","3","1","","1","","","","","3","1","","1","","1","","","3","5","","1","10","","2","1","8","4","3","","3","3","1","2","4","4","9","1","14","9","2","5","13","36","136","173, 21358","223","","1","","3","6","1","","","","","","","","","1","","1","","","","","","1","","","","","2","","1","","","2","","","","","","","","","4","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3405,NA,NA,406,"2","1","6","","2","39","2","","1","2","2","2","","1","1","2","","","","3","6","3","2","","1","7","5","6","7","5","2","","2","","9","4","23","3","30","28","1","22","47","86","323","653, 21358","369","3","2","2","1","25","1","","2","","","","","3","","1","1","","","","1","","","6","","1","1","","4","2","1","","","2","","","","","","","1","","","1","1","","","","1","","","7","","","1","","1","1","1","","1","","2","","1","","","","","","","","","","","","","","","1","1"
3557,NA,NA,414,"1.8","","8","","4","","10","","","","","4","2","","1","","","","2","2","","3","17","","4","9","3","5","9","1","11","4","2","6","5","5","29","4","30","8","11","13","32","61","339","358, 21358","78","5","1","","6","19","","","1","","","","","1","","1","1","1","","","","","","","","","","","1","4","","","","8","","","","","","","","","2","","2","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
3711,NA,NA,422,"2","","1","","1","17","1","","","","1","1","","1","1","1","1","","1","1","5","","","3","3","14","6","","7","","6","1","4","1","9","8","20","1","27","16","","18","36","63","373","248, 21358","234","5","1","1","","15","","2","","","","","","1","","","","","","","","","","4","1","","","","","","","1","","2","","","","","","1","1","","","","","1","","","1","","","2","","1","1","","1","","","","1","","","","","","","","","","1","1","","1","","","","","","",""
4019,NA,NA,438,"2","1","1","1","","21","2","","1","","1","","","1","2","3","","","","1","4","1","","","4","29","1","","7","","6","3","1","","1","3","8","3","15","13","3","18","39","62","361","140, 21358","139","3","1","1","","4","1","3","","","","","","2","","1","1","","","","","","","2","","4","","","2","","","","","5","","","","","","1","2","","","","3","","","","","","","5","","","2","","","","","2","","","","","","","","","","","","1","","","","","","1","","",""
4329,NA,NA,454,"2","1","4","1","1","20","4","1","","","2","","","1","2","2","1","","1","","6","","","","3","33","5","1","3","1","12","3","2","4","9","3","19","4","13","55","5","6","55","56","323","192, 21358","153","3","2","","2","2","4","1","1","","","","","","","","1","","","","","","","1","1","1","","","8","","","1","","11","","","","","","1","","","","","2","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
4635,NA,NA,470,"2","1","","","1","5","5","","","","3","2","","2","2","1","1","","3","","5","2","","","","15","8","5","2","","5","","","","7","5","7","","9","24","3","23","36","35","279","423, 21358","86","2","1","","2","9","2","","","","","","","3","","1","","","","","","","","6","5","2","","","1","","1","1","","5","","","","","1","","","1","1","2","4","","","","1","","","2","","1","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","1"
