"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Xanthium","Juglans","Plantago media-type","Centaurea solstitialis-type","Matricaria-type","Rumex hydrolapathum","Loranthus europaeus","Poterium sanguisorba","Pteridium","Juniperus","Helianthemum","Carpinus betulus","Poaceae (Cerealia-type)","Olea","Dryopteris-type","Isoëtes","Picea","Pistacia","Unknown","Amaranthaceae","Humulus/Cannabis","Corylus","Plantago lanceolata-type","Plantago maritima-type","Cyperaceae","Platanus","Sparganium-type","Ulmus","Artemisia vulgaris-type","Alnus","Ericaceae","Fagus","Quercus coccifera-type","Pinus","Poaceae","Ostrya/Carpinus orientalis","Quercus cerris-type","Typha latifolia","Fabaceae","Asteroideae","Stachys-type","Rumex acetosa-type","Ephedra fragilis-type","Fraxinus excelsior","Hypericum perforatum-type","Phillyrea latifolia","Equisetum","Hymenophyllum","Polygonum aviculare-type","Scrophularia/Verbascum","Fraxinus ornus","Asplenium","Vitis","Abies","Allium","Fagopyrum","Gentiana","Galium-type","Filipendula","Cistus","Ranunculus acris-type","Brassica-type","Cichorioideae","Apiaceae","Acer","Urtica","Lysimachia","Persicaria maculosa-type","Myriophyllum spicatum/M. verticillatum","Mercurialis annua","Nymphoides peltata","Caryophyllaceae","Artemisia herba-alba-type","Castanea","Thalictrum","Rosaceae","Lotus-type","Capsella-type","Noaea-type","Ranunculus sceleratus-type","Geranium","Eryngium-type","Filago-type","Tilia","Plantago major-type","Papaver","Morus","Potamogeton","Linum","Rhinanthus-type","Carduus-type","Plantago coronopus-type","Zea mays","Populus","Senecio-type","Tamarix","Trollius","Lobelia","Crocus","Taxus","Liliaceae","Malva","Thymus/Mentha","Ranunculus undiff.","Campanula-type","Solanum dulcamara","Viburnum-type","Anagallis","Bunium-type","Pimpinella-type","Rumex subg. Emex","Thelypteris palustris","Convolvulus","Delphinium-type","Asphodelus","Polypodium","Buxus","Euphorbia","Solanum nigrum","Lomelosia rotata-type","Ophioglossum","Rhamnaceae","Nymphaea","Cladium mariscus","Hedera","Clematis-type","Vicia-type","Nigella","Centaurea cyanus-type","Cirsium/Gundelia","Cornus mas","Spergularia-type","Cousinia","Hedysarum/Ebenus","Arceuthobium oxycedri","Pediastrum","Sambucus nigra-type","Echium-type","Heliotropium-type"
NA,NA,NA,480,NA,8,NA,3,17,2,NA,NA,1,4,7,10,NA,4,2,5,NA,1,NA,1,23,3,2,3,4,NA,17,4,6,NA,2,26,28,10,75,4,61,20,127,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,3,NA,NA,1,3,1,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,NA,NA,3,6,5,1,NA,NA,2,13,16,1,7,11,13,NA,2,1,2,12,5,4,4,9,2,8,9,4,2,12,9,23,20,61,25,69,46,117,NA,1,1,1,8,1,NA,NA,NA,1,NA,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,1,NA,NA,8,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,2,NA,3,1,10,NA,NA,NA,NA,1,19,5,NA,9,16,3,1,2,2,NA,10,10,9,6,5,2,33,19,10,3,22,24,37,42,51,90,99,58,228,NA,NA,NA,NA,5,NA,2,NA,1,NA,NA,6,1,2,2,2,1,NA,NA,NA,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,340,NA,2,1,5,6,2,1,1,NA,1,19,1,NA,4,17,3,2,2,1,NA,7,11,2,4,6,NA,24,15,4,3,7,15,42,70,62,59,158,56,239,2,NA,2,NA,6,NA,1,NA,1,NA,NA,2,NA,4,1,1,3,1,NA,NA,1,NA,1,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,NA,2,1,3,17,1,1,NA,NA,NA,10,32,NA,3,19,6,NA,3,NA,3,15,17,8,13,18,1,23,19,11,2,14,11,35,41,101,31,108,53,166,NA,3,NA,NA,8,1,NA,NA,2,NA,NA,4,NA,13,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,3,2,3,9,2,3,NA,NA,1,12,25,NA,1,10,11,NA,2,NA,2,7,19,5,4,12,1,19,12,6,3,8,5,15,19,46,27,103,23,73,NA,2,NA,1,6,NA,NA,NA,NA,NA,NA,8,NA,6,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,4,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,580,4,1,1,2,7,2,1,NA,NA,4,24,16,1,5,9,6,2,2,1,1,2,4,1,10,2,2,6,3,17,6,10,39,16,22,74,9,57,47,220,NA,NA,NA,NA,11,NA,1,NA,1,NA,NA,10,2,6,NA,5,NA,NA,NA,NA,1,NA,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,1,1,NA,2,10,2,1,1,NA,6,9,1,NA,14,10,7,NA,3,2,1,14,2,3,12,4,2,25,19,7,2,26,34,19,38,39,119,125,68,379,2,NA,NA,NA,6,NA,1,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,1,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,420,2,2,NA,NA,4,1,NA,NA,2,1,7,4,1,26,1,4,1,2,4,1,2,7,1,15,7,1,13,6,16,28,18,70,45,73,81,164,142,223,809,4,NA,NA,NA,7,2,1,NA,1,NA,NA,2,NA,7,1,9,3,NA,NA,NA,NA,1,1,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,320,NA,NA,1,5,10,4,2,NA,1,2,7,12,2,4,30,8,1,4,NA,2,11,12,4,18,22,3,20,10,6,6,10,11,41,34,92,72,131,63,196,NA,NA,5,1,7,NA,NA,NA,1,NA,NA,5,1,1,2,3,NA,NA,NA,NA,3,NA,NA,NA,2,6,2,NA,NA,NA,NA,8,NA,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,258,1,NA,1,7,11,2,3,1,NA,1,23,7,NA,2,11,8,1,2,1,1,4,4,1,5,10,5,23,10,4,NA,23,6,18,20,44,48,89,49,114,NA,1,1,NA,4,NA,NA,NA,2,NA,NA,8,1,5,NA,3,1,NA,NA,NA,NA,NA,1,NA,1,5,2,NA,NA,NA,NA,2,NA,NA,3,NA,1,NA,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,300,2,2,NA,1,3,2,2,NA,NA,3,2,6,1,2,12,7,1,NA,2,4,3,8,4,6,12,2,21,12,8,5,23,11,29,32,78,21,127,40,119,NA,NA,NA,NA,6,NA,NA,NA,2,1,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,5,1,NA,1,1,NA,2,NA,NA,2,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA
NA,NA,NA,100,NA,3,3,1,3,4,4,NA,NA,3,10,46,1,1,20,13,3,4,1,3,16,10,12,5,9,7,36,27,10,4,2,5,35,26,93,49,168,30,40,NA,2,1,NA,16,NA,NA,NA,4,4,NA,18,NA,3,3,1,1,NA,NA,NA,1,NA,1,1,1,17,3,NA,2,NA,NA,1,NA,NA,3,11,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,2
