depth,age MA BP,Indigofera*,Entada*,Olea capensis,Justicia flava*,Rhus* natalense,Pteridophyte trilete,Ilex mitis,Hymenodictyon floribundum,Celastraceae,Hallea* rubrostipulata,Dombeya*,Allophylus,Shirakia* elliptica,Maerua*,Fabaceae,Tamarindus,Apiaceae,Vernonieae,Justicia* odora,Alchemilla,Commiphora africana,Podocarpus,Cornulacca,Artemisia,Ericaceae,Thymeleaceae,Combretaceae,Erhetia,Acacia III,Cyperaceae,Aphania* senegalensis,Lannea*,Monocotyledonae,Prunus africana,Nyctaginaceae,Euphorbia,Acanthaceae,Poaceae,Ekebergia*,Aerva* lanata,Acanthus*,Typha,Rubiaceae,Helioptropium steudneri*,Moraceae,Croton*,Rhamnaceae,Pteridophyte trilete botrychium,Acacia I,Balanites aegyptiaca*,Achyranthes* aspera,Hirpicium*,Asteraceae cichoriae,Phyllanthus* amarus,Nuxia/Dobera,Sterculia,Digera muricata,Faidherbia albida,Cyphostemma*,Onagraceae,Myrtaceae,Ficus,Borassus* includes Hyphaene,Capparis fascicularis*,Sapindaceae,Solanum,Barleria,Albizia,Cruciferae,Syzygium guineense,Tribulus,Olea europaea ssp. africana,Alchornea,Celosia* trigyna,Abutilon*,Cissus* quadrangularis,Cyathula* orthocantha,Chrystiana africana,Acalypha,Sapotaceae,Clematis,Suada* monoïca,Paronychia*,Amaranthaceae,Pistacia,Bridelia ferruginea,Plantago lanceolata,Diospyros,Celtis,Caucanthus,Laurembergia,Commelina* benghalensis,Ipomoea*,Macaranga,Trichilia,Hypoestes*,Convolvulus*,Justicia* anselliana,Euclea,Rhizophora,Asteraceae tubuliflorae,Aloe*,Zanthoxylum* usambarense,Pentadesma,Pteridophyte monolete,Asystasia,Buxus hildebrandtii,Tamarix,Plantago africana*,Hymenocardia,Polycarpaea*,Juniperus procera,Chenopodium,Stoebe kilimandscharica,Dodonaea viscosa,Phoenix reclinata,Not determined,Salvadora* persica,Lantana* ukambensis,Anthospermum,Loranthaceae,Vepris* nobilis,Boscia*,Anthocerotaceae,Pavetta,Rumex,Dichrostachys cinerea,Delonix elata,Ephedra,Anogeissus,Hagenia abyssinica,Polygala*,Myrica,Pteridophyte Lygodium,Tiliaceae,Cassia didymobotrya,Pinus,Urticaceae,Mallotus* oppositifolius,Carduus*,Centaurea*
144.02,3.014298578,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146.52,3.071763033,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,22,0,0,1,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,3.174739336,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,2,1,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
152.51,3.209447867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.86,3.240478673,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.97,3.380921801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161.05,3.405653266,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.53,3.439120603,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,1,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164.02,3.47281407,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,1,0,38,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
169.88,3.591256281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,62,1,0,0,0,0,1,0,45,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
