"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago major","Salix","Ulmus","Apiaceae","Pistacia","Carpinus betulus","Amaranthaceae-type","Cichorioideae","Asteroideae","Fraxinus ornus","Rumex","Plantago lanceolata-type","Phillyrea","Spermatophyta undiff. (cf. upland herbs)","Unknown","Fagus","Artemisia","Ostrya-type","Silenoideae-type","Olea","Abies","Centaurea","Quercus","Poaceae","Pinus","Cyperaceae","Spike","Alnus","Polygonum","Tracheophyta undiff. (aquatic plants)","Juniperus","Corylus avellana","Tilia","Rubiaceae","Acer","Ephedra","Sarcopoterium-type","Fraxinus excelsior"
7474,NA,NA,1108,5,10,NA,NA,3,NA,3,NA,3,5,2,NA,3,5,17,NA,NA,37,1,NA,94,NA,58,28,72,7,120,4,1,4,NA,2,2,NA,9,NA,NA,NA
7729,NA,NA,1116,NA,6,19,2,NA,NA,NA,NA,1,10,2,2,5,6,3,NA,1,44,NA,NA,91,NA,104,45,105,8,78,3,NA,13,NA,1,15,NA,2,1,1,5
7984,NA,NA,1124,1,5,12,2,NA,1,4,1,1,NA,1,1,7,4,19,1,1,7,NA,NA,21,NA,53,17,52,8,56,1,NA,8,NA,11,8,1,NA,NA,NA,NA
8495,NA,NA,1140,NA,6,8,2,NA,NA,3,1,1,NA,4,NA,6,2,11,NA,2,8,NA,NA,33,1,71,35,46,12,53,6,1,6,NA,13,11,1,4,NA,NA,NA
9006,NA,NA,1156,NA,NA,7,1,1,NA,NA,NA,3,NA,5,NA,7,NA,13,1,NA,3,1,NA,9,NA,59,20,39,10,43,1,NA,2,1,5,3,NA,3,NA,1,NA
9261,NA,NA,1164,NA,2,9,3,NA,NA,NA,NA,1,2,9,2,2,3,32,1,3,2,NA,NA,8,NA,73,51,76,5,187,4,NA,5,2,11,NA,1,NA,NA,1,NA
9517,NA,NA,1172,NA,1,7,1,1,NA,2,1,2,1,7,2,10,1,8,2,1,2,1,NA,8,NA,113,68,61,9,123,1,1,14,NA,4,5,1,NA,NA,9,NA
9772,NA,NA,1180,4,1,1,NA,3,NA,4,NA,1,NA,3,NA,1,1,6,NA,NA,2,2,1,15,NA,102,34,79,6,NA,NA,NA,4,1,7,NA,NA,1,1,2,NA
10027,NA,NA,1188,NA,15,14,3,NA,1,3,1,6,1,5,1,NA,8,13,NA,4,5,NA,NA,8,1,93,50,90,17,197,1,1,22,3,5,2,NA,5,1,15,3
10283,NA,NA,1196,NA,7,7,10,NA,NA,14,3,6,2,20,NA,8,6,7,NA,10,5,2,NA,6,NA,133,117,50,3,114,2,1,6,NA,5,NA,2,1,2,NA,NA
11013,NA,NA,1212,NA,10,1,24,NA,NA,17,11,11,NA,12,2,NA,5,62,NA,12,1,6,NA,4,1,48,88,58,4,208,3,NA,22,1,1,1,12,1,1,NA,NA
11414,NA,NA,1220,NA,NA,NA,6,NA,1,6,NA,2,NA,5,1,NA,1,12,1,7,4,1,NA,2,1,50,41,18,6,61,1,NA,4,NA,1,NA,1,NA,NA,1,NA
11816,NA,NA,1228,NA,4,NA,10,NA,NA,17,4,5,NA,8,NA,NA,9,6,NA,2,5,2,NA,NA,NA,64,82,39,15,152,1,NA,48,NA,1,1,1,NA,2,1,NA
12217,NA,NA,1236,1,NA,NA,4,NA,NA,18,1,6,NA,1,2,NA,2,4,NA,57,3,7,NA,2,5,15,65,34,28,63,NA,1,2,NA,1,NA,1,NA,NA,NA,NA
12418,NA,NA,1240,NA,1,NA,5,NA,NA,15,5,12,NA,8,NA,NA,NA,21,NA,51,2,3,NA,2,2,18,92,74,18,159,1,NA,NA,3,2,1,2,NA,1,NA,NA
12619,NA,NA,1244,NA,NA,3,11,NA,NA,32,9,12,NA,3,NA,NA,1,16,NA,89,3,10,NA,9,NA,25,97,84,14,182,4,NA,NA,3,1,1,4,NA,1,NA,NA
