"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Alnus","Plantago lanceolata-type","Rumex acetosa-type","Senecio-type","Cedrus","Centaurea solstitialis-type","Polypodium","Apiaceae","Poaceae","Juniperus","Quercus coccifera-type","Fagus","Dryopteris-type","Unknown","Cyperaceae","Artemisia herba-alba-type","Quercus robur-type","Amaranthaceae","Pinus","Crassulaceae","Asteroideae","Rosaceae","Potamogeton","Carpinus betulus","Capsella-type","Centaurea jacea-type","Polygonum cognatum-type","Abies","Carduus-type","Pteridium","Juglans","Helianthemum","Picea","Galium-type","Noaea-type","Armeria/Limonium","Caryophyllaceae","Liliaceae","Pistacia","Poaceae (Cerealia-type)","Centaurea cyanus-type","Matricaria-type","Urtica dioica-type","Pseudopediastrum boryanum","Plumbaginaceae","Cichorioideae","Spergula-type","Cuscuta","Humulus/Cannabis","Plantago coronopus-type","Echium-type","Fumaria","Fabaceae","Inula-type","Sanguisorba-type","Thymus/Mentha","Sparganium-type","Hippuris","Typha latifolia","Vitis","Convolvulus","Hippophaë","Ranunculus asiaticus-type","Equisetum","Castanea","Ulmus","Xanthium","Ostrya/Carpinus orientalis","Cotinus coggygria","Ophioglossum","Plantago maritima-type","Polygonum aviculare-type","Lysimachia","Olea","Arctium/Jurinea","Plantago tenuiflora-type","Nitraria","Cirsium/Gundelia","Scorzonera-type","Platanus","Brassicaceae","Plantaginaceae","Centaurea scabiosa-type","Halothamnus-type","Filago-type","Anisosciadium-type","Glaux","Brassica-type","Teucrium","Ephedra fragilis-type","Cynoglossum-type","Solanum nigrum","Aquilegia-type","Scilla-type","Pteropyrum","Lomelosia rotata-type","Corylus","Ericaceae","Euphorbia","Salix","Fraxinus excelsior","Hypericum perforatum-type","Rumex hydrolapathum","Ranunculus sceleratus-type","Onopordum-type","Potentilla-type","Scrophulariaceae","Sisyrinchium","Myriophyllum spicatum/M. verticillatum","Dipsacus-type","Triglochin","Delphinium-type","Turgenia-type","Herniaria-type","Campanula-type","Scrophularia/Verbascum","Hypericum hirtellum var. assyriacum-type","Trifolium-type","Isoëtes","Rhamnaceae","Eryngium-type","Plantago media-type","Anchusa/Pulmonaria","Mercurialis annua","Asperula-type","Sphagnum","Plantago ovata-type","Geranium","Persicaria maculosa-type","Rhinanthus-type","Bunium-type","Acanthus","Thalictrum","Ephedra distachya-type","Matthiola","Trapa natans","Urtica pilulifera-type","Ranunculus acris","Datisca","Fraxinus ornus","Bupleurum-type","Symphytum-type","Littorella-type","Pimpinella-type","Hammada-type","Filipendula","Ranunculus sect. Batrachium-type","Tamarix","Malabaila","Hedysarum/Ebenus","Veronica","Valeriana","Populus","Rumex patientia-type","Vicia-type","Lotus-type","Viburnum-type","Ranunculus arvensis-type","Onobrychis-type","Sideritis"
NA,NA,NA,130,1,5,NA,1,4,1,2,NA,1,342,5,6,11,NA,2,1696,23,43,79,226,NA,NA,1,NA,9,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,NA,NA,5,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,1,4,1,499,3,4,NA,NA,28,10,2,2,NA,5,604,25,24,11,299,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,1,5,NA,1,NA,6,NA,NA,NA,3,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,330,2,NA,2,2,2,NA,8,NA,2,52,2,NA,NA,NA,11,82,11,8,10,102,NA,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,2,NA,3,NA,NA,NA,25,NA,1,NA,1,NA,NA,7,NA,2,2,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,280,1,NA,NA,NA,3,NA,2,NA,1,66,3,1,3,NA,4,274,14,5,14,77,NA,3,NA,NA,2,1,NA,NA,1,NA,NA,2,1,NA,1,NA,NA,2,NA,1,1,NA,1,NA,1,1,3,NA,1,NA,6,NA,NA,NA,NA,5,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,NA,3,3,3,2,1,4,NA,2,32,1,NA,10,NA,22,34,25,14,3,60,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,10,2,20,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,NA,1,13,1,NA,NA,9,NA,2,63,NA,NA,NA,2,24,31,14,13,11,157,NA,13,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,6,1,NA,3,NA,1,NA,1,NA,45,NA,NA,NA,NA,NA,NA,6,NA,6,3,1,NA,NA,NA,1,NA,1,NA,NA,2,NA,3,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,NA,1,3,2,2,1,6,NA,2,42,2,2,NA,NA,18,5,13,8,3,113,1,7,NA,NA,1,1,NA,NA,NA,3,4,NA,1,NA,4,NA,NA,8,NA,NA,8,NA,12,NA,NA,NA,8,NA,1,NA,3,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,1,NA,2,4,NA,1,5,NA,1,38,NA,NA,1,1,27,18,20,3,22,236,NA,14,1,1,NA,NA,NA,1,NA,5,2,NA,NA,NA,8,NA,NA,6,NA,NA,28,NA,10,NA,1,NA,7,1,NA,NA,4,NA,NA,3,3,10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,1,1,NA,NA,4,10,NA,3,98,2,1,10,NA,8,147,54,19,324,263,NA,6,NA,1,5,NA,NA,NA,NA,2,NA,NA,2,2,3,NA,6,4,NA,NA,9,3,5,NA,NA,NA,9,NA,NA,NA,4,NA,NA,2,NA,4,1,1,NA,NA,NA,NA,1,3,1,1,NA,NA,3,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,362,NA,NA,5,2,10,2,5,NA,2,170,11,1,4,NA,21,104,57,34,38,188,NA,7,NA,NA,3,1,2,NA,1,1,1,3,NA,NA,5,NA,NA,2,NA,NA,4,NA,6,NA,NA,NA,3,NA,NA,3,12,NA,NA,NA,NA,4,5,70,NA,NA,2,NA,NA,NA,NA,4,NA,NA,1,NA,NA,11,1,NA,9,NA,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,290,1,7,4,3,2,NA,3,NA,4,121,7,1,15,1,6,465,52,24,3,91,NA,2,3,NA,5,1,1,2,1,NA,NA,1,NA,NA,6,NA,NA,NA,NA,1,5,1,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,5,NA,86,NA,NA,NA,NA,1,NA,1,1,1,NA,2,NA,NA,4,1,NA,6,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90,4,6,12,1,4,2,NA,NA,4,419,9,4,4,NA,11,31,72,57,15,194,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,15,NA,27,NA,1,4,NA,NA,1,1,16,NA,NA,NA,2,NA,1,NA,18,NA,NA,NA,NA,8,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,NA,NA,6,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,2,2,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,2,3,3,4,3,NA,4,NA,6,118,7,NA,4,1,27,29,35,22,8,111,NA,12,NA,NA,4,2,NA,1,2,NA,NA,NA,NA,NA,15,NA,NA,5,NA,2,4,2,13,NA,NA,NA,19,1,NA,NA,9,1,NA,5,5,12,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,7,1,7,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,5,NA,NA,4,4,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,350,2,2,7,5,11,2,2,NA,2,219,11,NA,13,NA,10,170,52,37,26,171,NA,3,NA,NA,4,3,1,NA,NA,NA,1,5,1,NA,7,NA,2,1,NA,1,8,NA,17,NA,NA,NA,9,1,NA,3,5,NA,NA,NA,NA,10,3,103,NA,NA,3,NA,NA,NA,1,4,NA,NA,3,NA,NA,11,NA,NA,10,NA,6,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2
