depth,Sample ID ,Median Calibrated Age (cal yr BP),Abies,Allophylus,Balanites,Boswellia sacra,Boscia/Cadaba-type,Catha,Celtis,Combretaceae,Commiphora,Delonix,Dodonaea,Ericaceae undiff.,Ficus,Flacourtia,Juniperus,Klainanthus,Klaineanthus-type,Lannea,Lepisanthes,Macaranga,Maerua,Mallotus,Maytenus,Musanga,Olea capensis,Olea africana,Ormocarpum,Pinus,Podocarpus,Prosopis,Prunus,Rhus,Salvadora persica,Tamarindus,Tamarix,Tetrorchidium,Trema,Quercus,Ziziphus,Senegalia I,Senegalia II (gemmate),Senegalia III (reticulate),Capparis,Ephedra,Maesa,Tapinanthus,Abutilon/Pavonia,Acalypha,Acanthaceae-type,Aeschynomene,Aizoaceae- small type,Alchemilla,Aloe,Amaranthaceae,Apiaceae,Apocynaceae,Asclepiadaceae,Asteraceae ,Barleria,Bosquia (3P),Brassicaceae,Capparaceae undiff,Cassia,Cissus,Crotolaria,Croton,Desmodium-type,Euphorbia ,Fabaceae undiff.,Fagonia,Hypericum,Indigofera,Justicia,Lamiaceae (3c),Lamiaceae (6c),Limonium,Kickxia/Acridocarpus ,Merremia,Pavonia,Pimpinella-type,Polygala,Polygonum,Reseda,Rutaceae,Salsola,Sapindaceae-type,Solanum,Tephrosia,Zygophyllum,Cocculus pendulus,Anticharis,Blepharis,Boerhavia erecta,Celosia,Centaurea,Cleome,Commelina,Corchorus,Grass,Heliotropium,Impatiens,Kohautia,Linaria,Lotus,Phyllanthus materspatensis,Phyllanthus rivae-type,Plantago,Polycarpon-type (Reseda),Polycarpon-type 2,Portulaca,Pupalia,Striga,Tribulus,Ricinus,Commicarpus,Convolvulus,Cucurbitaceae,Cyperaceae,Hyphaene,Phoenix ,Monoletes ,Triletes,Broken,Unknown,Unidentifiable,All Total,Typha,Contaminant,Charcoal,total spike,volume,1as,2as,3as,4as,5as,6as,8as,Large 1as,Large 3as,poly,echinate,large echinate,polyechinate ,parasite egg,spormiella 
ASOM 18 WP155-2B,ASOM 18 WP155-2B,529,0,0,3,0,10,0,0,11,0,0,0,0,3,2,0,0,2,0,0,3,7,0,2,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,1,0,1,1,0,34,0,0,0,2,0,0,1,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,15,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,29,1,0,262,0,857,2857,9666,45,78,0,0,0,0,0,0,8,0,0,2,0,2,0,0
38-3a 4-6,38-3a 4-6,665,0,0,0,3,83,0,0,7,1,0,4,2,1,0,0,2,0,0,0,0,8,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,4,47,0,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,0,8,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29,0,2,0,0,0,18,0,0,48,14,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,369,0,1019,26,9666,45,4,0,0,0,0,0,0,6,0,0,0,0,0,3,2
ASOM 18 WP146,ASOM 18 WP146,706,0,0,10,15,5,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,8,3,0,0,35,0,0,0,0,0,1,0,8,0,0,33,0,0,0,18,1,0,12,0,0,0,0,0,1,3,0,0,0,7,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,46,6,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,36,0,0,334,0,351,2600,9666,45,116,0,1,0,0,0,0,16,0,1,11,2,9,3,0
WP50-2 0.5-2,WP50-2 0.5-2,853,0,0,0,6,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,0,2,15,0,0,2,0,0,0,0,0,0,0,97,0,0,0,14,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,3,1,5,0,0,22,7,0,100,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,14,0,0,0,0,0,0,0,368,0,132,9,9666,45,40,0,0,0,0,0,0,7,0,0,0,0,0,10,1
ASOM 18 WP155-2C,ASOM 18 WP155-2C,1403,0,0,0,2,4,0,0,14,1,0,0,0,11,1,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,4,0,0,6,7,0,0,0,0,1,0,0,0,2,0,38,0,0,0,0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,108,0,0,0,0,0,0,0,2,18,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,26,4,0,328,0,1200,3200,9666,45,106,1,0,0,0,0,0,7,0,0,4,0,0,0,1
WP38-2 B,WP38-2 B,1461,0,0,0,0,0,0,0,3,36,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,15,0,5,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,81,0,0,0,3,0,0,0,0,11,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,71,0,0,0,0,3,3,0,318,0,9354,74,9666,45,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0
ASOM 18 WP147-1,ASOM 18 WP147-1,1466,0,0,16,9,9,4,0,8,0,0,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,7,7,0,0,6,0,0,0,0,2,0,0,0,4,0,29,3,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,0,0,25,6,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,18,0,0,422,0,202,304,9666,45,32,0,1,1,0,0,0,14,0,5,11,0,0,1,0
WP50-3a 7-9,WP50-3a 7-9,1522,0,0,0,35,0,0,0,3,21,0,2,0,9,0,0,0,0,0,0,0,19,0,5,0,1,4,0,0,1,0,0,0,20,0,0,0,0,0,0,15,0,6,4,0,1,2,0,0,0,0,0,0,0,24,0,0,0,12,0,0,8,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,3,0,9,0,0,23,2,0,118,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,15,0,0,0,0,0,0,0,389,0,783,200,9666,45,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1
ASOM 18 WP138,ASOM 18 WP138,1566,0,0,0,7,11,5,0,11,2,0,0,0,10,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,6,0,2,4,0,0,3,0,0,2,0,8,0,0,52,1,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,75,0,0,0,0,0,4,0,0,26,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,2,0,381,0,145,172,9666,45,27,1,1,1,0,0,1,2,0,3,1,0,0,0,0
WP151,WP151,1574,0,0,0,42,12,3,0,9,3,0,0,0,44,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,7,20,0,0,13,0,0,2,0,0,1,0,0,0,0,28,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,31,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,3,12,0,10,339,0,280,1037,9666,45,119,1,0,1,0,0,0,3,0,0,1,0,0,0,0
ASOM 18 WP145-4,ASOM 18 WP145-4,1638,0,1,6,58,10,1,0,6,2,0,0,0,7,0,0,0,0,0,0,0,12,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,22,1,0,0,0,0,7,0,1,0,0,46,1,0,0,10,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,39,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,0,0,364,0,419,1746,9666,45,84,2,2,2,0,0,0,24,1,2,19,1,0,17,0
ASOM 18 WP111-2E,ASOM 18 WP111-2E,1651,0,0,1,3,7,0,0,7,0,0,0,1,66,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,12,0,5,0,1,0,1,0,0,4,0,0,0,0,21,0,0,0,8,0,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,89,0,0,0,0,0,1,0,0,35,6,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,3,6,24,0,0,352,0,498,940,9666,45,95,5,0,0,0,0,0,0,0,0,5,0,0,0,0
ASOM 18 WP155-D,ASOM 18 WP155-D,2920,0,0,0,2,4,0,0,9,1,0,0,0,13,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,0,2,5,0,3,8,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,22,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,23,0,0,264,0,722,969,9666,45,92,1,0,0,0,0,0,6,0,0,2,0,0,1,2
ASOM 18 WP103-2c,ASOM 18 WP103-2c,3103,0,0,0,8,19,0,0,139,7,0,1,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,56,0,1,0,4,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,10,0,0,39,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,32,4,31,446,0,28,700,9666,45,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASOM 18 WP149-2,ASOM 18 WP149-2,3233,0,0,0,34,2,2,0,2,0,0,0,0,58,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,16,0,0,186,0,438,368,9666,45,30,0,1,0,0,0,0,1,0,0,1,0,0,8,0
155-F,155-F,4038,0,0,0,10,28,0,0,9,0,0,1,0,14,1,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,7,6,2,6,16,0,0,1,0,0,0,0,0,3,0,26,0,0,0,10,0,0,0,0,2,0,0,0,0,11,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,50,0,0,0,0,0,0,0,0,18,9,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,10,0,0,300,0,150,208,9666,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
