sample_name,depth,Trinovantedinium applanatum,Arthropod,Botryococcus,Operculodinium centrocarpum,Euclea,Pinus,Suaeda,Triletes undiff.,Euphorbia-type,Echinidinium delicatum,Dinoflagelate undiff.,Spiniferites ramosus,Spiniferites pachydermus,Amaranthaceae/Chenopodiaceae undiff.,Combretaceae/Melastomataceae undiff.,Asteraceae undiff.,Poaceae undiff.,Tribulus,Achritarch,Schrankia leptocarpa,Aerva-type,Convolvulaceae undiff.,Artemisia,Spiniferites undiff,Olea europaea-type,Foraminifera,Unknown,Fungal spores,Tuberculodinium vancampoae,Acacia,Selenopemphix quanta,Bitectatodinium  spongium,Echinidinium undiff,Acacia ehrenbergiana-type,Operculodinium israelianum,Charbon,Polysphaeridium zoharyi,Dodonaea,Spiniferites bulloideus,Sapotaceae undiff.,Pteridophyta undiff.,Cyperaceae undiff.,undeterminable,Hyphaene-type,Rhizophora,Impagidinium sphaericum,Lingulodinium machaerophorum,Podocarpus,Cornulaca,Spiniferites bentori,Copepod Eggs,Tintinnid,Typha,Dipterygium-type glaucum,Spiniferites mirabilis,Impagidinium paradoxum,Rosaceae undiff.,Commiphora,Trinovantedinium spp.,Echinidinium granulatum,Impagidinium patulum,Cleome-type,Avicennia,Mollugo cerviana-type,Echinidinium aculeatum,Celosia-type,Hypoestes-type,Nematosphaeropsis labyrinthus,Acacia tortilis-type,Blepharis-type,Brassicaceae undiff.,Trinovantedinium capitatum,Zygophyllum,Capparis,Votadinium,Impagidinium aculeatum,Acanthaceae undiff.,Monoletes undiff.,Hagenia abyssinica,Apiaceae undiff.,Myrica,Sapindaceae undiff.,Anacardiaceae undiff.,Tamarix,Solanum-type,Reseda-type,Capparidaceae undiff.,Xylia-type,Echinidinium transparantum,Convolvulus-type,Votadinium calvum,Vitellaria-type paradoxa,Trichilia-type,Cichorieae undiff.,Sclerocephalus arabicus,Rosa abyssinica-type,Blighia,Ataxiodinium choane,Fagonia,Oethe-type,Centaurea-type perrottetii,Lippia-type,Plantago,Ephedra,Asclepiadaceae undiff.,Cassipourea,Monocotyledoneae undiff.,Fabaceae undiff.,Macaranga-type,Juniperus-type procera,Aizoaceae undiff.,Stelladinium robustum,Prunus africana-type,Cadaba-type,Ericaceae undiff.,Pentapharsodinium dalei,Calligonum polygonoides,Rumex,Schefflera abyssinica-type
,145,,1,34,2,,,8,,,,7,175,28,15,,4,34,3,8,,1,,1,30,2,49,0,19,1,,,20,,,,840,37,,18,,3,27,14,,,,,2,12,11,230,26,,,1,,,2,,,,,1,,2,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,,12,38,,,2,22,3,8,,11,67,20,33,5,,66,,9,,5,,3,42,1,31,3,11,4,,,15,,,,304,28,,8,,4,46,22,,,,1,1,19,5,127,22,,,,,,,,,,,,,2,3,,,2,1,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,3,15,64,1,,,8,4,4,1,1,72,33,36,2,,35,3,5,,,,,12,,118,0,15,1,,2,36,,,,874,36,,9,,,32,14,,,,,4,12,19,629,37,,,2,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,,12,42,3,,,7,1,1,,33,39,12,21,,1,30,,17,,9,,,50,4,116,0,20,1,,1,38,,,,787,32,,,,4,24,12,1,,,3,3,6,20,508,22,,,1,,,,,1,1,,,,,,,,,1,,,,2,3,,,1,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,1,2,36,2,,,9,2,2,,1,32,20,25,,2,37,2,3,,1,,,9,,72,3,19,3,,2,21,2,,1,827,24,1,11,,,21,8,,,,1,1,12,3,348,19,,,2,,,,,,,,,1,,2,,1,1,3,,,,1,2,,,,,,,,,,,,,,2,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,12,33,4,,,12,,2,,8,91,16,25,1,1,34,1,8,,,,1,27,1,59,1,25,5,,7,50,,,,341,122,,5,,6,26,14,2,,,,9,9,6,403,28,,1,,,,,,,,,3,,,3,,,2,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,2,7,42,,,,7,,4,,3,12,8,29,,1,33,2,13,,,,,24,,77,3,25,3,,5,22,2,,,1203,98,,7,,2,24,11,,,,,3,10,3,442,21,,2,,,,1,,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,245,2,17,82,4,,,6,,,9,46,50,7,27,1,2,33,4,9,1,2,,6,19,,138,3,8,3,,3,28,,,5,1205,148,,39,,4,65,16,,,,5,5,10,11,414,5,,,,,,,,3,1,,,,,2,,,,1,,,,,3,,,,,,,,4,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,
,255,,8,20,,,,6,,,,2,26,5,36,,2,19,,6,,1,,,7,2,73,1,18,1,,7,21,1,,,1294,102,,8,,5,44,5,,,,,1,12,1,326,13,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,,3,62,,,,4,,2,,16,112,26,17,,2,49,,10,,1,,,38,3,99,3,17,3,,4,33,,,,391,133,,29,,8,50,12,2,,,,2,8,12,631,19,,,,1,,,,,,,2,,,3,,,2,4,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,,5,58,,,,5,2,2,,0,57,31,20,,,24,1,19,1,,,1,21,1,58,3,37,9,,,21,,,,1898,139,,30,,3,39,9,,,,1,2,9,8,503,24,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
,294,,10,71,4,,,13,8,,,40,62,33,19,2,4,63,,13,1,5,,1,56,,59,2,23,7,,1,21,,,1,1073,343,,50,,1,48,13,1,,,5,1,5,27,380,19,,,,,2,2,,2,,,,,,2,,,,,5,,1,,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,301,,5,29,,,,5,2,,,6,59,22,17,2,2,48,1,12,1,,,1,25,1,62,0,35,2,,2,22,1,,,2052,142,,30,,,24,12,1,1,,1,3,8,4,364,15,,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314,,10,48,,,,3,,3,,9,99,18,14,1,2,48,,6,,2,,,33,,47,0,24,2,,7,20,,,,401,73,,36,,1,32,15,,1,,,1,8,14,368,11,,1,,1,,2,,,,,1,,,,,,,2,,,1,1,2,1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,326,,4,24,1,,,6,3,1,,7,50,41,19,2,1,57,,10,1,,,,28,1,63,0,33,3,,1,9,,,,1850,45,,45,,1,39,5,,1,,,2,11,6,318,18,,,2,,,,,,,,3,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,339,,12,62,1,,,8,,2,,16,168,38,33,1,3,57,,7,,2,,,57,,80,3,40,3,,2,16,,1,,758,26,,41,,4,63,11,,5,,,3,11,16,452,25,,1,,1,,1,,,,,1,,1,2,,1,,2,2,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,347,,4,26,1,,,2,4,2,,1,128,51,20,2,1,30,1,8,1,,,,34,2,35,0,28,,,,3,,,,1461,4,,17,,,28,6,,3,,,,6,13,124,10,,,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,,,,,,1,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,355,1,2,40,,,,6,,2,,6,94,62,20,1,2,39,,10,,,,,31,,48,0,33,1,,2,11,,,,955,4,,34,,5,48,5,1,2,,,,15,17,135,9,2,2,1,1,,1,,,,,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,364,,6,130,,,,,,,,14,152,52,18,2,6,40,,6,,,,,5,,253,5,24,11,1,,42,,,3,1512,12,,23,,,73,14,9,8,2,4,,15,62,181,7,,3,4,,,1,,,,,7,,,9,,,,,,,,,,1,,10,,,,,,,,,,3,,,,,,,,,,,1,,,,4,,4,2,5,1,,,,,,,,,,,
,369,,4,12,,,,3,,1,,0,12,16,23,3,,48,,6,1,1,,,10,,43,3,51,,,6,7,,,,750,4,,3,,1,33,,,,,,,14,2,104,15,2,,1,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,380,1,2,15,,,,3,3,,3,10,21,8,16,,2,36,1,6,1,1,,,26,,49,2,40,1,,,8,,,1,521,5,,2,,2,28,6,,4,,,,11,1,72,4,,1,,1,,,,,,,1,,,4,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,389,,6,123,,,1,4,4,3,,17,302,56,14,2,3,46,1,5,,1,,,83,,27,0,33,1,,6,10,2,1,,656,12,,18,,,35,,,3,,,1,6,38,227,24,,,,,,,,,,,,,,1,,,,1,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,397,,1,7,1,,,12,1,,,7,29,13,30,1,1,25,1,10,,2,,,14,,76,0,8,,,,12,,,,1149,2,,8,,,15,3,,,,,1,16,4,130,16,,1,,,,,,1,2,,1,,2,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
,406,,1,12,,,,6,,2,,7,39,19,30,,5,20,1,1,,,,,19,2,74,0,19,,,,6,,,,849,1,,10,,,19,9,,,,,,9,1,126,9,,,1,,,,,,,,,,1,1,,,1,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,414,,,68,,,,8,1,2,,11,156,26,28,,1,31,2,,,4,,,37,,125,0,9,3,,4,30,,,,815,5,,6,,,50,10,1,3,,,5,2,29,353,26,,,,,,,,,,,2,,3,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,420,,2,22,,,,11,,,,5,54,34,27,,10,29,3,3,,,,,14,1,92,1,26,,,1,4,,,,874,2,,9,,,23,3,,1,,1,,13,1,127,11,,,,,,,,,2,,3,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,426,,2,51,,,,9,3,,,2,97,69,23,,2,33,1,4,,,,,14,,74,0,17,,,3,7,,,,791,3,,14,,,17,10,,1,,2,,20,6,131,4,,,1,,,,,,,,4,,,3,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,
,432,,0,41,2,,,11,1,1,,,83,52,19,1,3,22,2,2,,,,1,19,1,61,0,18,,,1,5,,,,1098,1,,8,,1,15,6,,,,,1,14,3,155,6,,,2,,,,,,,,2,,1,3,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,439,1,7,32,3,,,5,1,,4,30,82,31,32,2,1,26,2,1,,1,,3,52,,235,4,12,1,,8,45,,,2,2163,7,,35,,3,47,14,,4,,5,1,3,45,345,20,,,4,1,,,,5,,,3,,,,,2,2,,,,,,1,4,,2,1,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,445,,3,17,3,,,4,,1,,0,37,32,25,,2,40,,3,,,,1,9,1,89,0,16,,,,6,,,,1184,1,,7,,,9,3,,,,,,13,1,104,7,,,1,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
,452,,0,12,,,,13,,,,1,43,40,26,,,35,,3,,,,2,4,1,68,2,9,,,,8,,,,925,,,6,,,23,5,,,,,,7,,202,17,,,1,,,,,,,,2,,,5,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,
,458,,0,5,,,,6,2,2,,,23,29,26,,5,25,,4,,1,,1,10,,80,0,9,,,5,6,,,,445,3,,17,,2,18,5,,,,,3,7,,176,9,,,2,,,,1,,,,4,,3,6,,,2,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
,465,,1,12,2,,,3,,,,8,101,14,12,,1,25,1,,,3,,,27,,151,2,7,,,3,15,,,,1002,1,,29,,2,6,4,,1,,2,,,19,97,12,,,4,3,,,,,2,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,471,,2,10,,,,4,,,,,18,20,18,,1,25,,2,,,,,5,1,37,1,14,3,,2,10,,,,400,2,,5,,,42,,2,,,,1,6,,117,11,,,,,,,,,1,,5,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
,477,,,12,1,,,6,,1,,,35,24,17,,,27,,6,,,,,6,1,41,0,9,,,,11,,,,476,6,,1,,,32,,,2,,,2,7,1,74,5,,,3,,,,,,,,1,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,484,,,,,,,4,,,,,13,10,18,1,,28,,5,,,,,5,2,44,0,19,1,,4,13,,,,467,2,,5,,,46,2,,,,,,5,1,141,6,,,1,,,,,,,,1,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
,490,,,50,6,,,5,4,,5,6,409,71,34,1,8,33,2,2,,2,,,35,,199,2,6,1,,2,27,,,2,1856,7,,41,,2,15,4,1,1,,1,1,,109,265,31,,,7,1,,,,2,,,9,,,,,,3,,1,,,,,5,2,,4,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,
,497,,,9,,,,5,,,,1,11,9,14,1,1,28,,3,,,,,8,,59,0,8,,,4,17,,,,418,,,3,,,37,4,,1,,,,7,,146,9,,1,,,,,,,,,2,,,3,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,504,,,20,,,,2,,,,1,55,23,43,,3,21,,2,,,,1,28,,51,0,11,,,,12,,,,1256,,,14,,2,16,3,,1,,,,13,2,66,5,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
,510,,1,3,,,,5,,,1,,4,7,22,,2,20,1,2,,2,,,2,,76,,21,,,4,12,,,,479,1,,2,,,40,7,,3,,,,4,,152,16,,1,,,,,,,1,,1,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,,,
,515,,6,135,4,,,13,5,,,38,197,72,72,,10,18,2,2,4,,,3,85,,94,1,2,,,3,20,,1,,4995,2,,56,,2,8,21,5,,1,3,2,3,60,24,39,,,,1,,,,,,,4,,,,,,6,,2,,,,,3,2,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
,521,,1,8,,,,6,3,,,1,11,7,22,,,33,1,0,,,,,5,,71,1,22,,,7,10,,,,862,1,,1,,,28,,,,,1,,4,,155,9,,,2,,,,,,,,4,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,527,,0,23,,,,6,1,1,,,17,6,21,,3,20,2,6,,1,,,16,,80,1,39,1,,2,11,,,,440,,,2,,,26,,,1,,,,6,,163,6,,2,,,,,,1,,,2,,,4,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,
,534,,0,15,,,,6,,,,,11,13,20,2,,33,,0,,,,1,11,1,50,1,27,,,6,7,,,,503,,,1,,,28,4,,1,,,,6,1,152,7,,,,,,,,,1,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,540,,2,39,6,,,7,,1,4,9,270,59,36,,5,32,3,1,,,,,50,,234,7,10,3,,9,65,,,,2426,9,,96,,,12,6,,,,1,2,1,80,471,21,,,3,1,,,,,,,10,,6,,,1,3,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
,544,,1,4,,,,9,,1,,1,13,4,37,,,29,,3,,,,,9,,71,0,10,1,,8,15,,,,1883,,,7,,,14,8,,,,1,,11,3,240,5,,,1,,,,,1,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,551,,0,7,1,,,10,,,,,7,10,12,1,1,42,,2,,,,,13,2,51,,12,1,,3,15,,,,503,2,,1,,,26,3,,,,,,7,0,176,9,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,558,,0,2,,,,10,4,,,,9,1,34,2,,29,,2,,3,,,7,1,42,,13,,,1,14,,,,344,1,,1,,,4,3,,,,,,9,0,190,11,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,
,565,,2,23,2,,,8,1,3,3,15,77,27,37,,5,43,3,3,,,,,30,,213,6,14,3,,,36,,,4,654,6,,40,,4,26,7,,2,,5,1,,11,253,20,,,5,2,,,,12,,,7,,,2,,3,1,2,,,1,,,,1,4,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
,573,,0,12,,,,7,,,,,5,4,29,,,34,,4,,,,,9,,64,,15,1,,1,16,,,,376,,,3,,,19,,,,,,,5,0,177,5,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
,581,,0,10,,,,4,,1,,,17,3,37,,1,30,,3,,,,1,2,,42,,8,,,,9,,,,467,,,5,,,12,1,,,,,,10,2,199,6,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,590,,,23,3,,,4,5,1,,6,318,57,20,,2,55,2,,,1,,,26,,113,7,4,1,,8,31,,,,1422,13,,495,,,9,4,,,,3,,,61,273,15,,,5,2,,,,,1,,8,,5,,,9,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,598,,0,14,,,,16,,,,,10,3,23,,,36,,1,,,,1,4,,42,,7,,,,9,,,,502,1,,5,,,13,,,,,,,6,0,184,7,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,606,,0,17,1,,,14,,,,,15,5,36,,,29,,0,,,,,10,1,18,,3,,,,,1,,,493,1,,6,,,11,1,,,,,,6,3,25,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,614,,,15,3,,,6,4,,1,3,192,27,32,,3,43,,1,3,,,,30,,152,3,8,1,,13,23,4,,,1691,10,,307,,2,5,11,,,,3,,2,28,251,7,,,11,1,,,,,3,,7,,6,,,7,5,,,,,,,2,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,623,,2,4,2,,,5,,2,,0,29,13,30,,,31,,3,,,,2,14,,48,0,18,1,,6,18,1,,,1556,5,,71,,1,13,10,,,,2,2,10,6,253,11,,,7,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,
,631,,0,5,,,,11,,,,,4,7,32,1,,30,,0,,,,,12,2,18,,8,,,,,,,,413,,,0,,,8,,1,,,,,15,2,10,6,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
,639,,2,32,19,,,4,7,2,,44,142,39,33,,10,35,3,,,2,,,53,,114,1,15,2,,4,27,6,,1,2884,7,,97,,3,17,17,,,,4,4,6,48,235,19,,,12,1,,,,5,1,,,,,,,8,8,,2,,,,,7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,1,,,
,654,,2,2,,,,7,,,,0,12,1,33,,2,31,,7,,,,,3,,38,0,14,,,2,11,,,,1373,1,,6,,,12,2,,,,1,,12,,139,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,664,,1,8,,,,,,,,1,33,5,7,,3,19,2,,,,,,13,,18,2,1,3,,1,15,,,,505,5,,7,,,10,4,,,,,,5,8,161,2,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,677,,0,7,5,,,8,4,,,6,37,6,52,,2,24,1,8,,,,1,11,,34,0,11,,,1,4,,,1,1022,2,,11,,,2,2,,,,,1,15,1,126,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
,689,,4,40,17,,,3,3,,,16,52,12,37,1,13,17,3,,8,1,,,25,,79,2,5,1,2,1,4,1,1,2,3832,15,,51,,3,4,15,,,,3,1,1,15,62,10,,,4,2,,,,,5,,,,,,,4,4,1,,,,,,4,,1,2,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,
