"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Betula","Fagus","Apiaceae","Xanthium","Alnus","Avena-type","Ligustrum","Secale","Poaceae (Cerealia-type)","Jasminum","Fraxinus excelsior","Hordeum-type","Rhamnus/Paliurus","Plantago lagopus-type","Botrychium","Polypodiophyta","Artemisia","Salix","Typha latifolia","Liliaceae","Brassicaceae","Quercus undiff.","Plantago lanceolata-type","Polygonum aviculare","Mercurialis annua","Lythrum","Pistacia","Asteroideae","Oleaceae","Myrtus/Eucalyptus","Cichorioideae","Varia","Caryophyllaceae","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Amaranthaceae","Juniperus","Olea","Quercus ilex/Q. coccifera","Pinus","Cyperaceae","Poaceae","Typha angustifolia/Sparganium","Lycopodium spike","Castanea","Rumex","Ulmus","Ranunculaceae","Ephedra fragilis","Cistus incanus-type","Glaucium-type","Vitis","Triticum-type","Filipendula","Ostrya carpinifolia/Carpinus orientalis","Pteridium","Anemone-type","Sarcopoterium spinosum/Poterium sanguisorba","Erica","Utricularia","Juglans","Potamogeton","Euphorbiaceae","Hedera","Plantago coronopus-type","Helianthemum-type","Unknown (trilete, roughly verrucate)","Fabaceae","Lamiaceae","Rosaceae","Centaurea solstitialis-type","Rubiaceae","Plantago major-type","Ranunculus acris-type","Picea","Cistus undiff.","Gypsophila","Acer","Geranium","Nymphaea","Humulus/Cannabis","Punica granatum","Polypodium","Thalictrum","Ephedra distachya","Asphodelus","Tilia","Plantago maritima-type","Polycnemum","Dorycnium-type","Myriophyllum verticillatum-type","Unknown (trilete, smoothly verrucate)","Malvaceae","Taxus","Campanulaceae","Corylus","Erodium","Plantago holosteum-type","Arceuthobium oxycedri","Centaurea undiff.","Buxus","Vicia-type","Arbutus","Calligonum","Trifolium-type","Theligonum","Aconitum-type","Primulaceae","Plantago","Convolvulus arvensis","Ophioglossum","Epilobium","Plumbaginaceae","Dipsacoideae","Cistus salviifolius","Cistus monspeliensis","Loranthus","Carpinus betulus","Gentianaceae","Salvia","Tribulus","Stachys-type","Allium-type","Platanus","Potentilla-type","Centaurea cyanus","Nigella-type","Cornus","Viburnum","Heliotropium-type","Saxifraga oppositifolia","Sambucus","Fallopia convolvulus","Genista-type","Cotinus coggygria","Fumana","Galega-type"
3191,3570,2786,233,"9","15","","1","3","","3","","1","","1","","","","","","5","5","18","","1","1","4","9","1","1","5","","17","24","","","12","14","10","5","9","145","12","","25","64","66","177","46","355","357, 21700","","","2","1","1","4","","2","","","19","1","1","2","16","","","","","","","","","2","","","9","","1","1","","2","","","","1","","","","","","1","2","1","","","","4","","","","4","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
3265,3665,2837,240,"7","2","1","","5","","5","2","","","","","","5","","","","1","13","5","1","1","","","","1","5","","11","29","","","11","2","6","2","11","155","12","2","11","33","47","466","120","948","387, 40500","","","3","3","1","1","","1","1","","7","3","4","5","12","","","1","","","","1","","4","","1","1","2","","","","","1","2","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3340,3763,2890,247,"9","","","","1","","1","","","","","","","5","","1","7","6","3","","","2","2","","","","2","5","13","51","","","32","2","","2","3","131","7","2","6","18","104","342","63","30","375, 21700","","","1","","","1","","1","1","","5","3","","2","10","","","","","","2","","","","","","2","1","","1","2","","","","","","","","1","","","2","1","","","","","2","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","",""
3525,3932,3098,258,"19","5","","","2","1","4","1","","","2","","","1","","","","2","5","","","1","","5","1","","2","","4","70","3","","9","10","4","4","15","214","14","","14","67","149","325","57","299","105, 21700","1","1","1","","3","","","1","1","","8","1","1","2","13","","","","","","","","","1","","","3","2","","","2","","","1","","","","","","","","","4","1","","","","","","","","2","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
3768,4109,3400,268,"11","7","1","3","3","","2","1","","1","1","","","2","","","1","9","5","","","","1","3","3","","4","1","","19","1","","4","4","6","","9","138","7","1","7","62","47","193","60","46","95, 21700","","","3","5","","","","","","","17","1","2","2","10","","","","","","","","","","","","","","1","","1","2","","","","","1","","","","","","2","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
3963,4273,3636,276,"17","2","","","2","","1","","","","","","","2","","","","174","4","","1","1","1","1","1","1","4","1","1","57","","","4","","3","4","9","226","9","","46","27","94","396","57","32","176, 32550","","","2","","1","1","","1","2","","15","1","","3","11","","","","","","","","","1","","4","1","1","","1","","","","","","","","","","","","1","1","","","","1","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4158,4480,3836,284,"14","1","1","","","","","2","","","1","","","2","2","1","","64","9","","3","1","1","5","","","2","","2","39","","","19","7","2","1","2","178","13","","15","98","160","422","150","1","139, 21700","","","5","1","1","1","","8","2","","18","4","2","6","24","","","","","","","1","","","1","","","1","1","","1","","","1","","","1","","","1","","","1","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4474,4894,4094,297,"12","2","1","","3","","","","","","","1","","4","1","","2","106","9","2","","1","1","2","2","","1","2","2","24","","","17","3","8","4","13","255","9","3","9","74","118","281","117","3","196, 21700","2","","3","1","","","","2","3","2","16","3","2","7","10","","","","","","","","","","","3","","","1","","4","1","","","","","","","","1","","1","4","4","","","","","","","","5","","","","3","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
4737,5258,4304,309,"14","1","","1","2","","4","1","","","","","2","2","","","1","11","15","","2","4","3","1","","2","4","","6","8","","","7","3","11","7","20","249","5","3","8","67","95","256","64","18","163, 21700","","2","4","1","1","","","","1","","36","2","","5","12","","","1","","2","","","","","","2","1","1","","","2","","","1","","","","","","","1","1","2","","1","","","","","","","18","","","","","","","","","","","","","","2","","","","","","","","3","","","","","","","","","","","1","","","","","","","",""
4863,5290,4514,319,"14","10","3","1","2","","6","2","","","2","","","7","","1","","2","11","","","1","","1","2","","2","","5","16","","","2","4","1","6","5","175","6","","18","102","102","256","54","8","107, 21700","","3","5","1","","2","","2","3","","43","","1","3","16","","1","","","1","","","","","","","","1","","","3","","1","2","","","","","","","1","1","2","","","","","","","","","7","","1","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
