"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Thalictrum","Ulmus","Alnus","Ostrya-type","Plantago lanceolata-type","Sparganium-type","Vitis","Rumex","Apiaceae","Mercurialis annua","Pinus","Chamaerops humilis","Poaceae","Olea","Pistacia","Quercus ilex-type","Amaranthaceae","Spike","Brassicaceae","Ephedra fragilis-type","Serratula","Chaerophyllum","Eucalyptus","Quercus robur-type","Poaceae (Cerealia)","Quercus suber-type","Cichorioideae","Achillea-type","Artemisia","Euphorbia","Corylus avellana","Daphne","Hedera","Cistus salviifolius","Smyrnium","Utricularia","Erica arborea-type","Urtica dioica-type","Centaurea","Carduus","Teucrium","Phillyrea","Fraxinus","Aster-type","Asphodelus","Plantago major","Asparagus","Falcaria-type","Salvia","Theligonum cynocrambe","Plantago coronopus-type","Cladium","Caryophyllaceae","Helianthemum","Sagina","Fagus","Castanea","Galanthus-type","Plantago maritima-type","Saxifraga","Galium-type","Juniperus","Carpinus","Carlina","Ficus carica","Ranunculus aquatilis-type","Heliotropium","Poterium sanguisorba","Potentilla-type","Serratula-type","Typha latifolia-type","Ornithogalum-type","Iridaceae","Betula","Epilobium","Tilia","Polygonum aviculare-type","Unknown","Botrychium","Adiantum","Boraginaceae","Lamiaceae","Apium","Pediastrum","Ephedra distachya-type","Ranunculaceae","Dryopteris-type"
2663,NA,NA,176,"18584, 2","1","","5","","","","5","","","","","","","","15","35","140","56","5","400","","","","","","3","","30","3","5","","","","","","","","","","16","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2784,NA,NA,192,"18584, 2","1","2","3","","","","1","1","","1","","1","3","5","19","156","107","54","3","133","","","","","","7","3","18","2","","1","","3","","","","","","8","","","","","1","4","1","","","","","","","","","1","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3003,NA,NA,224,"18584, 2","1","1","1","1","","","2","","","","1","1","4","","11","103","126","108","8","404","","","","","","16","","2","2","","1","","1","","","","","","4","","","","","2","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3108,NA,NA,240,"18584, 2","1","","4","","2","1","1","13","","","","","2","","2","74","58","102","2","213","","","","","","7","1","16","","","","","2","","","","","","3","2","1","","","14","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3213,NA,NA,256,"18584, 2","1","3","2","","","1","2","13","1","2","2","","6","4","15","28","118","73","5","851","","1","","","","9","","19","1","","4","1","1","","","1","","","11","16","","","","","2","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3424,NA,NA,288,"18584, 2","1","6","","","","","2","19","","6","","","","1","35","28","138","22","2","556","","","","","","6","","8","","2","2","1","","","","","","","4","4","","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3559,NA,NA,304,"18584, 2","1","","2","","","","3","16","","3","","1","3","","27","15","117","18","9","209","","","","","","4","11","7","","1","4","","","","","","","","12","","","","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3781,NA,NA,320,"18584, 2","1","4","","","","","6","12","","1","","","2","","12","18","93","87","","1182","","","","","","6","","21","12","","","","","","","","","","3","1","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4003,NA,NA,336,"18584, 2","1","2","","","3","","3","13","","5","","6","","","34","41","120","50","3","823","","","","","","1","","24","2","1","1","","5","","","","","","9","3","","1","","1","1","","","","","","","3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4225,NA,NA,352,"18584, 2","1","3","1","","1","4","5","","2","1","5","","1","1","33","16","106","26","2","407","1","","","","","7","","11","","","7","","","","","1","","","8","","","","","","9","","","","","","","3","","1","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
4448,NA,NA,368,"18584, 2","1","2","","","","","2","1","1","","1","","","","24","6","218","46","4","300","","","","","","4","","3","1","","","","","","","","","","4","","","","","","1","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4670,NA,NA,384,"18584, 2","1","2","","","2","","8","4","2","2","4","","2","","40","20","170","74","8","279","2","","","","","8","","26","6","4","4","","","","2","","","","12","2","","3","","","2","6","","","","","","2","2","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
4892,NA,NA,400,"18584, 2","1","2","","","2","","3","2","","3","1","5","","2","29","37","129","86","3","387","","","","","","7","","18","3","2","","","2","","","","","","5","","","1","","","7","1","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
5050,NA,NA,416,"18584, 2","1","","","1","1","2","4","","","1","","","","1","18","58","95","106","4","209","","","","","","12","","17","","2","1","1","","","","","","","5","","","","","","9","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
5207,NA,NA,432,"18584, 2","1","1","","","","1","2","1","1","","1","","","","14","10","118","280","3","398","","","","","","7","","6","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5365,NA,NA,448,"18584, 2","1","6","","","","","6","","","2","","","2","","18","32","148","104","2","266","2","","","","","10","","2","2","","2","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5522,NA,NA,464,"18584, 2","1","3","","","1","","4","8","","","1","6","1","1","3","36","133","98","5","396","","","","","","1","","8","","","2","","3","","1","","","","7","","","1","","","12","","","","","","","","2","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
5680,NA,NA,480,"18584, 2","1","4","","","","","2","2","4","","2","","","","36","64","104","112","8","238","","","","","","16","","4","4","","2","","4","","","","","","4","","","","","","6","","","","","","","8","","","2","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
5977,NA,NA,512,"18584, 2","1","8","","","2","","4","2","","","","2","","","8","82","166","44","4","262","","","","","","2","22","12","","","","","","","2","","","","6","","","","","","2","4","","","","","","4","","","","","","","","1","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
6243,NA,NA,544,"18584, 2","1","3","","","","3","9","","6","6","3","","","","42","33","78","246","3","357","","","","","","6","","","3","","","","","","","","","","15","12","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","",""
6376,NA,NA,560,"18584, 2","1","10","","","","2","8","6","8","6","2","","","","36","107","64","140","4","125","2","2","","","","2","","22","4","","","","","","","2","","","16","18","","","","2","","2","","","","","","","","2","","2","","","","","","","","","","2","8","2","2","2","","","","","","","","","","","","","","","","","","",""
6509,NA,NA,576,"18584, 2","1","2","","","","4","4","4","6","4","2","","","","40","104","112","180","4","746","","","","","","10","","2","","4","","","4","","","","","","2","","","","","","2","","","","","","","","","6","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
6642,NA,NA,592,"18584, 2","1","14","2","","1","","6","","4","3","","6","","","42","86","34","118","6","630","","","","","","2","","12","2","","2","","2","","","","4","","10","","","","","","","2","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6790,NA,NA,608,"18584, 2","1","","","","","","9","","3","3","3","2","","","51","57","45","48","3","771","","","","","","6","","6","3","","","","","","3","","","","9","3","","","","","","3","","","1","","","9","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","",""
7116,NA,NA,640,"18584, 3","1","39","","","","3","6","2","6","12","","21","3","","147","45","12","15","6","1161","6","6","","","","3","","9","21","3","3","","6","","","","","","18","15","","","","","3","9","","","3","","","","","3","3","","","","","","3","","","","","","6","","","","","","3","","","","","","","","","","","","","","","",""
7442,NA,NA,672,"18584, 2","1","30","","","","","18","","1","3","12","6","","","99","12","4","15","3","1290","6","6","","","","2","","6","45","","","","15","","","","","","3","6","","","","","1","27","","","","","","","3","","15","","","","","","","","","","3","1","12","","","","","9","","3","","","","","","","","","","","","","","",""
7766,NA,NA,704,"18584, 2","1","20","4","","2","","14","3","2","2","2","","6","","140","24","2","24","6","524","","","","","","2","1","22","36","","","3","2","","","","","","2","4","","","","2","","12","2","","","","","4","4","8","","","","","","","","","","","1","2","10","","","","","2","","","1","2","2","","","","","","","","","","","",""
8074,NA,NA,736,"18584, 3","1","21","","","","3","","89","3","","","","6","","171","24","30","39","15","726","","","","","","3","","9","3","3","","","3","","","","","","3","","","","","","3","3","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","",""
8229,NA,NA,752,"18584, 2","1","9","","","","","9","54","","3","9","","15","","171","45","90","26","9","1452","","","","","","9","","9","","","","","18","","","","","","9","9","","","","","","18","","","","","","","9","9","9","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","",""
8383,NA,NA,768,"18584, 2","1","4","","1","","","4","10","2","5","8","1","8","1","128","18","87","9","","648","","","","","","10","","10","2","","","","2","","","","2","","4","4","","","","","","2","","","","","","2","","14","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
8537,NA,NA,784,"18584, 2","1","27","","","","","6","15","","3","3","1","18","1","90","21","66","3","6","441","","","","","","21","","15","6","","","","9","","","","","","3","","","","","1","","","","","","","","","","","12","3","","","","","","","","","","","","","","","","3","","","","1","","","","","","","","","","","","",""
8692,NA,NA,800,"18584, 2","1","2","","","","","20","","2","","","","4","","96","2","122","8","6","1020","","","","","","20","","4","4","","","","4","","","","","","4","2","","","","2","","2","","","","","","2","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","","","","","","",""
9000,NA,NA,832,"18584, 2","1","","","1","","","22","6","2","","2","","4","","106","","102","4","4","1673","","","","","","","","16","2","","4","","10","","","","","","4","2","","","","","","6","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
9116,NA,NA,844,"18584, 2","1","12","","","","","20","2","","","18","","4","","104","","286","5","2","328","7","2","","","","4","","4","","3","5","","5","","","","","","4","","","","","","","2","","","","","","4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9154,NA,NA,848,"18584, 2","1","20","","","","","1","9","","","1","","10","","97","","230","2","4","340","","1","","","","1","","1","1","","2","","5","","","","","","2","","","","","","","2","","","","","","5","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
9193,NA,NA,852,"18584, 2","1","16","","","","","4","8","","","4","","15","","108","","210","2","2","366","","1","","","","2","","2","1","","2","","9","","","","","","2","","","","","","","2","","","","","","7","","2","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
9232,NA,NA,856,"18584, 2","1","8","2","","","","4","2","","2","4","","7","","120","","140","3","4","410","2","","","","","2","","2","2","3","4","","5","","","","","","3","4","","","","","","1","","","","","","2","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9270,NA,NA,860,"18584, 2","1","6","","","","","2","6","2","2","12","","4","","180","","206","2","4","618","","","","","","2","","2","6","","","","2","","","","","","2","","","","","","","2","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9309,NA,NA,864,"18584, 2","1","6","","1","","2","","12","","1","14","","2","","80","","176","9","3","626","3","","","","","1","","8","2","1","4","","5","","","","","","6","","","","","","","1","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","",""
9347,NA,NA,868,"18584, 2","1","24","","4","","","4","38","","2","4","","6","","162","2","90","6","5","342","1","","","","","2","","","22","4","2","2","4","","","","","","2","","","","","","","2","","1","","","","10","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9386,NA,NA,872,"18584, 2","1","30","","1","","","3","38","","4","18","","4","","136","2","10","2","3","428","2","","","","","4","","7","24","1","16","1","8","","","","","","4","4","","4","","","","4","","","","","","6","","8","1","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","","","","",""
9425,NA,NA,876,"18584, 2","1","33","","","","1","11","27","","4","5","","12","","192","15","5","11","3","399","4","3","","","","3","","2","12","","36","","15","","","","","","3","4","","3","","","","4","","","","","","1","","3","","","","","","","","","","","1","","","4","","","","","","","","1","","","","","","","","","","","","",""
9463,NA,NA,880,"18584, 2","1","24","","","","","3","60","","","2","","12","","248","1","15","4","","680","","","","","","2","","1","18","3","12","","13","","","","","","6","","","","","","","9","","","","","","3","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9502,NA,NA,884,"18584, 2","1","3","","","1","","2","38","","","34","","10","","256","12","14","4","","830","","","","","","2","","","38","","16","","18","","","","","","4","3","","","","","","2","3","","","","","22","","4","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
9540,NA,NA,888,"18584, 2","1","15","","","","1","8","20","","","26","","12","","210","8","13","26","8","423","1","1","","","","2","","8","4","","43","","3","1","","1","","1","4","1","","26","","1","","4","1","","","","","5","","15","","","","1","","","","","","","","2","","4","","","","","","","","","","","","2","","2","","","","","","",""
9579,NA,NA,892,"18584, 2","1","4","","","","","6","80","","","","","1","","360","","12","24","4","700","2","2","","","","1","","1","48","","8","","2","","","","","","4","","","","","","","","","","","","","10","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9617,NA,NA,896,"18584, 2","1","36","","","","","2","86","","","14","","4","","126","2","10","34","8","546","","2","","","","","","12","46","","22","","4","","","","6","","8","2","","","","","","4","8","","","","","1","2","10","","","","","","","","","","","","2","","","","","","","","","","4","","","","","","","","","","","","",""
9656,NA,NA,900,"18584, 2","1","142","","4","","","54","96","6","2","48","","24","","198","","15","36","120","573","4","","","","","6","","6","168","","45","","11","","","","","1","33","","","","","","","25","2","","","","","8","6","132","","","","","","","","","","","","","","","","","","","2","","","","6","","2","","","","","","","","","",""
9748,NA,NA,904,"18584, 2","1","18","3","","","","15","51","","","12","","9","","165","","6","","24","605","6","6","","","","13","","12","135","","15","","12","","","","","1","9","3","","","","","","","","","","","","3","","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9840,NA,NA,908,"18584, 2","1","10","","","3","","","99","","","274","","7","","59","","2","2","2","150","9","","","","","3","","1","66","","5","","12","","","","1","","","2","","13","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","5","","","","","","2","2","49","","","",""
9931,NA,NA,912,"18584, 2","1","21","2","1","1","1","7","111","","2","20","1","13","1","68","","6","1","5","697","4","1","","","","3","1","7","264","2","14","","2","1","","","6","","3","2","","4","","1","","7","3","","2","","","1","2","13","1","","","","","6","","","","","","","","2","","","","","","","","","","","","7","1","2","","","","4","","",""
10023,NA,NA,916,"18584, 2","1","8","1","","1","2","6","66","","2","9","","25","","72","","1","2","11","713","1","1","","","","2","5","5","42","1","15","","4","","","","","1","7","3","","6","","","","","3","","","","","7","","8","","","","","","1","","","","","","","","2","","","","","","","","","","","","18","6","2","","","","10","1","2",""
10115,NA,NA,920,"18584, 2","1","48","9","","3","","15","304","","12","12","","27","","207","","3","18","33","343","15","","","","","18","","6","45","","36","","6","","","","","","60","","","3","","","","18","9","","","","","3","3","57","","","","","","","","","","","1","","","3","","","","","","","","","","","1","13","7","3","","","","3","","",""
10207,NA,NA,924,"18584, 2","1","39","","3","9","","9","260","","6","","","21","6","138","","3","3","24","1149","3","","","","","3","","","69","3","30","","6","","","","","","","6","","23","","","","","","","","","1","","","12","","3","","","","","","","","","","","","3","","","","","","","","","","","","3","","","","","","3","3","6",""
10299,NA,NA,928,"18584, 2","1","54","3","","","","","96","","9","3","","9","","54","","","","21","435","","3","","","","","","","87","","33","","","","","","","","9","6","","27","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","3","","","","","","","","6","","2","","","","3","","","1"
