"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Charcoal","Betula","Tilia","Centaurea","Typha latifolia-type","Ericaceae","Plantago lanceolata-type","Quercus undiff.","Solanum","Triletes","Typha angustifolia-type","Quercus ilex-type","Quercus robur-type","Elodea","Indeterminable (unknown)","Abies","Olea","Poaceae","Asteroideae","Cyperaceae","Amaranthaceae","Pinus","Cichorioideae","Lycopodium spike","Caryophyllaceae","Nymphaea","Ulmus","Juglans","Alisma","Frangula alnus","Ostrya/Carpinus orientalis","Salix","Apiaceae","Alnus","Lythrum","Juniperus","Bupleurum","Galium","Cornus","Phillyrea","Artemisia","Brassicaceae","Poaceae (Cerealia-type)","Plantago undiff.","Tetraploa aristata (type 89, HdV)","Botryococcus","cf. Richonia variospora (type 140, HdV)","Fungi (type 8B, HdV)","Fungi (type 120, HdV)","Unknown (type 492, HdV)","Algae? (type 225, HdV)","Diporotheca rhizophila (type 143, HdV)","Animalia (type 532, HdV)","Unknown (type 119, HdV)","Unknown (type 150, HdV)","Fungi (type 55, HdV)","Trichocladium opacum (type 10A, HdV)","Fungi (type 972, HdV)","Indeterminable (unidentified)","Zygnemataceae","Glomus cf. G. fasciculatum (type 207, HdV)","Fungi (type 361, HdV)","Sanguisorba minor-type","Castanea","Unknown (type 128, HdV)","Spirogyra","Fungi (type 145, HdV)","Coniochaeta ligniaria (type 172, HdV)","Epipactis","Lamiaceae","Quercus cerris-type","Fungi (type 324, HdV)","Picea","Myrica","Cistus","Fraxinus ornus","Cuscuta epithymum","Myriophyllum","Ranunculaceae","Parnassia palustris","Fraxinus undiff.","Pleospora sp. (type 3B, HdV)","Linum","Monoletes","Brachysporium (type HdV-359)","Closterium idiosporum-type (type 60, HdV)","Vitis","Oleaceae undiff.","Rumex","Utricularia","Unknown (type 181, HdV)","Ustulina deusta (type 44, HdV)","Corylus","Bryophyta (type 340, HdV)","Fungi (type 411, HdV)","Pediastrum","Sordariaceae? (type 205, HdV)","Fungi (type 123, HdV)","Fagus","Avena/Triticum","Hordeum group","Unknown (type 159, HdV)","Fungi (type 11, HdV)","Humulus/Cannabis","Secale","Hedera helix","Gratiola officinalis","Trapa natans","Rosaceae","Valerianoideae","Euphrasia","Equisetum","Fungi (type 367, HdV)","Polygonum aviculare-type","Aristolochia","Bactrodesmium-type (type 502, HdV)","Ephedra","Fabaceae","Urtica","Rhabdocoela (type 353, HdV)","Copepoda (type 179, HdV)","Fungi (type 970, HdV)","Iridaceae","Primulaceae","Populus","Persicaria maculosa-type","Papaver","Juncus","Carpinus betulus","Fraxinus excelsior-type","Fungi (type 83, HdV)","Fungi (type 364, HdV)","Pseudoschizaea","Alona rustica (type 72, HdV)","Crassulaceae","Malvaceae","Ceratophyllum","Fungi (type 174, HdV)","Algae (type 170, HdV)","Pistacia","Podospora sp./Zopfiella sp. (type 466, HdV)","Algae (type 601, HdV)","Boraginaceae","Callitriche","Geranium","Rhamnus","Vitex agnus-castus","Sporormiella (type 113, HdV)","Lingulodinium machaerophorum","Legousia","Neurospora crassa (type 55C, HdV)","Ustilago","Liliaceae","Unknown (type 519, HdV)","Ligustrum","Helianthemum","Caryospora","Isoëtes","Pedicularis","Algae (type 146, HdV)","Unknown (type 69, HdV)","Alchemilla","Jasminum","Elatine","Clasterosporium caricinum (type 126, HdV)","Fungi (type 17, HdV)","cf. Hydrocharis","Thalictrum","Tamarix","Potamogeton","Butomus","Fungi (type 92, HdV)","Scrophulariaceae","Filipendula","Syringa","Algae? (type 229, HdV)","Euphorbia","Sagittaria","cf. Chamaerops","Glyptotendipes pallens group (type 509, HdV)","cf. Cedrus","Fungi (type 350, HdV)","Unknown (type 222, HdV)","Fungi (type 20, HdV)","Fungi (type 312, HdV)","Ruta","Sambucus","Viburnum","Veronica","Ziziphus","Fungi (type 204, HdV)","Gentiana","Saxifraga","Buxus","Hypericum","Daphne","Asphodelus"
260,NA,NA,42,"5.034","0, 177.0029, 8627.463","","","6","1","2","","3","","1","46","1","6","","10","5","2","64","16","64","6","22","17","1987, 64074","1","6","","","2","","","","","1","2","15","","","","1","1","","","2","","","","","","","","","","12.26543","159.4506","24.53086","","","","134.9198","12.26543","245.3086","","","","98.12346","","","","","","24.53086","","","","","","","","","","","","1","61.32716","61.32716","","","3","","","","","","","12.26543","","","1","1","4","12.26543","24.53086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
297,NA,NA,47,"7.076","18.81818, 1411.364, 15186.27","2","","4","2","4","1","1","","","71","4","6","","13","4","2","61","13","34","9","47","34","621, 19332","","4","","","8","","","","1","","2","2","","1","","3","8","","1","","","","","","","","","","","59.14286","44.35714","828","","","","369.6429","14.78571","","2","","","29.57143","","","","","","","","","1","","","","3","","1","","","","88.71429","","","","1","","","","2","","","","","","","","1","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
326,NA,NA,51,"14.027","472.3158, 14877.95, 160823.5","2","","10","4","6","","1","2","","138","7","6","2","17","6","10","99","21","16","4","8","34","4487, 170864","3","2","1","2","26","","","","1","1","2","","","","","","9","","2","","","10.29128","","","","51.45642","","","","30.87385","123.4954","20.58257","","","","493.9817","","","1","","20.58257","41.16514","10.29128","","","1","1","","","","","","","","2","","1","","","","","10.29128","","","","","","","","","123.4954","","10.29128","","","2","5","","","","","1","","","1","1","1","1","10.29128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
370,NA,NA,57,"7.27","0, 27.36842, 596.6316","1","","7","2","5","9","1","5","1","153","7","16","","35","3","1","113","10","27","4","22.5","44","208, 19332","5","5","","","47","","1","","","","","3","","","","5","8","1","","12","","","","","","","","","","59","1","340","","","4","121","","4108","","","4","72","","","","1","4","","","","1","","","","9","","","","","","","6","","","1","","","","","1","","1","7","22","2","","5","","","","","","","","1","","","2","","1","1","2","3","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
399,NA,NA,61,"5.665","50, 298, 5368","2","","11","3","5","","2","1","1","67","11","5","","12","3","2","41","15","19","8","11","45","5259, 74753","2","","","","15","","","","3","","1","1","","","2","","4","","3","","","","","","","","","","","7","1","40","","","","13","","40","2","1","7","10","","","","","2","","","","","","","","","","","2","","","","2","","","","","","","","","","","6","18","","1","5","","","","","","","1","","","","","","","","","","","","1","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
448,NA,NA,64,"3.46","9.947369, 102.7895, 346.5","","","","","2","8","","","5","119","8","4","","16","4","1","107","2","13","5","2","17","189, 27822","6","","","2","16","","1","","4","1","","2","","4","","","2","2","","18","","","","4","","1","","","","13","","45","","","21","18","57","","","","6","7","","","","","1","","","","1","1","","","2","","","1","","14","","2","","","","","3","","","1","","","3","13","1","","1","","","","","","","","","","","2","","3","","","","8","15","","1","24","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","4","6","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
485,NA,NA,66,"7.515","0, 285.2941, 4986.941","","","5","2","2","","","1","6","237","8","9","","7","3","","39","5","12","10","49","34","194, 19332","","","","","","","2","","","","2","","","3","","3","7","","","","","","","","","","","","","291","","291","","","","97","","8536","1","","","48.5","48.5","","","","1","","3","","1","1","","","","","","","","2","","","","","","","","","","97","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
521,NA,NA,68,"3.5","0, 122, 469","","","","","2","3","","","6","91","4","8","","9","1.5","2","69","4","14","3","7","25","204, 27822","3","","","","10","","","","2","","","1","","1","","2","1","2","","11","","1","1","","","","1","","","2","","53","","","1","7","47","","","","7","12","","2","","1","5","","","","1","","","","2","","","","","13","","","1","","","","1","","","","","","8","10","1","2","1","","","","","","","","","","","1","","","","1","","3","5","","4","135","","","","","","1","","","","","","4","1","","","1","43","4","24","1","1","1","1","1","1","1","2","3","3","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
594,NA,NA,72,"3.44","5.44, 174.08, 456.96","2","","","","1","2","","","4","64","4","4","","14","5.5","1","57","6","13","4","7.5","16","136, 27822","12","4","3","","","","","","1","9","","2","","3","","","1","","","12","","","","1","","1","","1","","16","","66","2","","","37","47","","","","17","21","","","","","3","","","","","","","","","","","","","6","","","","","","","","","","2","","","2","14","","2","1","","","","","","","","1","1","1","3","","1","","","2","7","8","1","4","25","","1","1","1","2","","3","","5","","","","","","","5","4","3","3","4","","","","","","1","","","15","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
666,NA,NA,76,"7.38","0, 248.7333, 2582.089","2","1","2","180","7","1","2","","5","39","3","12","","19","4","2","48","17","20","2","17","22","1066, 19332","3","2","","","4","","4","","","1","","1","","2","","","6","1","","5","","","","","","12.67532","","1","","380.2597","91.72727","98.72727","","","","239.1558","","532.3636","","","12","63.7013","12.67532","","","3","1","","","","3","","","","","","","","","","","","","","","","","","","","","","3","4","","","1","","","2","","","","","","","","1","","","","","1","1","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
757,NA,NA,81,"5.09","0, 0, 0","","","","","","","","","","","","","","","","","","","","","","","333, 64074","","","","","","","","","","","","","","","","","","","","","","2.030488","","","","6.091464","","","","","16.2439","8.121951","","","","52.79268","","14.21341","","","","14.21341","","2.030488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.030488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.060976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
775,NA,NA,82,"3.47","6.842975, 218.9752, 677.4545","","","","110","2","","","","8","24","6","4","","20","","","82","6","32","8","8","28","552, 27822","","2","","2","","","","","2","2","","18","","2","","","2","2","","16","","","","","","","","","","20","2","276","2","","","84","86","","","2","18","36","","","","","4","","","","","","","","","","","2","","14","","","2","","","","","","","","","","2","2","","","2","","","","","","","","2","2","","6","","","","","","2","2","4","12","48","","","","","","","","","4","","2","","","","","","8","","6","52","","2","","2","","","","","2","8","4","8","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
848,NA,NA,86,"7.419","9.098592, 791.5775, 4289.986","2","","2","113","7","","","","4","46","4","10","","12","1","","52","9","24","2","54","8","646, 19332","1","","","1","","","","","4","","","2","","","","","4","","1","1","","13.62162","","","","","","","","","","186.2703","","","2","134.4054","","374.5946","","","2","74.48649","6.810811","","","","2","","1","","","","","","","","","","","1","","","","","","","","","","","","","6","5","","1","2","","","1","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
939,NA,NA,91,"6.283","0, 115.4403, 1891.023","1","1","4","94","12","","1","1","","23","5","8","","19","7","3","149","12","6","2","19.5","11","5805, 74753","1","","","1","","","2","","","2","","3","","","","","5","","","1","","12.58347","","","","264.2528","","","","5.033386","179.6852","127.6677","","5.033386","7","396.9205","2.516693","","","","14","127.2178","17.61685","","","2","6","2.516693","","","","","","","2","","","","","2","","","","","","","","","1","","","","5","2","1","2","1","5.033386","","","1","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","2","2.516693","1","1","","","","6.033386","27.68362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
993,NA,NA,94,"6.691","0, 275, 1285","8","","17","46","4","","3","","","27","3","9","","12","7","","49","15","22","10","50","18","1469, 19332","1","2","1","","","","","","1","1","","3","","3","","5","2","1","","","","","","","","3","","","","","","3","","","","3","","36","1","1","","6","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1066,NA,NA,98,"2.77","0, 133, 1394","","","2","1","2","1","","","3","14","10","16","","27","1.5","2","52","6","13","2","12.5","7","332, 27822","4","","","","","","1","","4","2","","19","","","","3","3","3","","8","","12","","","","","2","","","12","4","7","","","","27","12","","","2","33","7","","","","3","18","","","","","2","","","4","","","","","3","","","","","","","","","","","","","1","","1","","","13","","1","","","","","2","","","3","","1","","","2","5","5","2","","4","","","4","1","3","","","","","","1","","","1","","","4","1","1","8","","1","","","","","","","1","","1","2","","","","4","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1120,NA,NA,101,"5.085","14.16505, 113.3204, 6218.457","","","2","28","5","","6","","","17","4","14","","12","16","15","15","8","23","22","100","17","2918, 64074","","4","","2","2","","2","","","","1","3","","1","","1","5","","1","","","","","","","","","","","10.4964","62.97842","20.99281","10.4964","","73.47482","272.9065","199.4317","52.48201","","","","314.8921","","","","4","2","","","","","","","","","","","","","","","629.7842","","","","","10.4964","","1","","","","","","","2","2","","","1","","","","","","","","","","","","","","","","10.4964","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1211,NA,NA,106,"7.3","21.33333, 74.66666, 6197.333","1","1","3","6","3","1","4","1","","10","10","48","","8","6","6","3","40","16","17","58","15","64, 19332","","1","","","6","","","","4","1","","3","","2","1","9","27","","","","","3.047619","","","","","","","","","3.047619","6.095238","","","","97.52381","","103.619","3","2","","24.38095","","","","","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","3.047619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1320,NA,NA,112,"2.94","0, 83, 1040","1","2","1","","3","2","","","","6","15","16","","16","0.5","3","69","6","6","7","13.5","3","208, 27822","","","1","","","","5","","1","4","","7","","1","","","7","4","","16","","13","","","","","","","","2","","11","","","","35","38","","","","9","10","","","","1","20","","","","1","1","","2","4","","","1","","3","","","","","","","2","","","","","","1","3","","","1","","","","","","","","","","","4","","1","","","","7","3","3","6","","1","1","16","1","","","","2","3","","2","","","","","","4","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1393,NA,NA,116,"2.96","28, 280, 1736","","","","","1","3","","1","4","9","13","14","","20","2","1","44","8","9","3","18","","140, 27822","6","3","20","","2","1","1","","5","2","","6","","3","","1","4","3","","9","","6","","","","","","","","3","1","5","","","","22","50","","","1","11","2","","","","2","5","","","","","","","","7","","","","","4","","1","","","","","","","","","","","1","","","","2","","","","","","","","","","1","8","","","","","","8","4","","7","","","","4","1","1","","","","","","3","","","","","","","1","1","2","","","","","","1","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1479,NA,NA,121,"4.712","0, 1489, 12162","1","","8","11","6","2","2","","4","102","4","27","","28","14","39","24","12","128","5","48","12","1241, 64074","1","","","4","1","","2","","","","3","3","","","","4","3","","3","","","4.496377","","4.496377","4.496377","35.97102","","","","","89.92754","","","","","157.3732","13.48913","13.48913","","","","85.43116","","","","2","4","4.496377","","","","","","","1","","","","","1","4.496377","35.97102","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1580,NA,NA,132,"1.97","21, 385, 2589","","","","","3","1","","","","47","9","9","","5","1","12","186","1","8","3","2","1","107, 27822","","2","","","","","2","","1","","","1","","1","","","2","1","","3","","","","","","3","","","","2","","10","","","1","7","6","","","","7","","","","","","7","","","","","7","","","","","","","","","","","","","1","","","","","","","","3","","","","","","","1","","","","","","","","","","","","","","1","","1","2","","","","","","","","","4","","","","","","","3","","","","","","","","","","","","","","","","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1662,NA,NA,141,"5.064","0, 1126, 10134","2","","3","","3","1","10","","","5","4","21","","24","14","38","4","14","3","7","8","3","1126, 64074","","","","2","","","2","","","","1","9","","","","4","5","","3","","","7.901754","","","","15.80351","","","","","31.60702","165.9368","","7.901754","19.75439","55.31228","7.901754","43.45965","3","","","31.60702","","","","","2","3.950877","","","","","","","","","","","","","3.950877","15.80351","","4","","","","","","","","","","","","","","31.60702","7.901754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3.950877","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1753,NA,NA,151,"6.778","0, 2894, 19113","","","","9","5","","3","","6","102","11","29","","6","7","43","27","5","7","3","31","3","673, 19332","","","","1","","","2","","1","","1","","","","","5","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
