"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Cyperaceae","Poaceae (Cerealia) undiff.","Bistorta officinalis-type","Quercus undiff.","Solanum dulcamara","Lactucoideae undiff.","Indeterminable (degraded)","Ranunculaceae undiff.","Rubiaceae undiff.","Juglans regia","Coryloideae","Indeterminable undiff.","Indeterminable (corroded)","Plantago lanceolata","Polygonum aviculare-type","Rumex acetosella","Hordeum-type","Indeterminable (obscured)","Aster-type","Centaurea solstitialis-type","Caryophyllaceae undiff.","Ostrya","Avena/Triticum","Artemisia","Anthemis-type","Olea","Quercus coccifera-type","Salix","Secale cereale","Typha angustifolia","Quercus cerris-type","Amaranthaceae undiff.","Poaceae","Pinus","Abies","Ulmus","Brassicaceae","Apiaceae undiff.","Sanguisorba minor-type","Consolida","Silene viscaria-type","Centaurea cyanus-type","Convolvulus arvensis","Polygonum cognatum-type","Betula","Euphorbia undiff.","Sanguisorba officinalis-type","Filipendula","Indeterminable (broken)","Persicaria maculosa","Carpinus","Cedrus","Thymus/Mentha","Turgenia latifolia","Celtis/Morus","Rosaceae undiff.","Castanea sativa","Cirsium-type","Scabiosa undiff.","Hedera","Fraxinus undiff.","Adonis","Fagus","Lomelosia argentea","Pulmonaria obscura-type","Brassicaceae/Olea","Alnus","Typha latifolia","Juniperus","Pimpinella","Campanula-type","Elaeagnus macrophylla-type","Ephedra undiff.","Moraceae","Helianthemum","Vitis vinifera","Humulus/Cannabis","Liquidambar orientalis","Trifolium","Onobrychis","Euphorbia cf. E. helioscopia","Plantago coronopus","Fraxinus ornus-type","Fraxinus excelsior-type","Crataegus/Sorbus","Sambucus nigra","Pteridophyta undiff.","Silene","Elaeagnus angustifolia","Echinophora","Pseudopediastrum boryanum","Gentianella","Anchusa","Verbascum","Cystopteris","Ephedra distachya-type","Lythrum salicaria","Lythrum undiff.","Ephedra fragilis-type","Tilia","Myriophyllum spicatum","Valerianella-type","Carya","Linum catharticum","Aesculus","Potentilla-type","Hippophaë rhamnoides","Serratula/Arctium-type"
788,NA,NA,208.6,87.66234,NA,NA,NA,NA,NA,2,NA,2,4,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,6,NA,60,6,4,NA,NA,4,14,47,17,167,87,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,NA,NA,283.3,0,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,2,5,2,7,NA,33,11,8,2,NA,1,3,126,19,104,108,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,NA,NA,212.9,0,NA,NA,NA,NA,2,NA,NA,NA,7,2,NA,NA,2,4,2,6,2,NA,NA,4,3,6,NA,53,4,1,NA,NA,1,6,49,28,172,67,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,NA,NA,280.2,156.9767,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,3,3,3,NA,40,8,2,3,NA,NA,9,118,18,81,157,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,NA,NA,217.2,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,3,12,NA,74,4,5,NA,NA,4,2,58,36,140,50,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1108,NA,NA,277.1,72.58064,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,5,1,67,6,2,2,NA,2,3,140,16,75,115,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,NA,NA,221.5,0,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,3,NA,2,NA,NA,1,1,2,5,NA,86,12,5,NA,NA,8,17,50,19,145,81,NA,2,1,2,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,NA,NA,274,154.5801,1,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,3,1,2,NA,NA,1,NA,2,3,NA,30,6,2,3,1,1,6,162,16,105,96,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
868,NA,NA,226.7,113.924,5,NA,NA,NA,NA,7,1,NA,2,NA,NA,1,5,1,NA,11,NA,NA,2,2,NA,6,NA,75,2,3,NA,NA,28,6,27,32,131,52,NA,NA,2,2,1,NA,4,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,NA,NA,270.9,300,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,1,NA,2,5,NA,1,NA,56,2,4,NA,2,1,4,94,20,130,92,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
