"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Euphorbia","Thalictrum","Ulmus","Lythrum","Pistacia","Lamiaceae","Rosaceae","Convolvulus","Cistus","Ephedra","Plantago","Poaceae (Cerealia-type)","Monocotyledoneae","Phillyrea","Pseudoschizaea","Asteroideae","Quercus robur-type","Thymelaea","Ericaceae","Poaceae","Quercus ilex-type","Artemisia","Olea","Pinus","Cichorioideae","Amaranthaceae","Caryophyllaceae","Rumex","Sparganium-type","Fraxinus","Rubiaceae","Scabiosa","Typha latifolia-type","Cyperaceae","Fabaceae","Apiaceae","Polygonum","Rhamnus","Centaurea-type","Unknown (monolete)","Helianthemum","Juniperus","Unknown (trilete)","Vitis","Ranunculaceae","Tamarix","Carpinus","Daphne","Buxus","Echium","Alnus","Geraniaceae","Brassicaceae","Abies","Cedrus","Coriaria myrtifolia","Zygnemataceae","Myriophyllum","Urtica","Chamaerops","Picea","Papaveraceae","Corylus","Salix","Campanulaceae","Populus","Hedera","Ligustrum","Viburnum","Sanguisorba","Sedum-type","Lygeum","Boraginaceae","Botryococcus","Cannabaceae","Malvaceae","Tilia","Acer","Epilobium","Myrtaceae"
649,751,562,120,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,1,19,2,NA,NA,17,23,217,4,5,79,406,NA,NA,2,NA,NA,NA,NA,2,6,17,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,814,617,130,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,1,NA,19,4,1,NA,4,11,255,3,3,34,1100,NA,NA,NA,NA,NA,NA,1,1,4,4,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,877,671,140,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,7,2,NA,1,NA,10,261,2,5,24,149,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,941,725,150,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,3,10,2,1,1,4,4,365,3,2,36,296,NA,NA,NA,NA,NA,NA,NA,NA,6,12,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
879,1004,778,160,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,58,3,1,3,7,22,NA,NA,NA,15,4,204,NA,3,495,132,NA,NA,NA,NA,NA,NA,NA,5,5,7,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,1066,829,170,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,4,8,NA,NA,NA,6,15,230,3,7,227,256,NA,NA,NA,NA,NA,NA,NA,NA,3,17,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,1128,880,180,NA,NA,12,NA,NA,NA,NA,NA,NA,1,15,2,NA,NA,1,3,9,2,NA,3,3,11,181,2,4,55,323,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,1189,930,190,NA,NA,5,NA,NA,1,1,1,NA,1,9,14,NA,NA,5,3,8,4,NA,2,6,20,261,10,13,56,691,1,1,1,NA,NA,NA,NA,1,2,10,NA,NA,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,1252,981,200,NA,NA,2,NA,NA,5,NA,NA,NA,1,50,27,NA,NA,2,18,20,NA,NA,1,5,17,920,3,67,74,2040,NA,NA,NA,NA,NA,NA,NA,3,6,8,NA,NA,NA,4,6,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1167,1315,1028,210,NA,NA,9,NA,NA,3,1,NA,NA,NA,8,12,2,NA,3,1,9,1,NA,NA,22,10,141,5,12,374,191,NA,NA,NA,NA,NA,NA,NA,1,5,14,NA,NA,NA,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,1377,1063,220,NA,NA,2,1,NA,5,NA,NA,NA,NA,25,44,NA,7,2,8,15,NA,NA,NA,12,6,912,1,58,576,292,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,2,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1282,1440,1109,230,NA,NA,1,NA,NA,8,NA,1,NA,NA,29,35,NA,2,NA,6,45,NA,NA,1,3,23,156,7,36,46,1668,NA,NA,NA,NA,NA,NA,NA,7,NA,5,NA,NA,NA,4,11,NA,5,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1339,1504,1157,240,NA,1,NA,1,NA,1,NA,2,NA,3,14,5,1,NA,2,6,13,NA,NA,4,9,23,166,14,9,37,201,NA,NA,NA,NA,NA,NA,NA,NA,3,19,1,NA,NA,NA,13,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,1578,1228,250,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,12,NA,NA,6,NA,10,1,NA,19,4,16,226,8,8,4,310,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502,1664,1323,260,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,4,1,18,NA,1,3,5,7,185,2,2,8,445,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,1751,1419,270,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,8,NA,NA,2,NA,4,NA,NA,2,2,3,220,3,5,5,154,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1680,1839,1518,280,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,6,NA,NA,2,3,8,NA,1,1,1,5,390,4,3,19,66,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1769,1927,1620,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,3,NA,NA,NA,1,16,NA,NA,1,NA,28,217,NA,5,3,37,NA,NA,1,NA,NA,NA,1,NA,1,20,1,NA,NA,NA,4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,2015,1716,300,NA,1,NA,NA,NA,NA,1,NA,NA,NA,9,10,NA,1,4,1,9,NA,NA,10,4,15,339,7,2,15,98,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,2105,1809,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,1,1,8,NA,NA,8,3,5,316,1,1,2,26,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,2193,1900,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8,NA,3,NA,1,10,NA,1,4,3,3,324,NA,3,4,111,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2125,2283,1991,330,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,10,NA,NA,1,3,9,NA,1,10,3,10,205,3,4,9,43,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2214,2372,2081,340,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,22,7,1,5,11,15,11,NA,NA,3,5,NA,82,11,24,9,20,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,11,NA,8,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2304,2461,2170,350,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,14,NA,5,NA,1,9,2,4,152,26,2,8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2393,2551,2259,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,7,8,2,NA,NA,10,NA,6,102,14,13,4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,72,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482,2641,2346,370,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,14,1,NA,5,4,59,16,NA,NA,2,1,5,92,6,32,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2571,2730,2433,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,2,9,18,NA,NA,NA,17,2,1,67,8,14,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2660,2821,2520,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,NA,NA,4,13,6,1,NA,23,4,15,147,16,23,4,8,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2927,3092,2778,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,12,2,NA,NA,3,2,3,49,3,14,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3373,3548,3206,470,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,1,49,3,NA,NA,2,1,3,25,1,7,11,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3551,3732,3376,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,1,21,5,NA,NA,NA,NA,NA,41,2,5,1,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4085,4291,3886,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,27,3,1,NA,NA,1,4,11,NA,3,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4442,4669,4226,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,1,11,5,NA,NA,1,4,5,56,2,4,56,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4531,4764,4311,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,1,7,1,NA,NA,1,1,2,22,3,3,13,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4798,5048,4563,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,17,1,NA,1,10,1,6,111,NA,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4887,5143,4647,640,1,NA,NA,NA,NA,NA,1,1,NA,NA,8,3,NA,NA,1,3,3,4,1,33,5,43,219,2,9,2,31,NA,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4976,5238,4730,650,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,NA,NA,2,8,19,3,NA,46,1,24,259,2,16,9,56,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5065,5333,4814,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,3,3,NA,1,2,6,4,3,15,17,49,249,NA,11,29,297,1,NA,NA,NA,NA,NA,NA,5,7,3,NA,NA,NA,1,8,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106,5370,4858,670,1,NA,NA,NA,NA,10,2,1,NA,3,7,11,1,NA,4,NA,6,11,1,10,18,48,171,10,9,11,269,NA,NA,NA,NA,2,NA,NA,3,1,9,1,NA,NA,NA,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5148,5408,4904,680,NA,NA,1,NA,NA,14,1,NA,NA,1,4,2,NA,NA,1,1,7,12,NA,19,3,88,124,6,5,10,398,NA,5,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5189,5446,4949,690,NA,NA,NA,NA,NA,37,1,1,NA,NA,1,14,3,NA,7,NA,2,28,2,7,51,84,48,10,20,NA,544,NA,5,NA,5,NA,NA,NA,5,NA,5,1,NA,NA,1,NA,10,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5313,5558,5083,720,NA,1,NA,NA,1,8,1,2,NA,3,10,15,NA,NA,3,2,17,11,NA,7,6,91,111,8,16,16,406,2,1,2,NA,NA,NA,NA,8,2,3,1,NA,NA,NA,21,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5354,5596,5128,730,NA,NA,NA,NA,NA,6,NA,1,NA,2,6,11,2,NA,1,4,9,10,NA,6,10,83,81,8,8,15,548,3,4,NA,NA,NA,NA,NA,10,1,2,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5395,5633,5173,740,NA,NA,2,NA,NA,1,NA,NA,NA,3,6,3,NA,NA,1,2,7,2,NA,1,12,46,143,14,2,21,194,NA,NA,2,NA,4,NA,NA,5,3,5,NA,NA,1,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5437,5670,5217,750,NA,NA,1,NA,1,29,1,NA,NA,NA,4,7,NA,NA,3,1,10,23,NA,9,17,75,88,13,13,5,424,NA,1,2,NA,NA,NA,NA,3,1,6,2,1,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
