"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hypericum","Polygonaceae undiff.","Scrophulariaceae","Pistacia","Rutaceae","Amaranthaceae","Potamogeton","Dipsacoideae","Phillyrea","Caryophyllaceae","Apiaceae","Euphorbiaceae","Sphagnum","Ranunculaceae","Plantaginaceae","Osmunda","Rumex","Lamiaceae","Pinus","Brassicaceae","Asteraceae undiff.","Platanus","Cistaceae","Fabaceae","Olea","Pteridium","Cichorieae","Arbutus","Sarcopoterium","Quercus undiff.","Unknown (monolete) undiff.","Poaceae undiff.","Quercus coccifera-type","Ericaceae undiff.","Cyperaceae","Pteridophyta undiff.","Artemisia","Ephedra","Cupressaceae","Boraginaceae","Rosaceae undiff.","Acer","Abies","Liliaceae","Ostrya","Salix","Alnus","Corylus","Malvaceae","Poaceae (>40 µm)","Castanea","Urtica","Caprifoliaceae","Fagus","Juglans","Typhaceae","Betula","Hedera","Unknown (trilete) undiff.","Polypodium","Morus","Ulmus","Sorbus-type","Rubiaceae","Rhamnaceae","Carpinus"
120,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,NA,46,6,2,NA,5,3,5,2,7,4,3,4,18,11,NA,5,3,39,16,53,60,192,161,234,2,NA,1,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,55,1,3,NA,4,NA,2,NA,NA,2,3,3,6,85,NA,1,21,NA,8,9,8,5,6,12,5,16,18,9,6,18,26,25,31,78,167,149,298,5,1,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,60,1,1,NA,1,NA,2,NA,NA,3,5,1,NA,7,1,6,9,2,7,4,2,6,NA,13,9,6,21,8,3,6,13,22,44,69,171,187,246,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,65,NA,NA,NA,1,NA,4,NA,NA,1,3,NA,NA,22,NA,3,15,2,4,9,3,8,3,8,5,11,20,6,5,14,16,21,27,74,180,146,225,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,70,1,NA,NA,NA,NA,1,NA,1,NA,NA,3,NA,21,NA,NA,22,2,6,7,5,8,3,14,8,7,26,33,10,8,14,16,37,60,169,207,292,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,8,1,2,2,1,NA,11,5,5,4,3,6,7,15,8,9,4,19,15,42,72,176,196,236,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,80,1,3,NA,8,NA,4,NA,NA,2,NA,6,2,20,5,NA,1,2,6,4,8,4,8,9,19,3,13,8,46,18,9,15,31,57,203,102,151,1,NA,1,NA,4,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,85,4,NA,NA,3,NA,6,NA,NA,3,2,3,NA,23,NA,2,3,6,8,6,5,4,2,19,13,13,15,8,10,6,25,23,26,49,245,102,168,NA,NA,1,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,90,1,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,6,NA,2,NA,4,8,10,NA,5,19,20,10,4,7,9,14,7,14,58,55,29,197,112,183,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
263,NA,NA,95,2,NA,NA,2,NA,2,NA,NA,NA,4,5,3,6,NA,3,4,2,4,9,3,8,10,27,3,4,24,8,21,2,9,34,38,23,296,101,170,NA,NA,1,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
279,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,1,6,NA,NA,3,4,4,10,7,14,12,3,11,18,13,4,5,25,108,21,192,136,178,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,NA,105,1,NA,NA,1,NA,1,NA,NA,NA,1,4,1,18,NA,5,12,NA,3,5,4,2,12,28,9,5,35,10,11,7,5,50,54,27,188,152,267,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,NA,NA,110,NA,1,NA,NA,NA,NA,NA,NA,NA,2,9,NA,9,NA,1,3,2,3,10,2,6,4,16,6,NA,7,7,10,NA,5,10,31,30,247,119,148,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,NA,NA,115,1,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,18,NA,NA,9,4,NA,9,2,3,11,12,9,5,21,8,8,5,8,36,69,39,204,173,257,NA,NA,1,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,NA,120,3,1,NA,3,NA,1,NA,NA,1,NA,3,NA,13,NA,3,10,1,NA,6,NA,6,13,21,5,11,19,6,14,8,4,46,52,25,190,168,256,NA,NA,1,NA,1,NA,NA,NA,1,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,NA,NA,125,NA,1,NA,1,NA,NA,NA,NA,1,1,3,NA,3,NA,1,3,NA,3,8,NA,6,7,8,6,4,12,7,9,4,6,31,52,26,180,193,242,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,130,2,NA,NA,NA,NA,3,NA,3,NA,NA,12,NA,2,NA,2,67,2,3,4,NA,14,9,9,6,3,22,17,8,4,17,14,59,38,80,228,333,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,NA,135,1,NA,NA,1,NA,1,NA,NA,1,2,6,NA,8,NA,5,140,3,1,4,6,11,8,9,11,6,32,16,8,2,10,20,47,23,151,240,440,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
406,NA,NA,140,1,NA,1,NA,NA,2,NA,NA,1,NA,13,NA,1,NA,3,25,2,2,3,1,10,15,9,5,2,18,3,6,3,9,37,41,23,89,293,374,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
422,NA,NA,145,NA,NA,NA,2,NA,3,NA,1,1,4,4,2,5,1,4,44,3,2,6,6,6,15,13,6,6,17,1,6,2,3,31,52,29,157,221,318,NA,NA,NA,NA,1,NA,NA,2,NA,NA,4,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,NA,NA,150,NA,NA,NA,4,NA,3,NA,NA,4,NA,4,NA,6,6,7,20,7,1,4,3,12,7,9,11,7,22,10,2,6,10,57,148,31,126,155,260,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
454,NA,NA,155,1,1,NA,4,NA,6,NA,NA,1,2,1,NA,6,NA,1,62,NA,NA,7,2,22,16,13,18,5,28,10,9,10,12,105,89,39,120,223,424,NA,NA,1,NA,1,NA,NA,2,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,NA,NA,160,NA,1,NA,NA,NA,NA,NA,2,NA,4,10,1,4,1,5,35,4,NA,3,8,14,23,19,8,4,31,14,12,3,12,67,65,45,141,156,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,NA,NA,165,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,63,6,NA,11,4,9,8,18,11,5,37,4,10,9,13,85,77,37,101,239,432,NA,NA,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,NA,NA,175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,21,1,7,6,5,2,1,2,9,10,NA,5,11,14,7,5,6,12,118,67,24,125,234,393,2,1,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,4,NA,3,22,2,2,5,1,10,5,19,9,4,15,2,2,2,2,89,60,36,105,254,384,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,185,1,NA,NA,NA,NA,3,NA,NA,NA,2,3,NA,7,NA,NA,26,2,3,7,8,7,4,23,4,NA,21,5,NA,16,6,67,62,27,103,241,362,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,NA,NA,190,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,NA,4,NA,NA,7,2,1,4,5,6,NA,10,3,4,15,2,NA,6,5,54,63,24,97,286,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,NA,NA,195,1,NA,NA,1,NA,3,NA,NA,2,4,1,NA,18,NA,2,32,NA,2,6,2,1,6,17,6,10,28,3,6,4,16,52,54,27,151,264,394,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,NA,NA,200,NA,NA,NA,NA,NA,2,NA,NA,3,NA,2,NA,23,1,6,10,2,2,9,6,NA,NA,7,3,2,14,NA,19,3,9,32,71,34,135,242,321,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
614,NA,NA,205,NA,NA,NA,NA,NA,9,NA,NA,NA,4,7,NA,5,NA,3,11,1,NA,4,8,6,12,8,NA,6,20,NA,7,NA,5,42,81,24,103,258,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,3,2,2,1,3,2,3,3,18,NA,4,4,16,2,3,2,17,53,87,28,101,280,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,NA,NA,215,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,3,NA,2,24,1,2,9,2,5,13,11,8,3,14,10,6,11,15,56,47,62,123,241,339,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661,NA,NA,220,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,NA,2,NA,2,24,2,4,2,4,2,31,6,7,5,12,4,6,1,52,75,23,80,98,138,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
677,NA,NA,225,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,7,4,3,4,2,5,3,16,NA,16,NA,12,3,16,7,9,2,22,55,75,57,144,212,296,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
693,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,11,NA,NA,9,NA,6,23,13,4,9,8,2,3,2,25,46,34,108,100,192,260,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
709,NA,NA,235,1,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,9,NA,1,3,2,2,25,10,6,5,19,6,5,6,31,49,28,77,84,241,318,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,NA,NA,240,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,1,NA,1,6,3,6,27,5,2,10,10,2,4,4,51,56,36,109,86,208,276,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
741,NA,NA,245,NA,NA,NA,1,NA,2,NA,NA,NA,1,4,NA,9,NA,NA,26,1,4,6,5,6,19,16,8,2,15,9,5,3,29,68,45,51,121,227,345,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
757,NA,NA,250,NA,1,NA,3,NA,NA,NA,NA,NA,NA,4,NA,2,NA,1,NA,3,5,4,6,7,18,NA,13,3,5,2,1,NA,46,58,45,132,143,143,209,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
773,NA,NA,255,1,NA,NA,NA,NA,NA,NA,1,1,2,48,NA,4,2,3,NA,1,4,7,2,13,21,22,43,13,10,4,8,3,40,55,25,133,100,103,172,NA,NA,NA,NA,2,2,1,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
789,NA,NA,260,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,2,NA,1,NA,2,6,2,4,3,28,30,11,11,10,1,1,6,28,42,35,122,83,204,258,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805,NA,NA,265,5,NA,NA,NA,NA,NA,NA,NA,3,2,6,8,4,NA,1,2,2,8,2,NA,7,25,22,27,11,18,2,NA,7,8,17,40,60,156,174,215,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
821,NA,NA,270,6,1,NA,NA,1,NA,NA,NA,NA,NA,6,NA,2,1,NA,2,4,14,1,12,22,17,47,21,4,4,4,4,5,7,18,9,33,214,69,95,NA,NA,NA,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
836,NA,NA,275,2,NA,3,4,NA,1,NA,NA,2,2,1,1,2,1,NA,4,NA,3,5,NA,149,14,13,8,10,14,9,NA,1,12,12,53,17,127,147,179,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
852,NA,NA,280,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,1,2,NA,4,5,2,4,13,21,4,6,11,3,7,4,24,15,15,119,115,155,184,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
868,NA,NA,285,1,NA,NA,NA,NA,1,NA,NA,2,NA,4,NA,NA,1,NA,9,1,3,5,2,6,35,14,8,6,9,3,3,6,20,30,30,65,88,264,312,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,NA,NA,290,NA,NA,NA,NA,NA,1,NA,NA,3,NA,5,NA,5,5,3,NA,6,3,4,9,2,25,11,7,6,7,4,6,3,29,26,68,57,71,226,264,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,NA,NA,295,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,3,NA,3,2,2,4,NA,NA,1,26,10,12,NA,18,9,2,5,39,44,72,70,90,220,287,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
916,NA,NA,300,NA,NA,NA,NA,NA,1,NA,NA,NA,4,4,NA,NA,7,3,NA,1,5,2,9,3,42,NA,14,5,37,3,10,5,34,29,73,141,83,73,139,NA,NA,2,NA,7,NA,NA,1,2,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
929,NA,NA,305,2,6,NA,3,NA,4,NA,NA,NA,4,6,1,1,10,3,NA,4,11,5,10,6,63,6,21,3,3,2,NA,4,72,19,58,177,117,41,66,5,NA,NA,NA,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA
942,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,1,1,8,2,3,35,9,3,2,7,NA,1,1,113,11,3,257,76,18,39,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955,NA,NA,315,1,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,5,8,NA,1,11,8,5,4,1,3,2,4,71,14,12,356,49,13,29,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
968,NA,NA,320,1,NA,NA,3,NA,1,NA,NA,NA,2,3,NA,1,8,3,NA,1,6,4,6,2,11,2,6,15,3,3,NA,3,160,5,22,250,51,25,34,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,7,4,2,28,6,3,NA,2,3,1,4,58,8,8,376,49,23,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,NA,NA,330,NA,NA,NA,NA,NA,4,NA,NA,NA,2,4,NA,NA,NA,NA,NA,3,5,NA,2,2,6,4,11,2,8,1,3,5,72,11,15,284,85,32,51,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,NA,NA,335,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,1,2,2,10,2,4,11,13,NA,9,6,3,1,2,77,9,14,222,154,14,30,NA,NA,NA,NA,2,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1020,NA,NA,340,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,9,NA,1,23,7,2,6,2,2,NA,NA,171,6,14,206,91,10,19,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1046,NA,NA,350,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,2,1,NA,2,NA,9,1,7,2,NA,1,NA,54,15,15,331,61,31,49,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1059,NA,NA,355,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,9,6,2,16,6,1,4,1,4,6,2,59,7,7,370,64,17,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1072,NA,NA,360,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,6,3,2,2,3,17,5,3,2,1,9,3,49,12,7,458,172,4,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1085,NA,NA,365,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,9,NA,NA,18,2,4,5,5,3,1,4,54,10,6,338,72,13,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
