"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Salix","Apiaceae","Lamiaceae","Pistacia lentiscus","Isoëtes","Unknown (trilete)","Campanulaceae","Pinus","Plantago coronopus-type","Olea europaea","Asteroideae","Erica arborea","Quercus suber","Poaceae","Unknown","Hypericum","Myriophyllum","Polygalaceae","Lythrum","Alnus glutinosa","Fraxinus","Cyperaceae","Quercus canariensis","Quercus ilex-type","Cistus monspeliensis","Typhaceae","Sambucus","Quercus coccifera","Asphodelus","Unknown (monolete)","Amaranthaceae","Ephedra","Fabaceae","Linaceae","Corylus","Cedrus","Abies","Typha latifolia","Polygonum"
9144,NA,NA,180,4,4,NA,NA,NA,NA,NA,NA,NA,89,4,NA,10,17,18,24,322,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,100,45,4,NA
11160,NA,NA,185,3,1,NA,2,NA,NA,NA,NA,NA,60,5,NA,9,NA,19,21,263,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,70,65,3,NA
13177,NA,NA,190,2,1,NA,1,NA,NA,NA,NA,NA,53,3,NA,8,5,15,19,249,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,78,49,2,NA
15194,NA,NA,195,3,9,NA,1,NA,NA,NA,NA,NA,77,14,NA,12,4,17,31,342,NA,1,NA,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,104,50,3,NA
17210,NA,NA,200,3,9,NA,NA,NA,NA,NA,NA,NA,61,3,NA,6,7,14,20,210,NA,4,NA,NA,14,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,29,30,4,NA
19227,NA,NA,205,2,10,NA,NA,NA,NA,NA,NA,NA,38,45,NA,20,1,12,18,241,NA,2,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,43,25,4,NA
21244,NA,NA,210,7,18,NA,NA,NA,NA,NA,NA,NA,105,66,NA,28,1,16,30,452,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,1,1,95,50,5,NA
23260,NA,NA,215,6,18,NA,4,NA,NA,NA,NA,NA,159,52,NA,24,2,16,46,602,NA,2,NA,NA,46,3,2,NA,NA,NA,NA,NA,NA,NA,1,10,1,NA,1,NA,149,58,2,NA
25277,NA,NA,220,5,13,NA,3,NA,NA,NA,NA,NA,105,28,NA,12,1,14,35,426,NA,1,NA,NA,43,2,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,NA,2,NA,96,52,1,NA
27294,NA,NA,225,8,32,NA,NA,NA,NA,NA,NA,NA,90,33,NA,18,1,12,56,440,NA,6,NA,NA,40,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,89,46,3,NA
29310,NA,NA,230,5,14,NA,1,NA,NA,NA,NA,NA,130,29,NA,17,NA,18,65,484,NA,NA,NA,NA,44,1,1,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,103,45,4,NA
29415,NA,NA,235,4,12,NA,2,NA,NA,NA,NA,NA,100,17,NA,19,1,16,55,423,NA,NA,NA,NA,39,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,108,42,2,NA
29521,NA,NA,240,1,14,NA,2,NA,NA,2,NA,NA,105,15,NA,16,2,17,38,388,NA,NA,NA,NA,36,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,65,70,1,NA
29626,NA,NA,245,1,10,NA,1,NA,NA,3,1,NA,91,33,NA,23,1,12,35,384,NA,NA,NA,NA,32,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,50,82,4,NA
29731,NA,NA,250,2,7,NA,NA,NA,NA,3,1,NA,93,30,NA,19,1,18,53,382,NA,2,NA,NA,41,1,NA,1,NA,NA,3,NA,NA,NA,1,4,NA,NA,NA,NA,62,40,NA,NA
29836,NA,NA,255,1,4,NA,NA,NA,NA,2,NA,NA,65,30,NA,21,1,15,43,318,NA,1,NA,NA,38,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,44,49,NA,NA
29941,NA,NA,260,4,16,NA,3,NA,NA,8,1,NA,102,27,NA,19,NA,10,68,424,NA,NA,NA,NA,25,NA,NA,2,NA,NA,9,NA,NA,1,NA,2,NA,NA,NA,NA,86,38,3,NA
30046,NA,NA,265,3,12,NA,4,NA,NA,7,2,NA,25,34,NA,10,NA,11,50,365,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,121,54,2,NA
30152,NA,NA,270,10,12,NA,7,NA,NA,5,1,NA,97,42,NA,17,1,19,52,362,NA,1,NA,NA,14,NA,1,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,1,43,33,NA,NA
30257,NA,NA,275,5,13,NA,6,NA,NA,3,1,NA,35,80,NA,16,2,18,51,406,NA,1,NA,NA,12,NA,1,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,57,100,NA,NA
30362,NA,NA,280,5,12,NA,6,NA,NA,10,NA,NA,97,78,NA,14,1,20,93,472,NA,NA,NA,NA,16,NA,6,NA,6,NA,5,NA,NA,2,NA,3,NA,NA,NA,NA,42,55,1,NA
30467,NA,NA,285,3,10,NA,5,NA,NA,9,NA,NA,32,43,NA,17,2,21,79,376,NA,NA,NA,NA,10,NA,5,5,6,NA,7,NA,NA,1,1,2,NA,NA,NA,NA,88,30,NA,NA
30572,NA,NA,290,6,7,NA,7,NA,NA,8,1,NA,45,50,NA,16,1,13,71,367,NA,5,NA,1,14,NA,6,11,6,NA,11,NA,NA,4,NA,1,NA,NA,1,1,42,39,NA,NA
30677,NA,NA,295,5,11,NA,4,NA,NA,10,NA,NA,30,70,NA,14,1,14,80,403,NA,5,NA,NA,17,NA,7,12,7,NA,10,NA,NA,3,NA,1,NA,NA,1,1,67,33,NA,NA
30783,NA,NA,300,7,12,NA,6,NA,NA,9,1,NA,29,21,NA,10,NA,12,78,351,NA,10,NA,1,18,NA,5,14,8,NA,8,NA,NA,4,NA,1,NA,NA,1,NA,25,71,NA,NA
30888,NA,NA,305,8,4,NA,5,NA,NA,11,NA,NA,69,25,NA,11,5,8,72,369,NA,14,NA,2,22,NA,2,15,2,NA,7,NA,NA,1,NA,6,NA,NA,NA,NA,41,39,NA,NA
30993,NA,NA,310,7,9,NA,6,NA,NA,10,NA,NA,42,32,NA,10,3,10,60,326,NA,10,NA,1,10,NA,1,17,2,NA,6,NA,NA,2,NA,5,NA,NA,NA,NA,72,11,NA,NA
31098,NA,NA,315,8,11,NA,7,NA,NA,9,NA,NA,49,20,NA,10,1,11,63,332,NA,11,NA,1,15,NA,1,20,2,NA,5,NA,NA,3,NA,2,NA,NA,NA,NA,55,28,NA,NA
31203,NA,NA,320,5,4,NA,5,NA,NA,8,NA,NA,35,15,NA,11,1,9,52,269,NA,12,NA,NA,10,NA,NA,21,3,NA,6,NA,NA,1,NA,4,NA,NA,NA,NA,34,33,NA,NA
31308,NA,NA,325,4,9,NA,4,NA,NA,7,NA,NA,41,17,NA,9,4,7,48,247,NA,14,NA,NA,15,NA,1,18,NA,NA,6,NA,NA,1,NA,1,NA,NA,NA,NA,29,12,NA,NA
31413,NA,NA,330,8,10,NA,3,NA,NA,5,NA,NA,25,10,NA,17,2,6,50,231,NA,11,NA,NA,10,NA,NA,15,NA,NA,7,NA,NA,2,NA,1,NA,NA,NA,NA,33,16,NA,NA
31519,NA,NA,335,7,11,NA,7,NA,NA,6,NA,NA,14,15,NA,14,1,5,45,238,NA,10,NA,NA,14,NA,1,26,1,NA,8,NA,NA,1,NA,1,NA,NA,NA,NA,41,10,NA,NA
31624,NA,NA,340,10,12,NA,6,NA,NA,10,NA,NA,20,25,NA,10,2,10,50,244,NA,14,NA,NA,14,NA,NA,17,NA,NA,5,NA,NA,2,NA,2,NA,NA,NA,NA,20,15,NA,NA
31729,NA,NA,345,10,10,NA,5,NA,NA,2,NA,NA,23,14,NA,11,3,9,49,209,NA,10,NA,NA,8,NA,NA,19,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,21,9,NA,NA
31834,NA,NA,350,7,8,NA,4,NA,NA,2,NA,NA,8,13,NA,13,1,13,50,232,NA,11,NA,NA,12,NA,NA,42,2,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,37,4,NA,NA
31939,NA,NA,355,7,7,NA,3,NA,NA,3,NA,NA,27,18,NA,14,1,5,60,213,NA,12,NA,NA,11,NA,1,15,2,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,11,9,NA,NA
32044,NA,NA,360,6,8,NA,4,NA,NA,4,NA,NA,21,15,NA,12,NA,9,56,221,NA,13,NA,NA,10,NA,NA,36,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,19,5,NA,NA
32150,NA,NA,365,1,5,NA,3,NA,NA,8,NA,NA,26,8,NA,7,3,2,30,162,NA,5,NA,NA,1,NA,6,22,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,25,7,NA,NA
32255,NA,NA,370,1,7,NA,1,NA,NA,4,2,NA,9,11,NA,6,2,1,42,168,NA,6,NA,NA,1,NA,4,30,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,30,8,NA,NA
32360,NA,NA,375,2,6,2,2,NA,NA,13,NA,NA,19,23,NA,8,4,NA,64,307,NA,7,NA,1,8,NA,3,38,NA,NA,8,NA,NA,NA,NA,3,1,NA,NA,NA,85,10,NA,NA
32465,NA,NA,380,1,5,1,1,NA,NA,10,2,NA,62,24,NA,6,3,1,53,274,NA,8,NA,1,7,NA,4,40,NA,NA,9,NA,NA,NA,NA,2,1,NA,NA,NA,22,11,NA,NA
32570,NA,NA,385,8,12,NA,1,1,NA,16,NA,NA,78,57,NA,17,1,2,97,387,NA,5,NA,1,8,NA,1,23,NA,NA,9,NA,NA,NA,NA,3,NA,1,NA,NA,33,11,2,NA
32675,NA,NA,390,7,11,1,1,1,NA,11,1,NA,21,48,NA,15,1,1,85,332,NA,4,NA,NA,10,NA,1,21,NA,NA,10,NA,NA,NA,NA,2,1,1,NA,NA,62,14,1,1
32781,NA,NA,395,5,9,NA,2,1,NA,9,1,NA,22,36,NA,12,1,1,63,274,NA,5,NA,1,9,NA,2,18,NA,NA,8,NA,NA,NA,NA,3,NA,NA,NA,NA,50,15,NA,1
32886,NA,NA,400,6,10,1,1,1,NA,12,1,NA,19,51,NA,13,2,1,90,335,NA,3,NA,NA,11,NA,NA,19,NA,NA,9,NA,NA,NA,NA,3,NA,1,NA,NA,59,20,1,1
32991,NA,NA,405,1,1,20,2,NA,NA,1,NA,NA,3,13,NA,5,1,3,20,417,NA,NA,NA,8,291,NA,2,16,NA,NA,3,NA,NA,NA,NA,5,NA,NA,1,NA,18,2,NA,1
33465,NA,NA,410,1,1,23,1,1,NA,1,NA,NA,7,12,NA,4,1,2,21,490,NA,NA,NA,7,280,NA,1,97,NA,NA,4,NA,NA,NA,NA,6,NA,1,1,NA,14,4,NA,NA
33939,NA,NA,415,1,3,92,1,1,NA,1,1,NA,3,10,NA,2,6,3,40,662,NA,5,NA,16,291,NA,1,168,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,4,3,4,NA
34413,NA,NA,420,1,2,85,1,1,NA,1,1,NA,5,11,NA,1,4,2,37,609,NA,4,NA,14,250,NA,NA,170,NA,NA,4,NA,NA,NA,NA,3,1,1,NA,NA,5,1,3,1
34887,NA,NA,425,1,1,87,1,1,NA,5,1,NA,4,10,NA,1,4,1,39,600,NA,3,NA,12,231,NA,2,174,NA,NA,3,NA,NA,NA,NA,2,2,NA,1,NA,7,2,4,1
35362,NA,NA,430,2,8,5,5,NA,NA,4,NA,NA,20,37,NA,12,5,1,82,427,NA,7,NA,2,45,NA,2,115,NA,NA,10,NA,NA,NA,NA,3,NA,NA,1,NA,53,4,3,1
35836,NA,NA,435,1,8,6,4,1,NA,5,1,NA,16,25,NA,10,3,1,71,397,NA,5,NA,1,52,NA,2,120,NA,NA,11,NA,NA,NA,NA,2,NA,NA,1,NA,42,7,2,NA
36310,NA,NA,440,1,7,8,5,NA,NA,3,1,NA,16,19,NA,11,4,1,69,386,NA,1,NA,1,60,NA,3,125,NA,NA,9,NA,NA,NA,NA,3,NA,NA,1,NA,25,10,3,NA
36784,NA,NA,445,NA,1,28,2,NA,NA,4,1,NA,7,6,NA,7,3,2,23,424,NA,2,NA,4,178,NA,1,131,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,14,2,NA,2
37258,NA,NA,450,NA,1,21,2,NA,NA,5,1,NA,5,5,NA,6,2,1,31,372,NA,2,NA,3,143,NA,2,120,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,13,3,NA,2
37732,NA,NA,455,NA,1,19,2,NA,NA,3,1,NA,5,1,NA,5,3,2,32,331,NA,2,NA,2,122,NA,NA,111,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,11,3,NA,3
38206,NA,NA,460,6,1,40,3,NA,NA,3,NA,NA,2,20,NA,18,2,3,17,422,NA,NA,NA,NA,177,NA,NA,113,NA,NA,1,NA,NA,NA,NA,6,NA,NA,5,NA,3,2,NA,NA
38681,NA,NA,465,4,1,34,2,NA,NA,NA,NA,NA,2,22,NA,17,1,3,18,404,NA,NA,NA,13,152,NA,NA,120,NA,NA,2,NA,NA,NA,NA,3,NA,NA,3,NA,4,2,NA,1
39155,NA,NA,470,3,1,42,2,1,NA,2,NA,NA,3,19,NA,15,NA,2,17,373,NA,NA,NA,2,140,NA,NA,112,NA,NA,2,NA,NA,NA,NA,2,NA,NA,3,NA,3,1,NA,1
39629,NA,NA,475,NA,2,54,2,1,NA,1,NA,NA,2,4,NA,NA,2,2,2,228,NA,NA,NA,1,84,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,1
40103,NA,NA,480,NA,3,62,4,1,NA,3,NA,NA,4,5,NA,1,2,2,8,289,NA,NA,NA,1,100,NA,NA,85,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA
40577,NA,NA,485,NA,2,59,3,NA,NA,2,NA,NA,5,4,NA,2,3,2,6,292,NA,NA,NA,NA,98,NA,5,92,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA
41051,NA,NA,490,NA,2,20,15,NA,NA,1,12,NA,3,7,NA,7,2,6,28,363,NA,NA,NA,NA,130,NA,3,114,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,8,1,NA,NA
41526,NA,NA,495,3,1,18,10,NA,NA,12,10,NA,3,5,NA,4,2,4,23,345,NA,NA,NA,NA,125,NA,2,111,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,7,1,NA,NA
42000,NA,NA,500,2,1,21,9,NA,NA,9,9,NA,4,6,NA,3,3,5,20,325,NA,5,NA,NA,110,NA,2,109,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA
42474,NA,NA,505,1,1,29,6,NA,NA,5,2,NA,4,19,NA,12,2,6,32,284,NA,3,NA,NA,21,NA,1,111,NA,NA,3,NA,NA,NA,NA,3,NA,NA,1,NA,9,13,NA,NA
42948,NA,NA,510,4,1,25,4,NA,NA,NA,2,NA,5,20,NA,1,NA,2,34,257,NA,2,NA,NA,19,NA,3,113,NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,9,7,NA,NA
43422,NA,NA,515,3,1,21,2,NA,NA,NA,1,NA,6,13,NA,9,NA,3,30,240,NA,NA,NA,NA,15,NA,2,120,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,8,4,NA,NA
43896,NA,NA,520,1,6,2,2,NA,NA,NA,4,NA,15,30,NA,12,NA,2,54,302,NA,NA,NA,2,56,NA,NA,58,NA,NA,8,NA,NA,NA,NA,8,2,NA,NA,NA,24,16,NA,NA
44370,NA,NA,525,2,5,1,2,NA,NA,NA,3,NA,14,27,NA,9,NA,1,42,230,NA,NA,NA,1,32,NA,NA,46,NA,NA,6,NA,NA,NA,NA,6,2,NA,NA,NA,16,15,NA,NA
