Sample age (cal yr BP),Depth (cm) [cm],Acacia groupe I,Adansonia digitata,Aerva lanata,Afraegle paniculata,Alchornea,Allophylus africanus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anacardiaceae,Anthostema senegalense,Antidesma venosum,Artemisia,Asystasia gangetica,Balanites,Boscia-type,Bridelia micrantha,Canthium-type,Cassia-type,Celtis integrifolia,Chrysobalanus/Parinari,Clerodendron,Clutia,Cocculus pendulus,Combretaceae,Commelina forskalaei,Commiphora africana,Crossopteryx-type,Cyperaceae,Detarium,Dialium guineense,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Ephedra,Erythrococca africana,Euphorbia,Euphorbia hirta,Euphorbiaceae,Ficus,Gramineae,Gynandropsis gynandra,Heteromorpha-type,Hewittia sublobata,Hibiscus-type,Hydrocharitaceae,Hydrocotyle,Indeterminables,Indetermines,Ipomaea-type,Ixora brachypoda-type,Jussiaea-type,Kohautia,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Lophira alata,Lotus arabicus,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Maytenus senegalensis,Mitracarpus villosus,Mitragyna inermis,Monocotyledoneae,Moraceae,Musanga,Myrianthus serratus,Nymphaea lotus,Ormocarpum-type,Papilionoideae,Phoenix reclinata,Phyllanthus,Phyllanthus reticularus,Polycarpaea,Polycarpon prostratum,Polygala,Polygonum senegalense,Potamogeton,Pteridophytes (monolete),Resedaceae,Rhizophora,Ricinus communis,Rubiaceae,Salacia senegalensis,Salix,Salvadora persica,Sapium,Sapotaceae,Scrophulariaceae,Securinega virosa,Spermacoce radiata,Spermacoce-type,Syzygium,Tabernaemontana-type,Tacca,Tamarix senegalensis,Tapinanthus-type,Tetracera alnifolia,Tiliaceae,Tinospora bakis,Treculia africana,Trifolium-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Vernonieae,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllum
5250.325,219,,,,,6,,,,,,3,,,,,,,,,,,,,,2,,,,63,,,,,,1,,,,,,,47,,,,,,,2,,,,,,1,1,,,,14,5,,,1,,,,,,2,,,,,,,,,,,593,,,,,,,,1,,,,,,148,,,,,,,,,,1,1,2,,,,,
5484.381,239,,,,,,,,1,,,1,,,,,,,,,,3,,,,,,,,93,,,,,,1,,1,,,,10,63,,,,,,,,,,,,,,2,,1,,10,,,,,,,,,2,2,,,,,,,1,,2,,149,,1,,,,,,,,,,,,19,,,,,,1,,,,,,,,,,,
5718.438,259,,,,,4,,,1,,,4,1,,,,,,,,,,,,,3,1,,2,141,,,1,,,,,,,,,,91,,,,,,,3,1,,,,,,9,,,,6,8,,,,,,,,,1,,,,,,,,,2,,102,,3,,2,,,,,,,1,,,156,,,,,1,,,,,1,3,,,,,,
5952.494,279,,,,,3,,,,,,1,,,,,,,,,,,,,,1,,,3,243,,,,,,,,,,,,,88,,,,,,,1,1,,,,,,5,,,,6,1,,,2,,,,,,,,,,,,1,,,,,378,,2,,,,,,,1,,,,,57,,,,,,,,,,,2,,,,,,
6186.55,299,,,,,10,,,1,1,,,,,,,,,,,,2,,,,1,,,6,491,,,,,,,,,,,,,130,,,,,,,2,1,,,,,,15,,,,4,5,,,1,,,,,,1,,,,1,,,,,,,573,,4,,3,,,,,,,,1,,6,,,,,,,,1,,,3,1,,,,,
6420.606,319,,,,,3,,,,,,2,,,,,,,,,,,,,,1,,,1,240,,,,,,1,,,,,,1,197,,,,,,,2,1,,2,,,,1,,,,5,3,,,,1,1,,,,3,,,,,,,,,,,382,,3,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,
6654.663,339,,,,1,8,,,,,,1,,,,,,,,,,,,,,2,,,,150,,,,,,3,,,,,,,77,,,,,,,5,,,5,,1,,,,,,5,,,,,,,,,,,,,,,,,,,2,,531,1,8,,1,,,,,,,,,1,15,,,,,2,,,,,1,,,,,,2,
6888.719,359,,,,,12,,,,1,,6,,,,,,,,,1,1,,,,,,,,164,,,,,,1,,,,,,2,95,,,,,,,3,,,,,1,,1,,,,13,15,,,3,,1,1,,,4,,,,,,,,,4,,344,,6,,1,,,,,,,,,,11,1,,,,,,,,,1,2,3,,,,1,
7122.775,379,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,25,,,,,,,,,,,,,25,,,,,,,3,1,,,,,,,,,,27,2,,,,1,,,,,,,,1,,,,,,,,396,,3,,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,
7298.317,394,,,,,12,,,,,,1,,,,,,,,,1,,,,,1,2,,,31,,,,,,,,,,,,,58,,,,,,,1,,,,,,,,,,,6,1,,,1,,,,,,,,,,,,1,,,4,,756,,7,,4,,,,,,,,,,33,,,,,,,,,,,3,,,,,,
7590.888,419,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,17,,,,,,,1,,,,,,,,,,,3,,,,,,1,,,,1,,,,,,,,,,,25,,1,,,,,,,,,,,,3,,,,,,,,,,,4,,,,,,
7824.944,439,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,139,,,,,,,,,,,,,227,,,,,,,,,,,,1,,,,,,,3,,,,1,,,,,1,,,,,,,,1,4,,570,,10,,1,,,,,,,,,,11,,,,,,,,,,1,5,,,,,1,
8059,459,,,,,3,,,,,,,,,,,,1,,,3,,,,,,1,,,170,,,,,1,,,,,,,,295,,,,,,,8,,,,,,,,,,,4,,,,,,,,,,6,,1,1,,,,1,,4,,1427,1,9,,1,,,,,,,,,,28,,,,,1,,,,,1,31,,,,,,
8216.082,479,,,,,7,,,1,,,,,,,,,1,,,,,,,,3,,,,49,,,,,,,,,,,,5,38,,,,,,,4,1,,,1,1,1,,,,,27,9,,,,,,,,,3,,,,,,,,,,,275,,5,,1,1,,,,2,,,,,175,,,,,7,,,,,,2,,,,,,
8373.164,499,,,,,9,,,1,,,2,,,,,,,,,2,11,,,,,,,,58,,,,,,,,,,,,30,40,,,1,,,,1,,,,,1,,1,,,,64,18,,,,,,,,,10,,,,,,,,,,,133,,4,,,,,,1,,,,,,206,,,,,6,,,,,,5,1,,,1,,
8530.246,519,,,3,,10,,,1,,,1,1,,,,,,,,1,3,,,,3,,,1,262,,,,,,,,,1,,,49,93,,,,,,,1,1,,3,,1,2,,,,,37,8,,,,,1,,,,2,,,,2,,1,,,,,187,,3,,,,,,1,,,,,,203,,,,,6,,,,,3,3,,,,,,
8687.328,539,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,19,1,,,,,,,,,,,,,,,,,,,,210,,3,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,
8844.41,559,,,,,12,,,2,1,,,,,,,,,,,4,,,,,5,,,,41,,,,,,,,,,,,16,86,,,,,,,5,1,,,,,3,,,,,17,9,,,2,1,,,,,,,,,,,,,,2,,1822,,8,,,,,,,,,,,,188,,,,,1,,,,,,1,,,,,,
9001.492,579,,,,,5,,,1,,,,,,,,,,,,,,,,,1,2,,,130,,,,1,,,,1,,,,9,37,,,,,,,6,1,,,,,,,,,,7,4,,1,,,,,,,1,,,,,,,,,1,,309,,3,,2,,,,1,,,,,,75,,,,,2,,,,,,,,,,,,
9158.574,599,,,,,7,,,,,,,,,,,,,,,6,,,,,6,3,,,82,,,,,,,,,,,,5,105,,,,,,,,,1,,,2,,,,,1,4,6,,,2,,,,,,1,,,,,,,,,2,,1011,,4,2,8,,,,1,,,,1,,47,,,,,2,,,,,1,3,,,,,,
9315.655,619,,,,,4,,,1,,1,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,51,,,,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,1,,,,516,,4,,5,,,,,,,,,,47,,,,,1,,,,,,,,,,,,
9472.737,639,,,,,35,,,1,,,,,,,,,,,,2,,,,,4,,,,34,,,1,,,,,,,,,24,54,,,,,,,16,,,,,,,,,,,66,86,,,1,,,,,,6,,,,,,,,,1,,155,,4,,2,,,,,,,,,,136,,,,,23,,,,,,1,,,,,,1
9629.819,659,,,,,39,,,1,,,2,,,,,,,,,3,,,,,3,1,,,44,,,,,,4,,,,,,12,72,,,,,,,16,3,,3,,,,,,,,13,53,,,,,1,,,,4,,,4,,1,,,,,,192,,7,,,,1,,,,,,1,,46,,,,,18,,,,,,2,1,,,,,
9786.901,679,1,,,,76,,,1,,,,,,,,,1,,,3,,,,,1,,,,49,,,,,,1,,2,,,,25,96,,,,,,,4,,,,,1,1,1,,,,,66,,,1,,,,,,1,,,2,,,,,,3,,155,,13,,2,,,,,,,1,1,,3,,,,,17,,,,,,9,,,,,,
9943.983,699,,,,,162,,1,,,,3,,,,,,1,,1,4,,,,,,71,,,42,,,,,,,,,,,,56,87,,,,,,,14,,,,,,,,,,,,108,,,,,,,1,,,,,19,,,,,,1,1,75,,7,,,,,,,,1,,,,1,,,2,,20,,,,,,8,2,,,,,
10101.07,719,,,,,79,,1,,,,,,,,,,,,1,3,,,,,3,,,,152,,,,,,,,,,,,18,75,,,,,,,10,4,,,,,,,,,,,24,,,1,,,,,,1,,,7,,,1,,,,,46,,5,,,,,,,,,,1,,1,,,,,10,,,,,,1,,,,,,
10258.15,739,,,,,39,,,1,,,,,,,,,,,,1,,,,,,,,,61,,,,,,,,,,,,20,37,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
10415.23,759,,,,,21,,,1,1,,,,,,,,,,,1,,,,,1,2,,,334,,,,,,,,,,,,52,205,,,,1,,,3,3,,,2,1,,1,,,,,2,,,2,,,,,,1,,,2,,,,,,,,408,,7,,1,,,,,,,,,,1,,,,,,,,,,2,33,,,,,,
10580.17,780,,,1,,1,,,1,,,,,,,,,,,,9,,,,,,2,,1,80,,,,,,,,,,,,17,140,,,,,,,1,3,,,,1,,1,,,,,1,,,2,,,,,,,1,,1,,,,,,,1,92,,4,,2,,,,,,,,,,2,,,,,,,,,,2,35,,,,,,
10729.39,799,,,,,2,,1,2,1,,1,,,,,,,,,7,,,,,1,5,,1,96,,,,,,1,,,,,,25,122,,1,,,,,,,,,2,,,1,,,,3,1,,,3,,1,1,,,3,,,,,,,1,,1,,164,,6,,4,,,,,,,,,,4,,,,,2,,,,,4,38,,,,1,1,
10886.48,819,,,,,,,1,2,,,1,,,,,,,,,2,,,,,,1,,,89,,,,,,,,,,1,,8,134,,,,,,,1,,,,6,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,155,,4,,3,,,,1,,1,,,,2,,,,,,,,,,6,45,,,,,,
11043.56,839,1,,,,,,1,4,,,,,,,,,,,,5,1,,,1,,,,,83,,,,,,,,,,,2,,151,,,,,,2,2,1,,,1,1,,2,,,,,,,,3,,,,,,9,2,,,1,,,,,2,,206,,4,,2,,,,2,,,,,,,,,,,,,,,,2,51,,,,,,
11200.64,859,,,,,,,2,3,,,,,,,,,,,,2,,,,,2,1,,,74,,,,,,,,,,,1,,208,,,,,,,5,,,,,1,,4,,,,,,,1,2,2,,,,,3,,,,,,,,,1,,86,,3,,1,,,1,1,,,,,,,,,,,,,,,,,53,,,,,,
11365.58,880,,,1,,1,,,2,1,,,,,,,1,1,,1,18,,,,,3,5,,,63,,,,,,,,,,,,,323,,,,,,,4,,,,1,,,3,,,,,,,,2,,,,,,6,1,,,,3,,,,3,1,94,,1,,1,,,,1,,,,,,,1,,,,,,,1,,1,69,,,,,,
11514.8,899,,,,,3,,,4,,,2,,,,,,,,,4,,,,,3,,,,59,,,,,,,,,,,1,1,281,,,,,,,5,1,,,,2,,,,,,8,2,,,,,,,,,1,,,,,,,,,,,122,,4,,2,,,,,,,,,,7,,,,,2,,1,,,2,39,,,,,,
11671.88,919,,,1,,,,2,7,1,,1,,,,,,,,,6,,,,,,,,,51,,,,,,,,,,,,,377,,,,1,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,75,,,,,,,1,,,,,,,,,,,,,,1,,,,61,,,,,,
11828.97,939,,,1,,,,,7,,,,,,,,,,,,1,,,,,,,,,58,,,,,,,,,,,,,415,,,,,,,2,1,,,,,,,,,,,,,,3,,,,,,2,,1,,,,1,,,,,134,,,,2,,,,,,,,,,,,,,,,,,,,5,108,,,,,,
11993.9,960,1,,1,,,,,5,,,,,1,,,,,,,2,,,,2,1,,,,87,,,,,,,,,,1,1,,332,,,,,,,3,,,,,1,,,,,,,,,,4,1,,,,,,,,,,,,,,3,,118,,1,,1,,,,1,,,,,,1,,,,,,,1,,,2,124,,,,,,
12143.13,979,,,1,,,,1,4,,,1,,,,,,,,,1,,,,,,,,,43,,,,,,,,,,,2,,177,,,,,,,14,,,2,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,1,
12300.21,999,,,3,,,,,6,3,,,,,,,,,,,2,,,,,1,,,,73,,,,,,,,,,,,,291,,,,,,,,2,,,,2,,,1,,,,,,1,,,,,,,1,,,,,,,,,1,,95,,,,2,,,,2,,,,,,2,,,,,,,,,,,157,,,,,,
12457.29,1019,1,,,,,,,3,,,,,,,,,,,,1,,,,,1,,,,38,,,,,,,1,,1,,,,134,,,,,,,4,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,1,,19,,,,,,,,,,,,,,2,,,,,,,,,,,148,1,1,,,,
12614.38,1039,,,9,,,,,1,,,,,,,,,,,,,,,,,,1,,,143,,,,,,,,,,,,,210,,,,,,,1,,,,,,1,,,,,,1,,,5,,,,,,2,,1,,,,,,,1,59,,,,,,,,,1,,,,,,,,,,,,,,,,,157,,,1,,,
12692.92,1049,,,4,,,,,2,,,,,,,,,,,,,,,,,2,,,,317,,,,,,,3,,,,,1,452,,,,,,,4,2,,,,3,,,,,,,,1,2,7,,,,,,,,,,,,,,,,16,1,,1,,,,,,,,,,1,,1,,,,,,,,,,1,104,,,,,,
12850,1069,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,143,,,,,,,1,,3,,,,696,,,,,,,5,,,,,,,,,,,,1,,,3,,,,,,1,,1,2,,,1,,,,,12,,,,,,,,,,,,1,,1,,,,,,,,,,3,152,,,,,,
