"age_NA","ageolder_BP","ageyounger_BP","depth","Alnus","Juglans","Unknown (trilete)","Polygonum aviculare-type","Asteroideae","Dryopteris-type","Isoëtes","Poaceae","Ophioglossum","Polypodium","Fagus","Sparganium-type","Tilia","Populus","Quercus cerris-type","Carthamus","Lycopodium","Ulmus","Carpinus betulus","Pinus","Amaranthaceae","Pteridium","Plantago lanceolata-type","Anthoceros laevis-type","Centaurea","Sphagnum","Salvinia","Abies","Matricaria-type","Cichorioideae","Cyperaceae","Azolla","Salix","Vitis","Rumex acetosa-type","Humulus/Cannabis","Plantago major-type","Artemisia vulgaris-type","Ranunculus repens-type","Datisca","Poterium sanguisorba","Ostrya/Carpinus orientalis","Platanus","Artemisia herba-alba-type","Juniperus","Corylus","Nymphaea","Fraxinus excelsior","Betula","Euphorbia","Geranium","Typha latifolia","Bunium-type","Osmunda regalis","Marsilea","Centaurea solstitialis-type","Anagallis","Lythrum","Olea","Hedera","Cornus mas","Unknown","Ericaceae","Cladium mariscus","Butomus umbellatus","Onopordum-type","Scorzonera-type","Cheilanthes","Senecio-type","Filago-type","Cirsium/Gundelia","Unknown (monolete)","Caryophyllaceae","Apiaceae","Liliaceae","Poaceae (Cerealia-type)","Brassica-type","Quercus coccifera-type","Malus-type","Fabaceae","Rosaceae","Potamogeton","Plantago coronopus-type","Thymus/Mentha","Hippocrepis-type","Polygonum cognatum-type","Pistacia","Bupleurum-type","Capsella-type","Phillyrea angustifolia","Heliotropium-type","Plantago tenuiflora-type","Galium-type","Alisma","Linum","Convolvulus","Fraxinus ornus","Plantago maritima-type","Trifolium-type","Bidens-type","Castanea","Scrophularia/Verbascum","Helianthemum","Myriophyllum spicatum/M. verticillatum","Gentiana","Cistus","Sideritis","Plantago media-type","Knautia","Plantaginaceae","Picea","Acer","Vicia-type","Mercurialis annua","Arceuthobium oxycedri","Geum-type","Rubus","Salvia","Noaea-type","Bellis-type","Juniperus sabina","Urtica pilulifera-type","Inula","Xanthium","Thalictrum","Filipendula","Daphne","Rhinanthus-type","Heracleum-type","Turgenia-type","Lilium","Buxus","Teucrium","Hydrocharis","Lathyrus-type","Veronica","Hypericum perforatum-type","Echium-type","Sambucus ebulus","Verbascum-type","Equisetum","Selaginella","Osmanthus","Ranunculaceae","Verbena","Hedysarum/Ebenus","Nuphar","Rhododendron","Taxus","Rumex hydrolapathum","Scrophulariaceae","Lamiaceae","Urtica dioica-type","Eryngium-type","Ephedra fragilis-type","Spiraea","Alchemilla","Delphinium-type","Anthriscus-type","Centaurea jacea-type","Antirrhinum/Linaria","Lemna","Astragalus-type","Spergularia-type","Asparagus-type","Vitex agnus-castus","Ferula-type","Potentilla-type","Paliurus","Rosa-type","Rhamnaceae","Ranunculus sceleratus-type","Prunus-type","Apium-type","Viburnum-type"
NA,NA,NA,80,60,1,NA,NA,NA,179,NA,6,NA,NA,32,21,NA,1,186,NA,NA,26,79,61,2,1,1,NA,NA,NA,NA,1,NA,NA,28,3,5,1,NA,NA,NA,NA,NA,NA,NA,2,4,NA,5,6,2,49,NA,NA,NA,NA,NA,NA,NA,1,NA,6,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,51,2,NA,NA,NA,43,NA,25,NA,NA,31,11,1,NA,173,NA,NA,28,81,33,3,4,5,NA,NA,NA,NA,2,1,NA,10,NA,2,3,NA,1,1,1,NA,NA,NA,3,3,1,9,NA,15,6,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,360,5,9,3,71,8,50,35,156,7,1,10,5,NA,NA,101,NA,NA,NA,16,26,5,19,66,8,NA,NA,NA,1,4,26,35,3,1,NA,1,4,NA,NA,5,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,1,1,NA,4,566,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,185,17,11,NA,NA,NA,118,NA,48,NA,NA,28,65,NA,3,147,NA,NA,4,10,89,3,11,7,NA,NA,1,NA,1,2,NA,61,2,4,1,3,3,NA,1,1,NA,NA,3,2,2,11,4,10,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,340,6,14,NA,3,352,19,17,72,4,4,3,1,NA,NA,99,NA,1,NA,7,7,2,6,138,10,NA,NA,NA,NA,8,97,17,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,275,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,4,2,1,NA,2,1,NA,5,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,23,NA,NA,NA,NA,2,13,NA,NA,NA,NA,NA,1,1,1,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,14,9,NA,NA,NA,268,NA,17,NA,NA,14,68,NA,NA,70,NA,NA,4,10,25,1,3,3,NA,NA,NA,NA,NA,2,NA,41,15,8,NA,1,2,NA,NA,1,NA,NA,2,1,2,9,5,17,2,NA,1,NA,NA,1,NA,1,NA,NA,1,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,5,1,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,11,12,NA,4,NA,1156,7,74,6,1,23,50,NA,NA,143,NA,NA,1,17,13,7,24,33,3,NA,NA,NA,NA,7,3,16,2,41,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,4,2,21,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,1,2,NA,3,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,3,4,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,280,11,8,1,2,NA,45,9,67,9,5,9,9,1,NA,110,NA,NA,2,34,18,9,59,47,13,NA,NA,NA,1,11,24,8,4,NA,NA,6,2,NA,1,1,NA,1,NA,NA,5,4,6,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,7,2,NA,NA,4,3,NA,5,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,380,8,18,NA,52,2,59,8,203,8,3,30,28,1,NA,322,NA,NA,4,29,40,3,11,146,10,NA,NA,NA,5,8,28,62,9,15,1,NA,1,2,NA,NA,NA,NA,2,NA,4,2,3,NA,NA,2,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,2,NA,1,1,NA,NA,9,NA,NA,NA,2,6,NA,3,3,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,43,3,NA,NA,1,154,NA,62,NA,1,54,30,NA,NA,194,NA,NA,12,63,32,4,6,9,NA,NA,NA,1,NA,1,NA,18,1,4,4,2,3,NA,NA,6,NA,1,8,3,3,6,6,7,7,1,2,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,230,17,23,NA,1,1,114,1,82,1,1,34,156,NA,NA,117,NA,NA,4,17,30,11,30,16,1,NA,NA,NA,1,8,5,25,8,3,1,4,2,1,NA,7,1,NA,4,2,4,5,10,107,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,2,1,NA,NA,1,3,NA,7,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,4,NA,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,245,9,29,NA,5,NA,77,NA,83,5,1,29,95,1,NA,103,NA,NA,2,14,34,18,36,61,3,NA,NA,NA,NA,13,11,21,1,NA,3,5,1,1,NA,NA,NA,NA,2,2,11,7,2,257,2,1,NA,NA,NA,1,NA,NA,NA,NA,3,4,1,NA,4,13,NA,NA,1,NA,NA,4,NA,1,NA,1,5,NA,3,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,2,6,NA,NA,NA,NA,NA,3,NA,9,NA,1,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
